093.3-02.4 |                |   19.   89..1570
093.4+05.4 |                |  217.   89..1570
093.5+01.4 |                |  884.   89..1570
094.5-00.8 |                |    6.5  89..1570
095.1-02.0 |                |   35.   90..1502
095.2+00.7 |                |  115.   90..1502
096.3+02.3 |                |   14.   89..1570
096.4+29.9 |  940.  S 75    |
097.6-02.4 |                |    6.5  89..1570
098.1+02.4 |                |   29.   89..1570
098.2+04.9 |                |   43.   90..1502
100.0-08.7 |                |   40.   90..1502
100.6-05.4 |                |   47.5  84..2631
101.8+08.7 |                |   17.   89..1570
103.7+00.4 |                |   14.   89..1570
104.1+01.0 |                |   54.   90..1502
104.1+07.9 |                |<   3.   89..1570
104.4-01.6 |                |   11.   89..1570
104.8-06.7 |                |    8.   90..1502
106.5-17.6 |                |  631.   89..1570
107.4-02.6 |                |    4.5  89..1570
107.6-13.3 |                |    3.   89..1570
107.7-02.2 |                |   25.   89..1570
108.4-76.1 |                |<   0.3  89..1570
110.6-12.9 |                |<   3.   89..1570
111.2+07.0 |                |    5.   89..1570
111.8-02.8 |                |   45.   90..1502
112.5+03.7 |                |<   0.3  90..1502
112.5-00.1 |                |<   1.   89..1570
113.6-06.9 |                |<   3.   89..1570
116.2+08.5 |                |   19.   89..1570
117.5+18.9 |                |    1.3  89..1570
118.0-08.6 |                |   23.   90..1502
118.7+08.2 |                |<   5.   89..1570
118.8-74.7 |  248.  82..1559|  247.   79..1507
119.3+00.3 |                |<   0.5  90..1502
119.4+06.5 |                |    5.5  89..1570
119.6-06.7 |                |   26.   89..1570
120.0+09.8 |  570.  KK 69   |
121.6+03.5 |                |    1.5  89..1570
121.6-00.0 |                |<   0.3  90..1502
122.1-04.9 |                |    2.3  89..1570
125.9-47.0 |   10.0 89..1570|
126.3+02.9 |   12.4 89..1570|   13.9  89..1570
129.5+04.5 |                |    1.5  89..1570
130.3-11.7 |                |    8.   89..1570
130.4+03.1 |                |    2.0  89..1570
130.9-10.5 |                |> 102.   89..1570
131.4-05.4 |                |<   0.3  90..1502
131.5+02.6 |                |    2.7  89..1570
133.1-08.6 |                |<  10.   79....18
136.1+04.9 |   14.0 89..1570|
138.8+02.8 |  170.0 89..1570|
142.1+03.4 |                |    5.5  89..1570
144.3-15.5 |                |<   2.   89..1570
146.7+07.6 |   15.5 89..1570|   22.   90..1502
147.4-02.3 |                |   90.   90..1502
147.8+04.1 |   38.5 89..1570|   54.   89..1570
149.0+04.4 |                |    7.7  90..1502
153.7-01.4 |                |    4. : 90..1502
158.9+17.8 |<   3.  89..1570|<   2.   89..1570
159.0-15.1 |                |   27.   90..1502
160.5-00.5 |                |    2. : 89..1570
161.2-14.8 |                |   50.   90..1502
165.5-06.5 |                |   42.   90..1502
166.1+10.4 |  250.  S 75    |
166.4-06.5 |  132.  89..1570|   18.4  89..1570
167.4-09.1 |                |   18.   90..1502
170.7+04.6 |                |    8.   90..1502
171.3-25.8 |   12.  82..1559|    8. : 89..1570
174.2-14.6 |    7.  82..1559|   18.   89..1570
178.3-02.5 |                |    5.   89..1570
184.0-02.1 |   50.  82..1559|   70.   90..1502
184.6+00.6 |                |    6. : 90..1502
189.8+07.7 |   18.  82..1559|   13.   89..1570
190.3-17.7 |   34.  82..1559|   23.   90..1502
193.6-09.5 |    5.  82..1559|   24.   79..1507
194.2+02.5 |   86.  82..1559|  100.   90..1502
196.6-10.9 |   96.  82..1559|   91.   79..1507
197.2-14.2 |    9.  82..1559|    2.5  89..1570
197.8+17.3 |  251.  82..1559|  244.   79..1507
197.8-03.3 |    4.  82..1559|<   2.   89..1570
198.6-06.3 |   32.  82..1559|   36.   89..1570
200.7+08.4 |    3.  82..1559|<   2.   89..1570
201.7+02.5 |                |   14.   90..1502
201.9-04.6 |                |<   3.   89..1570
204.0-08.5 |    7.  82..1559|<  26.   75..9002
204.1+04.7 |<  54.  82..1559|   54.   82..2582
204.8-03.5 |                |    1.5  89..1570
205.1+14.2 |  407.  82..1559|  327.   79..1507
206.4-40.5 |  141.  82..1559|  171.   79..1507
210.3+01.9 |   17.  82..1559|   23.   79..1507
211.2-03.5 |                |   86.   89..1570
212.0+04.3 |   26.  82..1559|   27.   90..1502
214.9+07.8 |   12.  82..1559|   14.   79..1507
215.2-24.2 | 1529.  82..1559| 1613.   75..9002
215.6+03.6 |   12.  82..1559|   86.   75..9002
215.6+11.1 |<   3.  82..1559|<  12.   82..2582
216.0-00.2 |   15.  82..1559|<  11.   79..1507
216.3-04.4 |                |<   1.   89..1570
217.1+14.7 |   99.  82..1559|   55.   82..2582
220.3-53.9 |  725.  82..1559|  503.   82..2582
221.3-12.3 |  186.  82..1559|  188.   75..9002
221.7+05.3 |    5.  82..1559|<   1.   89..1570
224.3+15.3 |   52.  82..1559|<  14.   79..1507
224.9+01.0 |                |    0.8  89..1570
226.4-03.7 |   10.  82..1559|   18.   75..9002
226.7+05.6 |   20.  82..1559|   31.   90..1502
228.8+05.3 |   15.  82..1559|   17.   90..1502
229.6-02.7 |<   1.  82..1559|<   9.   82..2582
231.4+04.3 |    6.  82..1559|    1.2  89..1570
231.8+04.1 |   66.  82..1559|   67.   89..1570
232.0+05.7 |                |<   1.4  90..1502
232.4-01.8 |   11.  82..1559|   23.   75..9002
232.8-04.7 |   94.  82..1559|  113.   90..1502
233.5-16.3 |   17.  82..1559|<   2.5  89..1570
234.3-06.6 |<  13.  82..1559|<  11.   79..1507
234.8+02.4 |  325.  89..1570|  370.   89..1570
234.9-01.4 |   37.  82..1559|   60.   90..1502
235.3-03.9 |   12.  82..1559|   41.   90..1502
236.7+03.5 |    2.  82..1559|<   3.   89..1570
238.0+34.8 |   51.  82..1559|   22.   82..2582
238.9+07.3 |                |    2.4  89..1570
239.6+13.9 |   32.  82..1559|   30.   89..1570
240.3+07.0 |                |    4.5  89..1570
240.3-07.6 |<   1.  82..1559|
241.0+02.3 |<   2.  89..1570|    1.   89..1570
242.6-11.6 |   16.  89..1570|   24.   89..1570
243.3-01.0 |   54.  82..1559|   55.   82..2582
245.4+01.6 |    4.  82..1559|   10.   89..1570
248.7+29.5 |   12.  82..1559|<  29.   79..1507
248.8-08.5 |                |   19.   89..1570
249.0+06.9 |                |<   0.3  90..1502
249.3-05.4 |    6.  82..1559|<  10.   79..1507
250.3+00.1 |<  10.  82..1559|    2.4  89..1570
251.1-01.5 |                |    5.   89..1570
252.6+04.4 |<   6.  82..1559|<   5.   89..1570
253.9+05.7 |   57.  82..1559|   75.   89..1570
258.1-00.3 |  172.  82..1559|  170.   82..2582
261.0+32.0 |  739.  82..1559|  896.   75..9002
261.6+03.0 |  103.  82..1559|  105.   82..2582
261.9+08.5 |   36.  82..1559|   33.   82..2582
263.0-05.5 |    7.  82..1559|   40.   75..9002
264.1-08.1 |   40.  82..1559|   47.   82..2582
264.4-12.7 |   25.  82..1559|   29.   82..2582
