013.7-10.6 |      |       | 16.6  | 16.7  |C| 91..1502                  |                            |                                                                  |
013.8-07.9 |      |       | 18.4  |       |D| 91..1502                  |                            |                                                                  |
014.0-05.5 |      |       | 13.66 | 13.27 |A| 91..1502                  |                            |A             91.30002                                            |
014.2-07.3 |      |       | 17.7  | 17.4  |C| 91..1502                  |                            |                                                                  |
014.6-04.3 |317   |       |       |       | |                           |                            |Contin.?      75...752                                            |
014.8-25.6 |391   |       | 17.7  |       | | 87..1593                  |                            |                                                                  |
014.9+06.4 |      |  20.91| 22.21 | 21.71 |B| KJL 88                    |                            |                                                                  |
015.4-04.5 |      |       | 15.52 | 14.30 |B| 91..1502                  |  cool star?                |                                                                  |
016.0+13.5 |246   |       | 20.3  |       |P| 67.30013                  |                            |                                                                  |
016.1-04.7 |      |       | 16.7  | 16.2  |C| 91..1502                  |                            |                                                                  |
016.4-01.9 |310   |       | 13.19 | 12.83 |A| 91..1502                  |                            |                                                                  |
017.3-21.9 |384   |  15.01| 15.99 | 15.90 | | 66..9017                  |                            |Op k          64...352                                            |UBV 16806;CSI -23 -19436
017.6-10.2 |337   |  14.26| 15.30 | 15.42 | | 66..9017                  |                            |sd O8k        64...352|OH          91.50001                       |UBV 16133;CSI -18 -18581
017.9-04.8 |326   |       |       | 17.9  |B| 84...100                  |                            |OVI           84...100|WC early    91.50001                       |
018.0+20.1 |232bis|       | 16.89 | 16.60 |B| SK 89   ,91..1502         |                            |                                                                  |
019.4-05.3 |      |       | 17.1  |       |D| 91..1502                  |                            |WC ?          91.30002                                            |
019.4-19.6 |377   |       | 19.3  |       |P| 67.30013                  |                            |                                                                  |
019.7-04.5 |      |       |       |       | |                           |                            |WC            91.30002                                            |
019.8-23.7 |389   |  16.84| 17.71 | 17.39 | | 66..9017                  |                            |                                                                  |UBV 16998;CSI -21 -19546
020.2-00.6 |313   |  20.5 | 21.5  | 21.1  |D| KJL 88                    |                            |                                                                  |
020.7-05.9 |      |       | 14.41 | 14.16 |A| 91..1502                  |                            |                                                                  |
020.9-01.1 |      |       |       |       | |                           |                            |WC            91.30002                                            |
021.2-03.9 |328   |       |>21.   |       | | 77..1547                  |                            |                                                                  |
021.7-00.6 |318   |       | 20.7  |       |P| 67.30013                  |                            |                                                                  |
022.1-02.4 |      |       | 17.3  | 16.3  |C| 91..1502                  |                            |                                                                  |
022.5+04.8 |      |       |       |       | |                           |                            |                                                                  |
023.0+04.3 |      |       |       |       | |                           |                            |                                                                  |
023.9+01.2 |      |       |       |       | |                           |                            |                                                                  |
024.2+05.9 |298   |       | 20.3  |       |P| 67.30013                  |                            |                                                                  |
024.2-05.2 |      |       |       | 18.7  | | 90.00004                  |                            |                                                                  |
025.0-11.6 |364   |       | 18.5  |       |P| 67.30013                  |                            |                                                                  |
025.3+40.8 |199   |       | 11.05 | 11.20 |A| 91..1502,SK 85            |                            |O5 f(H)       91.50001                                            |AG +12 1684;BD +12 2966;GCRV 9312;HD 145649;PLX 3676;NSV 7526;CSV 101560;SV* ZI 1218;TD1 18957
025.4-04.7 |334   |       | 15.5  |       |P| 67.30013                  |                            |                                                                  |
025.8-17.9 |381   |       | 16.90 |       |B| 88..1306                  |                            |WNb ?         70..9056                                            |
025.9-02.1 |      |       | 17.3  | 16.2  |C| 91..1502                  |                            |                                                                  |
025.9-10.9 |360   |       |       |       | |                           |                            |WR            73..9127                                            |AS 350
026.3-02.2 |      |       | 16.5  | 15.5  |C| 91..1502                  |                            |                                                                  |
026.5-03.0 |      |       | 16.7  | 16.4  |C| 91..1502                  |                            |                                                                  |
027.3-03.4 |332   |       |>21.   |       |P| 67.30013                  |                            |                                                                  |
027.4-03.5 |      |       | 15.8  | 15.6  |C| 91..1502                  |                            |                                                                  |
027.6+04.2 |      |       |       |       | |                           |                            |WC 8          91.30002                                            |
027.6+16.9 |254   |       | 14.96 | 14.95 |A| 91..1502                  |                            |O             91.30002                                            |
027.6-09.6 |357   |       | 15.19 | 15.19 |B| SK 89   ,91..1502         |    field star?             |Of            77.12501                                            |GCRV 11715;HD 180324;BD -09 5069;AS 348
027.7+00.7 |324   |       |>21.   |       |P| 67.30013                  |                            |                                                                  |
028.0+10.2 |286   |       | 16.8  |       | | 81..1143                  |                            |                                                                  |
029.2-05.9 |344   |       | 15.78 | 15.45 |B| 91..1502                  |                            |WC 4          91.50001                                            |CSI -06 -19031 0;HD 177656;EM* CDS 1043
030.6+06.2 |307bis|       | 16.0  |       | | 83..3100                  |                            |                                                                  |
030.8+03.4 |322   |       | 21.0  |       |P| 67.30013                  |                            |                                                                  |
031.0-10.8 |369   |       | 16.2  | 16.3  |C| 91..1502                  |                            |                                                                  |
032.5-03.2 |      |       |       | 17.0  |D| 91..1502                  |                            |                                                                  |
033.0-05.3 |347   |       | 20.5  |       |P| 67.30013                  |                            |                                                                  |
033.1-06.3 |355   |       | 19.02 | 18.68 |A| 88..1306,89..2255         |                            |                                                                  |
033.2-01.9 |      |       | 14.89 | 14.00 |B| 91..1502                  |                            |A             91.30002                                            |
033.8-02.6 |340   |       |>20.3  |       | | 88..1306                  |                            |                                                                  |
034.1-10.5 |371   |       | 16.6  |       | | 87..1593                  |                            |                                                                  |
