K 4-25         |  36- 6 1 | 19 22.5 +00 13 |036.68 -06.80 | No emission-line object detected (a)
K 4-26         |  37- 6 2 | 19 23.6 +00 38 |037.18 -06.85 | M star (a)
K 4-27         |  47- 3 1 | 19 30.4 +11 23 |047.51 -03.29 | M star (a)
K 4-29         |  57+ 2 1 | 19 30.6 +23 04 |057.80 +02.26 | M star (a)
K 4-31         |  50- 3 1 | 19 37.1 +13 41 |050.32 -03.62 | M star (b)
K 4-32         |  60+ 0 1 | 19 42.1 +24 30 |060.33 +00.66 | M star (a - b)
K 4-33         |  64+ 2 1 | 19 45.7 +28 38 |064.32 +02.02 | M star (b)
K 4-34         |  54- 3 1 | 19 46.4 +17 01 |054.34 -03.94 | M star (b)
K 4-35         |  57- 2 1 | 19 48.9 +20 08 |057.32 -02.89 | M star (a - b)
K 4-36         |  44-10 1 | 19 49.6 +05 19 |044.44 -10.38 | M star (b)
K 4-38         |  57- 3 1 | 19 51.3 +19 58 |057.47 -03.47 | Star (b)
K 4-39         |  60- 2 1 | 19 53.1 +23 14 |060.50 -02.16 | M star (a - b)
K 4-40         |  62- 1 1 | 19 54.2 +24 58 |062.12 -01.48 | M star (a - b)
K 4-42         |  63- 3 2 | 20 06.7 +25 01 |063.65 -03.86 | M star (a)
K 4-43         |  64- 9 1 | 20 28.1 +22 51 |064.56 -09.13 | No emission-line object detected (b)
K 4-44         |  93+ 5 1 | 21 00.5 +54 33 |093.41 +05.50 | Low excitation knot in the PN 93+ 5.2 = NGC 7008 (a)
K 4-45         |  96+ 1 1 | 21 35.3 +53 47 |096.43 +01.32 | H II region (b)
K 4-46         | 108- 5 1 | 23 09.3 +54 45 |108.47 -05.22 | Me star (a)
K 4-49         |*210- 0 1 | 06 44.6 +01 20 |210.98 -00.91 | H alpha emission-line star, high Balmer decrement (a)
K 4-54         |* 84+ 2 1 | 20 42.9 +45 57 |084.96 +02.20 | M star (b)
K 4-56         |* 86+ 0 1 | 20 55.7 +46 36 |086.88 +00.90 | H alpha emission star (b)
K 4-59         |*127- 1 1 | 01 30.5 +60 31 |127.73 -01.98 | Star (b)
K 4-60         |*132- 0 1 | 02 08.1 +60 46 |132.16 -00.72 | HII region (a)
Kj 1-1         |*197- 2 2 | 06 12.8 +12 23 |197.51 -02.75 | HII region (a)
Kj 2-2         |*113+ 5 1 | 23 09.2 +66 48 |113.09 +05.91 | H alpha emission star (a - b)
Kr 1-1         | 121- 2 1 | 00 38.7 +60 16 |121.35 -02.56 | Reflection nebula (a)
Kr 2-1         | 149- 1 1 | 03 51.6 +51 29 |149.10 -01.99 | Reflection nebula (a)
Kr 2-2         | 114+10 1 | 22 56.7 +71 28 |114.00 +10.61 | Reflection nebula (a)
Lo 2           |*284-39 1 | 04 03.2 -70 15 |284.07 -39.10 | Galaxy (b)
LoTr 6         |*312+25 1 | 13 34.1 -36 50 |312.35 +25.25 | Emission-line galaxy (b - c)
LuSt 1         |          | 17 39.3 -28 15 |359.85 +01.54 | WR 99. Symbiotic star (ESO 1990-06-23)
M 1-15         | 234- 0 1 | 07 31.8 -19 28 |234.76 -00.28 | Possible Be star (a)
M 1-21         |   6+ 7 1 | 17 34.3 -19 09 |006.96 +07.36 | Symbiotic star (a)
M 1-49         |  18- 1 1 | 18 30.2 -13 54 |018.17 -01.70 | No emission-line object detected (a)
M 1-76         |  74+ 1 1 | 20 16.5 +37 06 |074.91 +01.02 | Peculiar star (a)
M 3-18         |   7+ 1 2 | 17 57.3 -21 42 |007.57 +01.44 | Symbiotic star (a)
M 4-1          | 241- 7 1 | 07 16.5 -29 19 |241.88 -07.96 | Seyfert-2 galaxy (a - c)
MaC 1-1        |*217- 0 1 | 06 58.7 -03 41 |217.04 -00.06 | H alpha emission star (a)
MaC 1-3        |*339- 3 1 | 17 01.5 -47 46 |339.62 -03.52 | Symbiotic star (b)
MaC 1-5        |*  1+ 4 1 | 17 32.1 -24 45 |001.94 +04.79 | Symbiotic star or Me star (a - b)
MaC 1-6        |          | 17 44.9 -25 09 |003.14 +02.12 | No emission-line object detected (b)
MaC 1-7        |*358- 2 3 | 17 51.4 -31 14 |358.68 -02.25 | H alpha emission-line star (b)
MaC 1-8        |*358- 3 3 | 17 56.0 -31 38 |358.83 -03.31 | No emission-line object detected (b)
MaC 1-9        |* 13+ 5 2 | 17 55.9 -14 07 |013.99 +05.51 | Symbiotic star (b)
MaC 1-14       |* 20- 3 1 | 18 41.2 -13 12 |020.02 -03.75 | H alpha emission star (b)
MaC 1-17       |* 30- 7 1 | 19 13.0 -05 21 |030.59 -07.22 | Emission-line star or symbiotic star (ESO 1990-06-24)
MaC 2-4        |*204-13 1 | 05 47.6 +00 39 |204.92 -13.86 | Symbiotic star (a)
MaC 2-5        |          | 07 00.8 -22 21 |233.98 -08.03 | No emission-line object detected (b)
NGC 1985       | 176+ 0 1 | 05 37.8 +31 59 |176.51 +00.17 | Reflection nebula (a)
NGC 6164-5     | 336- 0 1 | 16 33.9 -48 06 |336.38 -00.22 | Shell around young massive star HD 148937 (a - b)
NGC 6857       |  70+ 1 2 | 20 01.8 +33 32 |070.30 +01.59 | Compact HII region in Sh 2-100 (a)
PC 18          | 344- 8 1 | 17 41.1 -47 03 |344.00 -08.66 | AE Ara, symbiotic or peculiar star (a)
Pe 2-1         | 266+ 1 1 | 09 04.2 -44 33 |266.30 +01.56 | No emission-line object detected (a)
Pe 2-2         | 266+ 2 2 | 09 09.1 -44 18 |266.70 +02.38 | No emission-line object detected (a)
Pe 2-3         | 266+ 2 1 | 09 10.3 -44 25 |266.93 +02.46 | M star (a)
Pe 2-9         | 334+ 0 1 | 16 25.0 -48 44 |334.90 +00.43 | H alpha emission star (a)
Pe 2-16        |  29- 2 1 | 18 54.2 -04 39 |029.10 -02.72 | Symbiotic star (a)
Pt 1           |*  4+ 3 1 | 17 41.6 -23 35 |004.10 +03.56 | Star (b)
Sa 1-1         |*284- 5 1 | 10 02.0 -61 57 |284.38 -05.35 | Star (b)
Sa 3-5         |*233- 0 1 | 07 28.3 -17 57 |233.03 -00.29 | Star ? (a)
Sa 3-14        |*292- 3 1 | 11 10.5 -63 43 |292.04 -03.00 | No emission-line object detected (a- b)
