PK,f_PK,Name,RAh,RAm,DE-,DEd,DEm,List,Disc,Note,ImFile,Page
240-07.1,--,M 3-2,7,12.8,-,27,45,--,Minkowski 1948,--,--,--
240-19.1,*,KLSS 1-9,6,22.8,-,33,3,S5,Kerber etal. 1994,*,bb061-065,5
241+02.1,--,M 3-4,7,53.1,-,23,30,--,Minkowski 1948,--,--,--
241+00.1,M,ESO-493-13,7,46.0,-,25,6,S2,M S4 (Holmberg etal. 1978),--,--,--
241-07.1,M,M 4-1,7,14.4,-,29,12,--,M S3 (Minkowski 1948),*,--,--
242-03.1,M,ESO-429-04,7,33.5,-,28,2,S2,M S3 (Holmberg etal. 1978),--,--,--
242-11.1,--,M 3-1,7,0.9,-,31,31,--,Minkowski 1948,--,--,--
243-01.1,--,NGC 2452,7,45.4,-,27,13,--,J. Herschel 1837,*,--,--
243-25.1,*,K 2-12,6,0.4,-,37,25,S1,Kohoutek 1971,--,bb061-065,5
243-37.1,--,PaRu 2-1,5,1.4,-,39,50,S4,Pena etal. 1990,--,bb066-070,1
244+12.1,--,A 29,8,38.1,-,20,44,--,Abell 1955,--,--,--
245+01.1,--,M 3-5,8,0.4,-,27,33,--,Minkowski 1948,--,--,--
245-03.1,M,ESO-429-17,7,42.9,-,30,11,S2,M S3 (Holmberg etal. 1978),--,--,--
246+02.1,*,Sa 3-6,8,6.5,-,27,32,S1,Sanduleak 1976,*,bb066-070,1
247-04.1,*,FEGU 248-5,7,40.5,-,32,41,S3,Fesen etal. 1983,--,bb066-070,1
247-10.1,*,Sa 3-4,7,16.4,-,34,49,S1,Sanduleak 1976,*,bb066-070,1
247-21.1,M,K 2-13,6,23.8,-,39,50,S1,M S3 (Kohoutek 1971),--,--,--
248+29.1,--,A 34,9,43.2,-,12,56,--,Abell 1955,--,--,--
248+08.1,M,He 2-10,8,34.1,-,26,14,--,M S2 (Henize 1964),--,--,--
248-08.1,--,M 4-2,7,27.1,-,35,39,--,Minkowski 1948,--,--,--
248-12.1,M,ESO-367-03,7,8.6,-,37,14,S2,M S3 (Holmberg etal. 1978),--,--,--
249+06.1,*,AS 201,8,29.6,-,27,35,S4,Kohoutek 1987,*,bb066-070,1
249-05.1,--,A 23,7,41.4,-,34,38,--,Abell 1964,*,bb066-070,1
249-22.1,M,ESO-308-08,6,24.4,-,41,10,S2,M S3 (Holmberg etal. 1978),--,--,--
250+00.1,--,A 26,8,7.1,-,32,32,--,Abell 1964,--,--,--
251+00.1,--,CSST 2,8,11.4,-,32,52,S5,Cappellaro etal. 1991,*,bb066-070,2
251-01.1,--,K 1-21,8,2.3,-,34,7,S1,Kohoutek 1971,--,bb066-070,2
251-03.1,--,CSST 1,7,55.3,-,35,59,S5,Cappellaro etal. 1991,--,bb066-070,2
251-04.1,M,ESO-369-01,7,50.5,-,36,19,S2,M S3 (Holmberg etal. 1978),--,--,--
252+04.1,--,K 1-1,8,29.9,-,31,56,--,Kohoutek 1962,--,--,--
252-04.1,*,Sa 2-18,7,51.1,-,36,36,S1,Sanduleak 1975,--,bb066-070,2
253+10.1,--,K 1-2,8,55.6,-,28,46,--,Kohoutek 1962,*,--,--
253+00.1,*,MmWe 2-1,8,19.0,-,35,7,S4,"Melmer, Weinberger 1990",*,bb066-070,2
254+05.1,--,M 3-6,8,38.6,-,32,12,--,Minkowski 1948,--,--,--
254+00.1,M,NS 238,8,19.0,-,36,3,S1,M S6 (Nordstroem 1975),--,--,--
254-06.1,M,ESO-311-18,7,52.2,-,39,42,S2,M S4 (Holmberg etal. 1978),--,--,--
255+03.1,--,Sa 2-28,8,34.3,-,35,5,S1,Sanduleak 1975,*,bb066-070,2
255-03.1,*,IRAS08046-3844,8,4.7,-,38,45,S6,Garcia-Lario 1996,--,bb066-070,3
255-59.1,--,Lo 1,2,55.2,-,44,22,S1,Longmore 1977,*,bb066-070,3
256+03.1,*,Sa 2-30,8,39.2,-,35,52,S1,Sanduleak 1975,*,bb066-070,3
257+00.1,--,VBRC 1,8,29.0,-,38,8,S1,van den Bergh etal. 1973,*,bb066-070,3
257-00.1,*,IRAS08252-3852,8,25.3,-,38,52,S6,Condon etal. 1999,--,bb066-070,3
257-02.1,--,Vo 2,8,14.4,-,39,43,S5,Volk 1988,*,bb066-070,3
257-05.1,--,KLSS 1-10,8,3.9,-,41,48,S5,Kerber etal. 1994,*,bb066-070,4
258-00.1,--,He 2-9,8,26.6,-,39,14,--,Henize 1964,--,--,--
258-15.1,--,SKWL 3-2,7,13.4,-,46,52,S1,"Stock, Wroblewski 1972",*,bb066-070,4
259+00.1,--,He 2-11,8,35.3,-,39,15,--,Henize 1964,--,--,--
259-07.1,M,Y-C 3,7,57.9,-,44,36,S1,"M S6 (Cesco, Gibson 1973)",--,--,--
259-09.1,*,Y-C 2,7,51.2,-,45,4,S1,"Cesco, Gibson 1973",--,bb066-070,4
259-09.2,M,Y-C 1,7,50.9,-,45,43,S1,"M S6 (Cesco, Gibson 1973)",--,--,--
260+00.1,--,Vo 3,8,40.4,-,40,33,S5,Volk 1988,*,bb066-070,4
260+00.2,--,PN 0835-4027,8,35.6,-,40,28,S6,Van de Steene etal. 1996b,*,bb066-070,4
260-03.1,M,WRA 16-20,8,22.0,-,43,3,S5,M S6 (Wray 1966),--,--,--
261+32.1,--,NGC 3242,10,22.4,-,18,23,--,W. Herschel 1785,*,bb066-070,4
261+08.1,--,NGC 2818,9,14.0,-,36,25,--,J. Herschel 1838,*,--,--
261+02.1,--,He 2-15,8,51.6,-,39,52,--,Henize 1964,--,--,--
261-04.1,*,Sa 2-25,8,19.4,-,44,14,S1,Sanduleak 1975,*,bb066-070,5
262-04.1,*,ESO-259-06,8,22.3,-,45,21,S2,Holmberg etal. 1978,*,bb066-070,5
263+00.1,*,K 2-15,8,46.9,-,42,43,S1,Kohoutek 1971,*,bb066-070,5
263-05.1,--,PB 2,8,19.1,-,46,13,--,"Peimbert, Batiz 1960",--,--,--
263-08.1,*,ESO-209-15,8,3.7,-,48,15,S2,Holmberg etal. 1978,*,bb066-070,5
264-03.1,*,WRA 17-20,8,32.8,-,46,15,S5,Wray 1966,--,bb066-070,5
264-08.1,--,He 2-7,8,10.0,-,48,34,--,Henize 1964,--,--,--
264-12.1,--,He 2-5,7,46.0,-,51,8,--,Henize 1964,--,--,--
265+05.1,M,ESO-314-12,9,17.2,-,40,58,S2,M S3 (Holmberg etal. 1978),--,--,--
265+04.1,--,NGC 2792,9,10.6,-,42,13,--,J. Herschel 1835,--,--,--
265-02.1,--,Ve 26,8,41.8,-,45,56,--,Velghe 1957,*,bb066-070,5
265-04.1,--,ESO-259-10,8,32.5,-,47,6,S2,Holmberg etal. 1978,*,bb071-075,1
266+02.1,M,Pe 2-3,9,8.5,-,44,12,--,M S3 (Perek 1960),*,--,--
266+02.2,M,Pe 2-2,9,7.2,-,44,5,--,M S4 (Perek 1960),--,--,--
266+01.1,M,Pe 2-1,9,2.4,-,44,21,--,M S4 (Perek 1960),--,--,--
266+00.1,M,Ve 22,8,57.5,-,45,24,--,M S4 (Velghe 1957),--,--,--
266-00.1,M,He 2-17,8,54.9,-,46,13,--,M CGPN (Henize 1964),--,--,--
266-01.1,M,Ve 27,8,50.3,-,46,6,--,M S4 (Velghe 1957),--,--,--
267-03.1,*,Sa 3-7,8,41.9,-,48,44,S1,Sanduleak 1976,*,bb071-075,1
268+02.1,--,PB 5,9,14.3,-,45,16,--,"Peimbert, Batiz 1960",--,--,--
269-03.1,--,PB 3,8,52.7,-,50,21,--,"Peimbert, Batiz 1960",--,--,--
270+24.1,--,K 1-28,10,32.2,-,28,56,S1,Kohoutek 1977,--,bb071-075,1
270-02.1,--,PN 0857-5011,8,57.4,-,50,12,S6,Van de Steene etal. 1996b,*,bb071-075,1
271-08.1,M,Y-C 41,8,33.5,-,54,53,S3,M S6 (Cesco etal. 1984),--,--,--
272+12.1,--,NGC 3132,10,4.9,-,40,12,--,J. Herschel 1835,*,--,--
272-05.1,--,MmWe 1-1,8,52.2,-,53,54,S4,"Melmer, Weinberger 1990",*,bb071-075,1
273+06.1,*,HBDS 1,9,50.8,-,46,3,S3,"Heber, Drilling 1984",*,bb071-075,1
273-03.1,--,He 2-18,9,7.1,-,53,7,--,Henize 1964,--,--,--
274+09.1,--,Lo 4,10,3.7,-,44,7,S1,Longmore 1977,*,bb071-075,2
274+03.1,--,He 2-37,9,45.6,-,48,44,--,Henize 1964,--,--,--
274+02.1,*,He 2-34,9,39.4,-,49,9,--,Henize 1964,*,bb071-075,2
274+02.2,--,He 2-35,9,39.8,-,49,44,--,Henize 1964,--,--,--
274-00.1,M,ESO-212-08,9,29.7,-,51,54,S1,M S3 (Holmberg etal. 1977),--,--,--
275+72.1,*,K 2-4,12,15.8,+,11,20,--,Kohoutek 1963,*,--,--
275-01.1,--,Pe 2-4,9,29.2,-,52,57,--,Perek 1960,--,--,--
275-01.2,--,NeVe 3-1,9,32.3,-,52,59,S6,Kerber et al. 1998,--,bb071-075,2
275-02.1,--,He 2-28,9,20.5,-,53,57,--,Henize 1964,--,--,--
275-02.2,--,He 2-29,9,23.2,-,54,23,--,Henize 1964,--,--,--
275-03.1,--,He 2-25,9,16.5,-,54,27,--,Henize 1964,--,--,--
275-04.1,--,PB 4,9,13.6,-,54,40,--,"Peimbert, Batiz 1960",--,--,--
275-04.2,--,He 2-21,9,12.4,-,55,16,--,Henize 1964,--,--,--
276-18.1,M,ESO-089-05,7,50.1,-,64,8,S1,M S4 (Holmberg etal. 1977),--,--,--
277+03.1,*,MmWe 2-2,9,56.3,-,50,25,S4,"Melmer, Weinberger 1990",--,bb071-075,2
277-01.1,--,PN 0936-5413,9,36.2,-,54,14,S6,Van de Steene etal. 1996b,*,bb071-075,2
277-03.1,--,NGC 2899,9,25.5,-,55,53,--,Henize 1964,--,--,--
277-03.2,*,VBRC 2,9,29.8,-,56,4,S1,van den Bergh etal. 1973,*,bb071-075,2
277-07.1,M,ESO-126-01,9,11.3,-,58,38,S1,M S4 (Holmberg etal. 1977),--,--,--
278+05.1,--,PB 6,10,11.3,-,50,5,--,"Peimbert, Batiz 1960",--,--,--
278-04.1,--,He 2-32,9,29.4,-,57,24,--,Henize 1964,--,--,--
278-05.1,--,NGC 2867,9,20.0,-,58,6,--,J. Herschel 1834,*,--,--
278-06.1,--,He 2-26,9,18.1,-,58,59,--,Henize 1964,--,--,--
279-00.1,*,IRAS09517-5438,9,51.7,-,54,38,S6,Garcia-Lario 1996,--,bb071-075,3
279-03.1,--,He 2-36,9,41.8,-,57,3,--,Henize 1964,*,--,--
279-03.2,--,VBRC 3,9,39.3,-,56,44,S1,van den Bergh etal. 1973,*,bb071-075,3
280+02.1,--,SM 1,10,10.1,-,52,23,S1,Stenholm 1975,*,bb071-075,3
280+01.1,--,KLSS 1-12,10,8.7,-,53,41,S5,Kerber etal. 1994,*,bb071-075,3
280-02.1,*,He 2-38,9,53.1,-,57,5,--,Henize 1964,*,--,--
280-02.2,M,ESO-167-10,9,51.4,-,57,11,S1,M S6 (Holmberg etal. 1974),--,--,--
281-05.1,--,IC 2501,9,37.3,-,59,52,--,Fleming 1904,--,--,--
282+03.1,--,He 2-48,10,29.5,-,53,18,--,Henize 1964,--,--,--
282-00.1,*,IRAS10115-5640,10,11.5,-,56,41,S6,Van de Steene etal. 1996b,*,bb071-075,3
283+25.1,--,K 1-22,11,24.3,-,34,6,S1,Kohoutek 1971,*,bb071-075,3
283+12.1,M,ESO-264-53,10,55.0,-,45,54,S1,M S4 (Holmberg etal. 1977),--,--,--
283+09.1,*,ESO-215-04,10,52.5,-,48,31,S2,Holmberg etal. 1978,*,bb071-075,4
283+03.1,--,He 2-50,10,32.3,-,53,25,--,Henize 1964,--,--,--
283+02.1,--,My 60,10,29.6,-,55,5,--,M.W. Mayall 1951,--,--,--
283-01.1,--,Hf 4,10,13.8,-,58,36,--,Hoffleit 1953,--,--,--
283-01.2,--,MmWe 1-2,10,12.6,-,57,57,S4,"Melmer, Weinberger 1990",--,bb071-075,4
283-04.1,--,He 2-39,10,2.2,-,60,29,--,Henize 1964,--,--,--
284-05.1,*,SP 1-1,10,0.5,-,61,43,S1,Stephenson 1974,*,bb071-075,4
284-39.1,M,Lo 2,4,3.3,-,70,23,S1,M S3 (Longmore 1977),--,--,--
285+11.1,M,Y-C 7,11,6.9,-,47,47,S1,"M S6 (Cesco, Gibson 1973)",--,--,--
285+02.1,--,Pe 2-7,10,39.3,-,55,54,--,Perek 1960,--,--,--
285+01.1,--,He 2-52,10,36.5,-,56,31,--,Henize 1964,*,bb071-075,4
285+01.2,--,He 2-53,10,37.6,-,56,51,--,Henize 1964,--,--,--
285-01.1,--,Pe 2-5,10,26.7,-,58,48,--,Perek 1960,--,--,--
285-02.1,--,He 2-47,10,21.4,-,60,17,--,Henize 1964,--,--,--
285-02.2,*,He 3-401,10,17.8,-,59,58,S6,prob. Garcia-Lario etal. 1999,*,bb071-075,4
285-05.1,--,IC 2553,10,7.8,-,62,22,--,Fleming 1893,--,--,--
285-07.1,M,ESO-092-02,9,58.1,-,64,29,S1,M S4 (Holmberg etal. 1975),--,--,--
285-14.1,--,IC 2448,9,6.6,-,69,44,--,Fleming 1898,--,--,--
286+11.1,--,Lo 5,11,11.6,-,47,41,S1,Longmore 1977,--,bb071-075,4
286+10.1,M,Y-C 8,11,8.3,-,48,50,S1,"M S4 (Cesco, Gibson 1973)",--,--,--
286+02.1,--,He 2-55,10,46.7,-,55,47,--,Henize 1964,*,--,--
286-04.1,--,NGC 3211,10,16.2,-,62,25,--,J. Herschel 1837,--,--,--
286-06.1,--,He 2-41,10,5.9,-,63,40,--,Henize 1964,--,--,--
286-06.2,--,WRA 17-40,10,5.5,-,64,7,S5,Wray 1966,--,bb071-075,5
286-29.1,--,K 1-27,5,58.8,-,75,41,S1,Kohoutek 1977,*,bb071-075,5
287+10.1,M,Y-C 9,11,14.8,-,48,56,S1,"M S6 (Cesco, Gibson 1973)",--,--,--
288+08.1,*,ESO-216-02,11,15.9,-,51,54,S1,Holmberg etal. 1977,*,bb071-075,5
288+05.1,M,He 2-61,11,4.3,-,54,32,--,M S1 (Henize 1964),--,--,--
288+00.1,--,Hf 38,10,52.6,-,58,54,--,Hoffleit 1953,--,--,--
288+00.2,*,ESO-128-25,10,57.6,-,58,45,S1,Holmberg etal. 1975,*,bb071-075,5
288-00.1,*,Hf 39,10,52.0,-,60,11,--,Hoffleit 1953,*,bb071-075,5
288-02.1,--,Pe 1-3,10,42.6,-,61,24,--,Perek 1960,--,--,--
288-05.1,--,He 2-51,10,34.0,-,64,4,--,Henize 1964,--,--,--
289+10.1,*,Y-C 13,11,29.1,-,49,42,S1,"Cesco, Gibson 1973",--,bb071-075,5
289+07.1,--,He 2-63,11,21.7,-,52,35,--,Henize 1964,--,--,--
289-00.1,M,AG CAR,10,54.2,-,60,11,--,M S4 (Thackeray 1950),--,--,--
289-01.1,--,He 2-57,10,54.1,-,61,12,--,Henize 1964,--,--,--
289-11.1,M,Y-C 6,10,4.7,-,69,46,S1,"M S4 (Cesco, Gibson 1973)",--,--,--
290+27.1,*,MmWe 2-3,11,54.2,-,34,9,S4,"Melmer, Weinberger 1990",*,bb076-080,1
290+09.1,M,Y-C 12,11,27.6,-,50,59,S1,"M S4 (Cesco, Gibson 1973)",--,--,--
290+07.1,--,Fg 1,11,26.2,-,52,40,--,Fleming 1907,--,--,--
290-00.1,--,Hf 48,11,1.8,-,60,20,--,Hoffleit 1953,--,--,--
291+19.1,--,ESO-320-28,11,50.0,-,42,1,S2,Holmberg etal. 1978,*,bb076-080,1
291+03.1,--,He 2-64,11,25.1,-,57,1,--,Henize 1964,--,--,--
291-04.1,--,IC 2621,10,58.4,-,64,59,--,Fleming 1907,--,--,--
292+04.1,--,PB 8,11,30.9,-,56,50,--,"Peimbert, Batiz 1960",--,--,--
292+01.1,--,NGC 3699,11,25.7,-,59,41,--,Hoffleit 1953,--,--,--
292+01.2,--,He 2-67,11,26.5,-,59,50,--,Henize 1964,--,--,--
292+01.3,--,WRA 16-93,11,28.5,-,59,1,S5,Wray 1966,--,bb076-080,1
292-03.1,M,SP 2-14,11,8.4,-,63,27,S1,M S3 (Stephenson 1976),--,--,--
293+10.1,--,BLDZ 1,11,50.6,-,50,34,S1,Blaauw etal. 1975,--,bb076-080,1
293+01.1,--,He 2-70,11,32.9,-,60,0,--,Henize 1964,--,--,--
294+43.1,--,NGC 4361,12,21.9,-,18,30,--,J. Herschel 1868,*,--,--
294+14.1,--,Lo 6,11,58.2,-,47,16,S1,Longmore 1977,--,bb076-080,1
294+04.1,--,NGC 3918,11,47.8,-,56,54,--,J. Herschel 1834,--,--,--
294-00.1,--,He 2-72,11,39.2,-,62,12,--,Henize 1964,--,--,--
294-04.1,--,He 2-68,11,29.5,-,65,42,--,Henize 1964,--,--,--
295-09.1,--,He 2-62,11,15.8,-,70,33,--,Henize 1964,--,--,--
295-13.1,M,ESO-038-07,11,1.2,-,74,37,S1,M S4 (Holmberg etal. 1975),--,--,--
296-03.1,--,He 2-73,11,46.2,-,64,52,--,Henize 1964,--,--,--
296-06.1,--,He 2-71,11,36.9,-,68,36,--,Henize 1964,--,--,--
296-20.1,--,NGC 3195,10,10.0,-,80,37,--,J. Herschel 1835,--,--,--
297+03.1,--,He 2-78,12,6.5,-,58,26,--,Henize 1964,--,--,--
298+34.1,--,CTIO 1230-275,12,30.6,-,27,32,S2,Smith etal. 1976,--,bb076-080,1
298+06.1,--,WKK 171-090,12,15.9,-,55,37,S6,Kraan-Korteweg etal. 1996,--,bb076-080,2
298-00.1,M,He 2-77,12,6.4,-,62,59,--,M S6 (Henize 1964),--,--,--
298-01.1,*,He 2-79,12,12.6,-,63,23,--,Henize 1964,*,--,--
298-01.2,--,He 2-76,12,5.8,-,63,55,--,Henize 1964,--,--,--
298-04.1,--,NGC 4071,12,1.6,-,67,2,--,Henize 1964,--,--,--
299+18.1,--,K 1-23,12,28.2,-,43,58,S1,Kohoutek 1971,*,bb076-080,2
299+02.1,--,He 2-82,12,21.1,-,59,57,--,Henize 1964,--,--,--
299+00.1,*,BI Cru,12,20.7,-,62,22,S5,"Schwarz, Corradi 1992",--,bb076-080,2
299-00.1,M,He 2-80,12,19.7,-,63,1,--,M S4 (Henize 1964),*,--,--
299-01.1,--,He 2-81,12,20.2,-,63,45,--,Henize 1964,--,--,--
299-04.1,*,HtTr 1,12,13.8,-,66,29,S3,"Hartl, Tritton 1983",--,bb076-080,2
300+00.1,--,He 2-83,12,25.9,-,61,49,--,Henize 1964,--,--,--
300-00.1,--,He 2-84,12,25.9,-,63,28,--,Henize 1964,--,--,--
300-01.1,--,He 2-85,12,27.3,-,63,36,--,Henize 1964,--,--,--
300-02.1,--,He 2-86,12,27.6,-,64,36,--,Henize 1964,--,--,--
300-02.2,*,Sa 3-20,12,25.8,-,65,3,S1,Sanduleak 1976,*,bb076-080,2
300-03.1,--,ESO-095-12,12,27.5,-,65,58,S1,Holmberg etal. 1977,--,bb076-080,2
301-01.1,--,PN 1231-6401,12,31.7,-,64,2,S6,Van de Steene etal. 1996b,*,bb076-080,3
302+02.1,--,ESO-131-15,12,43.0,-,60,4,S1,Holmberg etal. 1975,*,bb076-080,3
302-00.1,M,He 2-87,12,42.9,-,62,44,--,M S4 (Henize 1964),*,--,--
302-00.2,--,VBRC 4,12,45.5,-,63,34,S1,van den Bergh etal. 1973,*,bb076-080,3
302-05.1,*,Y-C 14,12,40.3,-,67,56,S1,"Cesco, Gibson 1973",--,bb076-080,3
303+40.1,--,A 35,12,50.9,-,22,36,--,Abell 1955,*,--,--
304+05.1,--,He 2-88,13,2.8,-,57,23,--,Henize 1964,--,--,--
304+05.2,--,ESO-173-01,12,57.7,-,56,38,S1,Holmberg etal. 1975,*,bb076-080,3
304-04.1,--,IC 4191,13,5.5,-,67,23,--,Fleming 1907,--,--,--
305+03.1,*,SP 2-22,13,11.4,-,58,36,S1,Stephenson 1976,*,bb076-080,3
305+01.1,--,He 2-90,13,6.4,-,61,4,--,Henize 1964,--,--,--
305-00.1,M,He 2-91,13,6.9,-,62,55,--,M S4 (Henize 1964),--,--,--
305-03.1,--,Sa 2-91,13,16.1,-,65,53,S1,Sanduleak 1975,*,bb076-080,4
305-13.1,--,ESO-040-11,13,30.0,-,75,31,S1,Holmberg etal. 1977,--,bb076-080,4
306-00.1,--,Th 2-A,13,19.2,-,63,5,--,The 1962,--,--,--
307+05.1,--,Sa 2-93,13,21.2,-,57,16,S1,Sanduleak 1975,*,bb076-080,4
307-01.1,*,Th 2-B,13,25.3,-,63,34,--,The 1962,*,--,--
307-03.1,--,NGC 5189,13,30.0,-,65,43,--,Fleming 1901,*,--,--
307-03.2,--,WeKG 1,13,34.0,-,65,53,S6,Weinberger etal. 1997,--,bb076-080,4
307-04.1,--,MyCn 18,13,35.9,-,67,8,--,"M.W. Mayall, Cannon 1940",--,--,--
307-09.1,--,He 2-97,13,41.4,-,71,14,--,Henize 1964,--,--,--
308+07.1,--,MmWe 1-3,13,24.9,-,54,26,S4,"Melmer, Weinberger 1990",--,bb076-080,4
308+00.1,--,WeKG 2,13,35.3,-,61,41,S6,Weinberger etal. 1997,--,bb076-080,4
308-01.1,M,ESO-097-03,13,37.6,-,64,0,S1,M S3 (Holmberg etal. 1975),--,--,--
308-03.1,*,IRAS13427-6531,13,42.8,-,65,31,S6,Garcia-Lario etal. 1996,*,bb076-080,5
308-12.1,--,He 2-105,14,10.7,-,73,59,--,Henize 1964,--,--,--
309+06.1,M,SM 2,13,35.7,-,55,52,S1,M S3 (Stenholm 1975),--,--,--
309+01.1,--,VBRC 5,13,40.6,-,60,35,S1,van den Bergh etal. 1973,*,bb076-080,5
309+00.1,--,He 2-96,13,39.2,-,61,7,--,Henize 1964,--,--,--
309-02.1,*,MaC 1-2,13,50.8,-,64,45,S5,MacConnell 1978,--,bb076-080,5
309-04.1,--,He 2-99,13,48.8,-,66,9,--,Henize 1964,--,--,--
309-04.2,--,NGC 5315,13,50.2,-,66,16,--,Copeland 1883,--,--,--
310+24.1,--,Lo 8,13,22.8,-,37,21,S1,Longmore 1977,*,bb076-080,5
310+02.1,M,SM 3,13,50.0,-,58,43,S1,M S3 (Stenholm 1975),--,--,--
310+01.1,--,Vo 4,13,49.9,-,60,19,S5,Volk 1988,*,bb076-080,5
310+01.2,--,WeKG 3,13,50.9,-,60,13,S6,Weinberger etal. 1997,--,bb076-080,5
310-02.1,--,He 2-103,14,1.8,-,64,27,--,Henize 1964,--,--,--
310-05.1,--,LoTr 7,14,11.4,-,67,18,S2,"Longmore, Tritton 1980",--,bb081-085,1
311+03.1,*,He 2-101,13,51.5,-,58,13,--,Henize 1964,*,--,--
311+02.1,--,He 2-102,13,54.8,-,58,40,--,Henize 1964,--,--,--
311+02.2,--,SuWt 2,13,52.3,-,59,8,S1,"Schuster, West 1976",*,bb081-085,1
311-06.1,*,Sa 3-25,14,14.9,-,67,15,S1,Sanduleak 1976,*,bb081-085,1
312+25.1,M,LoTr 6,13,31.2,-,36,35,S2,"M S4 (Longmore, Tritton 1980)",--,--,--
312+10.1,--,NGC 5307,13,47.9,-,50,57,--,J. Herschel 1836,--,--,--
312-00.1,*,V 417 Cen,14,12.3,-,61,40,S5,van Winckel etal. 1994,--,bb081-085,1
312-01.1,--,He 2-107,14,14.9,-,62,53,--,Henize 1964,--,--,--
312-02.1,*,He 2-106,14,10.4,-,63,12,--,Henize 1964,*,--,--
313+02.1,--,BeVa 1,14,13.3,-,58,39,S6,"Beer, Vaughan 1999",*,bb081-085,1
313+01.1,*,PN 1412-5947,14,12.3,-,59,48,S6,Van de Steene etal. 1996b,*,bb081-085,1
313-12.1,--,LoTr 11,15,16.0,-,72,3,S2,"Longmore, Tritton 1980",--,bb081-085,2
313-21.1,M,ESO-023-08,16,54.2,-,78,23,S1,M S4 (Holmberg etal. 1975),--,--,--
314+10.1,*,MmWe 2-4,13,58.0,-,50,26,S4,"Melmer, Weinberger 1990",--,bb081-085,2
314+02.1,--,PN 1417-5824,14,17.7,-,58,25,S6,Van de Steene etal. 1996b,*,bb081-085,2
315+59.1,M,Y-C 43,13,14.3,-,2,48,S3,M S6 (Cesco etal. 1984),--,--,--
315+09.1,*,He 2-104,14,8.6,-,51,12,--,Henize 1964,*,--,--
315+08.1,--,MmWe 1-4,14,14.1,-,52,12,S4,"Melmer, Weinberger 1990",--,bb081-085,2
315+05.1,--,He 2-109,14,17.3,-,55,14,--,Henize 1964,--,--,--
315+05.2,--,LoTr 8,14,18.5,-,54,49,S2,"Longmore, Tritton 1980",--,bb081-085,2
315-00.1,--,He 2-111,14,29.5,-,60,37,--,Henize 1964,--,--,--
315-01.1,--,LoTr 9,14,37.4,-,61,7,S2,"Longmore, Tritton 1980",--,bb081-085,2
315-04.1,*,Sa 2-108,14,48.5,-,63,50,S1,Sanduleak 1975,*,bb081-085,3
315-13.1,--,He 2-131,15,31.9,-,71,45,--,Henize 1964,*,--,--
316+08.1,--,He 2-108,14,14.8,-,51,57,--,Henize 1964,--,--,--
316+00.1,*,PN 1434-5858,14,34.6,-,58,59,S6,Van de Steene etal. 1996b,*,bb081-085,3
316-01.1,--,LoTr 10,14,42.4,-,61,1,S2,"Longmore, Tritton 1980",--,bb081-085,3
317+19.1,M,SKWL 4-9,14,0.2,-,41,9,S1,"M S4 (Stock, Wroblewski 1972)",--,--,--
317+03.1,--,VBRC 6,14,38.0,-,56,2,S1,van den Bergh etal. 1973,*,bb081-085,3
317-05.1,--,He 2-119,15,6.4,-,64,29,--,Henize 1964,--,--,--
318+41.1,--,A 36,13,38.0,-,19,38,--,Abell 1955,*,--,--
318-02.1,--,He 2-114,15,0.2,-,60,42,--,Henize 1964,--,--,--
318-02.2,--,He 2-116,15,2.0,-,61,10,--,Henize 1964,--,--,--
318-02.3,*,Sa 2-111,15,1.6,-,60,37,S1,Sanduleak 1975,*,bb081-085,3
318-03.1,--,ESO-135-04,15,4.7,-,61,33,S1,Holmberg etal. 1974,*,bb081-085,3
319+15.1,--,IC 4406,14,19.3,-,43,55,--,Fleming 1901,--,--,--
319+06.1,--,He 2-112,14,37.0,-,52,22,--,Henize 1964,*,--,--
319-04.1,M,ESO-135-09,15,23.2,-,62,21,S1,M S5 (Holmberg etal. 1974),--,--,--
319-09.1,M,He 2-134,15,42.5,-,66,20,--,M S1 (Henize 1964),--,--,--
320+00.1,M,Sa 2-110,15,1.5,-,57,20,S1,M S5 (Sanduleak 1975),--,--,--
320-09.1,--,He 2-138,15,51.3,-,66,0,--,Henize 1964,*,--,--
320-28.1,--,He 2-434,19,27.6,-,74,39,--,Henize 1964,--,--,--
321+08.1,--,MmWe 1-5,14,43.1,-,50,11,S4,"Melmer, Weinberger 1990",--,bb081-085,4
321+03.1,M,He 2-113,14,56.2,-,54,6,--,M CGPN (Henize 1964),--,--,--
321+02.1,--,He 2-115,15,1.6,-,54,59,--,Henize 1964,--,--,--
321+02.2,--,He 2-117,15,2.2,-,55,48,--,Henize 1964,--,--,--
321+02.3,--,CoVi 1,15,5.7,-,55,22,S6,Corradi etal. 1997,*,bb081-085,4
321+01.1,--,He 2-120,15,8.2,-,55,29,--,Henize 1964,--,--,--
321-03.1,--,HtTr 2,15,26.2,-,60,51,S3,"Hartl, Tritton 1983",--,bb081-085,4
321-09.1,M,ESO-100-07,15,56.7,-,64,40,S1,M S4 (Holmberg etal. 1975),--,--,--
321-11.1,M,ESO-100-12,16,7.6,-,66,31,S1,M S5 (Holmberg etal. 1975),--,--,--
321-11.2,M,ESO-100-16,16,12.2,-,66,31,S1,M S5 (Holmberg etal. 1975),--,--,--
321-16.1,--,He 2-185,16,55.8,-,70,2,--,Henize 1964,--,--,--
