PK,f_PK,Name,RAh,RAm,DE-,DEd,DEm,List,Disc,Note,ImFile,Page
040-03.1,--,K 3-30,19,14.0,+,5,8,--,Kohoutek 1964,--,--,--
041+04.1,--,K 3-15,18,49.3,+,9,51,--,Kohoutek 1964,--,--,--
041+01.1,*,PN 1858+0821,18,58.7,+,8,21,S6,Van de Steene etal. 1996a,*,bb036-040,1
041-00.1,*,HtTr 14,19,6.8,+,7,1,S3,"Hartl, Tritton 1983",--,bb036-040,1
041-02.1,--,NGC 6781,19,16.0,+,6,27,--,J. Herschel 1830,--,--,--
042+05.1,--,K 3-14,18,46.2,+,10,32,--,Kohoutek 1964,--,--,--
042+01.1,M,K 4-11,19,1.2,+,8,40,--,M S4 (Kohoutek 1964),--,--,--
042-01.1,*,K 4-20,19,11.1,+,7,21,--,Kohoutek 1964,*,--,--
042-06.1,--,NGC 6807,19,32.1,+,5,34,--,Pickering 1882,--,--,--
042-14.1,--,NGC 6852,19,58.1,+,1,35,--,Kohoutek 1963,*,--,--
043+37.1,--,NGC 6210,16,42.4,+,23,53,--,F.G. Struve 1827,--,--,--
043+11.1,--,M 3-27,18,25.5,+,14,27,--,Minkowski 1948,--,--,--
043+03.1,--,M 1-65,18,54.2,+,10,48,--,Minkowski 1946,--,--,--
043+02.1,--,CTSS 1,18,59.9,+,10,13,S4,Cappellaro etal. 1990,--,bb036-040,2
043+01.1,M,K 4-13,19,1.8,+,10,6,--,M S3 (Kohoutek 1964),--,--,--
043-03.1,--,M 4-14,19,18.6,+,7,31,--,Minkowski 1948,--,--,--
043-13.1,--,A 67,19,55.9,+,2,55,--,Abell 1955,--,--,--
044+10.1,*,We 3-1,18,31.8,+,14,47,S2,Weinberger 1978,--,bb036-040,2
044+08.1,M,K 3-10,18,37.8,+,14,9,--,M S1 (Kohoutek 1964),--,--,--
044+05.1,--,K 3-16,18,50.7,+,12,12,--,Kohoutek 1964,--,--,--
044+05.2,--,CTSS 2,18,48.5,+,12,34,S4,Cappellaro etal. 1990,--,bb036-040,2
044+01.1,M,K 3-23,19,7.4,+,11,0,--,M S4 (Kohoutek 1964),--,--,--
044+00.1,--,AGPF 1,19,9.9,+,10,31,S6,"Ali, Pfleiderer 1997",--,bb036-040,2
044-00.1,--,AGPF 2,19,11.3,+,10,34,S6,"Ali, Pfleiderer 1997",--,bb036-040,2
044-05.1,--,K 3-36,19,30.2,+,7,21,--,Kohoutek 1964,--,--,--
044-09.1,--,A 64,19,43.1,+,5,27,--,Abell 1955,--,--,--
044-10.1,M,K 4-36,19,47.1,+,5,11,--,M S4 (Kohoutek 1964),--,--,--
045+24.1,--,K 1-14,17,40.5,+,21,28,--,Kohoutek 1963,*,--,--
045+01.1,*,K 3-22,19,7.1,+,11,56,--,Kohoutek 1964,--,--,--
045-00.1,M,K 4-21,19,12.1,+,10,46,--,M S1 (Kohoutek 1964),--,--,--
045-01.1,*,K 3-33,19,20.1,+,10,36,--,Kohoutek 1964,--,--,--
045-02.1,--,Vy 2-2,19,22.0,+,9,48,--,Vyssotsky 1945,--,--,--
045-04.1,--,NGC 6804,19,29.2,+,9,7,--,Pease 1917,*,--,--
046+03.1,--,Sh 2-78,19,0.9,+,14,2,S4,Cappellaro etal. 1990,*,bb036-040,2
046+02.1,--,CTSS 4,19,4.1,+,13,40,S4,Cappellaro etal. 1990,--,bb036-040,3
046-01.1,*,PN 1920+1122,19,20.5,+,11,22,S6,Van de Steene etal. 1996a,*,bb036-040,3
046-03.1,--,PB 9,19,25.4,+,10,18,--,"Peimbert, Batiz 1960",--,--,--
046-04.1,--,NGC 6803,19,28.9,+,9,57,--,Pickering 1882,*,--,--
047+42.1,--,A 39,16,25.5,+,28,1,--,Abell 1955,*,--,--
047+04.1,--,K 3-21,19,0.4,+,14,24,--,Kohoutek 1964,--,--,--
047+01.1,--,PN 1909+1326,19,9.3,+,13,26,S6,Van de Steene etal. 1996a,*,bb036-040,3
047-03.1,M,K 4-27,19,28.0,+,11,17,--,M S4 (Kohoutek 1964),*,--,--
047-04.1,--,A 62,19,30.9,+,10,31,--,Abell 1955,--,--,--
048+04.1,*,K 4-12,19,1.5,+,16,22,--,Kohoutek 1964,*,--,--
048+04.2,*,K 4-16,19,2.6,+,15,43,--,Kohoutek 1964,--,--,--
048+02.1,--,K 3-24,19,9.8,+,15,4,--,Kohoutek 1964,--,--,--
048+01.1,--,He 2-429,19,11.4,+,14,54,--,Henize 1964,--,--,--
048+01.2,--,K 3-29,19,13.2,+,13,59,--,Kohoutek 1964,--,--,--
048-00.1,M,K 4-24,19,18.9,+,14,1,--,M S1 (Kohoutek 1964),--,--,--
048-01.1,*,DeHt 4,19,24.1,+,13,14,S2,Dengel etal. 1980,--,bb036-040,3
048-02.1,--,PB 10,19,25.9,+,12,13,--,"Peimbert, Batiz 1960",*,--,--
049+88.1,--,H 4-1,12,57.1,+,27,54,--,Haro 1951,--,--,--
049+02.1,--,He 2-428,19,10.8,+,15,42,--,Henize 1964,--,--,--
049+02.2,*,PN 1911+1534,19,11.0,+,15,34,S6,Van de Steene etal. 1996a,*,bb036-040,3
049+00.1,M,K 4-23,19,16.3,+,14,54,--,M S4 (Kohoutek 1964),--,--,--
050+19.1,--,IRAS18062+2410,18,6.3,+,24,10,S6,Arkhipova et al. 1999,*,bb036-040,3
050+05.1,--,A 52,19,2.3,+,17,53,--,Abell 1955,--,--,--
050+03.1,M,M 1-67,19,9.3,+,16,47,--,M S1 (Merrill 1938),*,--,--
050-01.1,*,K 4-28,19,28.0,+,14,41,--,Kohoutek 1964,--,--,--
050-03.1,M,K 4-31,19,34.8,+,13,34,--,M S4 (Kohoutek 1964),*,--,--
050-36.1,M,A 76,21,27.5,-,3,1,--,M S1 (Abell 1955),--,--,--
051+25.1,--,K 1-15,17,43.0,+,27,21,--,Kohoutek 1963,--,--,--
051+09.1,--,Hu 2-1,18,47.6,+,20,47,--,Humason 1922,*,--,--
051+06.1,--,K 1-17,19,1.4,+,19,17,--,Kohoutek 1963,--,--,--
051+03.1,--,He 2-430,19,11.8,+,17,26,--,Henize 1964,--,--,--
051+02.1,--,IRAS19127+1717,19,12.8,+,17,17,S3,"Whitelock, Menzies 1986",*,bb036-040,4
051+01.1,*,IRAS19170+1706,19,17.1,+,17,6,S4,Turatto etal. 1990,--,bb036-040,4
051+00.1,--,KLW 1,19,23.4,+,16,27,S6,Kerber etal. 1996,--,bb036-040,4
051-03.1,--,M 1-73,19,38.9,+,14,50,--,Minkowski 1946,--,--,--
051-04.1,--,PC 22,19,39.7,+,13,44,--,Apriamashvili 1959,--,--,--
052+50.1,*,BD+33 2642,15,50.0,+,33,6,S5,Napiwotzki 1993,--,bb036-040,4
052+07.1,*,K 4-10,18,56.9,+,20,33,--,Kohoutek 1964,--,--,--
052+02.1,--,K 3-31,19,16.8,+,18,57,--,Kohoutek 1964,--,--,--
052-02.1,--,K 3-41,19,37.0,+,16,14,--,Kohoutek 1964,--,--,--
052-02.2,--,Me 1-1,19,36.9,+,15,50,--,Merrill 1942,--,--,--
052-04.1,--,M 1-74,19,40.0,+,15,2,--,Minkowski 1946,--,--,--
053+24.1,--,Vy 1-2,17,52.4,+,28,0,--,Vyssotsky 1942,--,--,--
053+03.1,--,A 59,19,16.5,+,19,29,--,Abell 1955,--,--,--
053+01.1,*,KLSS 1-1,19,20.7,+,18,36,S5,Kerber etal. 1994,*,bb036-040,4
053-01.1,--,K 3-38,19,33.1,+,17,6,--,Kohoutek 1964,--,--,--
053-02.1,--,WiOl 1,19,35.2,+,16,47,S6,Winkler et al. 1993,*,bb036-040,4
053-03.1,--,A 63,19,39.9,+,16,58,--,Abell 1955,*,--,--
054-02.1,--,M 1-72,19,39.3,+,17,38,--,Minkowski 1946,--,--,--
054-03.1,M,K 4-34,19,44.2,+,16,54,--,M S4 (Kohoutek 1964),--,--,--
054-12.1,--,NGC 6891,20,12.8,+,12,33,--,Copeland 1884,*,--,--
055+16.1,--,A 46,18,29.3,+,26,54,--,Abell 1955,*,--,--
055+06.1,--,A 54,19,6.5,+,22,54,--,Abell 1955,--,--,--
055+02.1,--,He 2-432,19,21.3,+,21,2,--,Henize 1964,--,--,--
055+02.2,--,He 1-1,19,21.6,+,21,1,--,Henize 1961,--,--,--
055+02.3,--,He 1-2,19,24.5,+,21,3,--,Henize 1961,--,--,--
055+01.1,--,KLSS 1-2,19,24.5,+,20,23,S5,Kerber etal. 1994,*,bb036-040,5
055-00.1,--,M 1-71,19,34.3,+,19,36,--,Minkowski 1946,--,--,--
055-01.1,--,K 3-43,19,38.2,+,18,42,--,Kohoutek 1964,--,--,--
055-01.2,M,K 3-44,19,38.7,+,18,38,--,M S4 (Kohoutek 1964),*,--,--
