Group,Name,HubCode,HubBar,MB,MWay,V0
11 -0 +1,N 4037,5,BP,-18.78,--,844.0
11 -0 +1,N 4293,0,B,-20.04,--,824.0
11 -0 +1,N 4561,8,B,-17.76,--,1430.0
11 -0 +1,N 4580,4,X,-19.44,--,1187.0
11 -0 +1,N 4635,7,A,-18.66,--,944.0
11 -0 +1,N 4758,3,BP,-18.15,--,1196.0
11 -0 +1,N 4845,1,A,-19.56,--,1124.0
11 -0 +1,N 4866,-2,A,-19.06,--,1912.0
11 -0 +1,N 4880,-2,A,-18.68,--,1499.0
11 -0 +1,U 7239,10,--,-18.18,--,1126.0
11 -0 +1,U 7332,10,--,-17.33,--,805.0
11 -0 +1,U 7477,13,P,-17.59,--,657.0
11 -0 +1,U 8011,10,--,--,--,747.0
11 -0 +1,U 8036,5,B,-19.21,--,893.0
11 -0 +1,U 8285,9,--,-17.01,--,825.0
11 -0 +1,U 8385,9,X,-18.0,--,1079.0
11-10+10,1242-08,10,--,--,--,1225.0
11-10,1246-09,9,B,-19.93,--,1164.0
11-10,1252-10,10,--,--,--,1171.0
11-10,1255-09,5,--,--,--,1341.0
11-10,N 4699,3,X,-21.74,--,1358.0
11-10,N 4700,7,B,-20.3,--,1248.0
11-10,N 4742,-5,--,-19.81,--,1168.0
11-10,N 4781,7,B,-20.56,--,1113.0
11-10,N 4790,5,B,-19.57,--,1204.0
11-11+10,1241-05,9,--,-19.33,--,1287.0
11-11+10,1243-05,10,--,--,--,1337.0
11-11+10,1246-04,10,--,--,--,1206.0
11-11+10,1250-04,10,--,--,--,1278.0
11-11+10,1250-06,10,--,--,--,1398.0
11-11+10,N 4697,-5,--,-21.67,--,1169.0
11-11+10,N 4731,6,B,-21.17,--,1358.0
11-11+10,N 4775,7,A,-20.32,--,1426.0
11-12+10,1302-073,9,B,--,--,988.0
11-12+10,N 4951,6,X,-20.13,--,1048.0
11-12+10,N 4958,-2,B,-20.3,--,984.0
11-13+10,1256-11,10,--,--,--,1153.0
11-13+10,1257-12,10,B,--,--,1428.0
11-14+10,1233-07,9,--,--,--,838.0
11-14+10,1251-11,10,--,--,--,667.0
11-14+10,N 4487,6,X,-20.19,--,878.0
11-14+10,N 4504,6,A,-19.94,--,847.0
11-14+10,N 4594,1,AP,-22.98,--,962.0
11-15+10,1258-15,10,--,--,--,1220.0
11-15+10,N 4856,0,B,-20.27,--,1087.0
11+16+10,1230-04,8,--,--,--,1151.0
11+16+10,N 4546,-2,B,-20.32,--,882.0
11-17+10,1302-075,7,B,-18.26,--,1417.0
11-17+10,1309-06,8,B,--,--,1359.0
11-17+10,N 4942,6,A,--,--,1617.0
11-17+10,N 4981,4,X,-20.42,--,1549.0
11-17+10,N 4995,3,X,-20.51,--,1577.0
11 -0+10,1254-03,10,--,--,--,1411.0
11 -0+10,1301-03,9,--,--,--,1249.0
11 -0+10,1303-17,10,--,--,--,1296.0
11 -0+10,1307-10,5,--,--,--,1073.0
11 -0+10,1316-08,10,--,-18.01,--,1183.0
11 -0+10,1335-09,9,--,-19.13,--,1184.0
11 -0+10,N 4597,9,B,-19.15,--,904.0
11 -0+10,N 4684,-2,B,-19.59,--,1461.0
11 -0+10,N 4691,3,BP,-20.12,--,989.0
