11 -1 +1    1216+14    13 P             -314.   
11-24       N 4260      1B    -20.29    1734.
11-24       N 4261     -5     -21.41    2089.
11-24       N 4270     -2     -19.63    2233.
11-24       N 4273      5B    -20.58    2234.
11-24       N 4281     -2     -20.52    2488.
11-24       N 4324     -2A    -20.13    1582.
11-24       N 4378      1A    -20.53    2447.
11+24       N 3976      5X    -20.98    2381.
11+24       N 4234     10     -19.12    1952.
11+24       N 4412      4BP   -19.75    2185.
11-25+24    1221+00    10               1928.
11-25+24    N 4385      1B    -19.78    2011.
11+26+24    1229-02    13 P             2100.
11+26+24    N 4348      3     -20.74    2055.
11+26+24    N 4454      1B    -19.87    2220.
11-27+27    1247-10     8               2251.
11-27       1249-09     6               2108.
11-27       N 4658      5B    -20.86    2250.
11-28+28    1334-11     7X              2349.
11-28       N 5254      5A              2194.
11-29+29    N 4593      3B    -21.58    2560.
11-29       N 4602      4X    -21.39    2417.
11-30+30    N 4891      3 P             2389.
11-30       N 4899      5X    -20.82    2497.
11-30       N 4902      3B    -21.14    2563.
11-31+31    1310-15     8A              2348.
11-31       N 5017     -5     -19.83    2384.
11-31       N 5044     -5     -21.01    2548.
11-31       N 5049     -2     -19.49    2588.
11-32+32    N 5161      6X    -21.12    2196.
11-32       N 5188      1BP   -20.49    2169.
11+32       1310-32     8B              2178.
11-33+33    1305-22     9               2434.
11-33       1306-24    10               2687.
11-33       1307-23    10 P             2783.
11-33       1308-23     5B              2672.
11-34+34    N 4428      5X    -20.78    2874.
11-34       N 4433      4X    -20.81    2755.
11-35+35    1355-29     3A    -21.46    2496.
11-35       1358-30     7X              2428.
11-35       N 5464     10B    -20.07    2528.
11+36+36    U 8084      8B    -18.70    2670.
11+36       U 8153      6     -19.23    2779.
11+36       U 8263      5B    -18.94    2949.
11 -0       1258-04    10               2855.
11 -0       1309-11     6B              1963.
11 -0       1402-24     6B              2191.
11 -0       1427-34     7B    -20.15    2858.
11 -0       N 4653      6X    -20.19    2506.
11 -0       N 4939      4A    -22.43    2973.
11 -0       N 4947      3B    -20.71    2194.
