RCW,GLON,GLAT,RAh,RAm,DE-,DEd,DEm,MajAxis,MinAxis,Br,IDs,Rem
97,327.1,-0.5,15,47.7,-,54,36,6,5,m,BBW29401,--
98,327.6,-0.8,15,51.5,-,54,30,6,5,b,BBW29501; G49,R
99,328.7,-0.5,15,58.8,-,53,35,4,2,b,G50,--
100,329.1,2.0,15,47.7,-,51,22,1,1,m,--,R
101,331.7,-1.0,16,12.6,-,51,54,2,2,b,--,R
102,331.9,-1.0,16,14.0,-,51,48,12,8,b,BBW29902,--
103,332.4,-0.4,16,13.3,-,51,0,5,3,b,--,--
104,332.9,-1.4,16,20.2,-,51,24,20,20,m,--,--
105,332.9,1.8,16,6.3,-,49,0,45,35,b,BBW30000; G51,--
106,332.9,-0.6,16,17.0,-,50,48,35,20,m,--,R
107,336.4,-0.2,16,29.8,-,48,3,8,4,b,"NGC6164,5; G52",R
