notRadio,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,n_RAh,F6cm,r_F6cm,F11cm,r_F11cm,l_z,z,Sp,n_Vmag,Vmag,B-V,U-B,Mabs,FC,r_Vmag,r_z,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s
*,NGC 3642,11,22,17.8,--,59,4,28,O,--,--,--,--,--,0.005,S3b,--,14.04,0.82,--,-17.5,1716,1211,912,11,19,25.0,--,59,20,55
*,Q 1119+4750B,11,22,20.1,--,47,33,59,--,--,--,--,--,--,0.077,--,R,18.88,--,--,-18.9,1795,--,1795,11,19,33.9,--,47,50,26
*,SDSS J11224-0031,11,22,29.7,-,0,31,46,O,--,1,--,--,--,0.147,S1,--,18.71,--,--,-21.1,--,--,1,11,19,56.0,-,0,15,18
*,SDSS J11225+6740,11,22,33.6,--,67,40,0,O,--,1,--,--,--,0.132,S1,--,19.48,--,--,-20.1,--,--,1,11,19,32.2,--,67,56,27
*,2QZ J112237-0049,11,22,37.9,-,0,49,23,O,--,--,--,--,--,0.673,S1,*,20.43,--,-0.56,-22.7,--,487,487,11,20,4.3,-,0,32,55
*,SDSS J11226+0015,11,22,41.2,--,0,15,48,O,--,2,--,--,--,0.098,S1,--,17.81,--,--,-21.1,--,--,2,11,20,7.4,--,0,32,16
*,QUEST J1122+0030,11,22,50.0,--,0,30,31,O,--,--,--,--,--,0.209,S1,--,17.9,--,--,-22.7,--,--,1694,11,20,16.1,--,0,46,59
*,UGC  6393,11,22,53.6,--,34,20,26,O,--,--,--,--,--,0.034,S2,--,15.0,--,--,-21.6,--,--,2055,11,20,12.2,--,34,36,54
*,Q 1120+4640,11,23,0.9,--,46,23,37,--,--,--,--,--,--,0.418,--,R,20.76,--,--,-20.8,1795,--,1795,11,20,15.4,--,46,40,5
*,SDSS J11233+0059,11,23,20.7,--,0,59,12,O,--,2,--,--,--,0.227,S1,--,19.89,--,--,-20.9,--,--,2,11,20,46.7,--,1,15,40
*,Q 1120+4641,11,23,23.0,--,46,25,30,--,--,--,--,--,--,0.069,--,R,18.24,--,--,-19.3,1795,--,1795,11,20,37.6,--,46,41,58
*,Q 1120+4636,11,23,23.6,--,46,19,54,--,--,--,--,--,--,0.234,--,R,21.24,--,--,-19.0,1795,--,1795,11,20,38.2,--,46,36,22
*,SDSS J11234+0056,11,23,27.6,--,0,56,9,O,--,2,--,--,--,0.098,S1,--,19.9,--,--,-19.0,--,--,2,11,20,53.6,--,1,12,37
--,NGC 3660,11,23,32.2,-,8,39,30,O,0.011,1102,--,--,--,0.011,S2,--,14.45,0.89,0.28,-18.8,747,833,1102,11,21,0.1,-,8,23,1
*,2QZ J112333-0042,11,23,33.5,-,0,42,36,O,--,--,--,--,--,0.069,S1,*,20.48,--,-0.84,-17.6,--,487,487,11,20,59.8,-,0,26,8
*,SDSS J11235-0113,11,23,35.3,-,1,13,36,O,--,2,--,--,--,0.048,S1,--,19.08,--,--,-18.2,--,--,2,11,21,1.7,-,0,57,8
*,SDSS J11236+0058,11,23,37.2,--,0,58,53,O,--,2,--,--,--,0.024,S1,--,19.86,--,--,-15.9,--,--,2,11,21,3.2,--,1,15,22
*,2QZ J112345-0104,11,23,45.6,-,1,4,58,O,--,--,--,--,--,0.629,S1,*,20.47,--,-0.68,-22.5,--,487,487,11,21,12.0,-,0,48,29
*,SDSS J11238+6716,11,23,51.9,--,67,16,3,O,--,1,--,--,--,0.237,S1,--,20.0,--,--,-20.8,--,--,1,11,20,51.9,--,67,32,31
