notRadio,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,n_RAh,F6cm,r_F6cm,F11cm,r_F11cm,l_z,z,Sp,n_Vmag,Vmag,B-V,U-B,Mabs,FC,r_Vmag,r_z,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s
*,Q J00498-2849,0,49,50.7,-,28,49,8,O,--,--,--,--,--,--,BL,*,19.7,--,-0.53,--,--,1209,1209,0,47,24.7,-,29,5,28
--,PKS 0048-09,0,50,41.2,-,9,29,6,O,1.92,2157,1.44,2157,--,--,HP,--,17.44,0.37,-0.66,--,933,8,1622,0,48,9.9,-,9,45,25
--,NPM1G-09.0033,0,56,20.0,-,9,36,32,O,0.145,787,--,--,--,0.101,--,--,16.7,--,--,-22.2,157,--,1403,0,53,49.0,-,9,52,45
--,1WGA J0057.3-2212,0,57,18.8,-,22,12,34,--,0.07,787,--,--,--,--,BL,R,20.6,--,--,--,--,--,1549,0,54,51.7,-,22,28,46
--,RXS J00582+1723,0,58,16.8,--,17,23,14,O,--,157,--,--,--,--,BL,--,19.8,--,--,--,157,--,1440,0,55,37.9,--,17,7,3
--,PKS 0056-525,0,58,56.0,-,52,19,25,R,0.26,2316,0.26,2316,--,--,BL,--,23.6,--,--,--,983,--,927,0,56,43.9,-,52,35,36
--,FIRST J01009-0055,1,0,58.1,-,0,55,48,R,--,165,--,--,>,1.236,BL,--,19.75,--,--,-25.0,--,--,165,0,58,24.7,-,1,11,56
*,2QZ J010103-2930,1,1,3.5,-,29,30,44,O,--,--,--,--,--,0.0,BL?,*,20.68,--,-0.61,--,--,489,489,0,58,39.6,-,29,46,52
--,87GB 01006+4306,1,3,28.1,--,43,22,59,R,0.041,778,--,--,--,--,BL,--,--,--,--,--,--,--,1305,1,0,37.5,--,43,6,54
--,Q J0109+181,1,9,8.1,--,18,16,7,O,0.069,778,--,--,--,0.145,BL,--,16.2,--,--,-23.5,115,--,157,1,6,28.0,--,18,0,9
--,NPM1G+41.0022,1,10,4.8,--,41,49,50,O,0.04,778,--,--,--,0.096,BL,--,17.6,--,--,-21.2,--,--,1168,1,7,13.5,--,41,33,53
--,RXS J01108-1254,1,10,49.9,-,12,55,2,O,--,157,--,--,--,0.234,BL,--,17.9,--,--,-22.9,157,--,675,1,8,20.8,-,13,10,58
*,2QZ J011119-3139,1,11,19.8,-,31,39,17,O,--,--,--,--,--,0.0,BL?,*,19.94,--,-0.66,--,--,489,489,1,8,58.5,-,31,55,13
--,RXS J01115+0536,1,11,30.1,--,5,36,28,--,--,157,--,--,--,0.346,BL,--,19.9,--,--,-21.8,157,--,1440,1,8,54.4,--,5,20,33
--,S2 0109+22,1,12,5.8,--,22,44,39,O,0.78,1529,0.38,1506,--,--,HP,--,15.66,0.34,-0.63,--,1502,1607,643,1,9,23.6,--,22,28,44
*,2QZ J011232-3119,1,12,32.5,-,31,19,51,O,--,--,--,--,--,0.0,BL?,*,20.47,--,-0.43,--,--,489,489,1,10,11.3,-,31,35,45
*,RXS J01125-3201,1,12,32.6,-,32,1,44,--,--,--,--,--,--,--,BL,--,21.1,--,--,--,--,--,1581,1,10,11.7,-,32,17,38
*,2QZ J011332-2956,1,13,32.1,-,29,56,27,O,--,--,--,--,--,0.0,BL?,*,19.11,--,-0.36,--,--,489,489,1,11,10.3,-,30,12,20
--,PKS 0111+021,1,13,43.2,--,2,22,17,O,0.608,778,--,--,--,0.047,--,--,16.0,--,--,-21.3,--,--,1885,1,11,8.6,--,2,6,25
--,RXS J01157+2519,1,15,46.5,--,25,19,57,O,0.032,778,--,--,--,--,BL,--,19.0,--,--,--,157,--,1440,1,13,2.7,--,25,4,7
--,UGC   842,1,18,53.6,-,1,0,8,O,--,278,--,--,--,0.045,BL,--,14.1,--,--,-23.1,--,--,278,1,16,20.3,-,1,15,53
--,PKS 0118-272,1,20,31.6,-,27,1,24,O,0.78,1547,0.96,234,>,0.557,HP,--,15.56,0.37,-0.67,-26.8,234,8,1945,1,18,9.5,-,27,17,7
--,1ES 0120+340,1,23,8.7,--,34,20,51,O,0.034,776,--,--,--,0.272,BL,--,18.46,--,--,-22.7,1548,1539,1548,1,20,19.1,--,34,5,12
--,RXS J01236-2311,1,23,38.3,-,23,10,59,--,--,157,--,--,--,0.404,BL?,--,19.0,--,--,-23.0,157,--,157,1,21,14.7,-,23,26,37
--,RXS J01236+4210,1,23,40.5,--,42,10,7,O,--,157,--,--,--,0.186,BL,--,19.3,--,--,-21.0,157,--,157,1,20,45.6,--,41,54,29
--,1WGA J0124.4+3249,1,24,30.5,--,32,49,48,--,--,333,--,--,--,--,BL,--,19.9,--,--,--,--,--,333,1,21,41.5,--,32,34,11
--,MS 01221+0903,1,24,44.5,--,9,18,49,O,0.001,1959,--,--,--,0.338,BL,--,19.98,--,--,-21.7,1876,--,1625,1,22,6.9,--,9,3,13
*,2QZ J012526-3213,1,25,26.3,-,32,13,55,O,--,--,--,--,--,0.0,BL?,*,20.78,--,-1.13,--,--,489,489,1,23,7.8,-,32,29,30
--,RXS J01269+3307,1,26,57.0,--,33,7,27,--,--,333,--,--,--,--,BL,--,17.7,--,--,--,157,--,333,1,24,7.4,--,32,51,54
--,PKS 0127-81,1,27,10.3,-,81,8,20,O,0.33,777,0.45,1834,--,--,?,--,17.28,0.11,-0.62,--,47,8,2237,1,27,18.1,-,81,23,51
--,FIRST J01271-0151,1,27,11.1,-,1,51,53,R,--,165,--,--,--,0.0,BL,--,19.31,--,--,--,--,--,165,1,24,38.2,-,2,7,26
--,FIRST J01272-0821,1,27,16.3,-,8,21,29,R,0.137,788,--,--,--,0.0,BL,--,17.07,--,--,--,--,--,165,1,24,46.2,-,8,37,1
*,2QZ J013603-3124,1,36,3.7,-,31,24,37,O,--,--,--,--,--,0.0,BL?,*,20.04,--,-0.61,--,--,489,489,1,33,46.4,-,31,39,55
--,B3 0133+388,1,36,32.6,--,39,6,0,O,0.049,778,--,--,--,--,BL,--,15.8,--,--,--,115,--,2206,1,33,37.1,--,38,50,43
*,2QZ J013848-2815,1,38,49.0,-,28,15,18,O,--,--,--,--,--,0.0,BL?,*,19.27,--,-0.37,--,--,489,489,1,36,30.2,-,28,30,31
--,RXS J01406-0758,1,40,40.9,-,7,58,49,--,--,157,--,--,--,--,BL?,--,19.3,--,--,--,157,--,157,1,38,11.1,-,8,13,58
--,PKS 0139-09,1,41,25.8,-,9,28,43,O,1.19,2157,0.71,2157,--,--,HP,--,16.55,0.39,-0.54,--,1356,1347,927,1,38,56.8,-,9,43,51
*,2QZ J014149-3107,1,41,49.8,-,31,7,39,O,--,--,--,--,--,0.0,BL?,*,19.33,--,-0.37,--,--,489,489,1,39,33.3,-,31,22,46
--,PKS 0140-059,1,42,38.9,-,5,44,1,R,0.25,2157,0.27,2157,--,--,BL,--,18.5,--,--,--,1748,--,927,1,40,8.1,-,5,59,7
--,Q J01431-3200,1,43,10.1,-,32,0,56,O,0.169,2320,--,--,--,0.375,BL,*,19.36,--,-0.9,-22.5,--,1209,489,1,40,54.4,-,32,16,1
*,2QZ J014436-2718,1,44,36.6,-,27,18,39,O,--,--,--,--,--,0.0,BL?,*,19.41,--,-1.59,--,--,489,489,1,42,18.0,-,27,33,41
*,2QZ J014542-3031,1,45,42.0,-,30,31,39,O,--,--,--,--,--,0.0,BL?,*,19.5,--,-0.88,--,--,489,489,1,43,25.7,-,30,46,39
--,PKS 0143-061,1,46,16.3,-,5,51,10,R,0.23,2157,0.28,2157,--,0.499,BL,--,21.8,--,--,-20.7,983,--,927,1,43,45.6,-,6,6,9
--,1ES 0145+138,1,48,29.7,--,14,2,18,O,0.006,1548,--,--,--,0.125,BL,--,17.9,--,--,-21.5,1548,--,1548,1,45,48.5,--,13,47,24
--,NPM1G+01.0067,1,52,39.6,--,1,47,17,O,0.051,778,--,--,--,0.08,BL,--,16.6,--,--,-21.8,1169,--,2333,1,50,4.9,--,1,32,31
--,RXS J01531+7517,1,53,7.2,--,75,17,44,--,--,333,--,--,--,--,BL,--,18.9,--,--,--,--,--,333,1,48,36.1,--,75,2,57
--,8C 0149+710,1,53,25.8,--,71,15,7,R,0.643,778,--,--,--,0.022,--,--,15.5,--,--,-20.1,--,--,1169,1,49,20.8,--,71,0,21
--,RXS J01535-0118,1,53,34.4,-,1,18,10,--,0.042,788,--,--,--,0.246,BL?,--,19.0,--,--,-21.9,157,--,157,1,51,1.4,-,1,32,54
--,87GB 01518+4418,1,54,54.5,--,44,33,38,O,0.04,778,--,--,--,--,BL,--,20.49,--,--,--,--,1539,1305,1,51,49.6,--,44,18,56
*,2QZ J015506-2959,1,55,6.8,-,29,59,6,O,--,--,--,--,--,0.0,BL?,*,20.71,--,-1.02,--,--,489,489,1,52,51.5,-,30,13,47
*,RXS J01559+1502,1,56,0.3,--,15,2,13,O,--,--,--,--,--,0.08,BL,--,19.8,--,--,-18.6,--,--,675,1,53,18.0,--,14,47,34
--,87GB 01569+1032,1,59,34.4,--,10,47,7,O,0.045,778,--,--,--,--,BL,--,17.8,--,--,--,115,--,2334,1,56,54.4,--,10,32,35
--,RXS J02004+2712,2,0,29.5,--,27,12,36,--,--,157,--,--,--,--,BL,--,19.7,--,--,--,157,--,1440,1,57,38.8,--,26,58,6
*,6QZ J020038-2929,2,0,38.0,-,29,29,31,O,--,--,--,--,--,0.0,BL?,*,17.4,--,-0.9,--,--,489,489,1,58,23.2,-,29,44,0
--,MS 01585+0019,2,1,6.1,--,0,34,0,O,0.011,1959,--,--,--,0.298,BL,--,17.96,--,--,-23.4,1876,--,1625,1,58,32.1,--,0,19,32
*,2QZ J020119-2716,2,1,19.5,-,27,16,22,O,--,--,--,--,--,0.0,BL?,*,20.07,--,-0.83,--,--,489,489,1,59,3.1,-,27,30,50
--,RXS J02024+0849,2,2,26.4,--,8,49,12,--,0.062,778,--,--,--,--,BL,--,19.0,--,--,--,--,--,1440,1,59,47.5,--,8,34,47
--,S5 0159+72,2,3,33.3,--,72,32,53,O,0.33,1135,0.32,1135,--,--,BL,--,19.2,--,--,--,1137,--,1137,1,59,13.0,--,72,18,29
--,MS 02057+3509,2,8,38.2,--,35,23,13,O,0.004,1959,0.01,1963,--,0.318,--,--,19.24,--,--,-22.3,1876,--,1625,2,5,39.6,--,35,9,1
--,RXS J02092+4449,2,9,16.9,--,44,49,44,--,--,157,--,--,--,--,BL?,--,18.7,--,--,--,157,--,157,2,6,8.2,--,44,35,34
*,RXS J02093-5229,2,9,21.5,-,52,29,21,--,--,--,--,--,--,--,BL,--,16.9,--,--,--,--,--,2017,2,7,34.2,-,52,43,30
--,PKS 0208-512,2,10,46.3,-,51,1,2,O,3.21,2156,3.56,2156,--,1.003,HP,--,16.93,0.56,-0.72,-26.8,1744,8,1761,2,8,57.0,-,51,15,8
--,RXS J02125-3503,2,12,30.5,-,35,3,33,--,--,157,--,--,--,0.393,BL?,--,18.7,--,--,-23.3,157,--,157,2,10,22.3,-,35,17,35
--,3EG J0213+1213,2,13,5.1,--,12,13,11,O,0.182,2043,--,--,--,0.252,BL,--,21.15,--,--,-19.8,--,--,1885,2,10,23.6,--,11,59,10
--,87GB 02109+5130,2,14,17.9,--,51,44,52,R,0.291,778,--,--,--,0.049,--,--,16.5,--,--,-20.9,--,--,1169,2,10,58.0,--,51,30,53
--,RXS J02165+2314,2,16,32.1,--,23,14,47,O,--,157,--,--,--,--,BL,--,17.9,--,--,--,157,--,675,2,13,42.5,--,23,0,54
--,PKS 0214-085,2,17,2.7,-,8,20,52,O,0.34,2157,0.43,2157,--,0.607,BL,--,17.5,--,--,-25.4,424,--,1,2,14,34.5,-,8,34,43
--,Z 0214+083,2,17,17.0,--,8,37,3,O,0.524,776,--,--,--,--,?,--,17.9,--,--,--,756,--,39,2,14,37.7,--,8,23,12
--,RXS J02190-1725,2,19,5.5,-,17,25,14,--,--,2306,--,--,--,0.128,BL,--,17.25,--,--,-22.2,--,1539,2306,2,16,43.7,-,17,39,0
--,PKS 0217-189,2,19,21.1,-,18,42,39,R,0.46,2157,0.4,2157,--,--,BL,--,19.5,--,--,--,234,--,927,2,17,0.3,-,18,56,24
*,6QZ J022044-3037,2,20,44.7,-,30,37,13,O,--,--,--,--,--,0.0,BL?,*,17.41,--,-0.88,--,--,489,489,2,18,33.7,-,30,50,55
--,3C  66A,2,22,39.6,--,43,2,8,O,1.04,2207,1.14,1453,--,0.444,HP,--,15.21,0.5,-0.49,-26.5,252,2255,1373,2,19,30.0,--,42,48,30
--,RXS J02272+0201,2,27,16.6,--,2,1,58,--,--,157,--,--,--,--,BL,--,18.8,--,--,--,157,--,1440,2,24,41.5,--,1,48,32
*,2QZ J023045-3207,2,30,45.4,-,32,7,5,O,--,--,--,--,--,0.0,BL?,*,19.98,--,-1.06,--,--,489,489,2,28,37.2,-,32,20,21
--,1ES 0229+200,2,32,48.6,--,20,17,17,O,0.046,776,--,--,--,0.14,BL,--,18.0,--,--,-21.7,1548,--,1764,2,29,59.8,--,20,4,6
--,Q 0230+3429,2,33,20.3,--,34,42,54,O,0.179,778,--,--,--,0.458,--,--,20.8,--,--,-21.5,--,--,1403,2,30,18.2,--,34,29,44
*,Q J02340-3015,2,34,5.6,-,30,15,20,O,--,--,--,--,--,1.71,BL,*,18.54,--,-0.95,-26.9,--,1209,1209,2,31,56.1,-,30,28,27
*,2QZ J023522-2921,2,35,22.1,-,29,21,12,O,--,--,--,--,--,0.0,BL?,*,20.56,--,-0.61,--,--,489,489,2,33,11.9,-,29,34,16
--,PHL 1389,2,35,36.7,-,29,38,44,O,--,157,--,--,--,--,BL,*,18.64,--,-0.25,--,157,1209,1581,2,33,26.8,-,29,51,47
--,RXS J02375-3603,2,37,33.9,-,36,3,28,--,--,157,--,--,--,--,BL?,--,17.3,--,--,--,157,--,157,2,35,31.0,-,36,16,25
--,RXS J02385-3116,2,38,32.4,-,31,16,59,--,--,157,--,--,--,--,BL?,--,16.1,--,--,--,157,--,157,2,36,24.5,-,31,29,54
--,TEX 0236-131,2,38,49.3,-,12,58,50,--,--,157,--,--,--,0.195,BL?,--,17.6,--,--,-22.8,157,--,157,2,36,25.4,-,13,11,44
--,PKS 0238-052,2,40,56.2,-,5,4,41,R,0.41,2157,0.33,2157,--,--,BL,--,18.5,--,--,--,424,--,927,2,38,26.3,-,5,17,30
--,TEX 0239+175,2,42,24.3,--,17,42,59,O,0.176,778,--,--,--,0.551,BL,--,21.31,--,--,-21.4,--,--,1885,2,39,36.8,--,17,30,14
*,2QZ J024225-2736,2,42,25.0,-,27,36,39,O,--,--,--,--,--,0.0,BL?,*,20.32,--,-0.39,--,--,489,489,2,40,14.0,-,27,49,23
--,FIRST J02430+0046,2,43,3.0,--,0,46,27,O,--,165,--,--,--,0.409,BL,--,20.05,--,--,-22.0,--,--,165,2,40,28.7,--,0,33,44
--,S5 0238+71,2,43,31.0,--,71,20,18,O,0.272,1135,0.28,1135,--,--,BL,--,19.4,--,--,--,1137,--,1137,2,38,50.1,--,71,7,34
*,RXS J02446-5819,2,44,40.3,-,58,19,53,--,--,--,--,--,--,0.265,BL,--,17.9,--,--,-23.2,--,--,1811,2,43,17.9,-,58,32,30
--,NPM1G+10.0097,2,45,13.5,--,10,47,23,O,0.217,778,--,--,--,0.07,BL,--,16.5,--,--,-21.6,--,--,1549,2,42,31.5,--,10,34,46
*,Q J02469-2948,2,46,59.6,-,29,48,22,O,--,--,--,--,--,--,BL,*,19.9,--,-0.08,--,--,1209,1209,2,44,51.3,-,30,0,53
--,PKS 0245-167,2,48,7.8,-,16,31,46,R,0.32,2157,0.34,2157,--,--,BL,--,20.0,--,--,--,424,--,927,2,45,47.3,-,16,44,14
--,RXS J02503-2129,2,50,18.9,-,21,29,38,--,--,157,--,--,--,0.498,BL?,--,20.1,--,--,-22.4,157,--,157,2,48,2.9,-,21,41,59
--,FIRST J02532-0124,2,53,15.7,-,1,24,5,R,--,165,--,--,--,--,BL,--,18.48,--,--,--,--,--,165,2,50,43.1,-,1,36,18
*,2QZ J025425-3158,2,54,26.0,-,31,58,34,O,--,--,--,--,--,0.0,BL?,*,19.38,--,-1.01,--,--,489,489,2,52,21.0,-,32,10,43
--,2QZ J025957-2920,2,59,57.6,-,29,20,21,O,--,489,--,--,--,0.0,BL?,*,19.91,--,-0.66,--,--,489,489,2,57,50.4,-,29,32,13
--,MS 02579+3429,3,1,3.8,--,34,41,1,O,0.01,1959,--,--,--,0.246,HP,--,18.53,--,--,-22.4,1876,--,1625,2,57,57.5,--,34,29,11
--,PKS 0301-243,3,3,26.5,-,24,7,13,O,0.39,1277,0.52,234,--,0.26,HP,--,16.18,0.37,--,-24.5,423,1816,645,3,1,14.2,-,24,18,54
--,RXS J03035+0554,3,3,30.1,--,5,54,17,O,0.028,778,--,--,--,0.196,BL,--,17.9,--,--,-22.5,157,--,675,3,0,51.5,--,5,42,35
--,4C 47.08,3,3,35.2,--,47,16,17,O,2.22,1505,1.81,1128,--,--,BL,--,16.95,0.59,-0.27,--,1590,1607,2267,3,0,10.1,--,47,4,34
--,Q J03042-2832,3,4,16.3,-,28,32,18,O,--,157,--,--,--,--,BL,*,19.54,--,-0.69,--,157,1209,1209,3,2,8.7,-,28,43,57
--,RXS J03045-0054,3,4,33.9,-,0,54,4,O,--,278,--,--,--,0.511,BL,--,19.8,--,--,-22.7,--,--,2,3,2,1.0,-,1,5,42
*,2QZ J030812-2905,3,8,12.6,-,29,5,47,O,--,--,--,--,--,0.0,BL?,*,19.81,--,-0.27,--,--,489,489,3,6,6.0,-,29,17,13
*,2QZ J030835-2923,3,8,35.2,-,29,23,33,O,--,--,--,--,--,0.0,BL?,*,19.22,--,-0.82,--,--,489,489,3,6,29.0,-,29,34,58
*,2QZ J030835-2731,3,8,35.7,-,27,31,19,O,--,--,--,--,--,0.0,BL?,*,19.07,--,-0.81,--,--,489,489,3,6,27.5,-,27,42,44
--,1WGA J0310.0+4056,3,10,6.0,--,40,56,48,--,--,333,--,--,--,0.137,BL,--,18.4,--,--,-21.2,--,--,333,3,6,49.9,--,40,45,26
*,Q J03109-3059,3,10,56.9,-,30,59,2,O,--,--,--,--,--,--,BL,*,18.7,--,-0.67,--,--,1209,1209,3,8,52.8,-,31,10,19
*,XMM J03114-7701,3,11,24.7,-,77,1,39,--,--,--,--,--,--,0.32,BL,R,17.7,--,--,-23.3,--,--,674,3,12,28.1,-,77,12,50
--,2QZ J031210-2816,3,12,10.8,-,28,16,46,O,--,489,--,--,--,0.0,BL?,*,18.41,--,-0.49,--,--,489,489,3,10,3.8,-,28,28,0
--,V Zw 326,3,12,50.3,--,36,15,20,O,0.065,778,--,--,--,0.071,BL?,--,17.6,--,--,-20.6,157,--,157,3,9,40.4,--,36,4,7
--,--,3,13,19.3,-,55,11,39,R,--,806,--,--,--,--,BL,R,20.6,--,--,--,807,--,807,3,11,57.4,-,55,22,48
--,V Zw 331,3,13,57.9,--,41,15,24,O,0.048,778,--,--,--,0.029,BL,R,17.0,--,--,-18.6,738,--,1549,3,10,40.7,--,41,4,15
--,RXS J03143+0620,3,14,23.9,--,6,19,57,O,0.029,778,--,--,--,--,BL,--,17.9,--,--,--,157,--,675,3,11,44.7,--,6,8,50
*,2QZ J031435-3105,3,14,35.2,-,31,5,44,O,--,--,--,--,--,0.0,BL?,*,18.26,--,-0.82,--,--,489,489,3,12,31.7,-,31,16,50
*,1WGA J03150-5504,3,15,1.6,-,55,3,40,--,--,--,--,--,--,--,?,R,20.6,0.48,-0.12,--,2349,--,2349,3,13,39.8,-,55,14,43
--,RXS J03161+0904,3,16,12.9,--,9,4,43,O,0.057,778,--,--,--,--,BL,--,18.2,--,--,--,157,--,675,3,13,31.2,--,8,53,42
--,RXS J03162-2607,3,16,15.0,-,26,7,56,--,--,157,--,--,--,--,BL,--,17.5,0.3,--,--,157,1816,112,3,14,6.0,-,26,18,56
--,MS 03170+1834,3,19,51.8,--,18,45,35,O,0.017,734,--,--,--,0.19,HP,--,18.12,--,--,-22.2,734,--,1625,3,17,0.9,--,18,34,46
--,RGB J0321+236,3,22,0.0,--,23,36,11,O,0.061,778,--,--,--,--,BL,--,16.8,--,--,--,--,--,1168,3,19,3.9,--,23,25,29
--,RXS J03256-1646,3,25,41.2,-,16,46,16,--,--,157,--,--,--,0.291,BL?,--,16.7,--,--,-24.6,157,--,157,3,23,23.2,-,16,56,45
--,2E 0323+0214,3,26,13.9,--,2,25,14,O,0.075,663,--,--,--,0.147,HP,--,16.55,0.5,-0.61,-22.7,1876,578,669,3,23,38.0,--,2,14,47
