1916Obs....39..134J Jonckheere                  (J)
1939AnHar.911...11J Jones & Emberson            (JnEr)
1988ApJ...328..559J Jones et al.                (to ToDo 5)
1990A&AS...83..337J Jourdain de Muizon et al.   (IRAS)
1992BAAS...24.1179K Kawaler & Appleton          (RXJ)
1966Afz.....2..371K Kazaryan                    (KJ1)
1976Afz....12..385K Kazaryan                    (KJ2)
1971Atsir.602....6K Kazaryan & Parsamyan        (KJPN)
                    Kerber & Weinberger         (KLSS)                               1995, Univ. of Haifa Conference on Asymmetrical PN, p.193 (= Ann. Israel Phys. Soc. Vol.11)
1994AGAb...10..172K Kerber et al.               (KLSS)
1996A&AS..119..423K Kerber et al.               (KLW)
1998A&AS..130..501K Kerber et al.               (NeVe)
1988AJ.....95..804K Kinman et al.               (KnFs)
1995AJ....110.2225K Kistiakowsky & Helfand
1989A&A...223..326K Koester & Reimers           (KsRm)
1962BAICz..13..120K Kohoutek                    (K1)
1963BAICz..14...70K Kohoutek                    (K1,K2,NGC)
1964BAICz..15..162K Kohoutek                    (K2)
1965BAICz..16..221K Kohoutek                    (K3,K4)                              preprint 1964
1969BAICz..20..307K Kohoutek                    (K3,K4)
1971A&A....13..493K Kohoutek                    (K1,K2)
1972A&A....16..291K Kohoutek                    (K3,K4)
1977A&A....59..137K Kohoutek                    (K1,K2)
1987Ap&SS.131..781K Kohoutek                    (AS 201)                             (IAU Coll. No.93, Bamberg 1986)
1994AN....315..235K Kohoutek                    (K5,K6)
1977A&A....61..761K Kohoutek & Laustsen         (to NGC 3132)
2001AN....322..171K Kohoutek & Pauls            (to M 1-27)
1996A&A...315..549K Kraan-Korteweg et al.       (WKK)
1962ATsir.230...11K Krasnogorskaya              (Kr1,Kr2)
1976IAUC.2974.....K Krzeminski & Priedhorsky    (to A 63)
1989AJ.....97.1423K Kwitter et al.              (PG 1520+525)
1993ARA&A..31...63K Kwok
1989ApJ...345L..51K Kwok et al.
                    Lauberts                    (ESO)                                1982, Cat. <VII/34> The ESO/Uppsala Survey of the ESO(B) Atlas, European Southern Observatory
1981A&AS...43..307L Lauberts et al.             (ESO)
1989A&A...225..417L Le Bertre et al.
1991PASAu...9..304L Lewis et al.
1995ApJ...441..424L Liebert et al.              (BE UMa)
1987A&A...173L..11L Likkel et al.
1986AcApS...6..111L Liu et al.                  (NGC 2242)
1976ApJ...205L..21L Lo & Bechis                  (CRL 2688)
1977MNRAS.178..251L Longmore                    (Lo)
1980MNRAS.193..521L Longmore & Tritton          (LoTr)
1983PASP...95..413L Luck et al.
1988A&A...196..233L Lundstrom et al.            (LSA)
1984ApJ...279..714L Lutz                        (Cn 1-1)
1953AJ.....58...75L Luyten
1978A&AS...33..219M MacConnell                  (MaC1)
1982A&AS...48..355M MacConnell                  (MaC2)
1982CoBos..71....1M Maehara                     (MA)
1989Ap&SS.156...57M Manchado  et al.            (IRAS)                               see Manchado et al., 1989RMxAA..18..182M and also Garcia-Lario et al., 1991A&A...249..223G
1989RMxAA..18..184M Manchado et al              (MaC 1-12)                           1989b
                    Manchado et al.                                                  1993, 2. ESO/CTIO Workshop on Mass Loss onthe AGB and Beyond, January 1992, p. 273
1974Ap&SS..27....3M Marsalkova                  (to CoVi 1)
1998BAAS...30.1272M Marvel & Boboltz
                    Mayall                      (Sn)                                 1964, list of RV, priv. communication to CGPN
1940BHarO.913....7M Mayall                      (MyCn)
1951BHarO.920...32M Mayall                      (My)
1991ApJ...371..380M McCarthy et al.             (CD-41 13967)
1999ApJS..121....1M McCook & Sion               (WD catalogue)
1961PASP...73..264M McCuskey                    (Em)
                    Meixner et al.                                                   1994, Conference on Infrared Astronomy with Arrays: the Next Generation, p.207
1999ApJS..122..221M Meixner et al.
1990MNRAS.243..236M Melmer & Weinberger         (MmWe)
1988A&A...198..287M Mendez et al.
1922BHarO.777.....M Menzel                      (Mz)
1990MNRAS.247..177M Menzies & Wolstencroft
1938PASP...50..350M Merrill                     (M 1-67)
1941PASP...53..245M Merrill                     (Me1)
1942PASP...54..107M Merrill                     (Me2)
1949ApJ...109..537M Miller & van Dien           (Jn)
                    Minkowski                                                        1957, priv. communication to CGPN
                    Minkowski                                                        1960, quoted in Annual Report of the Director, Mt. Wilson and Palomar Observatories, 1959-60 (Washington DC), 18
                    Minkowski                                                        1965, in Galactic Structure (eds. A. Blaauw, M. Schmidt), Chicago: Univ. Chicago Press, 32
                    Minkowski                   (M4)                                 1948, priv. communication to CGPN
                    Minkowski                   (M4)                                 unpublished and 1959, list of RV, priv. communication to CGPN
1946PASP...58..305M Minkowski                   (M1,NGC)
1947PASP...59..257M Minkowski                   (M2)
1948PASP...60..386M Minkowski                   (M3)
1987ApJ...321..888M Morris et al.
1993AcA....43..415N Napiwotzki                  (BD+33 2642)
1993IAUS..155..495N Napiwotzki & Schoenberner   (Sh2)
1964ApJ...139..864N Nassau et al.               (Na)
                    Neckel & Vehrenberg         (CSST 2)                             1990, Atlas Galaktischer Nebel, Teil III., Treugesell. Verlag K.G.
1980AnTok..18...55N Noguchi et al.
1975A&AS...21..193N Nordstroem                  (NS)
1993PASP..105..867N Noumaru & Ogura             (WRA 16-185)
1998A&AS..127..185N Nyman et al.
1987RMxAA..15...89D Pacheco de Freitas & Veliz  (CPD-53 8315)
1989IAUCo.106..384P Parthasarathy
1993ApJ...414L.109P Parthasarathy               (LSII+34 26)
1986A&A...154L..16P Parthasarathy & Pottasch
1989A&A...225..521P Parthasarathy & Pottasch
1993A&A...267L..19P Parthasarathy et al.        (CPD-59 6926)
1928PASP...40..342P Pease                       (Ps)
1960BOTT....2s..19P Peimbert & Batiz            (PB)
