041-02.1  NGC 6781       Coordinates differ too much.
042-01.1 *K 4-20         Coordinates CGPN/Ko 65b probably not correct.
043-13.1  A 67           Coordinates 09.133.025 probably not correct.
044+05.2  CTSS 2         Coordinates 52.134.045 not correct.
044-00.1  AGPF 2         Ko,Ku (1999): suspected central star measured.
044-09.1  A 64           Coordinates CGPN/Ko 65a not correct.
045-01.1 *K 3-33         IRAS 19200+1035 nearby.
045-04.1  NGC 6804       Coordinates differ too much.
046+03.1  Sh 2-78        Ko,Ku (1999): suspected central star measured.
047+42.1  A 39           IRAS 16255+2801 nearby.
047-04.1  A 62           Coord. 70.002.006 rad: deviation in RA from
047-04.1  A 62           optical position.
048+04.1 *K 4-12         Coord. 46.114.003 not correct.
048+04.2 *K 4-16         IRAS 19025+1542 nearby.
048-01.1 *DeHt 4         No central star visible.
049+02.2 *PN 1911+1534   Coordinates differ too much. IRAS 19110+1534 nearby.
051+00.1  KLW 1          66.134.013: discovery coord. slightly different
051+00.1  KLW 1          (Kerber, corrected coordinates - priv. comm.).
052-02.1  K 3-41         Coordinates 52.002.003 not correct.
053+03.1  A 59           Coordinates 09.133.025 probably not correct.
053-02.1  WiOl 1         No central star visible. Coordinates differ too much.
053-03.1  A 63           IRAS 19398+1657 nearby.
057-08.1  NGC 6879       Coordinates St,Sa (1977) probably not correct.
058+09.1  Si 1-2         Red star (C1) in a dist. +0.23 sec and -1.0".
058-05.1  WeSb 5         Ko,Ku (1999): suspected central star measured.
059+04.1  K 3-34         Coord. 70.002.006 rad: deviation in DEC from
059+04.1  K 3-34         optical position.
059-01.1  He 1-3         Coordinates 18.133.025, GSC 1627-00936 and partly
059-01.1  He 1-3         Ko,Ku (1999) belong to wrong (old) identification.
060-07.1  He 1-5         Coordinates differ too much.
060-07.2  NGC 6886       Probably printing error in coordinates CGPN/Sr 30.
061+02.1 *He 2-442       Coordinates CGPN/Mi 59 not correct.
063-03.1 *K 3-54         IRAS 20028+2518 nearby.
064+48.1  NGC 6058       Coordinates 41.002.074 not correct.
064+15.1  M 1-64         Coord. 70.002.006 rad: deviation in RA from
064+15.1  M 1-64         optical position.
065+00.1  NGC 6842       Printing error in coord. 50.134.178. Coordinates differ
065+00.1  NGC 6842       too much.
065-05.1  He 1-6         IRAS 20152+2512 nearby.
066+02.2  KLW 4          66.134.013: discovery coord. slightly different
066+02.2  KLW 4          (Kerber, corrected coordinates - priv. comm.).
066-28.1  NGC 7094       Coordinates 50.134.178 not correct.
068+01.1  K 4-41         IRAS 19546+3214 nearby.
068+01.2  He 1-4         Coordinates differ too much.
068-00.1  M 1-75         Coordinates CGPN/Mi 59 not correct.
069+03.1  K 3-46         IRAS 19481+3338 nearby.
069+02.1  K 3-49         Coord. 70.002.006 are a blend of two radio sources
069+02.1  K 3-49         (see Condon, Kaplan, 1998ApJS..117..361C).
069+01.2  KLW 5          IRAS 19587+3219 nearby. 66.134.013: discovery coord.
069+01.2  KLW 5          slightly different (Kerber, corrected coordinates -
069+01.2  KLW 5          priv. comm.).
070+02.1  KLW 6          66.134.013: discovery coord. slightly different
070+02.1  KLW 6          (Kerber, corrected coordinates - priv. comm.).
071+04.1 *TuWe 2-3       Ko,Ku (1999): identification very uncertain.
072-07.1 *IRAS20406+29   Ko,Ku (1999): identif. corresponds with that of S1 to
072-07.1 *IRAS20406+29   SECGPN.
072-17.1  A 74           Ko,Ku (1999): suspected central star measured.
072-17.1  A 74           Central star is a binary, components:
072-17.1  A 74           C1: 38.32 sec, 14.8",
072-17.1  A 74           C2: 38.10 sec, 16.3".
072-17.1  A 74           Coordinates differ too much. Very large object.
073-02.1  K 3-76         Coordinates 52.002.003 not correct.
075+35.1  Sa 4-1         IRAS 17125+4919 nearby.
077+03.2  KJPN 2         Coord. 70.002.006 rad: deviation in DEC from
077+03.2  KJPN 2         optical position.
079+00.1 *KJPN 4         Ko,Ku (1999): identification not certain.
082+11.1  NGC 6833       Coordinates St,Sa (1977) probably not correct.
082+07.1  NGC 6884       Prob. printing error in coordinates St,Sa (1977).
087-03.1 *We 2-245       Ko,Ku (1999): suspected central star measured.
091+01.1  We 1-11        IRAS 21092+5035 nearby.
093+05.2  NGC 7008       Coordinates CGPN/Wn 09 probably not correct.
093-02.1  M 1-79         Coordinates differ too much.
094+38.1 *EL 1647+64     Ko,Ku (1999): coordinates uncertain because no central
094+38.1 *EL 1647+64     star known.
094+27.1  K 1-16         Coordinates 50.134.178 not correct.
094+27.1  K 1-16         IRAS 18216+6419 nearby.
096+29.1  NGC 6543       Equ. 1931.8 at CGPN/Kz 35. IRAS 17584+6638A nearby.
097-02.1  M 2-50         IRAS 21559+5127 nearby.
099-08.1 *HtDe 13        Ko,Ku (1999): suspected central star measured.
100+04.1 *IRAS21394+58   Red star (C1) in a dist. -0.26 sec and -1.9".
102-05.1  A 80           Ko,Ku (1999): suspected central star measured.
102-05.1  A 80           Coordinates differ too much.
103+00.1  M 2-51         Coordinates differ too much.
104-01.2  KLW 8          Disc. coordinates (66.134.013) slightly deviate from 
104-01.2  KLW 8          FC; possibly not correct.
104-29.1  Jn 1           Coordinates 50.134.178 not correct. Ko,Ku (1999):
104-29.1  Jn 1           suspected central star measured.
107+07.1 *IsWe 2         Ko,Ku (1999): suspected central star measured.
107+02.1  NGC 7354       Coordinates differ too much.
107-02.2  K 3-87         IRAS 22529+5626 nearby.
108+00.1 *K 3-85         Two star-like centres:
108+00.1 *K 3-85         C1: 53.38 sec, 21.7",
108+00.1 *K 3-85         C2: 52.99 sec, 21.9".
110-01.1  WeSb 6         Ko,Ku (1999): suspected central star measured.
111-03.1 *We 2-260       Ko,Ku (1999): suspected central star measured;
111-03.1 *We 2-260       coordinates differ too much.
