Ta      Terzan (in Terzan, Ounnas, 1988)
Ta      Terzan (in Cuisinier et al., 1993, 1994)
TaJu    Terzan, Ju (1980)
TaJu    Terzan, Bernerd, Ju (1978)
TaJu    Bica et al. (1995)
TaJu    Thompson et al. (1991)
Tc      Thackeray (1950)
Th1     The (1962a)
Th2     The (1962b)
Th3     The (1964a and priv. communication to CGPN)
Th4     The (1964b)
ToDo    Thompson et al. (1991)
Tr      Tritton (in Hartl, Tritton, 1983)
Tr      Tritton (in Longmore, Tritton, 1980)
TrBr    Terzan, Bernard, Ju (1978) - renamed by TaJu 21
Trz     Terzan (1985)
Trz     Thompson et al. (1991)
TuWe    Tamura, Weinberger (1993)
TuWe2   Tamura, Weinberger (1995)
V 417   Van Winckel et al. (1994)
V 348   Pollacco et al. (1990)
V 1016  Crampton et al. (1970)
V 4334  Duerbeck, Benetti (1996)
Va      Vaughan (in Beer, Vaughan, 1999)
VB      Van den Bergh (1978, 1979)
VBRC    Van den Bergh et al. (1973)
Vd1     Vandervort (1964)
Ve      Vehrenberg (in Kerber et al., 1998)
Ve      Velghe (1957)
VERA    Vega et al. (1980)
Vi      Villaver (in Corradi et al., 1997)
Vo      Volk (1988)
V-V1    Vorontsov-Velyaminov (1961)
V-V2    Vorontsov-Velyaminov et al. (1965)
V-V3    Vorontsov-Velyaminov et al. (1972)
Vy1     Vyssotsky (1942)
Vy2     Vyssotsky et al. (1945)
We      Weinberger (in Ishida, Weinberger, 1987)
We      Weinberger (in Hartl, Weinberger, 1987)
We      Weinberger (in Melmer, Weinberger, 1990)
We      Weinberger (in Purgathofer, Weinberger, 1980)
We      Weinberger (in Saurer, Weinberger, 1987)
We      Weinberger (in Tamura, Weinberger, 1993)
We      Weinberger (in Tamura, Weinberger, 1995)
We1     Weinberger (1977)
We2     Weinberger (1977, preprint)
We3     Weinberger (1978)
We4     Weinberger (1995)
WeDe    Weinberger et al. (1983)
WeKG    Weinberger et al. (1997)
WeSb    Weinberger, Sabbadin (1981)
WiOl    Winkler et al. (1993)
WI      Wirth (in Shaw, Wirth, 1985)
WKK     Kraan-Korteweg et al. (1996)
WL      Wroblewski (in Stock, Wroblewski, 1972)
WRA     Wray (1966) - unpublished (thesis)
WRA     Noumaru, Ogura (1993)
WSLS    Weinberger et al. (1994)
Wt      West (in Schuster, West, 1976; West, Schuster, 1980)
Y-C     Cesco, Gibson (1973); Cesco et al. (1984)
YM      Johnson (1955)
19W32   Wouterloot, Dekker (1979)
