NUM,NGC/Other Cat.,NGC/IC,Con,RA,DEC,VMAG,BMAG,Stars,Size,Class,n
43,1444,NGC1444,Per,03h 49m 22.9s,"+52? 39' 44""",6.6,,7,4,¦ÌNorm,
44,1496,NGC1496,Per,04h 04m 31.9s,"+52? 39' 41""",9.6,,(10),6,Plei,
45,1502,NGC1502,Cam,04h 07m 49.3s,"+62? 19' 54""",6.9,,15,7,¦ÌNorm,
46,1513,NGC1513,Per,04h 09m 54.7s,"+49? 31' 02""",8.4,,40,9,Praes,
47,1528,NGC1528,Per,04h 15m 18.9s,"+51? 12' 41""",6.4,,50,23,Praes,
48,IC361,IC361,Cam,04h 19m 00.0s,"+58? 18' 00""",11.7,,(60),6,Praes,
49,1545,NGC1545,Per,04h 20m 56.3s,"+50? 15' 19""",6.2,,18,18,Plei,
50,Mel 25 (TMC),,Tau,04h 27m 00.0s,"+16? 00' 00""",0.5,,36,330,Plei,8
51,1582,NGC1582,Per,04h 32m 00.0s,"+43? 50' 53""",7,,60,37,Plei,
52,1605,NGC1605,Per,04h 34m 54.3s,"+45? 16' 11""",10.7,,(40+),5,Praes,
53,1624,NGC1624,Per,04h 40m 36.5s,"+50? 27' 42""",11.8,,(12),5x5,Plei,
54,1647,NGC1647,Tau,04h 45m 55.6s,"+19? 06' 42""",6.4,,60,45,Praes,
55,1662,NGC1662,Ori,04h 48m 28.9s,"+10? 55' 49""",6.4,,14,20,Plei,
56,1664,NGC1664,Aur,04h 51m 08.4s,"+43? 40' 28""",7.6,,30,18,Praes,
57,1746,NGC1746,Tau,05h 03m 50.2s,"+23? 46' 04""",6.1,,70,42,Praes,
58,1778,NGC1778,Aur,05h 08m 05.7s,"+37? 01' 22""",7.7,,15,6,Plei,
59,1807,NGC1807,Tau,05h 10m 41.1s,"+16? 31' 52""",7,,18,17,Plei,
60,1817,NGC1817,Tau,05h 12m 26.3s,"+16? 41' 03""",7.7,,85,16,Praes,
61,1857,NGC1857,Aur,05h 20m 05.5s,"+39? 20' 37""",7,,40,5,Plei,
62,nl,,Aur,05h 22m 30.0s,"+41? 00' 00""",4.2,,15,28,Plei,
63,1893,NGC1893,Aur,05h 22m 45.1s,"+33? 25' 13""",7.5,,30,11,Plei,9
64,1883,NGC1883,Aur,05h 25m 54.2s,"+46? 29' 25""",12,,12,2.5,Plei,
65,nl,,Tau,05h 25m 05.0s,"+15? 41' 59""",3,,30,220,Plei,
66,1907,NGC1907,Aur,05h 28m 04.5s,"+35? 19' 32""",8.2,,8,6,Praes,
67,1912 (M38),NGC1912,Aur,05h 28m 42.5s,"+35? 51' 18""",6.4,,120,21,Praes,
68,1931,NGC1931,Aur,05h 31m 25.8s,"+34? 14' 42""",10.1,,(20),4x4,Neb,
69,Orion Cluster,,Ori,05h 35m 28.8s,"+09? 56' 28""",2.8,,25,70,Neb,10
70,Orion Belt,,Ori,05h 35m 36.0s,"-01? 05' 00""",0.6,,125,140,Neb,11
71,1960 (M36),NGC1960,Aur,05h 36m 17.7s,+34? 08' 27,6,,60,12,Praes,
72,1980,NGC1980,Ori,05h 35m 25.9s,"-05? 54' 35""",2.5,,12,14x14,Neb,
73,1981,NGC1981,Ori,05h 35m 09.6s,"-04? 25' 30""",4.2,,13,25,Plei,
74,,,Ori,05h 48m 30.0s,"+07? 24' 00""",,14.4,12¡À,5,nl,
75,2099 (M37),NGC2099,Aur,05h 52m 18.3s,"+32? 33' 11""",5.6,,250,23,Praes,
76,2112,NGC2112,Ori,05h 53m 45.2s,"+00? 24' 39""",9.1,,45,11,Praes,
77,2129,NGC2129,Gem,06h 01m 06.5s,"+23? 19' 20""",6.7,,20,6,Plei,
78,2126,NGC2126,Aur,06h 02m 33.0s,"+49? 51' 57""",10.2,,18,6,Plei,
79,2141,NGC2141,Ori,06h 02m 55.1s,"+10? 26' 47""",9.4,,(100),10,Praes,
80,Tr.4,,Gem,06h 05m 00.0s,"+24? 00' 00""",,8.4,15,6,Plei,
81,2158,NGC2158,Gem,06h 07m 25.6s,"+24? 05' 46""",8.6,,(100+),5,Praes,12
82,2168 (M35),NGC2168,Gem,06h 08m 55.9s,"+24? 21' 28""",5.1,,175,28,Praes,
83,2169,NGC2169,Ori,06h 08m 24.3s,"+13? 57' 53""",5.9,,8,6,Plei,
84,2175,NGC2175,Ori,06h 09m 39.6s,"+20? 29' 15""",6.8,,16,40x30,¦ÌNorm,13
85,2186,NGC2186,Ori,06h 12m 07.1s,"+05? 27' 31""",8.7,,10,4,Praes,
86,2192,NGC2192,Aur,06h 15m 17.4s,"+39? 51' 19""",10.9,,(45),5,Plei,
87,2194,NGC2194,Ori,06h 13m 45.9s,"+12? 48' 24""",8.5,,35,10,Praes,
88,2204,NGC2204,Cma,06h 15m 32.2s,"-18? 39' 57""",8.6,,65,12,Praes,
89,9-12 Gem,,Gem,06h 18m 00.0s,"+23? 38' 00""",5.7,5.7,20,60,Plei,
90,2215,NGC2215,Mon,06h 20m 49.2s,"-07? 17' 02""",8.4,,22,11,Plei,
91,,,Mon,06h 21m 42.0s,"+02? 22' 00""",,6.4,20,17,Plei,
92,,,Mon,06h 22m 54.0s,"+05? 07' 00""",8.6,,30,11,Neb,
93,2232,NGC2232,Mon,06h 27m 15.0s,"-04? 50' 51""",4.2,,18,29,Plei,
94,2236,NGC2236,Mon,06h 29m 39.7s,"+06? 49' 50""",8.5,,18,6,Plei,
