Sh2,GlLund,GbLund,GLon,GLat,RAh,RAm,RAds,DE-,DEd,DEm,DEs,RA1950h,RA1950m,RA1950ds,DE1950-,DE1950d,DE1950m,DE1950s,Diam,Form,Struct,Bright,Stars
259,1606,9,1929,-6,6,5,480,+,17,28,0,6,8,425,+,17,27,28,2,1,1,1,0
260,1612,-212,1934,-227,4,49,480,+,5,30,0,4,52,277,+,5,34,57,22,3,3,1,0
261,1618,-5,1941,-19,6,3,120,+,15,49,0,6,6,45,+,15,48,40,45,3,2,2,1
262,1624,-185,1946,-200,5,1,240,+,6,2,0,5,4,45,+,6,6,8,20,3,2,1,0
263,1624,-141,1947,-156,5,16,180,+,8,18,0,5,19,12,+,8,21,4,22,2,2,2,1
264,1628,-105,1951,-120,5,29,420,+,9,52,0,5,32,271,+,9,54,6,390,1,1,2,9
265,1628,-153,1951,-168,5,13,120,+,7,20,0,5,15,540,+,7,23,17,70,3,2,2,0
266,1634,14,1957,-1,6,13,60,+,15,19,0,6,15,578,+,15,17,56,1,2,2,3,0
267,1639,3,1962,-12,6,10,120,+,14,18,0,6,13,25,+,14,17,9,4,1,1,2,0
268,1641,-14,1964,-28,6,4,360,+,13,21,0,6,7,255,+,13,20,34,60,3,1,1,0
269,1642,-2,1965,-17,6,8,540,+,13,51,0,6,11,440,+,13,50,15,4,3,2,3,0
270,1645,-16,1968,-31,6,4,360,+,12,50,0,6,7,248,+,12,49,34,1,3,2,3,0
271,1655,-8,1978,-23,6,9,180,+,12,23,0,6,12,62,+,12,22,13,2,1,2,3,0
272,1655,-8,1978,-23,6,9,240,+,12,22,0,6,12,122,+,12,21,13,1,2,1,2,0
273,1706,37,2029,22,6,35,180,+,10,0,0,6,38,31,+,9,57,20,250,3,2,3,11
274,1729,157,2052,143,7,23,300,+,13,28,0,7,26,185,+,13,21,57,8,3,3,3,0
275,1740,-6,2063,-21,6,26,240,+,5,0,0,6,29,33,+,4,57,59,100,1,2,3,9
276,1744,-190,2067,-205,5,22,300,-,4,3,0,5,24,590,-,4,0,22,1200,2,2,2,0
277,1746,-153,2069,-168,5,35,420,-,2,30,0,5,38,127,-,2,28,19,120,3,2,3,1
278,1750,-215,2074,-229,5,14,540,-,5,46,0,5,17,210,-,5,42,49,50,3,2,2,0
279,1761,-176,2085,-191,5,30,240,-,4,52,0,5,32,520,-,4,49,56,20,3,2,3,1
280,1764,-12,2087,-26,6,29,60,+,2,37,0,6,31,425,+,2,34,47,40,3,2,2,4
281,1767,-180,2091,-195,5,30,0,-,5,32,0,5,32,271,-,5,29,55,60,3,2,3,3
282,1777,-8,2101,-23,6,32,480,+,1,36,0,6,35,235,+,1,33,31,35,3,2,2,1
283,1785,-11,2109,-25,6,33,300,+,0,48,0,6,36,45,+,0,45,28,3,3,1,1,0
284,1797,1,2120,-13,6,39,540,+,0,20,0,6,42,280,+,0,17,1,80,2,2,2,0
285,1815,21,2138,6,6,50,60,-,0,23,0,6,52,391,-,0,26,43,1,1,2,3,0
286,1850,1,2173,-14,6,49,360,-,4,23,0,6,52,45,-,4,26,41,6,2,1,1,0
287,1858,10,2181,-4,6,54,360,-,4,40,0,6,57,42,-,4,44,2,12,3,2,2,0
288,1864,32,2187,18,7,3,360,-,4,9,0,7,6,48,-,4,13,40,1,3,2,3,0
289,1865,-31,2189,-46,6,41,60,-,7,14,0,6,43,312,-,7,17,4,11,2,1,1,1
290,1871,327,2191,313,8,48,480,+,9,18,0,8,51,295,+,9,6,42,17,2,2,2,0
291,1882,-14,2206,-28,6,50,360,-,7,54,0,6,53,5,-,7,57,45,8,2,1,2,0
292,1914,-5,2237,-19,6,59,420,-,10,18,0,7,2,38,-,10,22,23,21,3,2,3,1
293,1919,-15,2242,-29,6,57,60,-,11,10,0,6,59,267,-,11,14,12,11,1,1,2,1
