HCG,m_HCG,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
1,a,0,23,29.92,+,25,26,53.9,37.6,26.9,Sc,7,m,10237,39,0,15.02,0,55.0,13.33,2,87.7,1.29,14.87,14.43,0.2,-20.6,U248a
1,b,0,23,28.77,+,25,26,31.9,42.8,10.7,Im,12,m,10266,40,0,15.68,0,32.5,13.85,2,65.7,1.36,15.96,15.04,0.1,-20.0,U248b
1,c,0,23,17.29,+,25,26,47.6,10.7,10.7,E0,0,--,10056,34,0,10.21,0,23.8,14.15,0,51.6,1.69,15.89,15.57,0.1,-19.5,--
1,d,0,23,21.66,+,25,26,53.4,8.5,4.8,S0,1,--,10120,47,0,17.4,0,12.0,15.77,0,13.9,1.6,16.92,16.5,0.2,-18.5,--
2,a,0,28,48.85,+,8,11,32.0,40.5,19.7,SBd,9,m,4326,30,0,14.02,0,60.7,13.1,0,67.5,0.88,13.84,13.35,0.1,--,U312
2,b,0,28,43.74,+,8,11,57.0,21.2,18.4,cI,13,m,4366,34,0,14.62,0,37.6,13.4,0,50.5,1.14,14.63,14.39,0.1,--,Mk552 MCG1-2-18
2,c,0,28,54.32,+,8,7,28.9,32.9,18.1,SBc,7,m,4235,34,0,15.14,0,48.9,13.97,0,55.4,1.1,14.6,14.15,0.1,--,U314
2,d,0,29,3.31,+,8,6,53.1,13.2,12.0,SBb,5,--,21340,85,0,16.74,0,24.7,15.12,0,28.6,1.54,16.0,15.72,0.2,--,U315
3,a,0,31,40.7,-,7,50,25.4,26.6,8.0,Sc,7,--,7302,51,0,15.6,0,30.8,14.11,0,39.3,1.41,15.36,14.72,0.1,--,--
3,b,0,31,52.61,-,7,52,30.9,15.4,9.6,SB0a,2,--,7860,45,0,15.76,0,24.4,14.0,0,31.7,1.71,15.64,15.28,0.1,--,--
3,c,0,31,47.55,-,7,52,32.8,23.7,6.4,Sd,9,--,11545,68,1,16.75,0,19.8,15.27,0,26.2,1.37,16.54,15.87,0.1,--,--
3,d,0,31,37.33,-,7,52,39.9,13.1,9.7,S0,1,--,7804,30,0,15.98,0,20.1,14.15,0,34.7,1.69,15.91,15.64,0.1,--,--
4,a,0,31,43.69,-,21,42,50.9,41.1,33.5,Sc,7,m,8097,36,0,13.8,0,67.5,12.71,0,75.2,1.01,13.78,13.5,0.1,-21.1,--
4,b,0,31,44.16,-,21,44,44.8,24.2,9.1,Sc,7,--,7065,44,0,15.7,0,30.9,14.62,0,34.0,1.03,15.52,14.97,0.2,-19.3,--
4,c,0,31,45.62,-,21,41,36.2,12.8,10.0,E2,0,m,8863,74,1,16.11,0,24.4,14.45,0,37.3,1.51,15.9,15.69,0.1,-19.1,--
4,d,0,31,46.77,-,21,45,11.5,12.7,7.4,E4,0,m,8215,37,0,16.12,0,20.5,14.86,0,26.4,1.19,15.68,15.47,0.1,-19.1,--
4,e,0,31,38.37,-,21,42,41.1,12.9,9.4,Sab,4,--,18480,180,1,16.61,0,19.0,15.26,0,21.3,1.31,16.37,16.05,0.1,--,--
5,a,0,36,19.61,+,6,47,16.6,24.4,24.3,Sab,4,m,12147,34,0,15.08,1,43.5,13.39,1,62.4,1.58,14.79,14.55,0.2,-20.7,N190N U397a
5,b,0,36,19.62,+,6,46,53.1,17.9,17.5,E0,0,m,12221,29,0,15.99,1,28.2,13.7,1,49.2,2.03,15.76,15.52,0.2,-19.9,N1905 U397b
5,c,0,36,17.72,+,6,47,52.8,15.1,13.4,S0,1,--,12489,47,0,16.72,1,21.7,13.77,1,39.1,1.72,16.52,16.26,0.2,-19.2,--
5,d,0,36,19.9,+,6,46,23.9,12.3,5.0,Sc,7,--,8215,37,1,17.3,1,17.2,15.49,1,27.4,1.68,17.27,16.72,0.2,-18.7,--
6,a,0,36,41.7,-,8,40,7.7,14.3,7.3,S0a,2,--,11669,52,1,15.87,1,25.2,13.94,1,44.2,1.62,15.69,15.27,0.2,-20.1,--
6,b,0,36,38.1,-,8,40,18.6,21.2,8.7,Sab,4,m,11377,61,0,16.16,1,29.5,14.18,1,48.4,1.74,16.03,15.5,0.2,-19.8,--
6,c,0,36,38.98,-,8,40,29.1,21.9,11.0,E5,0,--,10967,61,0,15.97,1,27.1,14.09,1,44.7,1.64,15.59,15.37,0.2,-19.9,--
6,d,0,36,35.5,-,8,40,32.7,9.0,4.8,Sbc,6,--,11434,62,0,17.89,1,14.0,16.45,1,20.5,1.39,17.63,17.19,0.2,-18.1,--
7,a,0,36,39.66,+,0,35,20.5,56.8,27.6,Sb,5,m,4210,20,0,13.5,0,80.2,11.97,0,96.3,1.48,13.46,12.98,0.1,-20.1,N192 U401
7,b,0,36,44.13,+,0,38,17.3,40.1,29.2,SB0,1,--,4238,25,0,13.94,0,69.8,12.4,0,92.2,1.44,14.02,13.74,0.2,-19.4,N196 U405
7,c,0,37,1.15,+,0,35,6.3,52.3,42.6,SBc,7,m,4366,36,0,13.65,0,91.0,12.41,0,102.7,1.19,12.9,12.6,0.7,-20.6,N201 U419
7,d,0,36,45.08,+,0,37,0.8,38.3,27.9,SBc,7,--,4116,38,0,14.85,0,59.3,13.39,0,83.8,1.12,15.11,14.77,0.2,-18.3,N197 U406
8,a,0,46,54.48,+,23,18,20.0,31.5,16.6,E5,0,m,16014,51,0,15.5,1,13.7,13.23,1,88.6,1.76,14.8,14.5,0.5,-21.5,--
8,b,0,46,55.51,+,23,19,8.2,14.7,8.8,S0,1,m,15966,38,0,16.41,1,24.3,14.44,1,36.0,1.82,15.79,15.41,0.2,-20.6,--
8,c,0,46,56.12,+,23,18,41.9,13.9,11.8,S0,1,--,17087,51,0,16.31,1,25.9,14.28,1,43.3,1.81,15.65,15.33,0.2,-20.9,--
8,d,0,46,56.99,+,23,18,2.7,15.6,13.1,S0,1,--,16341,39,0,16.41,1,26.0,14.27,1,50.5,1.76,15.74,15.42,0.2,-20.7,--
9,a,0,51,53.57,-,23,49,25.2,23.6,18.7,E2,0,--,20155,125,0,15.59,1,38.6,13.55,1,70.6,1.6,15.1,14.89,0.2,--,--
9,b,0,51,49.15,-,23,48,23.1,11.1,7.9,S0,1,--,9406,150,1,15.95,1,32.6,15.17,1,23.8,1.11,15.8,15.5,0.5,--,--
9,c,0,51,52.51,-,23,50,21.5,9.0,7.9,Sc,7,--,10300,192,0,16.96,0,16.2,15.32,0,27.4,1.34,16.81,16.56,0.2,--,--
9,d,0,51,50.06,-,23,49,24.9,13.3,12.5,SBcd,8,--,17726,193,0,16.69,0,16.9,15.38,0,21.1,1.09,16.72,16.49,0.2,--,--
10,a,1,23,31.03,+,34,26,33.3,104.8,35.9,SBb,5,m,5148,19,0,13.49,0,93.6,11.81,0,123.9,1.56,13.36,12.62,0.1,--,N536 U1013
10,b,1,22,50.05,+,34,27,11.1,51.2,48.0,E1,0,m,4862,22,0,13.35,0,97.3,11.68,0,127.3,1.57,13.07,12.7,0.1,--,N529 U995
10,c,1,23,28.38,+,34,29,40.1,55.4,12.9,Sc,7,m,4660,32,0,14.98,0,49.2,13.23,0,63.6,1.66,14.94,14.07,0.1,--,N531 U1012
10,d,1,23,40.43,+,34,24,56.5,29.2,7.3,Scd,8,--,4620,40,0,15.82,0,28.4,14.23,0,35.8,1.52,15.54,14.69,0.2,--,N542
11,a,1,24,10.8,-,23,29,7.6,53.9,48.5,SBbc,6,--,5504,33,0,13.65,0,91.9,12.37,0,107.3,1.22,13.21,12.97,0.2,--,--
11,b,1,24,10.67,-,23,31,29.8,15.6,11.2,SBc,7,--,13295,86,0,15.93,0,26.5,14.75,0,28.5,1.15,15.62,15.3,0.2,--,--
11,c,1,24,5.84,-,23,27,11.0,11.6,5.8,Scd,8,--,12904,61,0,17.26,0,17.8,15.99,0,19.9,1.2,17.01,16.56,0.1,--,--
11,d,1,24,22.47,-,23,28,50.0,9.6,7.6,SB0,1,--,9686,61,0,16.86,0,18.3,15.37,0,24.4,1.39,16.8,16.55,0.1,--,--
12,a,1,25,1.78,-,4,56,30.2,22.9,15.9,S0,1,m,14407,53,0,15.25,0,37.8,13.37,0,61.4,1.71,15.09,14.82,0.1,-21.0,--
12,b,1,25,2.73,-,4,54,39.7,18.7,11.6,SB0,1,m,14956,38,0,16.82,0,19.6,14.96,0,26.5,1.76,16.58,16.29,0.2,-19.6,--
12,c,1,25,5.7,-,4,55,12.6,12.0,5.4,S0,1,--,14569,66,1,17.82,0,9.5,16.01,0,13.4,1.74,17.64,17.3,0.1,-18.6,--
12,d,1,25,5.46,-,4,55,39.2,14.5,8.3,Sbc,6,--,14241,62,0,18.16,0,12.8,16.14,0,21.7,1.74,17.61,17.21,0.2,-18.6,--
12,e,1,24,56.21,-,4,56,11.0,6.8,4.6,S0,1,--,14469,62,0,18.25,0,9.1,16.51,0,11.5,1.68,18.25,17.98,0.1,--,--
13,a,1,29,50.52,-,8,7,1.0,29.1,11.3,SBab,4,--,12469,42,0,15.69,1,34.8,13.72,1,55.8,1.8,15.14,14.61,0.2,-20.9,--
13,b,1,29,52.38,-,8,7,50.9,19.9,18.0,E0,0,m,12100,101,0,15.97,1,33.7,13.86,1,57.3,1.8,15.45,15.25,0.2,-20.2,--
13,c,1,29,53.26,-,8,8,14.4,10.8,5.8,S0,1,m,12240,105,0,16.96,1,20.2,15.0,1,31.6,1.71,16.55,16.24,0.2,-19.2,--
13,d,1,29,49.24,-,8,9,13.6,6.8,4.8,S0,1,--,12209,107,0,17.69,0,10.5,15.99,0,13.5,1.64,17.73,17.47,0.1,-18.0,--
13,e,1,29,56.06,-,8,7,37.2,9.1,5.0,S0,1,--,12593,61,0,17.82,0,13.3,15.76,0,28.3,1.61,17.58,17.28,0.1,-18.2,--
14,a,1,57,20.23,-,7,18,4.0,26.8,11.6,Sb,5,m,5929,35,0,15.67,2,32.0,13.67,2,49.8,1.86,15.26,14.77,0.2,--,--
14,b,1,57,22.66,-,7,19,42.5,30.8,16.7,E5,0,m,5365,28,0,15.18,2,51.9,13.51,2,66.4,1.54,14.37,14.17,0.2,--,--
14,c,1,57,19.08,-,7,16,22.1,18.0,7.3,Sbc,6,m,5145,37,0,17.68,2,15.9,15.58,2,21.8,1.94,17.1,16.58,0.2,--,--
14,d,1,57,13.96,-,7,13,28.5,13.2,10.7,Sd,9,--,8416,58,0,16.98,0,21.2,15.73,0,25.6,1.15,16.43,16.16,0.2,--,--
15,a,2,5,18.02,+,1,55,50.1,36.0,20.7,Sa,3,m,6967,30,0,14.87,0,48.7,13.08,0,72.3,1.62,14.69,14.29,0.2,-19.9,U1624
15,b,2,4,59.15,+,1,52,40.8,25.6,25.6,E0,0,m,7117,36,0,15.31,0,38.4,13.41,0,69.8,1.7,14.95,14.74,0.1,-19.5,U1617
15,c,2,5,4.78,+,1,54,45.3,24.5,24.1,E0,0,--,7222,30,0,14.91,0,45.9,13.34,0,56.2,1.52,14.58,14.37,0.1,-19.9,U1620
15,d,2,5,2.51,+,1,56,37.0,24.1,18.9,E2,0,m,6244,36,0,15.6,1,36.6,13.69,1,56.5,1.7,14.86,14.65,0.2,-19.3,U1618a
15,e,2,4,50.39,+,1,52,43.8,22.0,18.0,Sa,3,--,7197,32,0,15.94,0,29.9,13.96,0,58.8,1.69,15.84,15.56,0.1,-18.7,U1617
15,f,2,5,2.85,+,1,57,11.2,16.8,10.0,Sbc,6,m,6242,102,0,16.73,1,25.7,15.35,1,34.1,1.3,16.13,15.74,0.2,-18.2,U1618b
16,a,2,6,57.41,-,10,22,20.0,34.9,32.6,SBab,4,m,4152,39,0,13.05,1,77.1,12.24,1,75.4,0.82,12.99,12.76,0.15,-20.3,N835 Mk1021
16,b,2,6,53.32,-,10,22,8.9,49.4,23.1,Sab,4,m,3977,25,0,13.83,1,61.3,12.75,1,60.9,1.07,13.74,13.27,0.15,-19.7,N833
16,c,2,7,11.25,-,10,22,56.0,31.5,25.1,Im,12,m,3851,36,0,13.72,0,68.9,12.65,0,68.3,1.04,13.4,13.1,0.08,-19.8,N838 Mk1022
16,d,2,7,15.6,-,10,25,11.1,41.1,22.0,Im,7,m,3847,44,0,13.98,0,63.5,12.7,0,64.9,1.29,13.9,13.42,0.09,-19.5,N839
17,a,2,11,22.8,+,13,4,41.0,10.7,10.3,E0,0,--,18228,44,0,17.15,1,18.6,14.7,1,49.2,1.88,16.75,16.52,0.2,-19.8,--
17,b,2,11,21.4,+,13,4,48.7,9.0,8.9,E0,0,--,17904,48,0,17.28,1,17.8,14.7,1,50.9,1.92,16.82,16.59,0.2,-19.7,--
17,c,2,11,22.77,+,13,5,3.9,8.1,6.1,S0,1,--,18224,105,0,17.76,1,14.3,15.32,1,34.7,1.91,17.73,17.45,0.2,-18.9,--
17,d,2,11,25.31,+,13,4,24.8,4.3,4.1,S0,1,--,18124,107,0,18.88,0,7.8,16.8,0,13.4,1.85,18.78,18.54,0.1,-17.8,--
17,e,2,11,21.88,+,13,5,9.8,3.4,2.6,S0,1,--,17976,142,1,19.55,0,6.2,17.4,0,11.1,1.9,19.26,18.98,0.2,-17.3,--
18,a,2,36,21.72,+,18,9,8.5,33.9,10.8,S0a,2,--,10019,47,0,15.62,1,42.2,14.11,1,45.5,1.42,15.61,15.01,0.2,--,--
18,b,2,36,18.47,+,18,10,4.1,50.0,26.8,Im,12,--,--,--,--,15.57,1,47.1,14.34,1,59.2,0.98,15.5,14.9,0.7,--,U2140a
18,c,2,36,18.2,+,18,10,24.5,22.8,13.7,Im,12,--,4143,37,0,16.24,1,30.1,15.25,1,35.8,0.82,16.09,15.61,0.2,--,U2140b
18,d,2,36,16.95,+,18,10,43.9,21.6,18.3,Im,12,--,4067,58,0,15.73,1,37.8,15.03,1,38.2,0.71,15.43,15.1,0.2,--,U2140c
19,a,2,40,14.26,-,12,38,0.4,26.2,20.4,E2,0,--,4279,25,0,14.51,1,46.1,12.85,1,68.9,1.56,14.23,14.0,0.2,-19.2,--
19,b,2,40,17.99,-,12,38,23.6,24.1,7.8,Scd,8,--,4210,25,0,15.79,1,28.5,14.44,1,34.4,1.28,15.86,15.24,0.2,-17.9,--
19,c,2,40,22.67,-,12,36,35.6,32.4,14.5,Sdm,10,--,--,--,--,15.58,0,45.8,14.25,0,58.5,1.12,14.97,14.46,0.1,-18.6,--
19,d,2,40,18.66,-,12,39,33.5,13.4,6.5,SBb,5,--,--,--,--,17.71,0,15.5,15.87,0,23.8,1.6,17.13,16.65,0.1,-16.5,--
20,a,2,41,17.08,+,25,53,17.1,14.5,5.5,S0,1,--,14477,45,0,17.43,1,16.2,15.26,1,29.9,1.85,17.17,16.7,0.2,-19.1,--
20,b,2,41,17.58,+,25,53,54.7,9.4,5.0,E5,0,--,14424,42,0,17.46,1,14.0,15.21,1,27.7,1.87,17.03,16.73,0.2,-19.1,--
20,c,2,41,18.64,+,25,53,40.0,9.2,8.5,E1,0,--,15032,45,0,17.36,1,17.6,15.18,1,33.7,1.83,16.94,16.64,0.2,-19.3,--
20,d,2,41,23.5,+,25,53,49.0,7.4,6.2,S0a,2,--,10561,61,0,17.88,1,13.3,16.01,1,19.2,1.75,17.72,17.37,0.2,--,--
20,e,2,41,21.9,+,25,53,30.4,5.4,4.1,E2,0,--,14312,49,0,18.53,1,9.5,16.6,1,12.6,1.84,17.99,17.69,0.2,-18.1,--
20,f,2,41,22.19,+,25,54,0.6,6.3,3.0,S0a,2,--,14280,62,0,19.54,1,6.1,17.36,1,10.2,1.75,18.77,18.25,0.2,-17.5,--
21,a,2,42,58.42,-,17,55,7.5,44.8,13.2,Sc,7,m,7614,29,0,15.29,3,44.9,13.14,3,77.0,1.87,14.79,14.13,0.2,-20.3,--
21,b,2,43,16.59,-,17,53,56.5,45.9,19.1,Sab,4,--,7568,35,0,14.69,3,54.4,12.64,3,82.6,1.89,14.39,13.85,0.2,-20.6,--
21,c,2,42,34.04,-,17,52,12.8,29.2,26.8,E1,0,--,7356,31,0,14.88,3,50.6,12.66,3,95.3,1.62,14.34,14.1,0.2,-20.2,--
21,d,2,43,9.92,-,17,45,9.5,18.0,15.0,E2,0,--,8835,48,0,15.96,3,30.6,14.17,3,44.6,1.62,15.42,15.18,0.2,-19.6,--
21,e,2,43,2.86,-,17,44,37.0,17.4,14.7,SB0a,2,--,8843,61,0,16.34,3,28.8,14.58,3,39.6,1.62,16.1,15.81,0.2,-18.9,--
22,a,3,1,18.22,-,15,48,30.4,79.8,62.5,E2,0,m,2705,22,0,12.78,0,111.2,10.95,0,172.2,1.62,12.49,12.24,0.13,--,N1199
22,b,3,1,5.95,-,15,51,24.5,30.6,12.4,Sa,3,--,2625,38,0,15.32,0,38.4,13.64,0,57.5,1.52,15.04,14.47,0.1,--,--
22,c,3,1,4.02,-,15,49,5.8,52.2,47.3,SBcd,8,--,2728,60,0,14.55,0,81.4,13.19,0,99.0,1.2,14.2,13.9,0.7,--,--
22,d,3,1,10.73,-,15,52,49.8,23.3,15.7,E3,0,--,9342,45,0,15.6,1,34.3,13.7,1,55.4,1.71,15.22,14.97,0.2,--,--
22,e,3,1,14.52,-,15,52,25.3,25.8,13.0,E5,0,--,9506,49,0,15.68,1,31.5,13.84,1,49.7,1.65,15.37,15.12,0.2,--,--
23,a,3,4,30.36,-,9,44,9.5,37.2,11.9,Sab,4,m,4798,37,0,15.13,3,36.7,13.45,3,50.1,1.59,14.96,14.32,0.2,-19.1,N1214
23,b,3,4,44.07,-,9,47,6.1,46.1,28.7,SBc,7,m,4921,30,0,15.14,3,48.7,13.41,3,64.4,1.59,14.83,14.42,0.2,-19.0,N1215
23,c,3,4,53.01,-,9,48,17.5,23.2,6.8,S0,1,m,5016,97,0,16.0,3,19.4,13.67,3,32.3,2.25,15.98,15.52,0.2,-18.0,N1216
23,d,3,4,29.78,-,9,49,17.2,19.3,15.2,Sd,9,m,4562,54,0,16.66,3,26.7,15.19,3,35.1,1.28,16.3,16.0,0.5,-17.3,--
23,e,3,4,44.94,-,9,46,9.0,12.1,5.5,Sm,11,--,10150,60,0,17.77,3,15.6,16.09,3,21.0,1.52,17.59,17.03,0.2,--,--
24,a,3,17,51.42,-,11,2,35.0,18.7,17.7,S0,1,--,9248,41,0,15.89,1,34.0,13.81,1,63.2,1.69,15.51,15.23,0.2,-19.6,--
24,b,3,17,58.94,-,11,2,49.5,22.6,16.7,SBa,3,m,9137,44,0,15.6,0,38.7,13.94,0,48.9,1.54,15.26,14.89,0.2,-19.9,--
24,c,3,17,48.95,-,11,2,35.4,12.0,8.3,SB0,1,--,9283,109,0,17.26,1,19.6,15.35,1,30.9,1.61,16.93,16.6,0.2,-18.2,--
24,d,3,17,56.24,-,11,2,16.4,6.5,4.7,S0a,2,--,8779,61,0,17.95,0,11.0,16.25,0,16.0,1.61,17.83,17.46,0.1,-17.3,--
24,e,3,17,54.31,-,11,2,49.1,4.7,4.6,E0,0,--,9323,61,0,18.3,1,9.5,16.45,1,14.5,1.63,17.91,17.64,0.2,-17.2,--
25,a,3,18,10.47,-,1,17,19.8,38.4,17.5,SBc,7,m,6285,30,0,14.7,0,51.1,13.63,0,54.3,1.05,14.39,13.86,0.1,-20.2,U2690
25,b,3,18,12.86,-,1,13,27.5,29.0,19.1,SBa,3,m,6408,35,0,15.15,1,41.2,12.33,1,54.5,1.75,14.85,14.45,0.2,-19.6,U2691a
25,c,3,18,10.57,-,1,10,55.3,22.3,8.8,Sb,5,--,10864,61,0,16.1,1,23.9,14.6,1,27.9,1.46,15.93,15.35,0.2,--,--
25,d,3,18,6.07,-,1,12,53.8,9.8,7.0,S0,1,m,6401,36,0,16.36,0,16.6,14.58,0,21.0,1.46,16.24,15.92,0.1,-18.1,--
25,e,3,18,10.04,-,1,11,9.7,9.3,8.7,Sdm,10,--,10965,38,0,16.67,1,17.0,15.38,1,19.3,1.25,16.17,15.89,0.2,--,--
25,f,3,18,12.82,-,1,14,1.3,11.1,9.9,S0,1,m,6279,37,0,16.66,1,18.8,14.96,1,29.2,1.52,17.26,16.98,0.2,-17.1,U2691b
25,g,3,18,19.6,-,1,14,34.1,8.7,6.2,S0,1,--,12179,26,0,17.38,0,13.7,15.6,0,17.8,1.7,17.25,16.93,0.1,--,--
26,a,3,19,34.1,-,13,49,44.9,32.0,5.8,Scd,8,m,9678,50,0,17.34,1,20.1,15.93,1,27.8,0.75,17.0,16.1,0.7,-18.9,--
26,b,3,19,35.95,-,13,49,36.0,19.5,9.6,E0,0,m,9332,39,0,16.74,1,21.1,15.46,1,25.1,1.3,15.88,15.61,0.2,-19.3,--
26,c,3,19,28.35,-,13,49,26.1,9.6,4.4,S0,1,--,9618,62,0,17.61,0,11.9,16.46,0,13.7,1.1,17.51,17.1,0.1,-17.8,--
26,d,3,19,35.34,-,13,49,25.3,5.6,5.0,cI,13,m,9133,62,0,16.94,1,17.3,16.77,1,13.9,0.54,16.08,15.81,0.2,-19.0,--
26,e,3,19,29.94,-,13,50,35.1,10.5,3.5,Im,12,m,9623,50,0,18.34,0,11.4,17.57,0,12.9,0.66,17.8,17.05,0.1,-17.9,--
26,f,3,19,36.4,-,13,50,31.8,5.4,3.7,cI,13,--,9626,46,0,18.93,0,7.3,18.57,0,7.3,0.36,18.95,18.68,0.1,-16.2,--
26,g,3,19,34.03,-,13,49,37.3,5.9,5.0,S0,1,--,9293,62,0,18.48,1,11.8,17.61,1,11.2,1.03,17.7,17.4,0.7,-17.5,--
27,a,4,17,5.85,-,11,51,11.0,15.6,5.9,Sb,5,--,18340,62,0,17.01,0,17.5,15.23,0,22.5,1.71,16.77,16.06,0.1,--,--
27,b,4,16,57.47,-,11,49,17.7,13.8,8.5,SBc,7,--,18530,61,0,16.58,0,21.7,15.28,0,23.1,1.29,16.25,15.71,0.1,--,--
27,c,4,17,2.75,-,11,50,34.3,11.1,8.0,Sa,3,--,26352,62,0,17.5,0,16.0,15.47,0,23.6,1.89,17.26,16.78,0.1,-20.4,--
27,d,4,16,54.25,-,11,48,40.6,8.3,4.5,S0a,2,--,26256,62,0,18.02,0,12.2,16.14,0,17.5,1.74,17.8,17.25,0.1,-19.9,--
27,e,4,17,0.39,-,11,49,51.3,2.8,2.8,S0,1,--,26044,115,0,19.22,0,8.0,17.18,0,11.1,1.9,18.4,18.0,0.5,-19.1,--
27,f,4,16,57.07,-,11,48,48.7,5.0,3.9,S0,1,m,26100,134,2,19.46,0,7.2,17.1,0,14.5,1.86,18.5,18.1,0.7,-19.0,--
28,a,4,24,56.04,-,10,25,1.7,25.7,5.7,Sb,5,m,11441,26,0,16.31,0,25.8,14.91,0,31.2,1.33,16.24,15.33,0.1,--,--
28,b,4,24,57.48,-,10,26,13.5,21.4,11.1,E5,0,--,11489,23,0,16.24,0,27.0,15.1,0,27.7,1.19,15.7,15.31,0.1,--,--
28,c,4,24,55.67,-,10,25,43.9,10.8,6.5,S0,1,m,11290,26,0,16.67,0,17.3,15.35,0,21.2,1.26,16.24,15.76,0.1,--,--
28,d,4,24,56.65,-,10,26,11.7,5.8,5.8,Sdm,10,--,30205,63,0,18.42,0,13.9,16.76,0,18.0,1.15,17.8,17.4,0.7,--,--
29,a,4,32,46.53,-,30,38,50.1,9.4,7.0,cI,13,--,13328,46,0,15.24,2,32.7,15.16,2,21.9,0.67,14.84,14.49,0.2,--,--
29,b,4,32,47.81,-,30,38,45.0,10.0,5.8,S0,1,--,30824,64,0,18.66,0,14.1,16.77,2,16.9,1.91,17.5,17.0,0.5,--,--
29,c,4,32,48.7,-,30,38,38.9,8.2,6.2,E2,0,--,31669,64,0,18.25,0,12.0,16.67,0,18.9,1.51,17.75,17.4,0.2,--,--
29,d,4,32,50.45,-,30,38,45.0,5.0,5.0,SB0,1,--,31714,63,0,18.9,0,9.4,17.36,0,12.2,1.48,18.7,18.35,0.2,--,--
30,a,4,33,47.98,-,2,55,55.7,55.5,40.5,SB-,3,--,4697,20,0,13.79,2,87.8,11.29,2,170.9,2.11,13.41,12.87,0.2,-20.5,--
30,b,4,33,59.72,-,2,58,1.9,36.5,23.5,Sa,3,m,4625,24,0,14.33,0,59.7,12.59,0,82.1,1.63,14.23,13.65,0.1,-19.7,--
30,c,4,33,52.64,-,2,54,2.2,17.3,12.5,SBbc,6,m,4508,38,1,15.87,0,39.3,14.7,0,40.9,1.12,15.6,15.06,0.1,-18.2,--
30,d,4,34,6.07,-,2,56,36.7,15.4,10.2,S0,1,m,4666,49,0,16.76,0,22.9,15.05,0,32.8,1.53,16.19,15.69,0.1,-17.7,--
31,a,4,59,9.86,-,4,19,51.8,32.3,19.9,Sdm,10,m,4042,44,0,15.62,2,33.6,14.43,2,40.2,1.13,15.52,14.83,0.2,--,N1741
31,b,4,59,6.53,-,4,20,8.4,26.1,13.7,Sm,11,m,4171,43,0,15.35,2,31.5,14.73,2,30.2,0.7,15.09,14.31,0.2,--,--
31,c,4,59,8.91,-,4,19,45.5,18.3,7.0,Im,12,m,4068,34,0,13.44,2,74.5,12.76,2,74.1,0.82,13.4,12.5,0.5,--,Mk1089
31,d,4,59,8.54,-,4,19,42.2,5.4,4.5,Sbc,6,--,26900,65,0,18.53,0,10.6,17.06,0,13.2,1.34,17.86,17.27,0.1,--,--
32,a,4,59,29.38,-,15,31,12.8,18.9,15.3,E2,0,--,12547,38,0,14.72,4,62.5,13.23,2,73.5,1.44,14.3,13.8,0.7,-21.7,--
32,b,4,59,24.22,-,15,28,11.6,16.1,6.7,SB0,1,--,12125,57,0,16.07,0,33.6,14.56,0,36.5,1.47,15.91,15.28,0.1,-20.2,--
32,c,4,59,32.77,-,15,30,7.0,13.7,8.7,S0a,2,--,11984,49,1,17.12,2,20.9,15.23,4,28.5,1.73,16.6,16.0,0.7,-19.4,--
32,d,4,59,29.58,-,15,30,7.8,13.7,7.3,S0,1,--,12313,52,1,17.59,4,12.3,15.76,2,16.7,1.76,17.33,16.74,0.2,-18.7,--
33,a,5,7,53.09,+,17,57,27.5,11.1,10.1,E1,0,m,7570,41,0,16.89,4,21.8,13.69,1,67.9,2.34,16.15,15.35,0.2,--,--
33,b,5,7,52.73,+,17,58,6.7,15.9,10.0,E4,0,m,8006,21,0,16.94,4,19.5,13.69,1,70.3,2.31,16.21,15.41,0.2,--,--
33,c,5,7,50.29,+,17,57,30.5,23.3,6.7,Sd,9,m,7823,47,1,18.06,4,18.7,14.85,1,55.3,2.32,17.7,16.4,0.7,--,--
33,d,5,7,58.66,+,17,58,19.2,7.2,7.2,E0,0,--,7767,37,0,18.42,4,8.6,15.37,4,27.9,2.2,17.53,16.73,0.2,--,--
34,a,5,19,4.51,+,6,38,27.5,19.6,16.1,E2,0,m,8997,31,0,14.89,4,61.2,12.23,2,130.3,2.11,14.9,14.2,0.5,--,N1875
34,b,5,19,8.49,+,6,37,43.6,8.5,3.7,Sd,9,m,9620,40,0,17.41,4,22.2,14.77,2,45.0,2.11,17.6,16.56,0.2,--,--
34,c,5,19,7.55,+,6,38,2.7,11.2,5.8,SBd,9,m,9392,40,0,17.1,4,24.6,15.15,2,41.8,1.58,17.26,16.28,0.2,--,--
34,d,5,19,6.33,+,6,38,8.9,4.5,3.0,S0,1,--,8817,66,1,18.29,4,13.2,15.64,2,28.5,2.08,18.4,17.57,0.2,--,--
35,a,8,41,57.67,+,44,42,10.5,14.4,6.1,S0,1,m,15919,38,0,16.24,1,24.7,14.46,1,34.7,1.69,16.03,15.56,0.2,-20.5,--
