HCG,m_HCG,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
47,d,10,23,7.45,+,14,0,11.5,13.7,10.7,Sd,9,--,9471,56,0,17.16,1,21.8,15.99,1,27.1,1.11,16.5,16.2,0.7,-18.7,--
48,a,10,35,25.58,-,26,49,13.1,45.7,35.1,E2,0,m,3014,48,0,14.02,3,81.3,12.39,3,103.0,1.54,13.5,13.21,0.2,--,I2597
48,b,10,35,27.9,-,26,51,41.5,22.0,20.4,Sc,7,m,2385,51,0,15.11,3,44.1,14.26,3,41.6,0.87,14.95,14.63,0.2,--,--
48,c,10,35,18.89,-,26,47,51.2,15.4,6.8,S0a,2,--,4203,36,0,16.52,3,20.7,14.75,3,27.2,1.71,16.36,15.82,0.2,--,--
48,d,10,35,19.93,-,26,47,2.1,8.8,7.5,E1,0,--,3045,139,0,17.48,3,15.7,15.62,3,23.3,1.68,16.99,16.7,0.2,--,--
49,a,10,53,23.11,+,67,27,8.5,14.3,13.3,Scd,8,m,9939,36,0,16.32,1,21.6,14.92,1,40.0,1.04,16.19,15.87,0.2,-19.1,--
49,b,10,53,20.72,+,67,26,50.9,13.2,8.7,Sd,9,m,9930,51,0,16.76,1,15.9,15.47,1,28.8,0.9,16.74,16.3,0.2,-18.7,--
49,c,10,53,18.2,+,67,26,54.3,10.1,7.9,Im,12,m,9926,60,0,17.67,1,13.7,16.24,1,23.8,1.06,17.58,17.18,0.2,-17.8,--
49,d,10,53,14.95,+,67,26,42.9,10.2,6.7,E5,0,m,10010,72,0,17.33,1,11.8,16.0,1,22.2,0.97,17.28,16.99,0.2,-18.0,--
50,a,11,14,14.37,+,55,11,23.2,5.9,5.8,E0,0,--,41870,118,0,19.08,1,9.2,16.2,1,23.1,2.17,18.7,18.4,0.5,-19.8,--
50,b,11,14,16.31,+,55,11,25.0,8.2,4.4,SB0,1,--,41170,111,0,19.15,1,9.0,16.46,1,19.6,2.14,18.9,18.5,0.7,-19.6,--
50,c,11,14,12.11,+,55,11,37.3,4.5,4.1,S0,1,--,41398,62,0,19.92,1,7.1,17.19,1,15.7,2.14,19.6,19.3,0.5,-18.9,--
50,d,11,14,14.53,+,55,11,46.8,7.3,4.1,S0,1,--,42546,62,0,19.83,1,7.1,17.02,1,15.8,2.25,19.5,19.2,0.7,-19.0,--
50,e,11,14,16.93,+,55,11,34.6,4.3,2.9,S0,1,--,41650,62,0,20.32,1,5.4,17.64,1,12.0,2.13,20.0,19.7,0.7,-18.5,--
51,a,11,19,47.57,+,24,34,23.1,40.0,37.0,E1,0,--,7696,34,0,14.49,1,58.5,12.68,1,79.0,1.68,14.08,13.89,0.2,-20.5,N3651 U6388
51,b,11,19,35.51,+,24,34,25.1,28.8,16.1,SBbc,6,--,8183,62,0,15.69,0,26.1,13.78,0,49.1,1.51,15.67,15.28,0.1,-19.3,--
51,c,11,19,51.42,+,24,33,12.2,34.4,22.9,S0,1,--,8902,20,0,14.76,1,52.4,12.3,1,102.8,1.67,14.43,14.17,0.2,-20.6,N3653
51,d,11,19,51.9,+,24,34,25.8,16.4,14.9,Sa,3,--,7529,35,0,15.81,1,30.3,12.97,1,74.1,1.47,15.4,15.18,0.2,-19.2,--
51,e,11,19,34.58,+,24,35,27.4,20.3,16.5,E2,0,m,7700,23,0,15.41,0,40.7,13.87,0,41.2,1.55,15.0,14.81,0.2,-19.6,--
