S  52  0 25.3 -54 28  F150 -062 +029  IR  II         26   15.6  16.8  17.5             0 27.7 -54 11  D     226  193  310.50 -62.59         0 5 17.2  1O
S  53  0 25.4 -44 32  F242 -029 +028  I   II-III      1   16.1  18.3  18.6             0 27.8 -44 15        193  192  316.90 -72.23         0 6 17.3  1O
S  54  0 25.9 -52 10  F194 -037 -114  I   III        48   18.8  19.1  19.9             0 28.3 -51 53        201   50  311.36 -64.86         0 6 17.4  1C
S  55  0 25.9 -52 16  F150 -060 +148  I   I-II      -40:  15.3  15.9  17.5             0 28.3 -51 59  R     224  312  311.31 -64.76         0 5 17.2  1O
S  56  0 26.0 -63 27  F079 -113 +079  I   II         12   14.6  15.4  16.7             0 28.3 -63 10  BD    277  243  307.35 -53.76         0 5 16.9  2O
S  57  0 26.0 -65 58  F079 -098 -055  I   II-III     20   16.5  17.5  18.3             0 28.3 -65 41        262  109  306.75 -51.27         0 6 17.3  2O
S  58  0 26.1 -69 18  F050 +120 +031  IR  I-II        1   14.9  15.6  16.5             0 28.3 -69  1  D      44  195  306.03 -47.97         0 5 16.7  2O
S  59  0 28.2 -47 48  F242 -002 -147  IR  I-II        4   15.3  15.6  16.8             0 30.6 -47 31  D     166   17  312.88 -69.20         0 5 17.0  1O
S  60  0 32.0 -18 53  F540 -128 +062  R:  II-III     73   19.2  19.5  20.2             0 34.5 -18 36        292  226   97.49 -80.63         1 6 17.5  1C
S  61  0 32.0 -39 24  F294 +061 +032  IR  II-III     21   15.4  15.7  17.6             0 34.4 -39  7  D     103  196  318.34 -77.49         0 5 17.2  1O
S  62  0 32.5 -47 36  F194 +020 +129  I   II?      ( 71)  18.8: 19.4  20.1             0 34.9 -47 19  B     144  293  310.99 -69.54         1 6 17.4  1C
S  63  0 33.5 -52 28  F150 +002 +137  I   II        -44   15.3* 15.8  17.0             0 35.8 -52 11  DR    162  301  308.55 -64.77 (.0417) 0 5 17.2  1O
S  64  0 36.7 -39  8  F295 -160 +044  I   I-II       10   14.1  15.4  16.6             0 39.1 -38 51        324  208  314.54 -77.99         0 5 16.8  1O
S  65  0 38.2 -62 40  F079 -038 +126  IR  II-III     11   17.0  18.0  18.6             0 40.4 -62 23  DQ    202  290  305.15 -54.69         0 6 17.3  1O
S  66  0 38.5 -53 53  F150 +042 +060  I   II         15   15.0  15.7  16.6             0 40.8 -53 36  DR    122  224  306.47 -63.45         0 5 16.8  1O
S  67  0 38.6 -44 46  F243 -166 +010  RI  II-III:  ( 93)  19.6  20.0  21.0             0 41.0 -44 29        330  174  309.16 -72.51         2 6 17.5  1C
S  68  0 38.7 -28  7  F474 -065 -167  R   II-III:   100   18.5: 19.3  20.0             0 41.2 -27 50        229   -3   14.95 -87.61         2 6 17.4  1C,1O
S  69  0 39.1 -38 10  F295 -137 +097  I   I          -5:  13.4  15.0  16.8             0 41.5 -37 53        301  261  313.29 -79.04         0 5 17.0  1O
S  70  0 39.6 -28 19  F411 -077 +092  I   II-III     15:  15.3  15.9  17.3             0 42.1 -28  2        241  256    8.66 -87.73         0 5 17.2  1O
S  71  0 41.0 -38 30  F295 -117 +080  RI  I-II       19   18.0: 18.7  19.3             0 43.4 -38 13        281  244  311.07 -78.77         0 6 17.4  1O
S  72  0 41.4 -34 12  F351 -075 +046  IR  II-III     65   18.6  18.9  19.7             0 43.8 -33 55        239  210  316.03 -83.01         1 6 17.4  1O
S  73  0 41.8 -39 38  F295 -107 +019  IR  I-II       21   15.5  16.8  17.5             0 44.2 -39 21        271  183  309.52 -77.68         0 5 17.2  1O
S  74  0 43.4 -50 13  F195 -147 -013  I   II         21:  15.0  15.3  15.7             0 45.7 -49 56        311  151  305.32 -67.16  .0283  0 4 15.9  1O
S  75  0 43.6 -69  6  F051 -044 +050  IR  III        26   17.3  17.8  18.1             0 45.6 -68 49  D     208  214  303.73 -48.29         0 6 17.3  1O
S  76  0 44.3 -55 54  F150 +083 -049  IR  I-II       19   16.8: 18.8  19.3             0 46.5 -55 37         81  115  304.39 -61.49         0 6 17.4  1O
S  77  0 44.5 -55  1  F150 +086 -002  RI  I          29   15.1  15.4  16.8             0 46.7 -54 44  BR     78  162  304.40 -62.37         0 5 17.0  1O
S  78  0 45.2 -48 31  F195 -136 +079  R   I          -4   13.9  15.1  15.9             0 47.5 -48 14  D     300  243  304.75 -68.87         0 4 16.1  1O
S  79  0 45.3 -64 48  F079 +005 +011  I   II         16   15.3  15.9  17.5             0 47.4 -64 31        159  175  303.66 -52.60         0 5 17.2  1O
S  80  0 45.9 -58 41  F112 +049 +072  I   III        28   17.1  17.2  17.8             0 48.1 -58 24  D     115  236  303.78 -58.71         0 5 17.2  1C
S  81  0 46.0 -49 23  F195 -126 +033  IR  II-III     26   15.6  16.1  16.7             0 48.3 -49  6        290  197  304.31 -68.01         0 5 16.9  1O
S  82  0 46.2 -65 11  F079 +010 -010  I:  II        -11   13.8  15.1  16.5             0 48.3 -64 54        154  154  303.49 -52.21         0 5 16.7  1O
S  83  0 46.5 -34 31  F351 -019 +029  I   II         12   15.4  15.7  17.0             0 48.9 -34 14        183  193  307.16 -82.86         0 5 17.2  1O
S  84  0 46.9 -29 48  F411 +008 +013  RI  I          11   15.7? 17.0  17.4             0 49.3 -29 31  B     156  177  313.75 -87.56  .11    0 5 17.2  1O
S  85  0 47.6 -47 39  F195 -116 +126  I   II         -6   13.5  15.3? 16.0             0 49.9 -47 22        280  290  303.69 -69.75 (.0196) 0 4 16.2  1O
S  86  0 47.7 -48  5  F195 -115 +103  RI  II          4   15.1: 15.7  16.4             0 50.0 -47 48        279  267  303.62 -69.32         0 5 16.6  1O
S  87  0 48.7 -55 26  F150 +117 -026  I   II-III      2   17.3  18.9  19.1             0 50.9 -55  9         47  138  303.10 -61.97         0 6 17.4  1O
S  88  0 49.4 -34 12  F351 +015 +046  I   II-III      9   15.4  16.0  17.5             0 51.8 -33 55        149  210  302.31 -83.20         0 5 17.2  1O
S  89  0 49.8 -37 48  F295 -025 +118  I   II-III     18   13.0* 16.0  17.3             0 52.2 -37 31        189  282  302.13 -79.60         0 5 17.2  1O
S  90  0 50.5 -39 14  F295 -016 +042  RI  II-III     25   17.1  18.1  18.6             0 52.9 -38 57        180  206  301.59 -78.16         0 6 17.3  1O
S  91  0 50.9 -25 18  F474 +081 -015  R   II-III     68   19.1  19.5  20.1             0 53.3 -25  1         83  149  134.57 -87.86         1 6 17.4  1C
S  92  0 51.1 -48 26  F195 -084 +085  IR  II-III     27:  15.1  15.4  16.2             0 53.4 -48  9        248  249  302.04 -68.96         0 4 16.4  1O
S  93  0 51.1 -57 41  F150 +127 -148  IR  I-II       17   16.5  18.0  18.6             0 53.3 -57 24  D      37   16  302.45 -59.71         0 6 17.3  1O
S  94  0 51.6 -59 32  F112 +087 +024  R:  II-III:    43   19.2  19.5  20.0             0 53.7 -59 15  Q      77  188  302.39 -57.86         0 6 17.4  1C
