Name,DSPshort,DSPlong
NGC5074,"eF, vS","extremely faint, very small"
NGC5075,"vF, eS, stell","very faint, extremely small, stellar"
NGC5076,"vF, cS, R, 1st of 3","very faint, considerably small, round, 1st of 3"
NGC5077,"pB, S, vlE, sbM, 2nd of 3","pretty bright, small, very little extended, suddenly brighter middle, 2nd of 3"
NGC5078,"pB, pS, cE, psbM, * 7·8 f","pretty bright, pretty small, considerably extended, pretty suddenly brighter middle, 7th or 8th magnitude star to east"
NGC5079,"cF, pS, vlE, 3rd of 3","considerably faint, pretty small, very little extended, 3rd of 3"
NGC508,"vF, S, n of 2","very faint, small, northern of 2"
NGC5080,"F, S, * 7 nf","faint, small, 7th magnitude star to northeast"
NGC5081,"pF, S, iR, * 7·8 np","pretty faint, small, irregularly round, 7th or 8th magnitude star to northwest"
NGC5082,"vF, S, R, 1st of 4","very faint, small, round, 1st of 4"
NGC5083,"pF, pL, R","pretty faint, pretty large, round"
NGC5084,"cB, cS, vlE 90° ±, bf","considerably bright, considerably small, very little extended 90±, brightest toward the eastern side"
NGC5085,"F, L, R, vglbM","faint, large, round, very gradually a little brighter middle"
NGC5086,"eF, vS, R, 2nd of 4","extremely faint, very small, round, 2nd of 4"
NGC5087,"cF, vS, iF","considerably faint, very small, irregular figure"
NGC5088,"pB, pS, R, bM","pretty bright, pretty small, round, brighter middle"
NGC5089,"pF, pL, gbM","pretty faint, pretty large, gradually brighter middle"
NGC509,"vF, S, E","very faint, small, extended"
NGC5090,"pB, pL, R, 3rd of 4","pretty bright, pretty large, round, 3rd of 4"
NGC5091,"cF, S, vlE, 4th of 4","considerably faint, small, very little extended, 4th of 4"
NGC5092,"pB, pL, iR, * 17 s","pretty bright, pretty large, irregularly round, 17th magnitude star to south"
NGC5093,"vF, S, R, lbM","very faint, small, round, a little brighter middle"
NGC5094,"cF, vS, R, gbM","considerably faint, very small, round, gradually brighter middle"
NGC5095,"vF, iR, * 11 sp","very faint, irregularly round, 11th magnitude star to southwest"
NGC5096,"vF, cS, R, bM, sp of 2","very faint, considerably small, round, brighter middle, southwestern of 2"
NGC5097,"eF, eS, R, stell, nearly bet 2 st","extremely faint, extremely small, round, stellar, nearly between 2 stars"
NGC5098,"vF, S, bet 2 st, nf of 2","very faint, small, between 2 stars, northeastern of 2"
NGC5099,"eF, eS, R","extremely faint, extremely small, round"
NGC51,"pF, pS, R, bM","pretty faint, pretty small, round, brighter middle"
NGC510,"vF, vS, lE","very faint, very small, a little extended"
NGC5100,"vF, vS, lbM","a magnificent object (!!!), a globular cluster, ω Centauri"
NGC5101,"cB, pS, lE, psbM *",
NGC5102,"vB, pS, R, svmbM","very bright, pretty small, round, suddenly very much brighter middle"
NGC5103,"pB, cS, E","pretty bright, considerably small, extended"
NGC5104,"F, S, lE","faint, small, a little extended"
NGC5105,"eF, pS, lE","extremely faint, pretty small, a little extended"
NGC5106,"vF, vS, PD very doubtful",
NGC5107,"vF, S, cE 0° ±",
NGC5108,"eeF, p of 2","most extremely faint, western of 2"
NGC5109,"cF, S, cE","a magnificent object (!!!), a globular cluster, ω Centauri"
NGC511,"eF, vS, S * inv, S * att","extremely faint, very small, small (faint) star involved, small star attached"
NGC5110,"eF, pS, R, in line with 2 pB st","a magnificent object (!!!), a globular cluster, ω Centauri"
NGC5111,"cF, cS, iR, glbM","considerably faint, considerably small, irregularly round, gradually a little brighter middle"
NGC5112,"F, L, iR, vglbM","faint, large, irregularly round, very gradually a little brighter middle"
NGC5113,"cF, S, E (perhaps = h 1588)",
NGC5114,"F, lE, psbM, f of 2","faint, a little extended, pretty suddenly brighter middle, eastern of 2"
NGC5115,"eeF, S, R, * nf, D * f 24s",
NGC5116,"pF, pS, pmE, glbM, r","pretty faint, pretty small, pretty much extended, gradually a little brighter middle, mottled but not resolved"
NGC5117,"vF, L, Δ 2 st 11 np",
NGC5118,"vF, S, R, gbM","very faint, small, round, gradually brighter middle"
NGC5119,"pB, S, lE","pretty bright, small, a little extended"
NGC512,"vF, vS","very faint, very small"
NGC5120,"Cl, eRi, mC, st 12…16","a cluster, extremely rich, much compressed, stars from 12th to 16th magnitude"
NGC5121,"cB, S, R, psmbM, r","considerably bright, small, round, pretty suddenly much brighter middle, mottled but not resolved"
NGC5122,"vF, S, R","very faint, small, round"
NGC5123,"pF, S, R, gmbM","pretty faint, small, round, gradually much brighter middle"
NGC5124,"vF, S, vlE","very faint, small, very little extended"
NGC5125,"pF, S, R, gbM","pretty faint, small, round, gradually brighter middle"
NGC5126,"vF, vS","very faint, very small"
NGC5127,"pB, pL, R, gmbM, ** p","pretty bright, pretty large, round, gradually much brighter middle, double star to west"
NGC5128,"!!, vB, vL, vmE 122°.5, bifid",
NGC5129,"pB, vS, R, gmbM, ** f","pretty bright, very small, round, gradually much brighter middle, double star to east"
NGC513,"F, S, stellar","faint, small, stellar"
NGC5130,"vF, vS, gbM","very faint, very small, gradually brighter middle"
NGC5131,"F, pS, lE, N = * 15","faint, pretty small, a little extended, nucleus = 15th magnitude star"
NGC5132,"vF, r","very faint, mottled but not resolved"
NGC5133,"vF, vS, irrR, bM","very faint, very small, irregularly round, brighter middle"
NGC5134,"F, pS, lE, vgbM","faint, pretty small, a little extended, very gradually brighter middle"
NGC5135,"pB, S, E","pretty bright, small, extended"
NGC5136,"eF, vS, R, psbM","extremely faint, very small, round, pretty suddenly brighter middle"
NGC5137,"eeF, pL, v diffic","most extremely faint, pretty large, very difficult"
NGC5138,"Cl, Ri, lC, st 11","a cluster, rich, a little compressed, stars of 11th magnitude"
NGC5139,"!!!, globular cluster of stars, ω Centauri","a magnificent object (!!!), a globular cluster, ω Centauri"
NGC514,"F, L, lE, vglbM, ** f","faint, large, a little extended, very gradually a little brighter middle, double star to east"
NGC5140,"vF, S, R, glbM","very faint, small, round, gradually a little brighter middle"
NGC5141,"cF, cS, R, vsmbM *, * 12 sp, sp of 2",
NGC5142,"F, cS, R, vsmbM *, nf of 2",
NGC5143,vF,very faint
NGC5144,"planetary ?, cB, S, R, g, slbM","perhaps a planetary nebula, considerably bright, small, round, gradually, suddenly a little brighter middle"
NGC5145,"pB, vS, vlE, glbM","pretty bright, very small, very little extended, gradually a little brighter middle"
NGC5146,"vF, vS, stellar","very faint, very small, stellar"
NGC5147,"pB, pL, vlE, vsmbM * 12","pretty bright, pretty large, very little extended, very suddenly much brighter middle equivalent to 12th magnitude star"
NGC5148,"eF, S","extremely faint, small"
NGC5149,"cF, pS, E, bM, sp of 2","considerably faint, pretty small, extended, brighter middle, southwestern of 2"
NGC515,"pF, vS, R, np of 2","pretty faint, very small, round, northwestern of 2"
NGC5150,"cF, S, R, pslbM, * f 2'",
NGC5151,"vF, S, R, * 8 nf 4'",
NGC5152,"vF, S, R, p of D neb","very faint, small, round, western of double nebula"
NGC5153,"pF, S, f of D neb","pretty faint, small, eastern of double nebula"
NGC5154,"vF, pL, R, nf of 2","very faint, pretty large, round, northeastern of 2"
NGC5155,"Cl, vRi","a cluster, very rich"
NGC5156,"pB, cS, iE, glbM, r","pretty bright, considerably small, irregularly extended, gradually a little brighter middle, mottled but not resolved"
NGC5157,"F, pS, vlE, bM, p of 2","faint, pretty small, very little extended, brighter middle, western of 2"
NGC5158,"vF, R","very faint, round"
NGC5159,"eF, S, lE","extremely faint, small, a little extended"
NGC516,"eF, S, v diffic, I 151 f 41s","extremely faint, small, very difficult, I 151 forty-one seconds of time to east"
NGC5160,pF (? vF D * with F * close),
NGC5161,"pF, L, vmE, pgbM, rr","pretty faint, large, very much extended, pretty gradually brighter middle, partially resolved (some stars seen)"
NGC5162,"vF, pL, lE, F * nr nf","a magnificent or otherwise interesting object, Great Spiral nebula"
NGC5163,"cF, stellar","considerably faint, stellar"
NGC5164,"cF, S, iR","considerably faint, small, irregularly round"
NGC5165,"F, vS, R, * 13 sf",
NGC5166,"pF, pL, lE, lbM, f of 2","pretty faint, pretty large, a little extended, a little brighter middle, eastern of 2"
NGC5167,"vF, sev vF st close",
NGC5168,"Cl, vF, S, vRi, st 15","a cluster, very faint, small, very rich, stars of 15th magnitude"
NGC5169,"vF, pS, R","very faint, pretty small, round"
NGC517,"pF, R, stellar, sf of 2","pretty faint, round, stellar, southeastern of 2"
NGC5170,"cF, L, mE 129°, pgbM",
NGC5171,"pB, L","pretty bright, large"
NGC5172,"F, pL, R, gbM","faint, pretty large, round, gradually brighter middle"
NGC5173,"F, vS, R, stellar","faint, very small, round, stellar"
NGC5174,"vF, pL, D neb, close",
NGC5175,"vF, pL, D neb, close",
NGC5176,"No description, not seen by T",
NGC5177,"No description, not seen by T",
NGC5178,vF,very faint
NGC5179,"vF, * in centre",
NGC518,"F, vS, R","faint, very small, round"
NGC5180,"vF, S, R, am 3 st, * 7 nf","very faint, small, round, among 3 stars, 7th magnitude star to northeast"
NGC5181,"vF, S, R","very faint, small, round"
NGC5182,"vF, pL, vlE, * 7 nf 10'",
NGC5183,"F, cS, lE, gbM, p of 2","faint, considerably small, a little extended, gradually brighter middle, western of 2"
NGC5184,"pF, pL, iR, bM, f of 2","pretty faint, pretty large, irregularly round, brighter middle, eastern of 2"
NGC5185,"vF, S, iR","very faint, small, irregularly round"
NGC5186,No description,no description
NGC5187,"vF, vS, R, glbM","very faint, very small, round, gradually a little brighter middle"
NGC5188,"F, pL, vlE, vglbM","faint, pretty large, very little extended, very gradually a little brighter middle"
NGC5189,"!, B, pL, cE, bM, curved axis, 4 st inv",
NGC519,"eeF, vS, R, v diffic","most extremely faint, very small, round, very difficult"
NGC5190,"cF, S, R, bM, *** f",
NGC5191,"eF, * 9 f 57s",
NGC5192,vF,very faint
NGC5193,"pB, S, R, g, psbM","pretty bright, small, round, gradually, pretty suddenly brighter middle"
NGC5194,"!!!, Great Spiral neb","a magnificent or otherwise interesting object, Great Spiral nebula"
NGC5195,"B, pS, lE, vgbM, inv in M 51",
NGC5196,vF,very faint
NGC5197,vF,very faint
NGC5198,"pF, pS, R, mbM","pretty faint, pretty small, round, much brighter middle"
NGC5199,"vF, vS, lE","very faint, very small, a little extended"
NGC52,"vF, S, E","very faint, small, extended"
NGC520,"F, cL, E 137°","faint, considerably large, extended 137°"
NGC5200,* 12 in F neb,
NGC5201,"pF, cS, R, vglbM","pretty faint, considerably small, round, very gradually a little brighter middle"
NGC5202,vF,very faint
NGC5203,"vF, cS, R, gbM, r","very faint, considerably small, round, gradually brighter middle, mottled but not resolved"
NGC5204,"pB, cL, iR, gmbM, r","pretty bright, considerably large, irregularly round, gradually much brighter middle, mottled but not resolved"
NGC5205,"vF, pS, R, bet 2 vF st","very faint, pretty small, round, between 2 very faint stars"
NGC5206,"F, pL, R, vgbM","faint, pretty large, round, very gradually brighter middle"
NGC5207,"F, S, cE, * 11 att np",
NGC5208,"F, vS, R, psbM, p of 2","faint, very small, round, pretty suddenly brighter middle, western of 2"
NGC5209,"F, vS, R, stellar, f of 2","faint, very small, round, stellar, eastern of 2"
NGC521,"F, pL, R, gbM","faint, pretty large, round, gradually brighter middle"
NGC5210,"F, S, R, psbMN","faint, small, round, pretty suddenly brighter middle and nucleus"
NGC5211,"pB, S, R, psmbM","pretty bright, small, round, pretty suddenly much brighter middle"
NGC5212,eF,extremely faint
NGC5213,"vF, S, lE","very faint, small, a little extended"
NGC5214,"vF, S, R, lbM","very faint, small, round, a little brighter middle"
NGC5215,"eF, eS, * s and * p",
NGC5216,"pB, S, vlE","very remarkable object, (per William and John Herschel) very bright, very large, extended 55°, extremely suddenly bright middle and nucleus; (per Lacaille) 3 branched spiral"
NGC5217,"vF, S, R, bM","very faint, small, round, brighter middle"
NGC5218,"pB, pL, R, gbM","pretty bright, pretty large, round, gradually brighter middle"
NGC5219,"vF, S, R, * n, nr","very faint, small, round, star to north, near"
NGC522,"eF, pL, iF, ? Cl + neb","extremely faint, pretty large, irregular figure, perhaps cluster plus nebula"
NGC5220,"vF, S, R, * 10 f","very faint, small, round, 10th magnitude star to east"
NGC5221,"vF, S, vlE, 1st of 3","very faint, small, very little extended, 1st of 3"
NGC5222,"cF, S, R, bM, 2nd of 3","considerably faint, small, round, brighter middle, 2nd of 3"
NGC5223,"F, cS, R, * 10 p, p of 2","faint, considerably small, round, 10th magnitude star to west, western of 2"
NGC5224,"vF, S, * 9 nf inv ?",
NGC5225,"cF, pS, iR, lbM","considerably faint, pretty small, irregularly round, a little brighter middle"
NGC5226,"eF, pS, h 1637 sp",
NGC5227,"vF, S, R","very faint, small, round"
NGC5228,"vF, vS, R, f of 2","very faint, very small, round, eastern of 2"
NGC5229,"eF, L, mE, v diffic","extremely faint, large, much extended, very difficult"
NGC523,"D neb, vF, vS, pos 90°, dist 30""","a double nebula, very faint, very small, position angle 90°, distance 30 arcsec"
NGC5230,"F, L, E, vgbM, 3rd of 3","faint, large, extended, very gradually brighter middle, 3rd of 3"
NGC5231,"F, S, bM","faint, small, brighter middle"
NGC5232,"F, vS","faint, very small"
NGC5233,"F, S, R, vS * nr","faint, small, round, very small (faint) star near"
NGC5234,"eeF, S, lE","most extremely faint, small, a little extended"
NGC5235,"vF, pS, vlE, * 9 sp","very faint, pretty small, very little extended, 9th magnitude star to southwest"
NGC5236,"!!, (H, h) vB, vL, E 55°, esbMN, (L) 3 branched spiral","very remarkable object, (per William and John Herschel) very bright, very large, extended 55°, extremely suddenly bright middle and nucleus; (per Lacaille) 3 branched spiral"
NGC5237,"F, pL, cE, vglbM","faint, pretty large, considerably extended, very gradually a little brighter middle"
NGC5238,"cF, pL, R, vlbM","considerably faint, pretty large, round, very little brighter middle"
NGC5239,"vF, pL, R, er","very faint, pretty large, round, extremely mottled but not resolved"
NGC524,"vB, pL, mbM, 4 S st nr","very bright, pretty large, much brighter middle, 4 small (faint) stars near"
NGC5240,"vF, pL, R, lbM","very faint, pretty large, round, a little brighter middle"
NGC5241,"pF, eS, vF * close","pretty faint, extremely small, very faint star close"
NGC5242,"eF, eL","extremely faint, extremely large"
NGC5243,"cF, pL, E 65°, biN ?",
NGC5244,"vF, S, R, vglbM, * 13 att","very remarkable object, (per William and John Herschel) very bright, very large, extended 55°, extremely suddenly bright middle and nucleus; (per Lacaille) 3 branched spiral"
NGC5245,"vF, vS","very faint, very small"
NGC5246,"vF, vS","very faint, very small"
NGC5247,"!!, (H, h) cF, vL, vg, psmbMLN, (L) 2 branched spiral",
NGC5248,"B, L, E 150°, psbMrN",
NGC5249,"vF, S, R, bM","very faint, small, round, brighter middle"
NGC525,"vF, vS, * 11·12 p 5s","very faint, very small, 11th or 12th magnitude star 5 seconds of time to west"
NGC5250,"pB, S, R, vgbM","pretty bright, small, round, very gradually brighter middle"
NGC5251,"vF, S, vlE","very faint, small, very little extended"
NGC5252,"vF, S, R, bM","very faint, small, round, brighter middle"
NGC5253,"B, pL, E 45° ±, psmbM","bright, pretty large, extended 45°±, pretty suddenly much brighter middle"
NGC5254,"pB, L, pmE, glbM","pretty bright, large, pretty much extended, gradually a little brighter middle"
NGC5255,"vF, vS","very faint, very small"
NGC5256,"eF, vS, R, gbM","extremely faint, very small, round, gradually brighter middle"
NGC5257,"vF, S, R, bM, p of D neb","very faint, small, round, brighter middle, western of double nebula"
NGC5258,"F, S, iR, f of D neb","very faint, small, round, brighter middle, western of double nebula"
NGC5259,"vF, S, iR","very faint, small, irregularly round"
NGC526,"F, S, lE, p of 2","faint, small, a little extended, the preceding (western) of 2"
NGC5260,"eF, pL, 3 st f in a line","extremely faint, pretty large, 3 stars to east in a line"
NGC5261,"vF, R, am pB st","very faint, round, among pretty bright stars"
NGC5262,"eF, S","extremely faint, small"
NGC5263,"cF, S, mE 0° ±, * 9 sp","considerably faint, small, much extended 0°±, 9th magnitude star to southwest"
NGC5264,"vF, pL, R, vlbM","very faint, pretty large, round, very little brighter middle"
NGC5265,"F, cS, vlE, er","faint, considerably small, very little extended, extremely mottled but not resolved"
NGC5266,"B, pL, vlE, vglbM, 3 st nr","bright, pretty large, very little extended, very gradually a little brighter middle, 3 stars near"
NGC5267,"F, S, R, gbM, S * np","faint, small, round, gradually brighter middle, small star to northwest"
NGC5268,A nebula (Auw 32),a nebula (Auwers 32)
NGC5269,"Cl, P, L, iF, st 12","a cluster, poor, large, irregular figure, stars of 12th magnitude"
NGC527,"F, S, lE, bM, f of 2","faint, small, a little extended, brighter middle, the following (eastern) of 2"
NGC5270,"eF, S, bet 2 st","extremely faint, small, between 2 stars"
NGC5271,"vF, vS, R, gvlbM","very faint, very small, round, gradually a very little brighter middle"
NGC5272,"!!, globular cluster of stars, eB, vL, vsmbM, st 11…","a very remarkable object, a globular cluster, extremely bright, very large, very suddenly much brighter middle, stars from 11th magnitude"
NGC5273,"cB, pL, R, g, psmbM","considerably bright, pretty large, round, gradually then pretty suddenly much brighter middle"
NGC5274,"vF, vS, R, bM","very faint, very small, round, brighter middle"
