Name,DSPshort,DSPlong
IC5084,"F, pS, eE 155°, cbM","faint, pretty small, extremely extended 155°, considerably brighter middle"
IC5085,"vF, vS, R","very faint, very small, round"
IC5086,"eeF, pS, R, F * f","most extremely faint, pretty small, round, faint star to east"
IC5087,"vF, vS, * 11 np 3'","very faint, very small, 11th magnitude star 3 arcmin northwest"
IC5088,"eF, vS, diffic","extremely faint, very small, difficult"
IC5089,"eF, vS, bM, F * 30"" sp","extremely faint, very small, brighter middle, faint star 30 arcsec southwest"
IC509,"vF, pL, dif, lbM","very faint, pretty large, diffuse, a little brighter middle"
IC5090,"vF, S, R, sbM","very faint, small, round, suddenly brighter middle"
IC5091,"eF, vS, R","extremely faint, very small, round"
IC5092,"pL, E, mbM","pretty large, extended, much brighter middle"
IC5093,"eeF, vS, R, susp","most extremely faint, very small, round, suspected"
IC5094,"vF, vS, R, * np 0'.5","very faint, very small, round, star 0.5 arcmin northwest"
IC5095,"pL, E","pretty large, extended"
IC5096,"F, pL, eE 145°, stell N","faint, pretty large, extremely extended 145°, stellar nucleus"
IC5097,"eF, stell, 3' sf 7045","extremely faint, stellar, 3 arcmin southeast of (NGC) 7045"
IC5098,"eF, 2'.5 sff 7045","extremely faint, 2.5 arcmin east southeast of (NGC) 7045"
IC5099,"vF, S, lE 10°","very faint, small, a little extended 10°"
IC51,"pB, S, bM, r","pretty bright, small, brighter middle, mottled but not resolved"
IC510,"F, vS, R, dif","faint, very small, round, diffuse"
IC5100,"F, S, cE 110°","faint small, considerably extended 110°"
IC5101,"cF, S, * in neb","considerably faint, small, star in nebulosity"
IC5102,"eF, eS, bM","extremely faint, extremely small, brighter middle"
IC5103,"eF, vS, R","extremely faint, very small, round"
IC5104,"F, vS, E ns, dif, * 14 nr","faint, very small, extended north-south, diffuse, 14th magnitude star near"
IC5105,"vF, vS, R, st n & s","very faint, very small, round, stars to north and south"
IC5106,"F, S, R, bM","faint, small, round, brighter middle"
IC5107,"eF, vS, cE 10°","extremely faint, very small, considerably extended 10°"
IC5108,"eF, vS, cbM","extremely faint, very small, considerably brighter middle"
IC5109,"vF, bM","very faint, brighter middle"
IC511,"vF, S, cE, 2 st sf","very faint, small, considerably extended, 2 stars to southeast"
IC5110,"vF, vlE","very faint, very little extended"
IC5111,"F, S, iF","faint, small, irregular figure"
IC5112,"Cl, eF, eS","cluster, extremely faint, extremely small"
IC5113,"Cl, eF, S, ? nebs","cluster, extremely faint, small, perhaps nebulous"
IC5114,"eF, pS, R, 2 st f 30s ","extremely faint, pretty small, round, 2 stars 30 seconds of time to the east"
IC5115,"eeF, vS, F * f","most extremely faint, very small, faint star to east"
IC5116,"cF, S, R, stell N","considerably faint, small, round, stellar nucleus"
IC5117,"Planetary, stellar","planetary, stellar"
IC5118,"vF, S, cE 35°, * 10 sp 2'","very faint, small, considerably extended 35°, 10th magnitude star 2 arcmin to southwest"
IC5119,"F, vS, dif, * 15 att, * 13 n","faint, very small, diffuse, 15th magnitude star attached, 13th magnitude star to north"
IC512,"F, S, R, gbM","faint, small, round, gradually brighter middle"
IC5120,"F, alm R","faint, almost round"
IC5121,"Planetary, stellar, 13 magn","planetary, stellar, 13th magnitude"
IC5122,"eF, vS, 7103-04, I.C. 1393 nr","extremely faint, very small; (NGC) 7103 and 7104 and IC 1393 near"
IC5123,"cF, vS, cE 15°, * 12 p 1'","considerably faint, very small, considerably extended 15°, 12th magnitude star 1 arcmin to west"
IC5124,"eeF, S, diffic, another susp 1' s","most extremely faint, small, difficult; another suspected 1 arcmin to south"
IC5125,"F, eS, R, bM","faint, extremely small, round, brighter middle"
IC5126,"vF, vS, R, bet 2 st 14","very faint, very small, round, between two 14th magnitude stars"
IC5127,"eF, pL, sev eF st & neb","extremely faint, pretty large, several extremely faint stars and nebulosity"
IC5128,"eeF, vS, R, dif, st sp","most extremely faint, very small, round, diffuse, star to southwest"
IC5129,No descr,no description
IC513,"F, S, dif, r","faint, small, diffuse, mottled but not resolved"
IC5130,"vF, vS","very faint, very small"
IC5131,"vF, vS, R","very faint, very small, round"
IC5132,2 st 13 magn in vF neb,(one of) two 13th magnitude stars in very faint nebulosity
IC5133,2 st 13 magn in vF neb,(one of) two 13th magnitude stars in very faint nebulosity
IC5134,"* 9.5 in neb, IV 75 close",a 9.5 magnitude star in nebulosity; IV 75 close
IC5135,"vF, pL, R","very faint, pretty large, round"
IC5136,"eeF, S, R","most extremely faint, small, round"
IC5137,"eF, S, R, stell N, spir ?, susp","extremely faint, small, round, stellar nucleus, spiral?; suspected"
IC5138,"eF, eS, R, susp","extremely faint, extremely small, round, suspected"
IC5139,"vF, S, lE","very faint, small, a little extended"
IC514,"vF, E ns","very faint, extended north-south"
IC5140,"eF, vS, mE 135°","extremely faint, very small, much extended 135°"
IC5141,"Planet., stell, 15 mag","planetary, stellar, 15th magnitude"
IC5142,"eF, vS, R, bet 2 st, susp","extremely faint, very small, round, between 2 stars, suspected"
IC5143,"eeF, pS, R","most extremely faint, pretty small, round"
IC5144,"F, S, sev F st close f","faint, small, several faint stars close to the east"
IC5145,No descr,no description
IC5146,"pB, vL, iF, * 9.5 in M","pretty bright, very large, irregular figure, 9.5 magnitude star in middle"
IC5147,"eF, eS, R, F * f 2'","extremely faint, extremely small, round, faint star 2 arcmin to east"
IC5148,"vF, L, lE, * att","very faint, large, a little extended, star attached"
IC5149,"eF, S, R, * 6.5 f 63s on par","extremely faint, small, round, 6.5 magnitude star 63 seconds of time to east on parallel (of declination)"
IC515,"vF, vS, dif, 2616 nf",
IC5150,"pB, pL, annular","pretty bright, pretty large, annular"
IC5151,"F, vS, R, gbMN, r","faint, very small, round, gradually brighter middle and nucleus, mottled but not resolved"
IC5152,"F, cL, cE 150°, cbM","faint, considerably large, considerably extended 150°, considerably brighter middle"
IC5153,"eF, ? st, * 9.5 sf 1'.4","extremely faint, perhaps a star; 9.5 magnitude star 1.4 arcmin to southeast"
IC5154,"vF, bM","very faint, brighter middle"
IC5155,"eF, S, smbM, * 13 f 1'.5","extremely faint, small, suddenly much brighter middle, 13th magnitude star 1.5 arcmin to east"
IC5156,"pF, pS, R","pretty faint, pretty small, round"
IC5157,"pB, pS, R, 3 st in line nf","pretty bright, pretty small, round, 3 stars in line to northeast"
IC5158,"eeF, eS, bM","most extremely faint, extremely small, brighter middle"
IC5159,"eF, vS, stell, * 11.5 nff 1'.5","extremely faint, very small, stellar, 11.5 magnitude star 1.5 arcmin to east northeast"
IC516,"vF, vS, dif, 2616 p",
IC5160,"F, vS, R","faint, very small, round"
IC5161,"F, R, stell, r","faint, round, stellar, mottled but not resolved"
IC5162,"eF, eS, vE 95°","extremely faint, extremely small, very extended 95°"
IC5163,"eF, 2 st 13 nr","extremely faint, two 13th magnitude stars near"
IC5164,"eF, stell","extremely faint, stellar"
IC5165,"eF, eS","extremely faint, extremely small"
IC5166,"eF, stell N, or vS Cl","extremely faint, stellar nucleus or very small cluster"
IC5167,"vF, neb ?","very faint, perhaps nebulous"
IC5168,"eeF, vS, mE, Δ 2 F st","most extremely faint, very small, much extended, in a triangle with 2 faint stars"
IC5169,"eF, eS, stell N, spir or oval","extremely faint, extremely small, stellar nucleus, spiral or oval"
IC517,"vF, S, iF","very faint, small, irregular figure"
IC5170,No descr,new
IC5171,No descr,no description
IC5172,"vF, vS, stell, * 14 att","very faint, very small, stellar, 14th magnitude star attached"
IC5173,"eF, S, mE 75°","extremely faint, small, much extended 75°"
IC5174,"eF, eS, cE 150°","extremely faint, extremely small, considerably extended 150°"
IC5175,"eF, eS, R, bM","extremely faint, extremely small, round, brighter middle"
IC5176,"vF, S, eE 30°, * n","very faint, small, extremely extended 30°, star to north"
IC5177,"F, S, E ns, glbM","faint, small, extended north-south, gradually a little brighter middle"
IC5178,"eF, vS, 7220 p 63s","extremely faint, very small, (NGC) 7220 is 63 seconds of time to the west"
IC5179,"vF, L, R, * nr s, B * sp","very faint, large, round, star near to south, bright star to southwest"
IC518,"vF, ? vS Cl","very faint, perhaps a very small cluster"
IC5180,"vF, S, sbM","very faint, small, suddenly brighter middle"
IC5181,No descr,no description
IC5182,"eF, eS, bM","extremely faint, extremely small, brighter middle"
IC5183,"pB, cS, F * att sf","very faint, large, round, star near to south, bright star to southwest"
IC5184,"pF, pS, lE, bet 2 st ns","very faint, large, round, star near to south, bright star to southwest"
IC5185,"eF, vS, bM","extremely faint, very small, brighter middle"
IC5186,"eeF, S, R, F * nr p","most extremely faint, small, round, faint star near to west"
IC5187,"vS, R, disc, magn 14.5","very small, round, disc, magnitude 14.5"
IC5188,"F, cS, R, cbM","faint, considerably small, round, considerably brighter middle"
IC5189,"eF *, ? nebs","extremely faint star, perhaps nebulous"
IC519,"vF, vS, R, diffic, * 14 close",
IC5190,"vF, 2 br spir, * 15 in M","very faint, 2 broad spiral arms, 15th magnitude in middle"
IC5191,"Group of 6 neb (sketched), incl N.G.C. 7240, 7242 and B. 449","(part of a) Group of 6 nebulae (sketched), including NGC 7240, 7242 and B.449"
IC5192,"Group of 6 neb (sketched), incl N.G.C. 7240, 7242 and B. 449","(part of a) Group of 6 nebulae (sketched), including NGC 7240, 7242 and B.449"
IC5193,"Group of 6 neb (sketched), incl N.G.C. 7240, 7242 and B. 449","(part of a) Group of 6 nebulae (sketched), including NGC 7240, 7242 and B.449"
IC5194,eF (not found again),extremely faint (not found again)
IC5195,"eF, S, 0'.5 s of 7242","extremely faint, small, 0.5 arcmin south of (NGC) 7242"
IC5196,"eF, eeS, eE 105°, stell N","extremely faint, most extremely small, extremely extended 105°, stellar nucleus"
IC5197,"bM, magn 15","brighter middle, magnitude 15"
IC5198,"eF, pL, R, bM, r","extremely faint, pretty large, round, brighter middle, mottled but not resolved"
IC5199,"eF, eS, cE 160°","extremely faint, extremely small, considerably extended 160°"
IC52,"vF, vS, R, gvlbM","very faint, very small, round, gradually a very little brighter middle"
IC520,"pB, pL, bM, * nr","pretty bright, pretty large, brighter middle, star near"
IC5200,"eeF, eS, R, F * np 1'","most extremely faint, extremely small, round, faint star 1 arcmin to northwest"
IC5201,No descr,no description
IC5202,"! eF, vS, stell N, spir","a remarkable object, extremely faint, very small, stellar nucleus, spiral"
IC5203,"bM, magn 15","brighter middle, magnitude 15"
IC5204,"vF, vmE","very faint, very much extended"
IC5205,"bM, magn 16","brighter middle, magnitude 16"
IC5206,"eF, vS, R, stell N","extremely faint, very small, round, stellar nucleus"
IC5207,"bM, magn 16","brighter middle, magnitude 16"
IC5208,"eeF, eS, eE 65°, stell N","most extremely faint, extremely small, extremely extended 65°, stellar nucleus"
IC5209,"F, eS, R, 2 st np","faint, extremely small, round, 2 stars to northwest"
IC521,Neb * 13m,
IC5210,"eeF, vS, R, p of 2","most extremely faint, very small, round, preceding (western) of 2"
IC5211,"eF, S, f of 2","extremely faint, small, following (eastern) of 2"
IC5212,"eF, eS, cE 40°","extremely faint, extremely small, considerably extended 40°"
IC5213,"bM, magn 16","brighter middle, magnitude 16"
IC5214,"eF, pS, R, * 8 p","extremely faint, pretty small, round, 8th magnitude star to west"
IC5215,"eF, vS, R, * 2' nf, susp","extremely faint, very small, round, star 2 arcmin to northeast; suspected"
IC5216,"vF, S, R, N","very faint, small, round, nuclear"
IC5217,"Planetary, stellar","planetary, stellar"
IC5218,"F, pS, E 195°","faint, pretty small, extended 195°"
IC5219,"eF, eS, cE 15°, susp","extremely faint, extremely small, considerably extended 15°, suspected"
IC522,"pF, pS, R, bM (? 2 eF st inv)",
IC5220,"F, pS, E 105°","faint, pretty small, extended 105°"
IC5221,"eF, bM, susp","extremely faint, brighter middle, suspected"
IC5222,"! eF, pS, stell N, susp","a remarkable object, extremely faint, pretty small, stellar nucleus, suspected"
IC5223,"F, vS, dif, r","faint, very small, diffuse, mottled but not resolved"
IC5224,No descr,no description
IC5225,"eeF, pS, R, bet 2 st","most extremely faint, pretty small, round, between 2 stars"
IC5226,"eeF, pL, R","most extremely faint, pretty large, round"
IC5227,"F, S, stell N","faint, small, stellar nucleus"
IC5228,"pB, pS, R, B * s","pretty bright, pretty small, round, bright star to south"
IC5229,"bM, magn 15","brighter middle, magnitude 15"
IC523,"F, S, R, dif","faint, small, round, diffuse"
IC5230,"eF, eS, cE 35°, cbM","extremely faint, extremely small, considerably extended 35°, considerably brighter middle"
IC5231,"F, S, R, gbMN","faint, small, round, gradually brighter middle and nucleus"
IC5232,"eF, eeS, bM","extremely faint, most extremely small, brighter middle"
IC5233,"F, vS, dif, * 12.5 v close","faint, very small, diffuse, 12.5 magnitude star very close"
IC5234,"eF, eeS, cE 165°, cbM","extremely faint, most extremely small, considerably extended 165°, considerably brighter middle"
IC5235,"eeF, bM","most extremely faint, brighter middle"
IC5236,"eF, eeS, cE 60°, bM","extremely faint, most extremely small, considerably extended 60°, brighter middle"
IC5237,"eeF, eS, eE, * 8 np","most extremely faint, extremely small, extremely extended, 8th magnitude star to northwest"
IC5238,"F, vS, vlE","faint, very small, very little extended"
IC5239,"vF, pS, R","very faint, pretty small, round"
IC524,"vF, vS, R, vF N ?",
IC5240,"pF, pL, R, F * sf","pretty faint, pretty large, round, faint star to southeast"
IC5241,"pB, cS, R, gbM, r","pretty bright, considerably small, round, gradually brighter middle, mottled but not resolved"
IC5242,"F, S, R, gbM, * 13 nf","faint, small, round, gradually brighter middle, 13th magnitude star to northeast"
IC5243,"F, cS, iF, dif","faint, considerably small, irregular figure, diffuse"
IC5244,"eF, pS, eE 0°, stell N","extremely faint, pretty small, extremely extended 0°, stellar nucleus"
IC5245,"eF, eS, R, F * np 0'.5","extremely faint, extremely small, round, faint star 0.5 arcmin to northwest"
IC5246,"eF, eS","extremely faint, extremely small"
IC5247,"vF, vS, mE 125°, mbM","very faint, very small, much extended 125°, much brighter middle"
IC5248,Susp (13.5 magn),suspected (13.5 magnitude)
IC5249,"eF, vS, eE 15°, vlbM","extremely faint, very small, extremely extended 15°, very little brighter middle"
IC525,"F, S, E ns","faint, small, extended north-south"
IC5250,"cB, S, R, F * f 0'.5","considerably bright, small, round, faint star 0.5 arcmin to east"
IC5251,eF,extremely faint
IC5252,"F, S, R, cbM","faint, small, round, considerably brighter middle"
IC5253,"F, S, E ns, * 13.5 nr","faint, small, extended north-south, 13.5 magnitude star near"
IC5254,"F, vS, R, r, * 14 att sf, 7375 f","faint, very small, round, mottled but not resolved, 14th magnitude star attached on southeast, (NGC) 7375 to east"
IC5255,"F, S, R, gbM","faint, small, round, gradually brighter middle"
IC5256,"vF, vS, cE 25°, cbM","very faint, very small, considerably extended 25°, considerably brighter middle"
IC5257,"eF, eeS, stell N","extremely faint, most extremely small, stellar nucleus"
IC5258,"F, vS, R, mbM, r","faint, very small, round, much brighter middle, mottled but not resolved"
IC5259,"Neb, D * 9.5 f 2'",nebula; 9.5 magnitude double star 2 arcmin to east
IC526,"F, S, R","faint, small, round"
IC5260,"eeF, pS, R, * 9 sp, v diffic","most extremely faint, pretty small, round, 9th magnitude star to southwest, very difficult"
IC5261,"eeF, pL, R, v diffic, * 9 p 22s","most extremely faint, pretty large, round, very difficult, 9th magnitude star 22 seconds of time to west"
IC5262,"eeF, pS, R, v diffic","most extremely faint, pretty small, round, very difficult"
IC5263,"cF, S, R, * in neb","considerably faint, small, round, star in nebulosity"
IC5264,"vF, S, vmE, sp of 2","very faint, small, very much extended, southwestern of 2"
IC5265,"B, cL, R, bet 2 st pf, nf of 2 [? 7418]","bright, considerably large, round, between 2 stars to east and west, northeastern of 2 (the other being IC 5264), [perhaps = (NGC) 7418?]"
IC5266,"eF, vS, eE, stell N","extremely faint, very small, extremely extended, stellar nucleus"
IC5267,"pB, S, R, mbM","pretty bright, small, round, much brighter middle"
IC5268,"B, S","bright, small"
IC5269,"vF, pS, R, np of 2","very faint, pretty small, round, northwestern of 2"
IC527,"eeF, pL, R, e diffic","most extremely faint, pretty large, round, extremely difficult"
IC5270,"vF, pS, mE, sf of 2","very faint, pretty small, much extended, southeastern of 2"
IC5271,"pF, pS, mE 145°, cbM","pretty faint, pretty small, much extended 145°, considerably brighter middle"
IC5272,"eF, vS, R","extremely faint, very small, round"
IC5273,"vF, cL, lE, 4 st p","very faint, considerably large, a little extended, 4 stars to west"
IC5274,"F, cS, R, gbMN","faint, considerably small, round, gradually brighter middle and nucleus"
IC5275,"pF, vS, dif","pretty faint, very small, diffuse"
IC5276,"F, S, E 135°, gbM, r, bet 2 F st","faint, small, extended 135°, gradually brighter middle, mottled but not resolved, between 2 faint stars"
IC5277,"vF, S, R, alm. a *, susp","very faint, small, round, almost a star; suspected"
IC5278,eF (not verified),extremely faint (not verified)
IC5279,"vF, vS, cE 40°, stell N","very faint, very small, considerably extended 40°, stellar nucleus"
IC528,"pB, vS, R, N = 13m","pretty bright, very small, round, nucleus equal to 13th magnitude"
IC5280,"eF, vS, eE 5°, stell N, bet 2 st, susp","extremely faint, very small, extremely extended 5°, stellar nucleus, between 2 stars; suspected"
IC5281,"eF, stell, * 13 sff 2'.5","extremely faint, stellar, 13th magnitude star 2.5 arcmin east southeast"
IC5282,"F, cS, iF, vlbM","faint, considerably small, irregular figure, very little brighter middle"
IC5283,"F, S, R, II 230 p 2s, 1' s","faint, small, round, (WH) III 230 two seconds of time to west and one arcmin to south"
IC5284,"F, cS, R, N","faint, considerably small, round, nuclear"
IC5285,"F, vS, R, * 9.4 s 1'.5","faint, very small, round, 9.4 magnitude star 1.5 arcmin to south"
IC5286,"eeF, eS, mE 130°, 2 st s, susp","most extremely faint, extremely small, much extended 130°, 2 stars to south, suspected"
IC5287,"F, vS, R, vlbM","faint, very small, round, very little brighter middle"
IC5288,"eF, eS, alm *, susp","extremely faint, extremely small, almost stellar, suspected"
IC5289,"S Cl, st eF, in neb","small cluster, stars extremely faint, in nebulosity"
IC529,"pF, pL, E","pretty faint, pretty large, extended"
IC5290,"vF, S, stell N","very faint, small, stellar nucleus"
IC5291,"F, vS, R, N, stell","faint, very small, round, nuclear, stellar"
IC5292,"vF, S, slbM","very faint, small, suddenly a little brighter middle"
IC5293,"F, S, like D * in neb","faint, small, like a double star in nebulosity"
IC5294,"pB, pS, R, * 8 p","pretty bright, pretty small, round, 8th magnitude star to west"
IC5295,"F, vS, R, N","faint, very small, round, nuclear"
IC5296,"F, S, R, * 15 att","faint, small, round, 15th magnitude star attached"
IC5297,"F, S, R, N","faint, small, round, nuclear"
IC5298,"vF, vS, dif","very faint, very small, diffuse"
IC5299,"F, eS, * 13 close s","faint, extremely small, 13th magnitude close to south"
IC53,"eeF, pS, R, others susp","most extremely faint, pretty small, round, others suspected"
IC530,"pB, S, E pf","pretty bright, small, extended east-west"
IC5300,"F, S, R, neb * 15",
IC5301,"eeF, eS, vF * f 1', susp",
IC5302,"vF, vS, 2 st nr, susp","very faint, very small, 2 stars near, suspected"
IC5303,"vF, S, sbM (? D * in M)",
IC5304,"eF, S, R, 3 or 4 F st sp",
IC5305,"pF, vS, 7594 nr",
IC5306,"vF, S","very faint, small"
IC5307,"vF, vS","very faint, very small"
IC5308,"eeF, S, cE, f 7599",
IC5309,"F, S, fan-shaped, * att s",
IC531,"F, vS, E pf, lbM","faint, very small, extended east-west, a little brighter middle"
IC5310,"eF, eS, alm stell, * 9.5 n 5'",
IC5311,"eF, susp, 2'.5 nff II 250",
IC5312,"F, S, R, gbM, r","faint, small, round, gradually brighter middle, mottled but not resolved"
IC5313,"eeF, pL, R, * 10 sp","most extremely faint, pretty large, round, 10th magnitude star to southwest"
IC5314,"F, S, R, gbM, r","faint, small, round, gradually brighter middle, mottled but not resolved"
IC5315,"F, vS, like neb D * 15",
IC5316,"vF, vS, R, N, stell","very faint, very small, round, nuclear, stellar"
IC5317,"F, S, R, gbMN, r","faint, small, round, gradually brighter middle and nucleus, mottled but not resolved"
IC5318,"vF, vS, * 9.5 p 1s",
IC5319,"eF, eS, * 9.5 f, 7651 nr",
IC532,"pB, pL, E pf, bM","pretty bright, pretty large, elongated east-west, brighter middle"
IC5320,"bM, magn 14","brighter middle, magnitude 14"
IC5321,"eF, vS, R, * 10 np 1'","extremely faint, very small, round, 10th magnitude star 1 arcmin to northwest"
IC5322,"bM, magn 14","brighter middle, magnitude 14"
IC5323,"F, S, bM","faint, small, brighter middle"
IC5324,"F, S, bM","faint, small, brighter middle"
IC5325,"F, S, R, gbM, * sp 1'","faint, small, round, gradually brighter middle, star 1 arcmin to southwest"
IC5326,"eeF, S, mE, * 8 p","most extremely faint, small, much extended, 8th magnitude star to west"
IC5327,"pF, pS, * 11 f 1'",
IC5328,"vF, S, R, bet 2 st","very faint, small, round, between 2 stars"
IC5329,"vF, S, E 250°",
IC533,"eF, S, dif","extremely faint, small, diffuse"
IC5330,"vF, S, bM, others nr","very faint, small, brighter middle, others near"
IC5331,"F, S, fan, gbM",
IC5332,"eeF, vL, bet 2 st, D * p 45s",
IC5333,"cB, S, dif, susp","considerably bright, small, diffuse, suspected"
IC5334,Neb * 10.5 (? close D *),
IC5335,"F, S, susp","faint, small, suspected"
IC5336,"F, S, E ns, vlbM","faint, small, extended north-south, very little brighter middle"
IC5337,"F, S, R, gbMN","faint, small, round, gradually brighter middle and nucleus"
IC5338,"F, S, lE ns, gbMN","faint, small, a little extended north-south, gradually brighter middle and nucleus"
IC5339,bM,brighter middle
IC534,"vF, S, dif","very faint, small, diffuse"
IC5340,"eF, * 13 n 1'.5",
IC5341,"eF, eS, 7720 nr",
IC5342,"eF, eS, others nr","extremely faint, extremely small, others near"
IC5343,"eF, pS, * 7.5 sf 19s",
IC5344,"vF, L, others nr","very faint, large, others near"
IC5345,"vF, vS, R, 6' n of Sw. XI.",
IC5346,"F, cS, R, gvlbM","faint, considerably small, round, gradually a very little brighter middle"
IC5347,"vF, vS, R, sbM * 15","very faint, very small, round, suddenly brighter middle equal to 15th magnitude star"
IC5348,"eF, eS, R","extremely faint, extremely small, round"
IC5349,"vF, vS, vmE 200°, ? neb D *",
IC535,"F, vS, R","faint, very small, round"
IC5350,"eeF, eS, R, * 9 nr f",
IC5351,"cF, vS, bM, * 10 sf 5"" ±",
IC5352,"pF, pS, gbM","pretty faint, pretty small, gradually brighter middle"
IC5353,"eF, S, R, * 6 f",
IC5354,"eeF, S, R","most extremely faint, small, round"
IC5355,"F, pL, E ns, gbM","faint, pretty large, extended north-south, gradually brighter middle"
IC5356,"pF, R, mbM","pretty faint, round, much brighter middle"
IC5357,"pB, R, mbM","pretty bright, round, much brighter middle"
IC5358,"eF, pS, bi-N 20""",
IC5359,"F, pS, gbM, * 9.5 p 2'",
IC536,"F, S, R, lbM","faint, small, round, a little brighter middle"
IC5360,"eeF, cS, R","most extremely faint, considerably small, round"
IC5361,"vF, vS, bM, stellar","very faint, very small, brighter middle, stellar"
IC5362,"eeF, pS, * 8 sf","most extremely faint, pretty small, 8th magnitude star to southeast"
IC5363,"vF, eS, R, 3 st in line p",
IC5364,"vF, pS, R, * 8 sf","very faint, pretty small, round, 8th magnitude star to southeast"
IC5365,"pB, cS, vmE, * sf","pretty bright, considerably small, very much extended, star to southeast"
IC5366,"eL, mE (30' by 10')",
IC5367,"F, lE 120°, gbMN, r","faint, a little extended 120°, gradually brighter middle and nucleus, mottled but not resolved"
IC5368,"eF, vS, lbM, 3' p or f from ω Pscium",
IC5369,"F, S, R, N","faint, small, round, with a nucleus"
IC537,Neb * 14,nebulous 14th magnitude star
IC5370,"pB, S, R, stell N","pretty bright, small, round, stellar nucleus"
IC5371,"F, vS, * 15 att","faint, very small, 15th-magnitude star attached"
IC5372,"F, vS, R N","faint, very small, round, with a nucleus"
IC5373,"pB, S, R, stell N","pretty bright, small, round, with a stellar nucleus"
IC5374,"F, S, E ns, gbM, r","faint, small, extended north-south, gradually brighter middle, mottled but not resolved"
IC5375,"cF, E ns, gbMN, r","considerably faint, extended north-south, gradually brighter middle and nucleus, mottled but not resolved"
IC5376,"F, S, E ns, gbM","faint, small, extended north-south, gradually brighter middle"
IC5377,"vF, S, R, dif","very faint, small, round, diffuse"
IC5378,"F, pS, E ns, * 15 inv","faint, pretty small, extended north-south, 15th magnitude star involved"
IC5379,"F, S, lE pf, lbM, * 17 close p",
IC538,"* 13 in vF neb (? = h 599, whose α was uncertain)","13th magnitude star in very faint nebulosity (perhaps = h599, whose right ascension was uncertain)"
IC5380,vlE,very little extended
IC5381,"pF, S, lE spnf, bM, * 13 nr",
IC5382,"alm R, lbM","almost round, a little brighter middle"
IC5383,"F, S, R, bM","faint, small, round, brighter middle"
IC5384,"eF, vS, E 160°, ? = 7813","extremely faint, very small, extended 160°; ? = 7813 (meaning, NGC 7813)"
IC5385,eF (not verified),extremely faint (not verified)
IC5386,"pB, pS, mE ","pretty bright, pretty small, much extended"
IC539,"pB, S, R, gbM, r","pretty bright, small, round, gradually brighter middle, mottled but not resolved"
IC54,"Neb or S Cl, 2', bM","a nebula or small cluster, 2 arcmin diameter, brighter middle"
IC540,"F, S, dif","faint, small, diffuse"
IC541,"eeF, pS, R, * 10 s","most extremely faint, pretty small, round, 10th magnitude star to the south"
IC542,"F, vS, E pf, lbM","faint, very small, extended east-west, a little brighter middle"
IC543,"vF, pL, E, dif","very faint, pretty large, elongated, diffuse"
IC544,"vF, dif, diffic","very faint, diffuse, difficult"
IC545,"F, E pf, F * f","faint, extended east-west, faint star to east"
IC546,"F, vS, iF, h 3175 f",
IC547,"pB, S, R, lbM","pretty bright, small, round, a little brighter middle"
IC548,"F, vS, ibM, h 614 np",
IC549,"vF, S, iF, bM","very faint, small, irregular figure, brighter middle"
IC55,"F, vS, dif, * 13 close","faint, very small, diffuse, 13th magnitude star close"
IC550,"F, eS, stellar","faint, extremely small, stellar"
IC551,"F, vS, R, N = 13m","faint, very small, round, nucleus equal to 13th magnitude"
IC552,"F, vS, stell N = 14m",
IC553,"vF, vS, R, dif","very faint, very small, round, diffuse"
IC554,"eeF, eS, alm stell","faint, small, round, gradually brighter middle"
IC555,"pB, vS, R, bM","pretty bright, very small, round, brighter middle"
IC556,"F, vS, R, N = 14m","faint, very small, round, nucleus equivalent to 14th-magnitude star"
IC557,"F, vS, R, vlbM","faint, very small, round, very little brighter middle"
IC558,"F, R, bM","faint, round, brighter middle"
IC559,"F, pS, R, dif","faint, pretty small, round, diffuse"
IC56,"vF, S, lbM","very faint, small, a little brighter middle"
IC560,"F, S, dif, * 10 near",
IC561,"pF, dif","pretty faint, diffuse"
IC562,"vF, pL, E ns, gbM","very faint, pretty large, extended north-south, gradually brighter middle"
IC563,"pB, S, dif, gbM","faint, small, round, gradually brighter middle"
IC564,"pB, pL, E pf","pretty bright, pretty large, extended east-west"
IC565,"F, S, dif","faint, small, diffuse"
IC566,"vF, vS, R, bM","very faint, very small, round, brighter middle"
IC567,"vF, suspected, 2' from III. 52","very faint, suspected, 2 arcmin from III 52"
IC568,"F, pL, E pf, gbM","faint, pretty large, extended east-west, gradually brighter middle"
IC569,"vF, dif, vlbM","very faint, diffuse, very little brighter middle"
IC57,"F, vS, R, vlbM, F * close","faint, very small, round, a very little brighter middle, faint star close"
IC570,"pF, S, R, gbM","pretty faint, small, round, gradually brighter middle"
IC571,"pB, S, R, N = 12.5","pretty bright, small, round, nucleus = 12.5 magnitude star"
IC572,"F, S, R, gbM","faint, small, round, gradually brighter middle"
IC573,"eF, vS, R, vS * close","extremely faint, very small, round, very small star close"
IC574,"pB, S, R, mbM, * 12s",
IC575,"F, S, R, gbM","faint, small, round, gradually brighter middle"
IC576,"vF, vS, R","very faint, very small, round"
IC577,"F, vS, iF, F * n","faint, very small, irregular figure, faint star to north"
IC578,"F, vS, R, lbM","faint, very small, round, a little brighter middle"
IC579,"pF, pS, R","pretty faint, pretty small, round"
IC58,"F, vS, R, r","faint, very small, round, mottled but not resolved"
IC580,"pF, vS, iF","pretty faint, very small, irregular figure"
IC581,"pB, S, dif, N = 13 inv",
