045512-5939.2 119- G  22 S comp? 0.9sf
045640-5057.9 203-IG  14 connected w S comp sp, in cl
045721-6448.1  85-IG  22 stars inv; 3rd comp 1.4 s
045830-6322.3  85- G  27 NGC Dec off 9'
045858-6853.9  56-**  38 cf. SC 40
045920-6917.4  56-SC  40 nominal pos of NGC off 0.5 m, 21', cf. ** 38
045952-3406.2 361-IG  25 strongly interact w S comp n; S interacting pair 3' f
050006-3406.1 362- G   1 in group
050011-5906.7 119-IG  28 S comp 0.8 nf
050133-6553.6  85-SC  31 NGC RA off 1.5 min
050140-1908.3 552- G  60 in cl
050522-7903.9  15- G  16 incl F ext to S comp 1.0 np
050559-3734.6 305- G   8 dif outer arms, L of 3
050635-5543.9 158- G  19 S comp 0.6 s
050652-7032.6  56-SC  65 nom val of Dec off 5'
050719-6115.2 119-IG  37 RA of RC2 off 2.7 min
050753-6125.8 119- G  38 RC2 off 0.6 min, 5'
050824-5859.5 119-IG  39 S comp on tip of n arm
050914-6017.3 119-IG  41 bridge to compact f
051320-2631.5 486- G  39 vis on PSS
051506-5409.5 159- G   3 B in group
051605-5407.2 159- G   4 in G 03 group
051733-3711.6 362- G  15 in cl
051742-2506.9 486- G  53 IC 408 RA 1.8 min off
051926-6644.0  85-SC  70 NGC Dec off 5'
051929-6647.3  85-SC  71 NGC Dec off 4'
051946-6118.5 119-IG  54 in cl
051948-6120.7 119-IG  55 in cl, bridge to S comp 1.3 np
052021-6127.1 119-IG  57 interaction? w starlike object 1.0 np
052137-6550.4  85-SC  76 NGC Dec off 5'
052153-6959.7  56-SC 108 pos on globular sf of OC
052347-4837.8 204- G   7 redshift based on G? 5175?
052400-6948.   56- G 115 the Large Magellanic Cloud; opt centre defined by
052400-6948.   56- G 115 the symmetry of the bar; D = degrees
052628-6348.1  85- G  87 similar to N 5128 = Cen A
052945-2310.8 487- G  19 IC 2129 pos 0.5 m, 5' off
053115-2158.7 554- G  10 cz=1498(5D)
053128-3626.0 363- G   7 or sev S comps; 10 deg err in IC 2136
053156-2320.5 487- G  24 IC coordinates OK but descr does not fit this object
053217-2333.9 487- G  27 IC 2138 coordinates OK but descr does not fit thi s
053217-2333.9 487- G  27 object, IC 2132 descr fits but Dec 12' off,
053227-4827.9 204-IG  17 long tail terminating? at 3rd comp 0.7 nf
053228-6916.6  56-SC 147 nom val of Dec off 11'
053300-3320.3 363- G   9 in cl
053313-1750.8 554- G  14 not IC 2139 = triple star at 053304-1757.9
053349-8625.6   4- G  19 in field 003
053501-7005.7  56-SC 155 nom val of Dec is -69 05
053546-4226.3 306- G  12 contact? w S comp n
053621-6940.7  56-*N 166 nom val of Dec off by 10'
054005-6654.0  86-SC  20 nom value of RA off 1.1 m
054053-3401.9 363-**  16 NGC position 1.2 min, 3' off
054134-3031.0 424- G  13 IC RA 4.3 min off
054232-6856.4  57-SC  26 Dec of NGC off 33'
054319-5533.2 159- G  26 S comp 1.5 s
054531-5402.4 159- G  28 L in group
054549-4529.8 253-IG  26 strongly interacting
054702-2527.2 488- G  32 in cl
054708-4746.5 205-IG   3 long filaments terminating in S comp 1.1 np
054739-3304.6 363- G  31 in cl
054803-3302.6 363- G  32 in field 364
055012-5335.2 160- G   2 S comp 1.2 nf
055031-3421.5 364- G   7 disturbed, incl S comp f, in cl
055053-5903.4 120- G  16 L in group, S comp 0.8 n
055311-3946.6 307-IG   2 dumbell shape, contact w elong comp n
055314-3948.4 307-IG   3 S comp 0.3s, in IG 02 group
055415-5641.3 160- G   4 S comp 1.2 sf
055523-4948.5 205-IG   8 star superimp
055527-1835.8 555- G  14 2 F arms ext far outside 2 S inner arms
055631-3453.5 364- G  19 spiral arm ext to N 0.7 sf, in cl
055744-6715.9  86-SC  42 nom value of RA off 1.1 m
055843-5224.5 205- G  14 in cl
055900-6004.4 120- G  26 interacting? w spir 0.9 sf
055929-2731.0 488- G  56 in field 425
060045-6018.2 121- G   1 in  field 120
060259-2643.4 489-SC   1 in field 488
060600-4928.9 205-IG  20 connected? w sev S comps
060602-2359.0 489- G   7 B starlike object in F asym ring
060657-3354.5 364- G  33 in cl
060908-4948.2 205-IG  28 two rings tangent to each other at B centre
060914-4739.9 205-IG  30 interacting? w G 29
060930-4459.4 254- G  31 2 S comps 0.9 nf, 2.0 nf
060956-5356.5 160-IG  17 includes S comp f
061008-6231.6  86- G  63 nom value of RA off 1.0 m
061202-4341.4 254- G  40 p w G 39
061206-3739.6 307-IG  25 broad ext southw; L in group
061414-2121.2 556-IG   8 F surrounding env
061559-6007.3 121-IG  21 sev S comps
061940-2712.5 489- G  42 cz=1243(5D)
061940-5728.3 161- G   1 nf of 3, S comp 1.5 sf
062003-4826.0 206-IG   9 in cl
062059-5942.8 121- G  26 S comp 1.6 sp
062240-5701.2 161-IG   2 in cl
062500-2521.0 490-PN?  1 eF env surr neb shell
062633-6348.6  87- G  21 3 S comps 1.0 np, 0.6 nf, 1.0 nf
062645-6232.5 121- G  33 in field 87
062656-4849.8 206-IG  12 4 or 5 radial filaments? ext 1' southw
063123-5507.5 161- G  15 in cl
063205-2538.4 490- G? 15 B knotty ring around dif centre
063214-6409.9  87- G  27 connected? w S comp 0.6 sf
063421-5507.8 161- G  16 redshift based on 5175
063436-5508.5 161-IG  18 p w G 16
063543-3722.4 366- G   1 in field 365
063619-5519.0 161- G  19 S comp 0.7 sf
063744-2711.8 490- G? 22 B star 0.2 sf
063806-2720.8 490- N? 25 B star 0.3 sp
063821-2702.9 490- G  28 S comp 0.7 nf
064212-4055.9 308- G  26 disturbed, contact w S comp np, in cl
064214-1752.8 557- G  12 IC pos 0.8 min, 16' off; cf. G 13
064250-2735.2 427- G   2 cz=1662(5D)
064306-5551.4 161- G  23 dist, sev S comps
064314-5638.2 161-IG  24 contact w S comp f
064341-1809.4 557- G  13 IC pos 0.7 min, 31' off; cf. G12
064353-3110.5 427- G   6 in cl
064355-2042.2 557-SC  14 OCl-597
064425-7411.1  34-IG  11 outer arms form shell structure; in group of 4
064523-2640.8 490- G  47 in group w IG 49
064539-2641.4 490-IG  48 in group w G 47
064542-2641.8 490-IG  49 in group w G 47
064824-4825.7 207-IG   4 in cl
064923-5545.9 161-IG  27 in cl
064936-5703.5 161- G  28 S comp 0.4 np
065152-5849.7 122-IG   8 dif ext southw
065314-2903.5 427-PN  19 B-R=1.3 FW
065706-2913.2 427- G  23 in cl
065728-3936.1 309- G  13 in cl
065749-5022.6 207-IG  12 interacting w S comp 0.5 s
070330-5837.5 122-IG  12 eF bridge to compact 0.9 nf
070619-2342.9 491- G  19 starlike centre or star?
070619-4015.7 309- G? 20 or star?
070741-4402.7 256- G  16 incl sev S comps
071324-3035.5 428-SC  10 OCl Dec off 30'
071433-2914.0 428- G  14 PK 241-7 1, not planetary
071835-5513.5 162- G  21 S comp on tip of n arm
072111-4728.1 257- G  12 in cl
072130-6854.3  58- G  30 2 S comps nf, sp
072204-6844.9  58- G  31 nom val of RA off 0.7 m, in field 059
072556-5116.1 208- G  15 L in group, S comp 1.3 s
072613-1751.5 559-PN  12 Sa position 11s, 0.9' off
072731-6215.5 123- G  11 nominal value of Dec off 5', in cl
072742-6214.8 123- G  12 in cl
072851-6647.5  88- G  17 interacting? w G 18
073633-6925.0  59- G   8 in foreground?
074147-2237.5 493- G?  5 fuzzy env
074221-6511.9  89- G   1 L in group
074512-2544.8 493- G  10 nominal value of Dec off 14'
074601-2506.4 493-PN? 13 in F circular env
074611-3846.2 311- G  13 F comp 0.7 np
074815-2622.8 493- G  21 nominal value of Dec off 16'
074830-6657.0  89-IG   4 star? superimp
074917-2639.4 493-N*? 23 F neb env
075213-3941.6 311-PN  18 B-R=4.4 FW
075601-7858.5  17-IG   8 F, in cl
075710-2233.3 561-SC   5 in field 494
080255-2800.2 430-SC  15 N 2520 RA off 2.3 min
080341-4814.8 209-PN  15 B-R=2.6 FW
080345-2550.1 494- G  24 Fi position off 1.1 min, 10'
080407-2723.0 494- G  26 F dif arms
080700-1832.9 561- G  17 listed as planetary by CG
080702-6137.2 124-IG  12 in G 14 group
080806-6511.2  89- G  11 con? w S comp 0.6 np
081501-2718.1 494- G  41 in field 495
081519-2431.7 494- G  42 in field 495
081859-3603.4 370-*N   8 = No-238, planetary?
082127-3610.4 370-SC  11 nominal position 0.9 min, 10' off
083111-2248.1 495- G  18 cz=1444(5D)
083230-4706.3 259-PN  10 B-R=2.3 FW, star alm at centre
083407-2614.1 495- G  21 MCG-4-21-5 ?
083505-2045.9 563- G   3 image blurred by calibration spots
083547-3924.1 313-SC   7 nominal value of Dec off 5'
083623-2930.9 431- G  23 DB Dec 30' off
083839-3211.8 432-PN   1 PK RA 0.7 m off
083902-3252.4 371- G   5 DB Dec 16' off
084042-1952.3 563- G  14 in cl
084228-6754.2  60- G  12 interacting? w compact 0.4 p
084348-3146.2 432-**   9 nominal position 0.5 m, 11' off
084436-4730.8 260-SC   6 nominal position off 1.6 min, 6'; in field 210
