RAh,RAm,RAs,DE-,DEd,DEm,ESO,Text
14,25,43,-,39,19.7,326- G  25,nominal value of RA off 1.0 min
14,26,13,-,51,41.6,222- G   8,in group of 3
14,26,19,-,33,13.9,385- G  30,IC Dec 9' off
14,27,6,-,43,20.3,272- G  11,IC RA off 1.1 min
14,31,14,-,37,15.7,385- G  45,S comp 0.8 sf
14,32,19,-,38,42.9,327-IG   2,in group
14,34,57,-,39,17.4,327- G   3,nominal value of RA off 1.0 m
14,36,33,-,62,25.8,134-SNR 11,"RA of BMT off 2.6 min, Dec off 11'"
14,37,58,-,56,2.3,176-PN   1,nominal value of RA off 2.1 min
14,41,4,-,49,11.5,222- G  15,pos of B star
14,41,8,-,18,16.3,580- G  14,NGC RA 1.3 min off; MCG-3-38
14,42,4,-,23,34.9,512- G  20,CG: planetary
14,44,52,-,39,30.0,327-IG  18,interacting w IG 19
14,44,56,-,39,29.3,327-IG  19,interacting w IG 18
14,46,18,-,20,10.2,580- G  39,NGC 6' off
14,48,10,-,18,16.0,580-IG  43,streamer ext 0.9 n from starlike object 0.2 sf
14,48,22,-,20,14.2,580- G  45,S comp 4.5 n
14,48,57,-,49,29.1,223- G   2,3 stars superimposed
14,49,38,-,42,6.7,327-IG  26,in cl
14,52,27,-,23,52.4,513- G?  5,"vF disclike env, vis on PSS; in cl"
14,54,40,-,37,40.6,327- G  34,in cl
14,55,45,-,28,30.3,448- G  10,S comp 0.5 np
14,58,14,-,48,9.2,223-PN  10,B-R=2.2 FW
14,59,31,-,72,25.2,67- G   5,star superimp
15,0,54,-,32,52.5,387-SC   1,also NGC 5834
15,1,51,-,43,18.9,273- G  15,L in group
15,4,39,-,61,32.6,135-PN   4,B-R=4.5 (ESO 1984)
15,5,8,-,25,35.0,513- G? 19,vis on PSS
15,5,24,-,23,3.0,513- ?  20,CG: planetary; only faint galaxies near this pos
15,6,25,-,40,44.3,328- G? 27,in cl
15,9,20,-,35,41.0,387-IG   9,"arms terminating in 2 S comps n, s"
15,10,59,-,32,30.4,449-**?  2,in field 387
15,14,19,-,42,26.4,328- G? 40,starlike centre in F dif ring
15,14,45,-,24,11.4,514- G   1,in cluster
15,39,25,-,22,30.6,583- G   4,in field 515
15,47,32,-,23,25.4,515- G? 11,"starlike centre in vF asym ring, vis on blue PSS"
15,48,47,-,37,30.0,389- G   1,"vis only on QBS plate 971 (X=-139.0, Y=+126.9)"
15,49,49,-,41,41.5,330-PN   2,B-R=3.1 FW
15,51,0,-,24,45.8,515- G? 16,vis on PSS; near galaxy cl
15,51,29,-,37,27.5,389- G   2,L in group; vis only on QBS plate 971
15,51,29,-,37,27.5,389- G   2,"(X=-110.3, Y=+128.4)"
15,54,50,-,25,46.3,515- G? 17,vis on PSS
15,55,37,-,31,51.8,451- G   2,CG: planetary
15,58,15,-,61,38.2,136- G  12,con? w S comp 2' sf
15,58,40,-,63,58.6,100- G   8,interacting w S comp 1.0 sp
16,7,52,-,60,39.4,136- G  24,S comp 1' sp
16,9,27,-,60,52.6,137-IG   3,in cluster
16,10,43,-,60,46.9,137- G   6,interacting? w S comp 1.2 nf
16,13,7,-,22,39.6,516- G  10,more likely a small group of F stars at the IC position
16,13,7,-,22,39.6,516- G  10,RA=16h 15.3m Dec=-22d 40m
16,14,4,-,22,51.2,516-SC  11,GCl-39
16,16,39,-,60,22.1,137- G  18,L in group
16,21,8,-,34,8.2,390- G   5,"B-V=2.9, z=0.017778 FW"
16,24,15,-,66,23.5,100- G  26,interaction?
16,26,36,-,82,13.7,23-IG   1,connected? w S comp 0.6 sf
16,30,31,-,43,56.5,276-SC   5,at position of 5.1 V mag star SAO 226900
16,30,48,-,49,40.1,226-SC  16,pos on conc of stars = s part of L complex
16,31,1,-,57,58.5,137- G  34,B nucl cond in amorphous disk
16,33,7,-,73,8.8,43- G   3,RA of NGC off 0.8 min
16,36,21,-,48,33.9,226-EN  19,incl wavy ionization front
16,38,31,-,27,53.0,452-PN  12,not vis on finding chart
16,39,55,-,30,26.5,453- G   1,in field 452
16,42,56,-,69,3.1,69- G   9,"crossing arm, disturbed?"
16,43,8,-,57,20.0,179-IG  13,common envelope
16,43,45,-,82,23.1,23-IG   5,connected? w starlike object 0.6 sf
16,51,15,-,40,37.7,332-SC   8,"nom position off 0.8 min, 7'"
16,51,39,-,40,52.0,332-SC   9,OCl-998 Dec off 7'
16,52,10,-,74,17.0,43-IG  10,"interaction w comps 1.6 nf, 1.0 sp"
16,52,33,-,40,42.1,332-SC? 11,nominal value of RA off 0.5 min
16,52,42,-,40,35.3,332-SC  12,OCl-999 RA off 0.8 min
16,53,12,-,40,30.3,332-SC? 13,concentration of stars in L complex; nominal value of
16,53,12,-,40,30.3,332-SC? 13,Dec off 5'
16,54,16,-,45,51.6,277-SC  20,nominal value of Dec off 9'
16,54,37,-,60,8.5,138- G  10,HI vel V= +1146 km obs at Parkes
17,5,16,-,74,4.7,44-IG   2,interacting w starlike obj 0.5 s
17,6,19,-,77,28.5,44- G   3,partly obscured by galactic matter
17,8,12,-,77,25.9,44- G   5,partly obscured by galactic matter; S comp 2.5 np
17,10,14,-,66,12.0,101-IG  24,interacting w S comp 0.7 f
17,10,28,-,73,5.5,44- G   9,S comp? superimp
17,12,44,-,39,22.2,333-SC   1,NGC RA off 1.6 min
17,15,24,-,78,40.6,24-RN   3,associated w HD 155578
17,17,8,-,80,8.9,24- G   5,RA of IC off 10m
17,18,36,-,57,10.2,180-N*   8,B mag = 8; at least 2 m fainter on QBS plate no.  321
17,18,55,-,70,25.4,70-IG   9,distorted
17,24,29,-,62,24.3,138-IG  29,asym(R) or shell
17,24,45,-,62,26.5,138-IG  30,broad dif bridge
17,30,32,-,47,3.4,278-N*  11,"B mag = 8, F star only on QBS plate 606"
17,31,49,-,59,30.8,139- G  10,"nominal coordinates of IC off 0.9 min, 2'"
17,34,56,-,37,41.5,334-SC   3,nominal value of Dec off 10'
17,35,47,-,23,52.4,520-PN  12,nominal position off 20'
17,38,46,-,61,39.5,139- G  19,"2 S comps f, p"
17,40,29,-,21,8.6,589-PN   1,in field 588
17,40,55,-,79,0.9,24-IG   9,disturbed by S comp 0.7 np
17,45,0,-,24,45.8,520-SC  27,nom RA off 0.4 min
17,45,40,-,28,0.1,455-PN  43,PK RA 0.6 m off
17,47,2,-,25,33.8,521-*N   1,vis on PSS
17,54,8,-,18,58.8,589-SC  22,OCl-30
18,0,32,-,26,5.3,521-SC  16,not vis on QBS plate; detected on IR plate by Terzan
18,0,53,-,23,22.1,521-*N  18,sep from L complex by dust lane
18,3,29,-,23,57.9,521-N*  26,"IC pos 1.4m, 5' off"
18,4,20,-,23,18.2,521-SC  29,OCl Dec 1 deg off
18,4,30,-,52,6.8,229- G   7,dwarf comp 0.7 sf
18,4,31,-,52,4.4,229- G   8,S comp 1.0 sf
18,5,12,-,26,16.9,521- ?  31,pos not descr corresponds to an absorption region
18,5,12,-,26,16.9,521- ?  31,of elliptical shape
18,5,51,-,85,25.1,10-IG   1,NGC RA off 4 min
18,6,6,-,23,26.7,521-N*  33,IC 4681 RA 0.8m off
18,6,9,-,25,7.5,521- ?  35,"MCo: PN of diameter 10"""
18,6,18,-,85,25.3,10-IG   2,"interacting w IG 01, nominal value of RA off 4 min"
18,9,19,-,57,44.8,140- G   9,2 starlike objects in s arm of I 4687
18,9,20,-,57,44.4,140-IG  10,long arm
18,11,48,-,22,45.0,522- ?   9,MCo: planetary
18,12,30,-,49,46.7,229-IG  11,"S comp nf, in group"
18,12,40,-,82,25.1,24- G  13,S comp on tip of p arm
18,13,3,-,54,35.1,182-IG   8,S comp 1.4 np
18,13,19,-,18,16.9,590-SC  13,"another S conc of stars at 18 13 38, -18 19.5"
18,14,7,-,19,53.1,590-SC  15,I 4690 RA 6.6 m off
18,14,22,-,54,42.8,182-IG  10,eF bridges to S comps 2.5 nf and 2.9 sf
18,17,38,-,61,53.6,140- G  18,vS comp 1.4 sp
18,18,40,-,56,30.7,182- G  13,bridge(s?) to S comp 1.2 n (and 1.6 p)
18,19,52,-,63,36.6,103- G  17,interacting w dif comp n
18,20,5,-,56,23.8,182- G  14,IC Dec off 10'
18,22,16,-,71,43.5,71- G  12,in group
18,23,36,-,51,29.5,230-IG   4,in group
18,26,0,-,23,53.3,522-PN? 29,prob vis on PSS
18,28,50,-,19,9.1,591-SC   6,OCl-38
18,30,3,-,58,32.2,140- G  27,E 2.2 s
18,30,11,-,26,3.9,522- N  34,clearly vis on PSS
18,30,53,-,22,41.2,523-PN   1,in field 522
18,32,38,-,72,12.0,71- G  17,in group
18,33,30,-,61,8.8,140-IG  30,eF bridge? to eS object 1.1 s
18,34,48,-,52,44.2,183-IG   4,interaction?
18,36,13,-,63,42.2,103- G  43,S comp 0.7 nf
18,36,25,-,55,7.2,183-IG   7,sev S comps in irr envelope
18,36,55,-,63,59.8,103- G  47,nom value of RA off 0.9 min
18,37,5,-,63,54.6,103- G  48,nominal value of RA off 0.9 min
18,37,10,-,63,16.3,103- G  50,S comp  0.3 s
18,39,4,-,20,32.1,591-PN? 13,CG position 4' off
18,40,15,-,62,24.9,140- G  43,Seyfert 1 type
18,40,58,-,63,8.3,103-IG  60,in cluster
18,42,38,-,57,44.9,141- G   3,interacting? w S comp 1.4 sp
18,43,40,-,63,18.3,104-IG  15,long filaments towards G 14
18,44,5,-,53,35.8,183- G  12,L in group
18,46,11,-,19,37.7,592- G   1,CG suggest planetary
18,48,5,-,63,19.3,104- G  20,"in cl, IC Dec off 9'"
18,48,6,-,79,33.8,25-IG   3,in G 04 group
18,48,18,-,56,5.8,183-IG  22,in chain w IG 23
18,48,26,-,56,2.8,183-IG  23,in chain w IG 22
18,50,50,-,60,13.4,141-IG  10,S comp on tip of s arm
18,54,11,-,69,55.6,72-IG   7,star superimp
18,57,15,-,57,36.2,141- G  20,cz=5900:10(2C) based on H K G 5175
18,57,20,-,63,7.1,104- G  30,in cl
19,0,40,-,58,39.3,141- G  23,IC Dec off 10'
19,2,19,-,65,32.4,104- G  36,in Se 132/2
19,2,35,-,65,30.4,104- G  37,in Se 132/2
19,2,38,-,25,28.5,524- G?  6,"this star? appears very red on PSS, like a double-shell"
19,2,38,-,25,28.5,524- G?  6,planetary
19,4,31,-,63,32.7,104-IG  39,in G 42 group
19,4,56,-,64,35.8,104- G  40,connected? w S comp 1.8 p
19,7,30,-,64,3.8,104-IG  45,stars superimp
19,8,27,-,60,28.2,141-IG  32,S comp 1.2 nf
19,9,39,-,19,30.2,593- G   5,in cluster
19,11,11,-,54,45.0,184-IG  46,interacting w S comp 1.4 n
19,11,14,-,50,44.7,231- G  28,cz=4500:90(2C) based on H K G 5175
19,13,57,-,60,35.5,141-IG  48,interact w IG 50; in group
19,14,12,-,60,35.3,141-IG  49,interact w IG 50; in group
19,14,14,-,60,38.2,141-IG  50,interacting w IG 48 and IG 49
19,15,58,-,60,29.0,141- G  54,in group
19,16,57,-,58,45.9,141- G  55,S comp? on tip of sp arm
19,20,52,-,71,33.9,72-**  15,"SAO stars 257685, 257686"
