OC,01 44 24.00,+60 40 24.0,-0.00036,+0.0011,,,1.938E+03,,,5.00,,,NGC 659,
OC,01 45 40.00,+64 16 08.0,+0.00018,-0.0001,,,,,,4.00,,,Majaess 26,
OC,01 45 45.00,+71 48 36.0,-0.00019,-0.0009,,,7.020E+02,-7.2,,57.00,,,Collinder 463,
OC,01 46 09.00,+61 14 06.0,-0.00021,-0.0023,,,2.420E+03,-33.0,,14.00,,,C 10,NGC 663,
OC,01 47 13.00,+57 43 48.0,-0.00006,-0.0007,,,1.200E+03,-20.0,,36.00,,,ASCC 6,
OC,01 47 48.00,+62 56 00.0,+0.00002,-0.0028,,,6.200E+03,,,2.00,,,Berkeley 5,
OC,01 50 51.00,+61 05 28.0,-0.00043,-0.0008,,,2.200E+03,,,4.00,,,S1,
OC,01 51 11.00,+61 03 40.0,-0.00040,+0.0002,,,2.520E+03,,,8.00,,,Berkeley 6,
OC,01 52 30.00,+61 50 00.0,-0.00018,-0.0000,,,4.800E+03,-36.7,,7.00,,,IC 166,
OC,01 52 48.00,+57 04 00.0,+0.00007,-0.0022,,,1.200E+03,,,12.00,,,Stock 4,
OC,01 53 43.00,-45 57 12.0,+0.00081,+0.0006,,,1.380E+03,,,14.00,,,ESO 245 09,
OC,01 54 12.00,+62 22 00.0,-0.00040,+0.0010,,,2.570E+03,,,4.00,,,Berkeley 7,
OC,01 55 43.00,+61 21 21.0,-0.00033,+0.0001,,,2.750E+03,,,1.00,,,Czernik 5,
OC,01 57 41.00,+37 47 06.0,+0.00063,-0.0115,,,4.570E+02,+5.5,,75.00,,,C 28,NGC 752,
OC,01 58 33.00,+55 28 24.0,-0.00016,+0.0011,,,1.207E+03,,,5.00,,,NGC 744,
OC,01 58 37.00,+60 09 18.0,-0.00014,-0.0022,,,1.618E+03,-6.5,,8.00,,,NGC 743,
OC,01 58 55.00,+58 58 12.0,+0.00003,-0.0010,,,2.000E+03,-49.0,,30.00,,,ASCC 7,
OC,02 01 06.00,+75 29 00.0,+0.00026,-0.0031,,,3.150E+03,,,5.00,,,Berkeley 8,
OC,02 02 00.00,+62 50 00.0,-0.00017,+0.0002,,,2.700E+03,-22.0,,8.00,,,Czernik 6,
OC,02 03 01.00,+62 14 48.0,-0.00017,+0.0002,,,3.300E+03,,,10.00,,,Czernik 7,
OC,02 04 30.00,+64 26 00.0,-0.00002,-0.0015,,,1.100E+03,-19.8,,24.00,,,Stock 5,
OC,02 05 30.00,+62 15 54.0,-0.00027,-0.0009,,,7.700E+03,,,5.00,,,SAI 16,
OC,02 07 23.00,+60 15 25.0,+0.00122,-0.0060,,,2.800E+03,,,4.00,,,Riddle 4,
OC,02 14 43.00,+59 29 06.0,+0.00227,-0.0131,,,3.030E+02,-41.1,,60.00,,,Stock 2,
OC,02 19 00.00,+57 07 42.0,-0.00011,-0.0017,,,2.079E+03,-42.8,,18.00,,,C 14,NGC 869,Double Cluster,h Persei,
OC,02 19 28.00,+58 18 00.0,+0.00019,+0.0003,,,1.944E+03,-32.1,,2.00,,,Basel 10,
OC,02 19 36.00,+63 43 00.0,-0.00001,+0.0028,,,5.700E+03,,,16.00,,,Berkeley 63,
OC,02 20 10.00,+61 06 31.0,+0.00031,-0.0021,,,2.668E+03,,,1.00,,,FSR 0578,
OC,02 20 48.00,+59 11 06.0,+0.00000,-0.0003,,,3.800E+03,,,2.00,,,SAI 17,
OC,02 20 49.00,+59 36 36.0,+0.00007,-0.0004,,,2.200E+03,-17.4,,36.00,,,ASCC 8,
OC,02 21 06.00,+65 54 00.0,-0.00036,+0.0024,,,3.981E+03,,,2.00,,,Berkeley 64,
OC,02 22 23.00,+57 07 33.0,-0.00028,-0.0006,,,2.940E+03,-42.6,,18.00,,,C 14,NGC 884,Chi Persei,Double Cluster,
OC,02 23 42.00,+63 52 00.0,+0.00009,+0.0030,,,1.700E+03,,,14.00,,,Stock 6,
OC,02 27 11.00,+61 37 40.0,+0.00017,+0.0006,,,2.009E+03,,,2.00,,,FSR 0584,
OC,02 27 44.00,+58 45 32.0,+0.00007,+0.0003,,,2.200E+03,,,4.00,,,FSR 0591,
OC,02 28 07.00,+72 37 35.0,-0.00022,+0.0029,,,,,,11.00,,,Majaess 29,
OC,02 28 54.00,+61 47 00.0,+0.00029,-0.0052,,,3.850E+03,,,7.00,,,Tombaugh 4,
OC,02 29 00.00,+62 05 39.0,-0.00018,+0.0005,,,6.020E+03,,,8.00,,,Teutsch 55,
OC,02 29 40.00,+60 42 24.0,-0.00045,+0.0002,,,6.980E+02,-7.1,,6.00,,,Markarian 6,
OC,02 29 52.00,+58 06 37.0,-0.00019,+0.0030,,,1.417E+03,,,3.00,,,FSR 0596,
OC,02 32 15.00,+44 38 48.0,-0.00008,-0.0001,,,2.613E+03,,,9.00,,,NGC 956,
OC,02 32 42.00,+61 27 00.0,-0.00029,-0.0016,,,2.344E+03,-45.0,,20.00,,,IC 1805,
OC,02 33 00.00,+58 44 00.0,+0.00063,+0.0007,,,1.409E+03,,,2.00,,,Czernik 8,
OC,02 33 21.00,+57 33 36.0,-0.00017,-0.0001,,,2.200E+03,-34.3,,10.00,,,NGC 957,
OC,02 33 32.00,+59 53 12.0,-0.00019,+0.0003,,,1.660E+03,,,3.00,,,Czernik 9,
OC,02 33 54.00,+60 10 00.0,-0.00058,-0.0029,,,1.575E+03,,,2.00,,,Czernik 10,
OC,02 34 45.00,+62 34 22.0,-0.00043,-0.0018,,,1.860E+03,,,3.00,,,SAI 21,
OC,02 35 42.00,+59 00 00.0,+0.00007,+0.0024,,,3.172E+03,,,5.00,,,King 4,
OC,02 36 35.00,+59 38 00.0,-0.00001,-0.0005,,,1.210E+03,,,3.00,,,Czernik 11,
OC,02 36 53.00,+55 54 54.0,+0.00001,-0.0035,,,7.250E+02,+2.4,,17.00,,,Trumpler 2,
OC,02 37 38.00,+56 24 54.0,-0.00011,-0.0023,,,1.000E+03,,,5.00,,,FSR 0611,
OC,02 39 00.00,+60 25 00.0,-0.00020,-0.0027,,,2.274E+03,,,5.00,,,Berkeley 65,
OC,02 39 12.00,+54 55 00.0,-0.00009,-0.0017,,,2.000E+03,,,6.00,,,Czernik 12,
OC,02 42 05.00,+42 45 42.0,-0.00003,-0.0069,,,4.990E+02,-16.8,,35.00,,,M 34,NGC 1039,
OC,02 42 34.00,+56 44 00.0,+0.00002,-0.0028,,,2.434E+03,,,2.00,,,FSR 0614,
OC,02 42 43.00,+61 38 01.0,-0.00035,+0.0009,,,1.030E+03,+15.6,,6.00,,,NGC 1027,
OC,02 44 36.00,+60 59 42.0,,,,,,,,2.00,,,Majaess 30,
OC,02 44 42.00,+62 21 00.0,-0.00015,-0.0022,,,3.961E+03,,,4.00,,,Czernik 13,
OC,02 46 55.00,+57 43 48.0,-0.00012,-0.0003,,,2.900E+03,-40.7,,20.00,,,ASCC 9,
OC,02 47 40.00,+61 58 30.0,-0.00009,-0.0020,,,2.050E+03,,,9.00,,,Teutsch 162,
OC,02 51 12.00,+60 26 00.0,-0.00070,+0.0003,,,2.200E+03,-33.7,,18.00,,,IC 1848,
OC,02 59 23.00,+60 34 00.0,+0.00005,+0.0004,,,,-40.0,,25.00,,,Collinder 34,
OC,02 59 25.00,+60 33 58.0,-0.00013,+0.0012,,,1.000E+03,-40.0,,6.00,,,SAI 24,
OC,03 00 27.00,+57 16 02.0,-0.00027,+0.0028,,,2.290E+03,,,7.00,,,SAI 25,
OC,03 04 18.00,+58 46 00.0,-0.00008,+0.0026,,,5.000E+03,-50.6,,4.00,,,Berkeley 66,
OC,03 05 56.00,+44 23 00.0,+0.00010,-0.0050,,,4.571E+03,-82.0,,3.00,,,NGC 1193,
OC,03 10 49.00,-57 46 00.0,+0.00096,+0.0036,,,7.900E+02,,,8.00,,,NGC 1252,
OC,03 11 40.00,+53 20 42.0,-0.00001,-0.0005,,,1.800E+03,,,4.00,,,NGC 1220,
OC,03 11 48.00,+63 15 00.0,-0.00043,-0.0007,,,4.600E+02,-8.5,,12.00,,,Trumpler 3,
OC,03 14 42.00,+47 14 12.0,+0.00018,-0.0019,,,2.818E+03,-29.7,,32.00,,,NGC 1245,
OC,03 14 45.00,+52 41 12.0,-0.00002,-0.0033,,,1.740E+03,-52.0,,14.00,,,King 5,
OC,03 16 11.00,+60 06 56.0,+0.00005,-0.0013,,,3.800E+02,-8.5,,29.00,,,Stock 23,
OC,03 16 54.00,+58 36 00.0,+0.00004,-0.0025,,,2.175E+03,,,2.00,,,Czernik 14,
OC,03 21 42.00,-36 18 00.0,+0.00301,-0.0047,,,1.000E+02,+19.5,,200.00,,,Alessi 13,
OC,03 23 12.00,+52 15 00.0,+0.00015,-0.0000,,,1.155E+03,,,2.00,,,Czernik 15,
OC,03 23 12.00,+60 33 46.0,-0.00021,-0.0013,,,5.001E+03,,,5.00,,,FSR 0628,
