GC,17 19 11.26,-18 30 57.4,,,+7.72,+8.69,7.900E+03,+229.1,F5/6,1.92,,,M 9,NGC 6333,
GC,17 21 10.08,-19 35 14.7,,,+9.66,+10.92,8.500E+03,+115.7,G3/4,1.46,,,NGC 6342,
GC,17 23 34.93,-17 48 46.9,,,+8.25,+9.38,1.510E+04,+27.0,G3,1.62,,,NGC 6356,
GC,17 23 58.59,-26 21 12.3,,,+9.14,+10.62,9.200E+03,-176.9,G0,1.76,,,NGC 6355,
GC,17 25 29.11,-48 25 19.8,,,+7.96,+9.02,5.600E+03,-137.0,G4,4.10,,,C 81,NGC 6352,
GC,17 27 08.50,-07 05 35.0,,,+13.10,+14.48,2.500E+04,-140.2,,2.80,,,IC 1257,
GC,17 27 33.10,-30 48 08.4,,,+14.29,,7.500E+03,+109.0,,3.04,,,Terzan 2,
GC,17 27 44.24,-05 04 47.5,,,+9.20,+10.64,3.500E+03,-122.2,,5.84,,,NGC 6366,
GC,17 30 39.00,-31 35 43.9,,,+16.00,,7.200E+03,-50.0,,3.70,,,Terzan 4,
GC,17 31 05.20,-29 58 54.0,,,+11.59,,8.200E+03,+45.8,,6.20,,,HP 1,
GC,17 31 54.99,-67 02 54.0,,,+7.73,+8.58,7.600E+03,-13.1,G3,4.10,,,NGC 6362,
GC,17 33 24.50,-33 23 20.4,,,+16.77,,8.200E+03,+52.0,,,,,Liller 1,
GC,17 34 28.00,-39 04 09.0,,,+11.31,+13.32,1.090E+04,-3.6,,1.48,,,NGC 6380,
GC,17 35 47.80,-30 28 11.0,,,+15.90,,6.700E+03,+114.0,,7.64,,,Terzan 1,
GC,17 36 10.50,-38 33 12.0,,,+12.24,,8.200E+03,-184.4,,2.60,,,Ton 2,
GC,17 36 17.23,-44 44 07.8,,,+6.72,+7.89,9.900E+03,+80.1,G2,1.04,,,NGC 6388,
GC,17 37 36.10,-03 14 45.3,,,+7.59,+8.84,9.300E+03,-66.1,F4,2.60,,,M 14,NGC 6402,
GC,17 38 36.60,-23 54 34.2,,,+9.45,+11.03,1.060E+04,-65.0,F9,3.82,,,NGC 6401,
GC,17 40 42.09,-53 40 27.6,,,+5.73,+6.46,2.300E+03,+18.8,F4,5.80,,,C 86,NGC 6397,
GC,17 43 42.20,-26 13 21.0,,,+11.55,+14.38,5.800E+03,+181.0,,2.40,,,Pal 6,
GC,17 44 54.65,+03 10 12.5,,,+11.01,+12.03,2.060E+04,-162.0,G1,1.84,,,NGC 6426,
GC,17 47 28.30,-33 03 56.0,,,+13.60,,1.370E+04,-362.4,,3.18,,,Djorg 1,
GC,17 48 04.80,-24 46 45.0,,,+13.85,+16.62,6.900E+03,-93.0,,1.44,,,Terzan 5,
GC,17 48 52.70,-20 21 36.9,,,+9.20,+11.17,8.500E+03,-76.6,G4,0.96,,,NGC 6440,
GC,17 50 13.06,-37 03 05.2,,,+7.15,+8.42,1.160E+04,+16.5,G2,1.14,,,NGC 6441,
GC,17 50 46.38,-31 16 31.4,,,+13.85,,6.800E+03,+126.0,,0.88,,,Terzan 6,
GC,17 50 51.70,-34 35 57.0,,,+10.08,+11.39,1.160E+04,-83.7,F8,0.88,,,NGC 6453,
GC,17 54 27.20,-24 08 43.0,,,+17.29,,7.800E+03,+57.0,,,,,UKS 1,
GC,17 59 03.68,-44 15 57.4,,,+8.54,+9.52,1.130E+04,-112.7,G4,2.04,,,NGC 6496,
GC,18 01 38.80,-26 50 23.0,+inf,,+16.00,,7.100E+03,+59.0,,1.56,,,Terzan 9,
GC,18 01 49.10,-27 49 33.0,+inf,,+9.90,,6.300E+03,,,2.10,,,Djorg 2,
