N0427       3570  OXN and bar(?), prob (r): 0.35 x 0.2; pat (R): 0.8 x 0.45. 2 *
N0427       3570    sup.                                                        
N0432       1870  OXN, pB lens, vF corona. 2nd brtst in grp.                    
N0434       1870  OXN. Massive arms form (R'): 1.1 x 0.7. Brtst in grp.         
N0434A      1870  B bar 0.5 x 0.1; pF arms. Sim to Integral Sign gal. 3.0 nf    
N0434A      1870    N434.                                                       
N0438       3524  OXN and prob bar, B p smo arms w few knots; mE env.           
N0438       3570  Near plate edge.                                              
N0439       1920  P(a) w N441 2.5 sf.                                           
N0439       3516  OX hexag N. P(a?) w N441 2.6 ssf.                             
N0439       3570  OXN w trace of (r)?, mE corona. N441 2.6 ssf. 1st in S cl.    
N0440       1870  OXN. eF plume to n. 4.9 sf N434.                              
N0441       1920  (r): 0.5 x-. P(a) w N439 2.5 np. Rich dense cl.               
N0441       3516  P(a?) w N439 2.6 nnp.                                         
N0441       3570  OXN and bar, F (r'): 0.55 x -, F arms.                        
N0454       3660  P(c:) at 0.5. Plumes; sp comp has many B knots.               
N0461       3570  OXN, pat arms. 1st in (or sup on?) grp. Many F comp near.     
N0466       1870  OXN. B lens, arms faintly seen. eF corona.                    
N0478       3607  Tri sys w knots and plumes. 1st in grp; sev comp near.        
N0478       4655  OXN, OX arms, 2 B knots on plume nf; eF dist env. Poss P(c)?  
N0482       3524  Strg dust lane; stage uncertain. S Ssp 5.5 n. Pec P(b) 16.5   
N0482       3524    ssp.                                                        
N0484       1870  OXN. Trace of struct in F lens. * sup 0.7 sf on eF corona.    
N0491       3570  OXN w knotty arms. * 0.8 sp.                                  
N0491A      3570  B short bar, pat arms w many knots; vFE env.                  
N0526A,B    3596  Both OXN. P(b) at 0.6 w bridges and plumes. N527 3' ssf.      
N0527       3570  Poss bar and (r): 0.9 x -.                                    
N0527       3596  OXN, smo arms. S Sa?sp 0.7 ssf. 1st in grp.                   
N0534       3524  OXN and bar, B lens, F corona. In a grp.                      
N0539       3607  OXN, pF bar, (r'): 0.35 x 0.25, thin knotty arms. eF dist     
N0539       3607    env. Comp sup 0.7 ssp.                                      
N0540       3607  OXN and bar, pB lens, F corona.                               
N0544       3524  OXN w nubs, pB lens, F corona. P(b) w N546 at 1.5. Others nr. 
N0546       3524  OX bar, long dist arms. P(b) w N544 at 1.5. Others near.      
N0549       3524  OXN, dust lane, smo arms. 1st in grp. S SAB0- 1.2 sf.         
N0554A,B    3607  P(c) at 0.15. Both OX, plumes. Brtst in chain.                
N0555       3607  OXN, pB bar and (r): 0.35 x 0.3, pF (R'): 0.7 x 0.6; dist env.
N0555       3607    2nd in chain; 2 S0 0.5 n. N554 2.3 nnp.                     
N0556       3607  OXN, knot sup 0.1 np, F plumes sp and nf. Poss SB?0 pec. N554 
N0556       3607    1.9 ssp.                                                    
N0563       3607  OXN, pB lens, vFE corona. cE0 sup 0.4 nf.                     
N0568=I1709 3570  Dust pats rather than jet on this pl? Near calib cutout.      
N0568=I1709 3596  OXN w jet, pB lens, vFmE corona. 1st in grp. (R)Sb:pec 4.5 nf.
N0568=I1709 3596    EU ident for I1709 is incorrect.                            
N0572       3524  OXN and bar, B lens w * sup 0.3 np. eF corona.                
N0574       3596  OXN, thin knotty arms form (R'): 1.0 x 0.55. Sup on eD cl.    
N0576       1851  OXN and bar, F (r): 0.5 x 0.4, eF dist (R'): 1.2 x 0.9. P(b?) 
N0576       1851    w S0+?sp pec 11.2 nnp.                                      
N0578       3607  OXN and bar, thin arms w many B knots. Sup on sev F gal.      
N0583       3607  OXN and bar, vF (r'): 0.4 x 0.35 in B lens. 1st in grp; sev   
N0583       3607    comp near.                                                  
N0594       3607  OXN, thin arms. Flanked by 2 F comps. Near plate edge.        
N0597       3596  OXN, thin pat arms w sev B knots.                             
N0612       3524  OXN, pB lens. Fiducial mark sup.                              
N0612       3596  OXN, dark lane, pB * 1.0 p. Sev F comp near. 2nd in grp.      
N0613        859  (r): 2.2 x 1.2. B * 2.3 nf.                                   
N0619       3596  OXN, pat bar and (r): 0.65 x 0.4, thin arms form (R'): 1.4 x  
N0619       3596    0.75. N623 3' f.                                            
N0623       3596  OX rectang N w trace of (r): 0.4 x 0.4, pF lens, mE corona.   
N0623       3596    1st in grp.                                                 
N0625       3524  OXN, v pat, many F knots, vFmE env.                           
N0626       3524  OXN, F arms in short arcs.                                    
N0626       3587  OX bar, (r'): 0.45 x 0.4.                                     
N0630       3524  OXN, pB lens, F corona. P(a) w 0133-396 1.9 sp.               
N0630       3587  OXN, incomp (r) in pB lens.                                   
N0633       3524  OXN, F arms; S comp 1.1 s. Plate edge.                        
N0633       3587  OXN, p smo arms and plume; bridge to comp 1.2 s (which is     
N0633       3587    included in dim).                                           
N0633       3596  Poss bar and (r): 0.4 x 0.3:.                                 
N0639        859  OX. P(b?) at 1.7 w N642.                                      
N0641       1761r OXN, pB lens, pFE corona. P w N0644 4.3 sf.                   
N0642        859  P(b?) at 1.7 w N639. * 0.8 sf.                                
N0643B      1948  OXN. Brtst in grp. lsb dwarf 5' sp.                           
N0643B      1949  OXN, fltnd bulge, plume to np. lsb IBm V comp 4.8 sp.         
N0643C      1948  F comp 1.1 np.                                                
N0644       1761r OXN, B bar and (r): 0.4 x 0.22. Thin knotty arms. P w N0641   
N0644       1761r   4.3 np.                                                     
N0646       1004r BN, short bar, dist. One smo arm, 1 knty arm to I0? 0.9 f.    
N0646       1748  Dim includes comp.                                            
N0648=I0146 3607  OXN, B lens w cE0 sup 0.4 np. eFmE asym corona. N610, N611,   
N0648=I0146 3607    and N635 not found.                                         
N0667       3785  OXN, dark lane on one side, pB lens; pB * 1.4 np. 1st in grp. 
N0667       4493r Near plate edge.                                              
N0685        938  Thick knotty arms. Sim to M33 w bar.                          
N0685       1851  pLpBN, short bar, pat arms w many F knots.                    
N0685       3768  Sim to M33 but has B bar; (r'): 0.65 x 0.6. Many knots.       
N0686       3785  OXN, pB lens.                                                 
N0689        847  Dark lane, * sup 0.45 s.                                      
N0689       3785  OXN w dark lane (or detached arm?); few knots. eF dist env.   
N0690       4493r = A0145-16 in RC2. B short bar, thin pat arms w B knots.      
N0692        938  Nar well-def arms, vF out arms.                               
N0692       1851  OXN and bar, (r): 0.4 x 0.3, thin arms w knots.               
N0692       1891  OXN.                                                          
N0696        832  Dark lane, F plumes. P(b) w N698 5.2 nf.                      
N0696       3596  Dist corona.                                                  
N0698        832  OX cent, (R'): 0.75 x 0.75 w * sup 0.45 nf. P(b) w N696 5.2   
N0698        832    sp. 5 gal within 3'.                                        
N0723=N0724 3785  OXN, thin arms w many knots. S comp 3.4 sf.                   
N0727        832  Smo arms, (R'): 1.1 x 0.7.                                    
N0734       4493r OX elong N, F (r'): 0.5 x 0.3, eF arms.                       
N0745       1813  OXN. Dist corona. P(b) w S E3 0.4 n + SB0? 0.7 nf.            
N0745       3768  OXN, brtst in tri sys. 2 S0?pec 0.4 n and 0.7 nf.             
N0745       1882  OXN, bridge to comp 0.4 n, 2nd comp 0.7 nf. Knots in corona.  
N0749        847  Bar(?) 0.8 x 0.35 w dust. (R'): 1.2 x 0.9. vF ext sf.         
N0754       1813  OX, eF exts. 4.3 sf N745.                                     
N0754       1882  OX. 4.3 sf N745.                                              
N0754       3768  OX. Type very uncertain, could be anything; smo OX image.     
N0756       4493r Tri int sys or P(b) w * sup in F corona. Type is for 1st comp.
N0775       3785  OXN, knotty (r'): 0.6 x 0.5, v knotty arms.                   
N0782       1813  vBN, bar, and (r): 0.65 x 0.65.                               
N0782       1882  B bar and (r): 0.7 x 0.6, pF arms. * sup 0.5 nf.              
N0782       3768  OXN. B bar and (r): 0.6 x 0.6; thin knotty arms. eF out arms. 
N0795       1882  OXN, pB lens. 3 * near p. Sev F and vF comp near.             
N0795       3768  OXN, dist corona? 3 * np. Sev F comp near.                    
N0802        934  (R')SB(s)a 5.3 nnf. * 1.5 p.                                  
N0802       1004r OXN, vF short arms. P(b?) w SB:(r:)b 5.4 f.                   
N0802       2566  OXN, dist lens. P w 0158-680 5.3 nf.                          
N0808       2708  OXN w bar(?) and poss (r): 0.45 x 0.25, p smo arms w few B    
N0808       2708    and F knots. Sev F gal v near.                              
N0813       2566  OXN and bar(?) F (r): 0.6 x 0.4 in lens; loops in eF corona.  
N0813       2566    * sup 0.2 f.                                                
N0822        860  Bckgnd grp.                                                   
N0823=I1782 2708  OXN, slightly knotty(?) poss (r) in pB lens; vFeE corona.     
N0823=I1782 2708    * sup 0.25 f.                                               
N0824        832  vBN, (r): 0.5 x 0.5, * sup 0.18 sp N.                         
N0836       2708  OXN, pB lens, F (R'): 1.6 x 1.2, F dist corona. 2nd in grp.   
N0837       2708  OXN, B arms; * 1.0 n affects maj dim. SB:(s:)c? 1.5 sff.      
N0849       2708  OX w trace of (R) in eF corona.                               
N0852       1813  OXN, B(r): 0.4 x 0.4. * sup 0.3 np.                           
N0852       1882  OXN, pF arms, * sup 0.3 np.                                   
N0854        832  Pat arms on s side, F smo arms on n side.                     
N0854       2713  (r'): 0.5 x 0.3.                                              
N0857        832  BN, uniform lens, eF corona. Cl s, sf.                        
N0857       2713  vF (r): 0.75 x 0.55 in lens. Near calib cutout.               
N0858       2708  OXN w vB thin arms. Many knots. OX comp 0.9 f. 1st in grp.    
N0862        860  * 0.5 p. lsb SB(s)m: 1.3 nff.                                 
N0862       2724  OX. lsb comp 1.4 f. Near calib cutout.                        
N0872       3799  OXN (w bar?), v pat arms.                                     
N0874?      2708  OXN, F dist arms. Com comp or vB knot 0.35 np. Ident assumes  
N0874?      2708    7' error in NGC Dec. SB(s)m:IV-V: 0.55 nf.                  
N0878       2708  OX w F arms. Sev vF comp near.                                
N0888       1810  OXN.                                                          
N0888       1813  OXN, slightly dist. 4 * near. Brtst in grp. S0sp 1.3 nf.      
N0889        860  S comp 0.6 sf, * 6.7 sf.                                      
N0889       2724  OXN, pB lens. F comp 0.6 sf.                                  
N0892       2708  OXN w F arms. 1st in grp. Note correct RA.                    
N0893        860  OXN, hsb, asym. 2 B arms sf, F arms np. lsb comp (or bckgnd   
N0893        860    obj?) 1.0 np. * 3.1 nf.                                     
N0897       2713  OXN, (r'): 0.8 x 0.55, sim to N2841. pB * 0.8 f. 3 F comp     
N0897       2713    near, one sup 0.8 sp.                                       
N0899       5536  OX bar, many knots, F dist env. P(b) w I223 5.0 nnf.          
N0902       5536  OX bar, dist (r'): 0.4 x 0.3. On edge of calib cutout.        
N0907       5536  OX bar and arms, dust patches and B knots. Stage uncertain.   
N0908       5536  OXN, short bar? vB pat arms w many knots. 1st in grp.         
N0922       2708  OXN and bar, dist arms w many knots. F plume to np.           
N0922       5522  Poss P(c) w comp sup?                                         
N0939       2724  Poss S0-.                                                     
N0947       5536  OXN, trace of bar, (r'): 0.45 x 0.3, v knotty slightly dist   
N0947       5536    arms. vB knots 0.7 sf. Sup on grp. Sd?sp 3.5 n.             
N0951       5522  OXN and bar, (r): 0.6 x 0.4, F arms. 1st in grp; 2 comp near. 
N0954        860  BN, F bar, pat arms.                                          
N0954       3588  (r'?): 0.4 x 0.3.                                             
N0964=I1814 2713  OXN, p smo arms w few vF knots; much incl. S Sc?sp 3.5 np.    
N0965       5536  v knotty, rather chaotic struct, thin arms. Note correct RA.  
N0966       5536  OXN, B lens, FE corona. B * 0.65 sp.                          
N0967       5536  OXN, pB lens, vF slightly dist corona. 1st in S cl.           
N0979       2724  OXN and bar, (r'): 0.5 x -, eF (R): 1.7 x 1.0.                
N0986       3588  OXN and bar, v pat (r'): 1.3 x 0.9:, few vF knots. F arms form
N0986       3588    (R'): 3.2 x 2.4.                                            
N0986A      3588  v knotty dwarf irr.                                           
N1025       4716  OXN. * (or cE0??) sup 0.3 np. 2 lsb comp near nf. P(a?) w     
N1025       4716    N1031 2.7 nff.                                              
N1031       4716  OXN and poss bar in prob (r): 0.75 x 0.30. P(a?) w N1025 2.7  
N1031       4716    spp.                                                        
N1079       1044  vB cent, broken (r): 1.3 x 0.7, vF out arms. (R): 3.5 x 1.9.  
N1091       5455  OX elong N, (r'?): 0.5 x 0.3, F dist arms. In grp. N1092 1.7  
N1091       5455    sff.                                                        
N1092       5455  S comp 0.7 nf. P(b?) w N1091 1.7 npp.                         
N1096       1810  OXN, B bar & dust bar, (r'): 0.6 x 0.5. Thin arms, a few      
N1096       1810    knots. * sup 0.5 sf. P(b) 12' npp.                          
N1097       1044  OXN, B bar, dist arms, vF dist env w eF jets.                 
N1097A      1044  3.4 np N1097.                                                 
N1098       5455  OXN, pB lens, FE corona. 1st in grp.                          
N1099       5455  OX bar, (r): 0.8 x 0.35, narrow inner arms, dif out arms. 2nd 
N1099       5455    in grp.                                                     
N1100       5455  OXN and bar, (r): 0.6 x 0.3, pat arms. 3rd in grp.            
N1102       3649  Note correct RA.                                              
N1102       5522  OX elong N, (r'): 0.3 x 0.3; pat arms, vF env. 1st in grp.    
N1114       5455  OXN, pat arms, * sup 0.3 f. 3 lsb comp near.                  
N1119       5455  OX elong N w F short whisps at edges; eF (R): 0.9 x 0.75. RNGC
N1119       5455    incorrect; at corrected NGC pos (see IC2 notes).            
N1124       3649  OXN, pB (R): 0.8 x 0.4. Sup on cl; many vF gal near.          
N1125       5455  OXN (w bar and r?), pF (R'): 1.05 x 0.5. S SBa? 0.9 sp.       
N1135       4716  Type uncertain. Dist by N1136 2.9 sf.                         
N1136       4716  OXN (w bar?), prob (r): 0.45 x 0.3. Note corr to NGC & RC2    
N1136       4716    dec. N1135 2.9 nnp.                                         
N1145       5455  OXN, pat arms, * sup 1.2 nff.                                 
N1163       3749  OXN, trace of dark lane. S S0 2.0 ssf.                        
N1165        855  BN, F bar in (r): 1.0 x 0.2, vF(R'): 1.7 x 0.8. * sup 0.4 p.  
N1179       3749  BN, short bar, (r'): 1.2 x 1.0, pF arms w knots. F comp 4.2 n.
N1187       3649  OXN, pat bar and arms w many knots. IBm IV 4.5 np w B * 0.9   
N1187       3649    sp.                                                         
N1187       3749  OXN, vB inner arms, many knots; (R'): 4.3 x 3.3. SB(s)0+pec   
N1187       3749    4.5 np.                                                     
N1187       5455  On plate edge.                                                
N1201       3649  OXN, vB lens w few S dust patches.                            
N1210       3649  OX bar w jets, dist (r'): 0.7 x 0.65, dist corona.            
N1210       3820  OX bar w perpend jets, dist (r'): 0.6 x 0.55. vF (R') in mE   
N1210       3820    dist corona.                                                
N1217       3536  OXN, prob (r): 0.6 x 0.4, thin arms, dust lane, mE corona.    
N1217       3536    S SB(s)a 0.9 n. Others near.                                
N1228       3749  OXN and bar, (r): 0.7 x 0.55, dist (R'): 1.3 x 1.1; vF plumes 
N1228       3749    inc in dim. 1st in com grp.                                 
N1229       3649  Dim inc plume: (4.7:: x 2.2::).                               
N1229       3749  OXN and bar, dist arms. lsb comp 1.8 np. 2nd in grp.          
N1230       3749  OX w F exts. 3rd in grp. Near plate edge.                     
N1232       3749  OXN (short bar?), thin v knotty arms.                         
N1232A      3749  OXN and bar, dist knotty arms. 4.0 sff N1232.                 
N1244        958  OX, dust ring. cE0 0.4 p. 3rd brtst in grp.                   
N1244       1005  OXN, vF out arms.                                             
N1244       1871  OXN. Com E0 0.4 np.                                           
N1246        958  2 lsb comp 1.8 nf, 2.7 nf.                                    
N1246       1005  OXN, vF corona. Poss S0- w traces of struct?                  
