SNR,RAh,RAm,RAs,DE-,DEd,DEm,MajDiam,---,MinDiam,u_MajDiam,type,l_S(1GHz),S(1GHz),u_S(1GHz),Sp-Index,u_Sp-Index,Names
G021.8-00.6,18,30,0,-,10,10,20.0,x,--,--,S,--,69.0,--,0.5,--,Kes 69
G022.7-00.2,18,30,30,-,9,15,26.0,x,--,--,S?,--,33.0,--,0.6,--,--
G023.3-00.3,18,32,0,-,8,50,27.0,x,--,--,S,--,70.0,--,0.5,--,W41
G023.6+00.3,18,30,20,-,8,15,10.0,x,--,?,?,--,8.0,?,0.3,--,--
G024.7-00.6,18,36,0,-,7,35,15.0,x,--,?,S?,--,8.0,--,0.5,--,--
G024.7+00.6,18,31,30,-,7,7,30.0,x,15.0,--,C?,--,20.0,?,0.2,?,--
G027.4+00.0,18,38,40,-,4,59,4.0,x,--,--,S,--,6.0,--,0.68,--,4C-04.71
G027.8+00.6,18,37,6,-,4,28,50.0,x,30.0,--,F,--,30.0,--,--,v,--
G028.8+01.5,18,36,30,-,2,40,100.0,x,--,?,S?,--,--,?,0.4,?,--
G029.7-00.3,18,43,48,-,3,2,3.0,x,--,--,C,--,10.0,--,0.7,--,Kes 75
G030.7-02.0,18,51,50,-,2,58,16.0,x,--,--,?,--,0.5,?,0.7,?,--
G030.7+01.0,18,42,10,-,1,35,24.0,x,18.0,--,S?,--,6.0,--,0.4,--,--
G031.5-00.6,18,48,35,-,1,35,18.0,x,--,?,S?,--,2.0,?,--,?,--
G031.9+00.0,18,46,50,-,0,59,5.0,x,7.0,--,S,--,24.0,--,0.55,--,3C391
G032.0-04.9,19,3,0,-,3,0,60.0,x,--,?,S?,--,22.0,?,0.5,?,3C396.1
G032.1-00.9,18,50,30,-,1,12,40.0,x,--,?,C?,--,--,?,--,?,--
G032.8-00.1,18,48,50,-,0,12,17.0,x,--,--,S?,--,11.0,?,0.2,?,Kes 78
G033.2-00.6,18,51,12,-,0,5,18.0,x,--,--,S,--,3.5,--,--,v,--
G033.6+00.1,18,50,15,+,0,37,10.0,x,--,--,S,--,22.0,--,0.5,--,"Kes 79, 4C00.70, HC13"
G034.7-00.4,18,53,30,+,1,18,35.0,x,27.0,--,S,--,230.0,--,0.3,--,"W44, 3C392"
G036.6-00.7,18,58,5,+,2,52,25.0,x,--,?,S?,--,--,?,--,?,--
G036.6+02.6,18,46,20,+,4,23,17.0,x,13.0,?,S,--,0.7,?,0.5,?,--
G039.2-00.3,19,1,40,+,5,23,8.0,x,6.0,--,S,--,18.0,--,0.6,--,"3C396, HC24, NRAO 593"
G039.7-02.0,19,10,0,+,4,50,120.0,x,60.0,--,?,--,85.0,?,0.7,?,"W50, SS433"
G040.5-00.5,19,4,45,+,6,26,22.0,x,--,--,S,--,11.0,--,0.5,--,--
G041.1-00.3,19,5,8,+,7,3,4.5,x,2.5,--,S,--,22.0,--,0.48,--,3C397
G042.8+00.6,19,4,55,+,9,0,24.0,x,--,--,S,--,3.0,?,0.5,?,--
G043.3-00.2,19,8,44,+,9,1,4.0,x,3.0,--,S,--,38.0,--,0.48,--,W49B
G043.9+01.6,19,3,30,+,10,25,60.0,x,--,?,S?,--,8.6,?,0.2,?,--
G045.7-00.4,19,14,5,+,11,4,22.0,x,--,--,S,--,4.2,?,0.4,?,--
G046.8-00.3,19,15,50,+,12,4,17.0,x,13.0,--,S,--,14.0,--,0.5,--,(HC30)
G049.2-00.7,19,21,30,+,14,0,30.0,x,--,--,S?,--,160.0,?,0.3,?,(W51)
G053.6-02.2,19,36,30,+,17,8,28.0,x,33.0,--,S,--,8.0,--,0.75,--,"3C400.2, NRAO 611"
G054.1+00.3,19,28,18,+,18,46,1.5,x,--,--,F?,--,0.5,--,0.1,--,--
G054.4-00.3,19,31,10,+,18,50,40.0,x,--,--,S,--,28.0,--,0.5,--,(HC40)
G055.0+00.3,19,30,0,+,19,45,15.0,x,20.0,?,S,--,0.5,?,0.5,?,--
G055.7+03.4,19,19,10,+,21,38,23.0,x,--,--,S,--,1.4,--,0.6,--,--
G057.2+00.8,19,32,50,+,21,50,12.0,x,--,?,S?,--,1.8,?,--,?,(4C21.53)
G059.5+00.1,19,40,25,+,23,28,5.0,x,--,--,S,--,3.0,?,--,?,--
G059.8+01.2,19,36,50,+,24,12,20.0,x,16.0,?,?,--,1.6,--,0.5,--,--
G063.7+01.1,19,45,50,+,27,37,8.0,x,--,--,F,--,1.8,--,0.3,--,--
G065.1+00.6,19,52,30,+,28,25,90.0,x,50.0,--,S,--,6.0,--,0.6,--,--
G065.3+05.7,19,31,0,+,31,5,310.0,x,240.0,--,S?,--,52.0,?,0.6,?,--
G065.7+01.2,19,50,10,+,29,18,18.0,x,--,--,?,--,5.1,--,0.6,--,DA 495
G067.7+01.8,19,52,34,+,31,21,9.0,x,--,--,S,--,1.4,--,0.3,--,--
G068.6-01.2,20,6,40,+,30,28,28.0,x,25.0,?,?,--,0.7,?,0.0,?,--
