Seq,GLON,GLAT,RAh,RAm,DE-,DEd,DEm,Diam1,Diam2,Area,Color,Bright,ID,Name
664,136.4,2.5,2,47,+,62,0,6,6,0.007,3,4,28,S 196
665,136.53,-0.37,2,38,+,59,21,2,2,0.001,4,6,0,S 195
666,137.23,-9.8,2,18,+,50,20,24,8,0.036,1,6,49,--
667,137.24,0.77,2,47,+,60,5,40,10,0.13,3,2,27,IC 1848
668,137.29,-9.96,2,18,+,50,10,150,60,1.779,1,6,49,--
669,137.38,0.19,2,46,+,59,30,10,10,0.021,3,4,27,--
670,137.39,0.47,2,47,+,59,45,25,5,0.028,3,2,27,--
671,137.5,-10.06,2,19,+,50,0,22,7,0.03,1,6,49,--
672,137.62,0.86,2,50,+,60,0,120,60,1.254,3,3,27,--
673,137.69,1.27,2,52,+,60,20,25,7,0.042,3,2,27,--
674,138.18,4.11,3,7,+,62,35,8,8,0.014,4,6,0,S 200
675,138.5,1.59,2,59,+,60,14,4,4,0.003,3,4,27,IC 1871
676,139.57,2.7,3,11,+,60,40,20,4,0.01,3,4,27,--
677,140.07,1.64,3,10,+,59,30,240,120,7.996,4,6,27,S 202
678,140.14,3.85,3,20,+,61,20,3,2,0.001,1,4,0,DG  13
679,140.77,-1.42,3,3,+,56,30,105,10,0.313,4,5,0,--
680,141.62,-0.44,3,12,+,56,55,10,5,0.011,1,5,0,DG  12
681,141.68,2.87,3,26,+,59,40,20,8,0.095,1,4,27,--
682,142.14,1.97,3,25,+,58,40,35,20,0.028,1,4,27,DG  17
683,142.46,37.02,9,10,+,71,0,300,30,2.996,1,6,0,--
684,142.65,1.91,3,28,+,58,20,40,20,0.24,1,6,27,--
685,143.37,-2.2,3,16,+,54,30,90,70,1.525,4,6,33,S 203
686,143.46,-2.89,3,14,+,53,52,5,3,0.001,4,5,33,--
687,144.89,17.42,5,22,+,67,30,50,30,0.419,2,6,21,--
688,145.45,-39.4,2,2,+,20,0,60,30,0.246,2,5,65,DG   8
689,145.8,2.83,3,51,+,57,10,30,10,0.049,4,5,0,S 204
690,146.21,17.61,5,30,+,66,30,80,20,0.419,2,6,21,--
691,147.05,41.11,9,33,+,66,0,180,120,3.197,2,6,0,--
692,147.56,36.88,8,52,+,67,15,20,10,0.039,2,5,19,--
693,147.69,17.07,5,32,+,65,0,90,35,0.81,2,6,21,--
694,147.69,-25.69,2,34,+,31,50,90,15,0.039,2,6,0,--
695,147.82,37.57,8,58,+,66,50,110,40,1.127,2,6,19,--
696,148.11,-0.45,3,49,+,53,10,43,25,0.225,3,5,30,--
697,148.13,4.32,4,11,+,56,45,5,5,0.003,4,6,0,--
698,148.15,23.46,6,32,+,67,0,105,15,0.377,2,5,20,--
699,148.81,16.6,5,33,+,63,50,30,10,0.074,2,6,21,--
700,148.83,17.71,5,42,+,64,20,45,15,0.134,2,6,21,--
701,149.02,-0.13,3,55,+,52,50,100,80,1.641,3,5,30,S 205
702,149.07,24.06,6,40,+,66,20,70,50,0.637,2,6,20,--
703,149.59,-39.12,2,15,+,19,0,420,120,7.176,2,6,65,--
704,150.56,-0.99,3,59,+,51,11,6,9,0.011,3,1,51,NGC 1491
705,150.69,-0.9,4,0,+,51,10,25,25,0.123,4,3,51,--
706,150.9,-1.15,4,0,+,50,50,45,10,0.142,4,4,51,S 206
707,150.95,-38.06,2,21,+,19,30,50,20,0.236,2,5,65,--
708,151.25,2.12,4,16,+,53,0,7,5,0.003,4,3,0,S 207
709,151.45,-1.78,4,0,+,50,0,45,20,0.19,1,6,0,--
710,151.54,-0.24,4,7,+,51,5,7,7,0.003,4,3,0,--
711,152.38,-37.68,2,26,+,19,20,30,10,0.137,2,5,65,--
712,152.67,2.84,4,26,+,52,30,20,20,0.092,4,5,0,S 210
713,152.91,-8.35,3,42,+,44,0,160,80,2.542,1,6,53,--
714,153.32,-8.88,3,42,+,43,20,60,30,0.342,1,6,53,--
715,154.25,-44.47,2,18,+,12,40,60,8,0.106,1,6,0,--
716,154.4,-16.4,3,23,+,36,40,10,8,0.011,3,5,54,--
717,154.69,2.43,4,33,+,50,45,2,2,0.001,3,2,0,S 211
718,154.74,-15.14,3,28,+,37,30,210,30,1.775,3,6,54,--
719,154.79,-15.2,3,28,+,37,25,35,30,0.246,3,5,54,--
720,155.13,-14.65,3,31,+,37,40,70,25,0.313,3,5,54,--
721,155.19,-14.4,3,32,+,37,50,12,10,0.032,1,5,54,DG  19
722,155.43,2.63,4,37,+,50,20,5,5,0.004,3,1,0,NGC 1624
723,155.5,32.62,8,3,+,61,30,55,12,0.151,2,6,23,--
724,155.53,-6.41,4,0,+,43,50,40,8,0.074,1,6,0,--
725,155.96,-24.08,3,8,+,29,30,180,60,3.44,3,6,61,--
726,156.05,-23.42,3,10,+,30,0,360,330,22.0,3,6,61,--
727,156.5,32.52,8,2,+,60,40,43,10,0.081,2,5,23,--
728,156.51,35.11,8,23,+,60,30,25,10,0.049,2,6,0,--
729,156.68,34.5,8,18,+,60,25,32,6,0.035,2,6,0,--
730,156.85,-44.77,2,24,+,11,30,180,12,0.754,1,6,0,--
731,157.08,-3.61,4,17,+,44,50,1,1,0.001,3,6,0,S 213
