OCL-115     263   NGC 6793        056.19 +03.34 19 21.0 +22 05  O- 185  19 30 +24  336  62
OCL-116     265   H 20            056.30 -04.67 19 50.9 +18 12  O- 190  19 36 +18   35 172
OCL-117     267   NGC 6838        056.74 -04.56 19 51.5 +18 39  O- 190  19 36 +18   28 196
OCL-118     269   Czernik 40      057.50 -01.08 19 40.4 +21 04  O- 190  19 36 +18  169 324
OCL-119     271   Dolidze-D. 9    058.10 +22.27 18 06.9 +31 31  O- 282  18 12 +30  271 259
OCL-120     273   Berkeley 48     058.24 -02.35 19 46.7 +21 04  O- 185  19 30 +24   15  11
OCL-121     275   Roslund 3       058.81 -04.68 19 56.5 +20 21  O- 302  20 00 +18  267 287
OCL-122     277   NGC 6820        059.16 -00.16 19 40.5 +22 58  O- 185  19 30 +24   96 111
OCL-123     279   NGC 6800        059.24 +03.93 19 25.1 +25 02  O- 185  19 30 +24  284 220
OCL-124     281   NGC 6823        059.41 -00.15 19 41.0 +23 11  O- 185  19 30 +24   86 123
OCL-125     285   NGC 6830        060.14 -01.83 19 48.9 +22 56  O- 289  19 56 +24  308 104
OCL-126     287   Roslund 2       060.21 -00.29 19 43.3 +23 48  O- 185  19 30 +24   58 162
OCL-127     289   Stock 1         060.24 +02.26 19 33.7 +25 06  O- 185  19 30 +24  175 228
OCL-128     291   Dolidze-D. 5    060.88 +43.89 16 25.6 +38 11  O-1093  16 20 +36  150 300
OCL-129     293   Dolidze-D. 6    061.50 +40.37 16 43.6 +38 22  O-1069  16 48 +36  255 319
OCL-130     295   Czernik 41      061.87 -00.67 19 48.5 +25 02  O- 289  19 56 +24  308 221
OCL-131     297   NGC 6815        062.22 +02.05 19 38.9 +26 43  O- 185  19 30 +24  115 307
OCL-132     299   NGC 6885        065.53 -04.07 20 09.9 +26 20  O- 289  19 56 +24   52 285
OCL-133     301   NGC 6882        065.55 -03.98 20 09.6 +26 24  O- 289  19 56 +24   55 292
OCL-134     303   NGC 6834        065.70 +01.18 19 50.2 +29 17  O- 771  19 56 +30  283 121
OCL-135     305   Berkeley 83     066.07 -00.93 19 59.3 +28 29  O- 771  19 56 +30  176  79
OCL-136     307   Iskudarian      066.37 +16.52 18 46.2 +36 48  O- 148  18 40 +36  138 213
OCL-137     309   Stephenson      066.85 +15.51 18 51.8 +36 51  O- 148  18 40 +36   70 213
OCL-138     311   Roslund 4       066.96 -01.26 20 02.9 +29 04  E- 771  19 56 +30  140 111
OCL-139     313   NGC 6846        066.98 +00.88 19 54.4 +30 13  O- 771  19 56 +30  229 176
OCL-140     315   Berkeley 52     067.90 -03.14 20 12.3 +28 49  E- 771  19 56 +30   25  98
OCL-141     317   NGC 6940        069.90 -07.16 20 32.5 +28 08  O- 332  20 22 +30   95  60
OCL-142     321   Berkeley 46     070.01 +10.96 19 19.0 +37 45  O-1434  19 08 +36   88 258
OCL-143     323   Berkeley 84     070.90 +01.23 20 02.9 +33 43  O- 200  20 04 +36  222  38
OCL-144     325   Berkeley 49     070.98 +02.50 19 57.9 +34 28  O- 200  20 04 +36  279  79
OCL-145     327   Roslund 5       071.40 +00.25 20 08.1 +33 37  O- 200  20 04 +36  162  30
OCL-146     329   Berkeley 51     072.12 +00.24 20 10.1 +34 12  O- 200  20 04 +36  143  64
OCL-147     331   Berkeley 50     072.42 +00.84 20 08.5 +34 47  O- 200  20 04 +36  163  95
OCL-148     333   NGC 6871        072.64 +02.08 20 04.0 +35 38  O- 200  20 04 +36  207 140
OCL-149     337   Biur 1          072.73 +01.75 20 05.6 +35 32  O- 200  20 04 +36  191 135
OCL-150     339   Biur 2          072.76 +01.35 20 07.3 +35 20  O- 200  20 04 +36  171 122
OCL-151     341   Ruprecht 172    073.15 +01.00 20 09.8 +35 29  O- 200  20 04 +36  147 129
OCL-152     343   NGC 6883        073.29 +01.19 20 09.4 +35 42  O- 200  20 04 +36  148 142
OCL-153     345   Dolidze 1       073.52 +02.10 20 06.3 +36 24  O- 200  20 00 +36  183 187
OCL-154     347   Dolidze 37      073.96 +03.57 20 01.2 +37 33  O- 200  20 04 +36  238 242
OCL-155     349   NGC 6819        073.98 +08.47 19 39.6 +40 04  O- 281  19 30 +24  105  60
OCL-156     351   Dolidze 3       074.56 +00.98 20 13.8 +36 38  O- 200  20 04 +36  105 195
OCL-157     353   Dolidze 4       074.71 +00.57 20 15.9 +36 31  O- 200  20 04 +36   80 191
OCL-157.1   353.1 Basel 6         074.91 +03.29 20 05.0 +38 12
OCL-158     355   IC 4996         075.36 +01.31 20 14.6 +37 29  O- 200  20 04 +36   94 238
OCL-159     357   Dolidze 39      075.55 +01.44 20 14.6 +37 43  O- 200  20 04 +36   95 251
OCL-160     359   Berkeley 85     075.68 +00.96 20 17.0 +37 33  O- 200  20 04 +36   71 245
OCL-161     361   Berkeley 87     075.71 +00.31 20 19.8 +37 12  O- 200  20 04 +36   40 226
OCL-162     363   Dolidze 40      075.73 +01.13 20 16.4 +37 41  O- 200  20 04 +36   80 255
OCL-163     365   Dolidze 41      075.76 +00.91 20 17.4 +37 35  O- 200  20 04 +36   37  88
OCL-164     367   Dolidze 42      076.13 +01.05 20 17.9 +37 58  O- 200  20 04 +36   62 265
OCL-165     369   Ruprecht 173    076.63 -04.02 20 39.8 +35 22  O- 288  20 32 +36  120 127
OCL-166     371   Dolidze-D. 10   076.64 +04.65 20 04.0 +40 23  O-1145  20 00 +42  165  76
OCL-167     373   Berkeley 86     076.66 +01.26 20 18.6 +38 32  O- 200  20 04 +36   57 296
OCL-167.1   373.1 vandenB. RN 130 076.89 +02.06 20 15.9 +39 10
OCL-168     375   NGC 6913        076.92 +00.60 20 22.1 +38 22  O- 200  20 04 +36   18 287
OCL-169     379   Ruprecht 175    077.02 -04.60 20 43.2 +35 19  O- 288  20 32 +36   88 120
OCL-170     381   Dolidze 38      077.22 +04.99 20 04.0 +41 03  O-1445  20 00 +42  159 112
OCL-171     383   Dolidze 5       077.24 +01.64 20 18.7 +39 13  O- 754  20 30 +42  321   9
OCL-171.1   383.1 Dolidze 47      077.49 -03.33 20 39.7 +36 28
OCL-172     385   Dolidze 36      077.67 +05.99 20 00.8 +41 58  O-1145  20 00 +42  195 156
OCL-173     387   Trumpler 36     077.70 +04.25 20 08.6 +41 04  O-1145  20 00 +42  112 111
OCL-174     389   Dolidze 2       077.78 +04.41 20 08.2 +41 13  O-1145  20 00 +42  121 120
OCL-175     391   Dolidze 43      077.84 +01.78 20 19.9 +39 47  O- 754  20 30 +42  307  38
OCL-176     393   Ruprecht 174    078.04 -03.38 20 41.6 +36 52  O- 288  20 32 +36  109 202
OCL-177     395   CR 419          078.09 +02.79 20 16.3 +40 34  O-1445  20 00 +42   37  88
OCL-178     397   Roslund 6       078.12 +00.27 20 27.0 +39 13  O- 288  20 32 +36  260 332
OCL-179     399   Dolidze-D. 11   078.12 -05.23 20 49.0 +35 46  O- 279  21 00 +36  332 142
OCL-180     401   Dolidze 10      078.48 +01.14 20 24.5 +39 57  O- 754  20 30 +42  247  37
OCL-181     403   NGC 6910        078.66 +02.03 20 21.3 +40 37  O- 754  20 30 +42  289  85
OCL-182     407   Dolidze 6       078.91 +02.74 20 19.0 +41 13
OCL-183     409   NGC 6866        079.41 +06.78 20 02.1 +43 51  O-1145  20 00 +42  180 270
OCL-184     411   CR 421          079.43 +02.53 20 21.5 +41 32  O- 754  20 30 +42  287 134
OCL-185     413   NGC 6811        079.44 +11.95 19 36.7 +46 27  O- 283  19 50 +48  327  73
OCL-186     415   Dolidze 11      079.58 +01.90 20 24.7 +41 17  O- 754  20 30 +42  254 117
OCL-187     417   Roslund 7       079.79 -04.26 20 50.5 +37 44  O- 288  20 32 +36   13 253
OCL-188     419   Dolidze 9       079.88 +02.30 20 23.9 +41 46  O- 754  20 30 +42  262 144
OCL-189     421   Dolidze 8       080.03 +02.66 20 22.7 +42 06  O- 754  20 30 +42  273 163
OCL-190     423   Dolidze 44      080.15 +01.57 20 27.9 +41 33  O- 754  20 30 +42  220 133
OCL-191     425   Dolidze 45      081.74 -06.89 21 07.0 +37 24  O- 279  21 00 +36  124 229
OCL-192     427   NGC 7063        083.09 -09.90 21 22.4 +36 17  O- 269  21 28 +36  269 169
OCL-193     429   Berkeley 89     083.11 +04.78 20 23.0 +45 49  O-1099  20 24 +48  210  41
OCL-194     431   Berkeley 54     083.13 -04.14 21 01.3 +40 16  O-1133  21 00 +42  196  60
OCL-195     433   Berkeley 88     084.54 +06.40 20 20.0 +47 55  O-1099  20 24 +48  237 154
OCL-196     435   Berkeley 90     084.86 +03.76 20 33.7 +46 38  O-1099  20 24 +48  111  84
