MCG-06-02-025 *          00 39 24 -33 15 15.   3   1 0.2   0.2  2  0.7   0.7    4  1  1.6   1.3    93          $   ; DA    ;91B                                             S C      L                                                                    1 D 024           1.0
MCG-06-02-026 *          00 40 30 -37 10 14.5  2   1 0.2   0.2  1  0.5   0.5    2  1  1.0   0.6   161          L   ;22                                                      S B      L                                                                              2 Q
MCG-06-02-027 *          00 44 24 -36 05 16.   3   1 0.2   0.2  3  1.0   0.6    5  1  1.5   1.2   122 1        DB4 ; DA                                                     S C      L
MCG-06-02-028            00 44 36 -36 16 15.   3   1 0.2   0.2  1  0.6   0.6                            E4
MCG-06-03-001            00 49 12 -37 56 14.5  2   1 0.2   0.2  1  0.7   0.7    5                              N   ; HK
MCG-06-03-002 *          00 50 00 -35 16 14.   3   1            2  0.5   0.3    4  2  1.1   0.6   105   FI                                                                  S A      L
MCG-06-03-003            00 51 18 -36 26 15.   3   1 0.2   0.15 2  0.6   0.4    4  2                           BB4 ; LB
MCG-06-03-004            00 52 18 -36 08 14.5  2   1 0.2   0.2  1  0.6   0.6    4                              N   ; H
MCG-06-03-005 *NGC  300  00 52 30 -37 58  8.7  2   4 3.0   2.0  3 11.0  11.0  : 6  2 30.0  20.0 1 111 1        $   ; LA    ;2SD                            R  SAS7   S  A   S D      L    145 185     97 158          0.03 228 0.64 228
MCG-06-03-006 *          00 52 42 -35 48 15.   3   1 0.25  0.2  1  0.4   0.3    4  2  1.3   0.7 1 167      F4  NE  ;21                                                      SO 3  A  L                                                                                          1 2 17 1.2
MCG-06-03-007 *          00 52 42 -35 36 14.5  2   1 0.3   0.3  1  0.6   0.6    56    1.2   1.2 1              NP3 ; H                                                      SO       L
MCG-06-03-008            00 53 30 -34 42 15.   3   1 0.15  0.15 1  0.4   0.4    5                              N   ; H
MCG-06-03-009 *          00 53 30 -37 40 15.   3   1 0.1   0.1  1  0.4   0.4    4                              N   ; H                                                                                                                                    1 2 010           1.2
MCG-06-03-010 *          00 53 30 -37 41 15.   3   1               0.2   0.15   1  2                           NP3                                                                                                                                        1 D 009           1.2
MCG-06-03-011            00 53 48 -36 27 15.   3   1 0.15  0.15 1  0.4   0.4    5                              N   ; H
MCG-06-03-012 *NGC  334  00 56 30 -35 24 14.   3   1 0.6   0.3  1  0.8   0.5    5  2  1.7   0.8   169          L   ;2#B                                                     S B      L
MCG-06-03-013 *IC 1608   00 57 06 -34 37 12.   3   1 0.5   0.3  2  2.0   0.7    4  3  2.8   1.2   170          NP3 ; DA                                                     S A      L
MCG-06-03-014 *          00 57 06 -36 28 13.5  2   1 0.2   0.15 2  1.0   0.4    4  2  1.8   0.8    80          L   ;1#B    , LB                                             SRB:     L
MCG-06-03-015 *A  58     00 57 36 -33 58  9.0  2   4               2.5   2.0         65.0  55.0 1 110 1 EP                                                 R  E 3 P         4        L
MCG-06-03-016 *          00 58 42 -35 32 15.   3   1            2  0.5   0.4    3  2  1.0   0.6   175   FC                                                                  S B      L
MCG-06-03-017 *NGC  365  01 02 00 -35 24 12.5  2   1            2  0.8   0.5    4  2  1.1   0.7     5          L   ;1#BMT  ,1#B2   ; HC                    R  S  5P         S B      L                       70    1
MCG-06-03-018 *          01 02 12 -33 56 13.   3   1 0.3   0.25 1  0.6   0.25   4     2.2   1.0   168          NE  ; HK                                                     S B1     L
MCG-06-03-019 *          01 02 18 -37 53 14.   3   1            2  1.2   0.2    4  3  1.4   0.4    17   LD                                                                  S B:     L
MCG-06-03-020 *          01 05 18 -33 55 13.   3   1 0.2   0.15 1  1.2   0.5    4  2  2.1   1.1    61          N   ;2#A2                                                    SBB      L
MCG-06-03-021 *          01 06 18 -36 38 14.5  2   1 0.3   0.3  1  0.6   0.6          1.7   1.0 1  42   E4                                                                  SO       L                                                                                          6 2 17
MCG-06-03-022 *          01 06 42 -37 35 13.   3   1 0.2   0.15 1  1.1   0.5    3  3  1.5   1.2 1 165 1        NE  ; DB                                                     S A      L                                                                                          2 2 18 0.2
MCG-06-03-023 *NGC  409  01 07 12 -36 06 12.   3   1 0.3   0.3  1  1.0   1.0          1.5   1.3 1       E                                                                   SO       L
MCG-06-03-024 *NGC  415  01 07 42 -35 47 13.   3   1 0.3   0.3  2  0.8   0.4    45 2  1.7   1.0    55          L   ;29A4                                                    S B      L
MCG-06-03-025 *          01 08 00 -36 02 13.5  2   1            2  1.2   0.8    46 2  2.0   1.6   129          L   ; LPB                                                    S 2      L
MCG-06-03-026 *NGC  424  01 09 00 -38 23 12.   3   1            2  1.2   0.4    3     2.2   1.1 1  60   FB                                                                  SRA:     L
MCG-06-03-027 *          01 10 18 -33 57 15.   3   1 0.15  0.15 1  0.25  0.25   5     1.7   0.9 1 178          NE3 ; H                                                      SO       L
MCG-06-03-028 *          01 10 48 -34 18 15.   3   1            2  1.0   0.15   4  3  1.3   0.4    73   FB                                                                  S B      L
MCG-06-03-029 *NGC  438  01 11 15 -38 12 12.   3   1 0.5   0.3  2  1.0   1.0    5  1  1.4   1.2                BA  ;21A                                                     S B      L
