RefNo,Text
49,"F.ZWICKY,   PASP,VOL.78,1966,PP471-473,"
49,THE 1965 PALOMAR SUPERNOVA SEARCH.
49,"F.ZWICKY,   PASP,VOL.79,1967,PP456-459,"
49,THE 1966 PALOMAR SUPERNOVA SEARCH.
49,"F.ZWICKY,   PASP,VOL.80,1968,PP462-465,"
49,THE 1967 PALOMAR SUPERNOVA SEARCH.
49,"M.KARPOWICZ,K.RUDNICKI,PUBL.ASTRON.OBS.,WARSAW UNIVERS.,"
49,"VOL.15,1968,"
49,PRELIMINARY CATALOGUE OF SUPERNOVAE.
49,"F.ZWICKY,W.L.W.SARGENT,C.KOWAL,   PASP,VOL.81,1969"
49,"PP224-229,"
49,THE 1968 PALOMAR SUPERNOVA SEARCH.
49,"C.KOWAL,W.L.W.SARGENT,F.ZWICKY,   PASP,VOL.82,1970,"
49,"PP736-740,"
49,THE 1969 PALOMAR SUPERNOVA SEARCH.
49,"CHECK-SEN CHAI,S.VAN DEN BERGH,   ASTR.  J.,VOL.75,1970,"
49,"PP672-673,"
49,SUPERNOVAE IN A RANDOM SAMPLE OF GALAXIES.
49,(year of supernova burst)
50,"A.T.KALLOGLIAN,H.M.TOVMASSIAN,   SOOBSHCH.BYURAK.OBS.,"
50,"VOL.36,1964,PP31-43,"
50,THE NUCLEI OF BARRED GALAXIES.
50,"H.M.TOVMASSIAN,   ASTROFIZIKA,VOL.1,1965,PP197-202,"
50,ON THE NUCLEI OF BARRED GALAXIES.
50,"H.M.TOVMASSIAN,   ASTROFIZIKA,VOL.2,1966.PP317-323,"
50,THE NUCLEI OF SOUTHERN BARRED GALAXIES.
50,"H.M.TOVMASSIAN,   ASTROFIZIKA,VOL.3,1967,PP427-429,"
50,ON IRREGULAR GALAXIES OF M82 TYPE.
50,"H.M.TOVMASSIAN,   ASTROFIZIKA,VOL.3,1967,PP555-564,"
50,ON RADIO EMISSION OF SPIRAL GALAXIES.
50,"C.A.SAHAKIAN,   ASTROFIZIKA,VOL.4,1968,PP41-57,"
50,ON THE CENTRAL CONDENSATIONS IN 56 GALAXIES.
50,"S.G.ISKUDARIAN,   ASTROFIZIKA,VOL.4,1968,PP385-408,"
50,THE NUCLEI OF SC GALAXIES.
50,"K.A.SAHAKIAN,   ASTROFIZIKA,VOL.5,1969,PP593-602,"
50,ON THE CENTRAL CONDENSATIONS IN SA GALAXIES.
50,(nuclear galaxy classification by Byurakan system)
51,"J.L.SERSIC,   OBSERVATORY,VOL.79,1959,PP54-56,"
51,THE HII REGIONS AS DISTANCE INDICATORS.
51,"J.L.SERSIC,   Z.ASTROPHYS.,VOL50,1960,PP168-177,"
51,THE HII REGIONS IN GALAXIES.
51,(the number of HII regions in galaxies)
52,"P.W.HODGE,   ASTR.J.,VOL.72,1967,PP129-133,"
52,A SURVEY OF HII REGIONS IN GALAXIES.
52,"P.W.HODGE,   ASTROPHYS.J.,VOL.155,1969,PP417-428,"
52,THE RADIAL DISTRIBUTION OF HII REGIONS IN SPIRAL
52,GALAXIES.
52,"P.W.HODGE,   ASTROPHYS.J.,VOL.156,1969,PP847-852,"
52,DISTRIBUTION OF NII REGIONS IN IRREGULAR GALAXIES.
52,"P.W.HODGE,   ASTROPHYS.J.SUPPL.SER.,VOL.157,1969,PP73-84,"
52,HII REGIONS IN TWENTY NEARBY GALAXIES.
52,(the number of HII regions in galaxies.)
53,"P.VERON,A.SAUVAYRE,   ANN.ASTROPHYS.,VOL.28,1965,PP698-702,"
53,ETUDES DES GALAXIES EN LUMIERE MONOCHROMATIQUE
53,H ALPHA.II.
53,(the number of HII regions in galaxies)
54,"N.U.MAYALL,   LICK OBS.BULL.,VOL.497,1939,PP33-39,"
54,THE OCCURRENCE OF LAMBDA3727  OII  IN THE SPECTRA
54,OF EXTRAGALACTIC NEBULAE.
54,"M.L.HUMASON,N.U.MAYALL,A.R.SANDAGE,   ASTRON.J.,VOL.61,"
54,"1956,PP97-161,"
54,REDSHIFTS AND MAGNITUDES OF EXTRAGALACTIC NEBULAE.
54,"D.W.WEEDMAN,E.YE.KHACHIKIAN,   ASTROFIZIKA,VOL.4,1968,"
54,PP587-594
54,SPECTRAL OBSERVATIONS OF MARKARIAN'S GALAXIES
54,WITH ULTRAVIOLET CONTINUUM.I.
54,"M.A.ARAKELIAN,E.A.DIBAY,V.F.YESIPOV,   ASTROFIZIKA,VOL.6,"
54,"1970,PP39-48,"
54,THE SPECTRA OF MARKARIAN GALAXIES.I.
54,(the occurrence of emission lines in the spectra)
55,"F.ZWICKY,   ZURICH,L.SPEICH.,1971,"
55,CATALOGUE OF SELECTED COMPACT GALAXIES AND OF
55,POST-ERUPTIVE GALAXIES.
55,(compact galaxies)
56,"B.E.MARKARIAN,   ASTROFIZIKA,VOL.3,1967,PP55-68,"
56,GALAXIES WITH AN ULTRAVIOLET CONTINUUM.
56,"B.E.MARKARIAN,   ASTROFIZIKA,VOL.5,1969,PP443-460,"
56,THE GALAXIES WITH ULTRAVIOLET CONTINUUM.II.
56,"B.E.MARKARIAN,   ASTROFIZIKA,VOL.5,1969,PP581-592,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.III.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,   ASTROFIZIKA,VOL.7,1971,"
56,"PP511-520,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.IV.
56,"B.YE.MARKARIAN,V.A.LIPOVETSKY,   ASTROFIZIKA,VOL.8,1972,"
56,"PP155-176,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.V.
56,"B.YE.MARKARIAN,V.A.LIPOVETSKY,   ASTROFIZIKA,VOL.9,1973,"
56,"PP487-494,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.VI.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,   ASTROFIZIKA,VOL.10,1974,"
56,"PP307-314,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.VII.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,   ASTROFIZIKA,VOL.12,1976,"
56,"PP389-396,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.VIII.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,   ASTROFIZIKA,VOL.12,1976,"
56,"PP657-664,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.IX.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,J.A.STEPANIAN,   ASTROFIZIKA,"
56,"VOL.13,1977,PP225-232,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.X.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,J.A.STEPANIAN,   ASTROFIZIKA,"
56,"VOL.13,1977,PP397-404,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.XI.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,J.A.STEPANIAN,   ASTROFIZIKA,"
56,"VOL.15,1979,PP201-208,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.XII.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,J.A.STEPANIAN,   ASTROFIZIKA,"
56,"VOL.15,1979,PP363-372,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.XIII.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,J.A.STEPANIAN,   ASTROFIZIKA,"
56,"VOL.15,1979,PP549-556,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.XIV.
56,"B.E.MARKARIAN,V.A.LIPOVETSKY,J.A.STEPANIAN,   ASTROFIZIKA,"
56,"VOL.17,1981,PP619-627,"
56,GALAXIES WITH ULTRAVIOLET CONTINUUM.XV.
56,(galaxies with ultraviolet continuum)
57,"I.D.KARACHENTSEV,   SOOBSHCH.SPETS.ASTR.OBS.AKAD.NAUK SSSR,"
57,"VOL.7,1972,PP3-91"
57,CATALOGUE OF ISOLATED PAIRS OF GALAXIES IN
57,NORTHERN HEMISPHERE.
57,(isolated pairs of galaxies)
58,"V.E.KARACHENTSEVA,   SOOBSHCH.SPETS.ASTR.OBS.AKAD.NAUK"
58,"SSSR,VOL.8,1973,PP3-72"
58,THE CATALOGUE OF ISOLATED GALAXIES.
58,(isolated galaxies)
59,"R.D.MCCLURE,S.VAN DEN BERGH,   ASTRON.J.,VOL.73,1968,"
59,"PP1008-1010,"
59,UBV OBSERVATIONS OF FIELD GALAXIES.
59,(U-B and B-V colors)
60,"A.R.SANDAGE,   ASTROPHYS.J.,VOL.138,1963,PP863-872,"
60,PHOTOELECTRIC OBSERVATIONS OF THE INTERACTING
60,GALAXIES VV117 AND VV123 RELATED TO THE TIME OF
60,FORMATION OF THEIR SATELLITES.
60,(U-B and B-V colors)
61,"M.G.PASTORIZA,   BOL.ASOC.ARGENT.ASTRON.,VOL.12,1968,"
61,"PP11-13,"
61,CARACTERISTICAS ESPECTRALES DE GALAXIAS CON
61,NUCLEO PECULIAR.
61,(radial velocities corrected for solar motion)
62,"R.MINKOWSKI,   ASTRON.J.,VOL.66,1961,PP558-561,"
62,NGC6166 AND THE CLUSTER ABELL 2199.
62,(radial velocities corrected for solar motion)
63,"R.P.KIRSHNER,A.OEMLER,P.L.SCHECTER,   ASTRON.J.,VOL.83,"
63,"1978,PP1549-1563,"
63,A STUDY OF FIELD GALAXIES.I.REDSHIFTS AND
63,PHOTOMETRY OF A COMPLETE SAMPLE OF GALAXIES.
63,(radial velocities of galaxies)
64,"P.W.KELTON,   ASTRON.J.,VOL.85,1980,PP89-100,"
64,OPTICAL REDSHIFTS OF 59 GALAXIES.
64,(radial velocities of galaxies)
65,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
65,"(UNPUBLISHED),(SOURCE OF RADIAL VELOCITIES OF"
65,"GALAXIES: KODS 'TTI','CR7')."
65,(radial velocities of galaxies)
66,"G.L.CHINCARINI,R.GIOVANELLI,M.P.HAYNES,   ASTRON.J.,VOL.84,"
66,"1979,PP1500-1510,"
66,THE ZWICKY CLUSTER ZW 1400+0949 (ALIAS THE
66,NGC 5416 GROUP).
66,(radial velocities of galaxies)
67,"R.GIOVANELLI,M.P.HAYNES,   ASTRON.J.,VOL.86,1981,PP340-343,"
67,REDSHIFTS OF GALAXIES IN THE GALACTIC ANTICENTER:
67,A NEARBY GROUP IN ORION.
67,"M.P.HAYNES,M.ROBERTS,   ASTROPHYS.J.,VOL.227,1979,PP767-775"
67,ARE THERE REALLY INTERGALACTIC HYDROGEN CLOUDS IN
67,THE SCULPTOR GROUP?
67,"R.GIOVANELLI,M.P.HAYNES,G.L.CHINCARINI,   ASTROPHYS.J.,"
67,"VOL.262,1982,PP442-450,"
67,THE NEUTRAL HYDROGEN DEFICIENCY OF THE CLUSTER
67,A262.
67,"G.L.CHINCARINI,R.GIOVANELLI,M.P.HAYNES,   ESO SCIENT.PREPR."
67,"N227,1982,PP1-52,"
67,21-CM OBSERVATIONS OF SUPERCLUSTER GALAXIES: THE
67,BRIDGE BETWEEN COMA AND A1367.
67,"J.N.HEWITT,M.P.HAYNES,R.GIOVANELLI,   ASTRON.J.,VOL.88,"
67,"1983,PP272-295,"
67,NEUTRAL HYDROGEN IN ISOLATED GALAXIES.II.THE LARGE
67,ANGULAR DIAMETER GALAXIES.
67,(radial velocities of galaxies)
68,"H.J.ROOD,   A CATALOG OF GALAXY REDSHIFTS,1980,PRINCETON,"
68,"(UNPUBLISHED),(KOD 'SU' IN THIS CATALOGUE)."
68,(radial velocities of galaxies)
69,"L.BOTTINELLI,L.GOUGUENHEIM,   ASTRON.ASTROPHYS.,VOL.60,"
69,"1977,PPL23-L25,"
69,THE HI CONTENT OF THE ELLIPTICAL GALAXIES NGC 3904
69,AND NGC 4636.
69,"L.BOTTINELLI,L.GOUGUENHEIM,   ASTRON.ASTROPHYS.,VOL.64,"
69,"1978,PPL3-L4,"
69,THE LARGE-SCALE DISTRIBUTION OF NEUTRAL HYDROGEN
69,IN THE ELLIPTICAL GALAXY NGC 4636.
69,"L.BOTTINELLI,L.GOUGUENHEIM,   ASTRON.ASTROPHYS.,VOL.74,"
69,"1979,PP172-174,"
69,"THE HI CONTENT OF ELLIPTICAL GALAXIES NGC 2974,"
69,NGC 4105 AND NGC 5846.
69,"L.BOTTINELLI,L.GOUGUENHEIM,   ASTRON.ASTROPHYS.,VOL.76,"
69,"1979,PP176-178,"
69,THE LARGE-SCALE DISTRIBUTION OF NEUTRAL HYDROGEN
69,IN THE ELLIPTICAL GALAXY NGC 3962.
69,(radial velocities of galaxies)
70,"L.BOTTINELLI,L.GOUGUENHEIM,G.PATUREL,   ASTRON.ASTROPHYS.,"
70,"VOL.88,1980,PP32-40,"
70,NEUTRAL HYDROGEN STUDY OF 40 SA SPIRAL GALAXIES.
70,"L.BOTTINELLI,L.GOUGUEHEIM,G.PATUREL,   ASTRON.ASTROPHYS."
70,"SUPPL.SER.,VOL.40,1980,PP355-362,"
70,21-CM LINE PROFILES OF 40 SC SPIRAL GALAXIES.
70,"L.BOTTINELLI,L.GOUGUENHEIM,G.PATUREL,   ASTRON.ASTROPHYS."
70,"SUPPL.SER.,VOL.44,1981,PP217-223,"
70,RADIAL VELOCITIES OF GALAXIES DETERMINED FROM
70,21-CM LINE OBSERVATIONS.
70,(radial velocities of galaxies)
71,"P.CHAMARAUX,C.BALKOWSKI,E.GERARD,   ASTRON.ASTROPHYS.,"
71,"VOL.83,1980,PP38-51,"
71,THE HI DEFICIENCY OF THE VIRGO CLUSTER SPIRALS.
71,(radial velocities of galaxies)
72,"W.G.TIFFT,   ASTROPHYS.J.,VOL.188,1974,PP221-232,"
72,"THE DEFINITION,VISIBILITY,AND SIGNIFICANCE OF"
