RefNo,Text
154,"SER.,VOL.52,1983,PP89-119,"
154,A SURVEY OF GALAXY REDSHIFTS.IV.THE DATA.
154,(SOURCE OF RADIAL VELOCITIES (13):
154,"1)M.DAVIS,OBSERVATIONS AT MCGRAW HILL,"
154,"2)R.SCHILD,M.DAVIS,ASTRON.J.,VOL.84,1979,P311)."
154,(radial velocities of galaxies)
155,"J.HUCHRA,M.DAVIS,D.LATHAM,J.TONRY,   ASTROPHYS.J.SUPPL."
155,"SER.,VOL.52,1983,PP89-119,"
155,A SURVEY OF GALAXY REDSHIFTS.IV.THE DATA.
155,(SOURCE OF RADIAL VELOCITIES (11):
155,"1)F.D.A.HARTWICK,W.L.W.SARGENT,ASTROPHYS.J.,"
155,"VOL.221,1978,P512,"
155,"2)D.JENNER,ASTROPHYS.J.,VOL.191,1974,P55,"
155,"3)R.KIRSHNER,A.OEMLER,P.SCHECHTER,ASTRON.J.,"
155,"VOL.83,1978,P1549,"
155,"4)R.KIRSHNER,ASTROPHYS.J.,VOL.212,1977,P319)."
155,(radial velocities of galaxies)
156,"J.HUCHRA,M.DAVIS,D.LATHAM,J.TONRY,   ASTROPHYS.J.SUPPL."
156,"SER.,VOL.52,1983,PP89-119,"
156,A SURVEY OF GALAXY REDSHIFTS.IV.THE DATA.
156,(SOURCE OF RADIAL VELOCITIES (21):
156,"1)T.EASTMOND,G.ABELL,PUB.A.S.P.,VOL.90,1978,P367,"
156,"2)J.STAUFFER,H.SPINRAD,PUB.A.S.P,VOL.90,1978,P20)."
156,(radial velocities of galaxies)
157,"J.HUCHRA,M.DAVIS,D.LATHAM,J.TONRY,   ASTROPHYS.J.SUPPL."
157,"SER.,VOL.52,1983,PP89-119,"
157,A SURVEY OF GALAXY REDSHIFTS.IV.THE DATA.
157,(SOURCE OF RADIAL VELOCITIES (32):
157,"1)G.BOTHUN,R,SCHOMMER,ASTROPHYS.J.(LETTERS),"
157,"VOL.255,1982,PL23,"
157,"2)G.BOTHUN,W.SULLIVAN,R.SCHOMMER,M.AARONSON,"
157,"J.MOULD,J.HUCHRA,1981,PRIVATE COMMUNICATION,"
157,"3)T.HECKMAN,B.BALICK,W.SULLIVAN,ASTROPHYS.J.,"
157,"VOL.224,1978,P745,"
157,"4)R.SCHOMMER,W.SULLIVAN,G.BOTHUN,ASTRON.J.,VOL.86,"
157,"1981,P943,"
157,"5)W.SULLIVAN,G.BOTHUN,B.BATES,R.SCHOMMER,"
157,"ASTRON.J.,VOL.86,1981,P919)."
157,(radial velocities of galaxies)
158,"G.DE VAUCOULEURS,A.DE VAUCOULEURS,H.CORWIN,1976,AUCTIN,"
158,"UNIVERSITY OF TEXAS PRESS,"
158,SECOND REFERENCE CATALOGUE OF BRIGHT GALAXIES.
158,"(radial velocities of galaxies, U-B and B-V colors)"
159,"G.DE VAUCOULEURS,A.DE VAUCOULEURS,J.-L.NIETO,   ASTRON.J.,"
159,"VOL.84,1979,PP1811-1829,"
159,NEW REDSHIFTS OF BRIGHT GALAXIES III.
159,(radial velocities of galaxies)
160,"A.SANDAGE,   ASTRON.J.,VOL.83,1978,PP904-937,"
160,OPTICAL REDSHIFTS FOR 719 BRIGHT GALAXIES.
160,(radial velocities of galaxies)
161,"L.W.FREDRICK,W.A.GUTSCH,   PUBL.LEANDER MCCORMICK OBSERV.,"
161,"UNIV.VIRGINIA,VOL.15,1974,PP39-55,"
161,A CATALOGUE OF GALAXIES HAVING RADIAL VELOCITIES.
161,(radial velocities of galaxies)
162,"V.C.RUBIN,W.K.FORD JR,N.THONNARD,M.S.ROBERTS,J.A.GRAHAM,"
162,"ASTRON.J.,VOL.81,1976,PP687-718,"
162,MOTION OF THE GALAXY AND THE LOCAL GROUP
162,DETERMINED FROM THE VELOCITY ANISOTROPY OF
162,DISTANT SC I GALAXIES.I.THE DATA.
162,"N.THONNARD,V.C.RUBIN,W.K.FORD JR.,   ASTRON.J.,VOL.83,1978,"
162,"PP1564-1565,"
162,RADIAL VELOCITIES OF SPIRAL GALAXIES DETERMINED
162,FROM 21-CM NEUTRAL HYDROGEN OBSERVATIONS.
162,"V.C.RUBIN,W.K.FORD JR.,N.THONNARD,   ASTROPHYS.J.,VOL.238,"
162,"1980,PP471-487,"
162,ROTATIONAL PROPERTIES OF 21 SC GALAXIES WITH
162,A LARGE RANGE OF LUMINOSITIES AND RADII FROM
162,NGC4605(R=4 KPC)TO UGC2885 (R=122 KPC).
162,"V.C.RUBIN,W.K.FORD JR,N.THONNARD,   ASTROPHYS.J.,VOL.261,"
162,"1982,PP439-456,"
162,ROTATIONAL PROPERTIES OF 23 SB GALAXIES.
162,(radial velocities of galaxies)
163,"K.M.STROM,S.E.STROM,   ASTRON.J,VOL.83,1978,PP73-134,"
163,SURFACE BRIGHTNESS AND COLOR DISTRIBUTIONS OF
163,ELLIPTICAL AND SO GALAXIES.I.THE COMA CLUSTER
163,ELLIPTICAL GALAXIES.
163,"S.E.STROM,K.M.STROM,   ASTRON.J.,VOL.83,1978,PP732-763,"
163,SURFACE BRIGHTNESS AND COLOR DISTRIBUTIONS OF
163,ELLIPTICAL AND SO GALAXIES.II.E GALAXIES IN THE
163,CLUSTER ABELL 426 (PERSEUS) AND ABELL 1367.
163,"K.M.STROM,S.E.STROM,   ASTRON.J.,VOL.83,1978,PP1293-1330,"
163,SURFACE BRIGHTNESS AND COLOR DISTRIBUTIONS OF
163,ELLIPTICAL AND SO GALAXIES.III.E GALAXIES IN THE
163,"CLUSTERS ABELL 1228,ABELL 2151 (HERCULES),AND"
163,ABELL 2199.
163,(U-B and B-V colors)
164,"G.DE VAUCOULEURS,A.DE VAUCOULEURS,H.G.CORWIN,   ASTRON.J.,"
164,"VOL.83,1978,PP1331-1359,"
164,INTEGRATED MAGNITUDES AND COLORS OF BRIGHT GALAXIE
164,IN THE UBV SYSTEM.II.
164,(U-B and B-V colorss)
165,"J.E.PENFOLD,   MON.NOT.R.A.S.,VOL.186,1979,PP297-304,"
165,UBV OBSERVATIONS OF SEYFERT AND EMISSION-LINE
165,GALAXIES.
165,(U-B and B-V colors)
166,"H.G.CORWIN,   MON.NOT.R.A.S.,VOL.191,1980,PP1-11,"
166,UBV PHOTOELECTRIC PHOTOMETRY AND PHOTOMETRIC
166,PARAMETERS FOR 40 GALAXIES.
166,(U-B and B-V colors)
167,"J.R.MOULD,   PUBL.A.S.P,VOL.93,1981,PP25-28,"
167,THE INFRARED COLOR-MAGNITUDE RELATION FOR EARLY-
167,TYPE GALAXIES IN THE PEGASUS I CLUSTER.
167,(U-B and B-V colors)
168,"R.SCHILD,M.DAVIS,   ASTRON.J.,VOL.84,1979,PP311-316,"
168,PROPERTIES OF THE CD GALAXIES IN POOR CLUSTERS.
168,(U-B and B-V colors)
169,"M.R.GREEN,K.L.DIXON,   OBSERVATORY,VOL.98,1978,PP166-169,"
169,PHOTOELECTRIC PHOTOMETRY OF BRIGHT SOUTHERN
169,GALAXIES.
169,(U-B and B-V colors)
170,"D.GRIERSMITH,   ASTRON.J.,VOL.85,1980,PP789-800,"
170,PHOTOMETRIC PROPERTIES OF BRIGHT EARLY-TYPE SPIRAL
170,GALAXIES.I.THE DATA:MULTIAPERTURE UBV PHOTOMETRY
170,FOR 251 GALAXIES.
170,"D.GRIERSMITH,   ASTRON.J.,VOL.87,1982,PP462-476,"
170,"THE CM RELATION AT UBV WAVELENGTHS IN THE FORNAX,"
170,"VIRGO,AND SERSIC 129-1 CLUSTERS."
170,(U-B and B-V colors)
171,"R.J.SMYTH,R.S.STOBIE,   MON.NOT.R.A.S.,VOL.190,1980,"
171,"PP631-639,"
171,MULTIAPERTURE PHOTOELECTRIC PHOTOMETRY OF GALAXIES
171,IN THE HYDRA I CLUSTER.
171,(U-B and B-V colors)
172,"D.GRIERSMITH,A.R.HYLAND,T.J.JONES,   ASTRON.J.,VOL.87,1982,"
172,"PP1106-1126,"
172,PHOTOMETRIC PROPERTIES OF BRIGHT EARLY-TYPE SPIRAL
172,GALAXIES.IV.MULTIAPERTURE UBVJHK PHOTOMETRY FOR
172,THE INNER (BULGE) REGIONS OF 65 GALAXIES.
172,(U-B and B-V colors)
173,"D.M.CRENSHAW,B.M.PETERSON,C.B.FOLTZ,P.L.BYARD,"
173,"PUBL.A.S.P.,VOL.94,1982,PP16-18,"
173,REDSHIFTS OF 16 MARKARIAN GALAXIES.
173,(radial velocities of galaxies)
174,"R.BARBON,M.CAPACCIOLI,W.G.TIFFT,   ASTRON.ASTROPHYS."
174,"SUPPL.SER.,VOL.36,1979,PP129-133,"
174,NEW REDSHIFTS OF PARENT GALAXIES OF SUPERNOVAE.
174,(radial velocities of galaxies)
175,"D.WILLS,B.J.WILLS,   ASTRON.J.,VOL.87,1982,PP252-254,"
175,REDSHIFTS OF 31 BRIGHT GALAXIES.
175,(radial velocities of galaxies)
176,"S.A.GREGORY,L.A.THOMPSON,W.G.TIFFT,   ASTROPHYS.J.,VOL.243,"
176,"1981,PP411-426,"
176,THE PERSEUS SUPERCLUSTER.
176,(radial velocities of galaxies)
177,"B.MARANO,G.VETTOLANI,   ASTRON.ASTROPHYS.SUPPL.SER.,VOL.48,"
177,"1982,PP453-455,"
177,RADIAL VELOCITIES OF GALAXIES DETECTED IN
177,THE ARECIBO 2380 MHZ.
177,(radial velocities of galaxies)
178,"J.W.SULENTIC,H.ARP,   ASTRON.J.,VOL.88,1983,PP489-506,"
178,21-CM OBSERVATIONS OF GALAXIES IN GROUPS AND
178,MULTIPLETS.
178,(radial velocities of galaxies)
179,"S.M.KENT,J.E.GUNN,   ASTRON.J.,VOL.87,1982,PP945-971,"
179,THE DYNAMICS OF RICH CLUSTERS OF GALAXIES.I.
179,THE COMA CLUSTER.
179,(radial velocities of galaxies)
180,"P.FOCARDI,B.MARANO,G.VETTOLANI,   ASTRON.ASTROPHYS.,"
180,"VOL.113,1982,PP15-20,"
180,THE SOUTH WEST EXTENSION OF THE PERSEUS
180,SUPERCLUSTER.
180,(radial velocities of galaxies)
181,"R.C.KRAAN-KORTEWEG,   ASTRON.ASTROPHYS.SUPPL.SER.,VOL.47,"
181,"1982,PP505-512,"
181,A COMPLETE SAMPLE OF VIRGO CLUSTER GALAXIES.
181,(radial velocities of galaxies)
182,"M.TARENGHI,W.G.TIFFT,G.CHINCARINI,H.J.ROOD,L.A.THOMPSON,"
182,"ASTROPHYS.J.,VOL.234,1979,PP793-801,"
182,THE HERCULES SUPERCLUSTER.I.BASIC DATA.
182,(radial velocities of galaxies)
183,"J.W.SULENTIC,   ASTROPHYS.J.,VOL.241,1980,PP67-73,"
183,NEW REDSHIFTS IN THE VIRGO CLUSTER.
183,(radial velocities of galaxies)
184,"S.A.SHECTMAN,R.P.STEFANIK,D.W.LATHAM,   ASTRON.J.,VOL.88,"
184,"1983,PP477-482,"
184,REDSHIFTS FOR 115 GALAXIES NEAR THE EQUATOR.
184,(radial velocities of galaxies)
185,"A.LAUBERTS,   EUROPEAN SOUTHERN OBSERVATORY,1982,"
185,"THE ESO/UPPSALA SURVEY OF THE ESO(B) ATLAS,"
185,(SOURCE OF RADIAL VELOCITIES:
185,"A.SANDAGE,G.A.TAMMANN,CARNEGIE INST.WASHINGTON"
185,"PUBL.,1981,A REVISED SHAPLEY-AMES CATALOG OF"
185,BRIGHT GALAXIES).
185,(radial velocities of galaxies)
186,"A.LAUBERTS,   EUROPEAN SOUTHERN OBSERVATORY,1982,"
186,"THE ESO/UPPSALA SURVEY OF THE ESO(B) ATLAS,"
186,(SOURCE OF RADIAL VELOCITIES:
186,"H.ARP,ASTROPHYS.J.SUPPL.SER.,VOL.46,1981,P75)."
186,(radial velocities of galaxies)
187,"A.LAUBERTS,   EUROPEAN SOUTHERN OBSERVATORY,1982,"
187,"THE ESO/UPPSALA SURVEY OF THE ESO(B) ATLAS,"
187,(SOURCE OF RAD9AL VELOCITIES:
187,"D.KUNTH,W.L.W.SARGENT,C.KOWAL,ASTRON.ASTROPHYS."
187,"SUPPL.SER.,VOL.44,1981,P229)."
187,(radial velocities of galaxies)
188,"A.LAUBERTS,   EUROPEAN SOUTHERN OBSERVATORY,1982,"
188,"THE ESO/UPPSALA SURVEY OF THE ESO(B) ATLAS,"
188,(SOURCE OF RADIAL VELOCITIES:
188,"A.J.LONGMORE,T.G.HAWARDEN,B.L.WEBSTER,W.M.GOSS,"
188,"U.MEBOLD,MON.NOT.R.A.S.,VOL.184,1978,P97)."
188,(radial velocities of galaxies)
189,"A.LAUBERTS,   EUROPEAN SOUTHERN OBSERVATORY,1982,"
189,"THE ESO/UPPSALA SURVEY OF THE ESO(B) ATLAS,"
189,(SOURCE OF RADIAL VELOCITIES:
189,"W.L.MARTIN,MON.NOT.R.A.S.,VOL.175,1976,P633)."
189,(radial velocities of galaxies)
190,"A.LAUBERTS,   EUROPEAN SOUTHERN OBSERVATORY,1982,"
190,"THE ESO/UPPSALA SURVEY OF THE ESO(B) ATLAS,"
190,(SOURCE OF RADIAL VELOCITIES:
190,"C.J.PETERSON,PUBL.A.C.P.,VOL.90,1978,P10)."
190,(radial velocities of galaxies)
191,"A.LAUBERTS,   EUROPEAN SOUTHERN OBSERVATORY,1982,"
191,"THE ESO/UPPSALA SURVEY OF THE ESO(B) ATLAS,"
191,(SOURCE OF RADIAL VELOCITIES:
191,"R.M.WEST,ASTRON.ASTROPHYS.,VOL.95,1981,P1)."
191,(radial velocities of galaxies)
192,"A.LAUBERTS,   EUROPEAN SOUTHERN OBSERVATORY,1982,"
192,"THE ESO/UPPSALA SURVEY OF THE ESO(B) ATLAS,"
192,(SOURCE OF RADIAL VELOCITIES AND COLORS:
192,"A.B.G.EKMAN,A.LAUBERTS,N.A.S.BERGVALL,1977-1979,"
192,OBSERVATIONS CARRIED OUT AT THE EUROPEAN SOUTHERN
192,OBSERVATORY).
192,"(radial velocities of galaxies, U-B and B-V colors)"
193,"A.LAUBERTS,   EUROPEAN SOUTHERN OBSERVATORY,1982,"
193,"THE ESO/UPPSALA SURVEY OF THE ESO(B) ATLAS,"
193,(SOURCE OF RADIAL VELOCITIES AND COLORS:
193,"T.J.BOHUSKI,A.F.FAIRALL,D.W.WEEDMAN,ASTROPHYS.J.,"
193,"VOL.221,1978,P776)."
193,"(radial velocities of galaxies, U-B and B-V colors)"
194,"A.LAUBERTS,   EUROPEAN SOUTHERN OBSERVATORY,1982,"
194,"THE ESO/UPPSALA SURVEY OF THE ESO(B) ATLAS,"
194,"(SOURCES OF RADIAL VELOCITIES (67-73,76):"
194,"1)R.M.WEST,ASTRON.ASTROPHYS.SUPPL.,VOL.27,1977,P73"
194,"2)R.M.WEST,A.C.DANKS,G.ALCAINO,ASTRON.ASTROPHYS.,"
194,"VOL.62,1978,PL13;"
194,"3)R.M.WEST,A.C.DANKS,G.ALCAINO,ASTRON.ASTROPHYS.,"
194,"VOL.65,1978,P151;"
194,"4)R.M.WEST,P.GROSBOL,C.STERKEN,ESO PREPRINT,N101,"
194,1980;
194,"5)R.M.WEST,S.FRANDSEN,ESO PREPRINT,N110,1980;"
194,"6)R.M.WEST,ASTRON.ASTROPHYS.,VOL.95,1981,P1;"
194,"7)R.M.WEST,J.SURDEJ,H.-E.SCHUSTER,A.B.MULLER,"
194,"S.LAUSTSEN,T.M.BORCHKHADZE,ASTRON.ASTROPHYS."
194,"SUPPL.SER.,VOL.46,1981,P57;"
194,"8)R.M.WEST,R.BARBIER,SUBM.TO ASTRON.ASTROPHYS.,"
194,1981).
194,(radial velocities of galaxies;)
195,"A.LAUBERTS,   EUROPEAN SOUTHERN OBSERVATORY,1982,"
195,"THE ESO/UPPSALA SURVEY OF THE ESO(B) ATLAS,"
195,(SOURCE OF RADIAL VELOCITIES:
195,"M.V.PENSTON,R.A.E.FOSBURY,M.J.WARD,A.S.WILSON,"
195,"MON.NOT.R.A.S.,VOL.180,1977,P19)."
195,(radial velocities of galaxies)
196,"A.LAUBERTS,   EUROPEAN SOUTHERN OBSERVATORY,1982,"
196,"THE ESO/UPPSALA SURVEY OF THE ESO(B) ATLAS,"
196,(SOURCE OF RADIAL VELOCITIES AND COLORS:
196,"A.SANDAGE,ASTROPHYS.J.,VOL.202,1975,P563)."
196,"(radial velocities of galaxies, U-B and B-V colors)"
197,"O.-G.RICHTER,J.MATERNE,W.K.HUCHTMEIER,   ASTRON.ASTROPHYS.,"
197,"VOL.111,1982,PP193-200,"
197,THE HYDRA I CLUSTER OF GALAXIES.
197,(radial velocities of galaxies)
198,"P.TENJES,P.KALAMEES,J.EINASTO,M.JOEVEER,P.BROSCHE,"
198,"F.-TH.LENTES,   STRUVE ASTROPHYS.OBS.TARTU,"
198,"1982,"
198,A LIST OF ELITE-GALAXIES.
198,(radial velocities of galaxies)
199,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
199,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
199,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
199,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
199,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
199,(SOURCE OF COLORS:UNPUBLISHED OBSERVATIONS FROM
199,1977 TO 1982).
199,(U-B and B-V colors)
200,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
200,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
200,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
200,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
200,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
200,(SOURCE OF COLORS:
200,"H.G.CORWIN,JR,1982,UNPUBLISHED MCDONALD 76-CM"
200,OBSERVATIONS).
200,(U-B and B-V colors)
201,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
201,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
201,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
201,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
201,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
201,(SOURCE OF COLORS:
201,"A.SANDAGE,N.VISVANATHAN,ASTROPHYS.J.,VOL.223,1978,"
201,P707).
201,(U-B and B-V colors)
202,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
202,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
202,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
202,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
202,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
202,(SOURCE OF COLORS:
202,"G.DE VAUCOULEURS,A.DE VAUCOULEURS,H.G.CORWIN,JR.,"
202,"ASTRON.J.,VOL.83,1978,P1331)."
202,(U-B and B-V colors)
203,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
203,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
203,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
203,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
203,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
203,(SOURCE OF COLORS:
203,"J.P.HUCHRA,ASTROPHYS.J.SUPPL.SER.,VOL.35,1977,P171"
203,(U-B and B-V colors).)
204,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
204,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
204,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
204,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
204,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
204,(SOURCE OF COLORS:
204,"1)H.D.ABLES,PUBL.U.S.NAVAL OBS.,VOL.20,1971,"
204,"2)H.D.ABLES,P.G.ABLES,ASTROPHYS.J.SUPPL,SER.,"
204,"VOL.34,1977,P245)."
204,(U-B and B-V colors)
205,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
205,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
205,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
205,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
205,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
205,(SOURCE OF COLORS:
205,"1)V.P.ARKHIPOVA,M.V.SAVELYEVA,ASTRON.CIRC.(USSR),"
205,"VOL.814,1974,"
205,"2)V.P.ARKHIPOVA,ASTRON.ZH.,VOL.26,1982,P129)."
205,(U-B and B-V colors)
206,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
206,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
206,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
206,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
206,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
206,(SOURCE OF COLORS:UNPUBLISHED OBSERVATIONS BY
206,R.BUTA).
206,(U-B and B-V colors)
207,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
207,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
207,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
207,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
207,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
207,(SOURCE OF COLORS:
207,"1)D.W.WEEDMAN,ASTROPHYS.J.,VOL.183,1973,P29,"
207,"2)D.W.WEEDMAN,ASTROPHYS.J.,VOL.195,1975,P587,"
207,"3)D.W.WEEDMAN,ASTROPHYS.J.,VOL.203,1976,P6,"
207,"4)D.W.WEEDMAN,E.YE.KHACHIKIAN,ASTROFIZIKA,VOL.5,"
207,"1969,P113)."
207,(U-B and B-V colors)
208,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
208,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
208,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
208,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
208,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
208,(SOURCE OF COLORS:
208,"W.ROMANISHIN,UNIVERS.OF ARIZONA,PH.D.THESIS,1980)."
208,(U-B and B-V colors)
209,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
209,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
209,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
209,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
209,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
209,(SOURCE OF COLORS:
209,"1)A.H.TOMOV,ASTRON.ZH.,VOL.55,1978,P944,"
209,"2)A.H.TOMOV,ASTRON.ZH.,VOL.56,1979,P949)."
209,(U-B and B-V colors)
210,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
210,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
210,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
210,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
210,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
210,(SOURCE OF COLORS:
210,"1)W.G.TIFFT,ASTRON.J.,VOL.66,1961,P390,"
210,"2)W.G.TIFFT,ASTRON.J.,VOL.68,1963,P302,"
210,"3)W.G.TIFFT,ASTRON.J.,VOL.74,1969,P354,"
210,"4)W.G.TIFFT,PUBL.A.S.P.,VOL.85,1973,P283)."
210,(U-B and B-V colors)
211,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
211,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
211,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
211,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
211,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
211,(SOURCE OF COLORS:
211,"J.S.NEFF,MON.NOT.R.A.S.,VOL.149,1970,P45)."
211,(U-B and B-V colors)
212,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
212,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
212,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
212,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
212,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
212,(SOURCE OF COLORS:
212,"1)A.R.SANDAGE,ASTROPHYS.J.,VOL.176,1972,P21,"
212,"2)A.R.SANDAGE,ASTROPHYS.J.,VOL.178,1972,P1,"
212,"3)A.R.SANDAGE,ASTROPHYS.J.,VOL.178,1972,P25,"
212,"4)A.R.SANDAGE,ASTROPHYS.J.,VOL.183,1973,P711)."
212,(U-B and B-V colors)
213,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
213,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
213,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
213,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
213,BRIGHTER THAN THE16-TH V-MAGNITUDE (1936-1982).
213,(SOURCES OF COLORS:
213,"1)R.R.CHOBBROOK,MON.NOT.R.ASTR.SOC.,VOL.131,"
213,"1966,P351;"
213,2)OBSERVATIONS BY R.SHOBBROOK AND J.E.SOLHEIM).
213,(U-B and B-V colors)
214,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
214,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
214,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
214,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
214,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
214,(SOURCE OF COLORS:
214,"N.BROSH,G.SHAVIV,ASTROPHYS.J.,VOL.253,1982,P526"
214,AND PRIVATE COMMUNICATION).
214,(U-B and B-V colors)
215,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
215,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
215,A GENERAL CATALOGUE OF PHOTOELECTRIC MAGNITUDES
215,"AND COLORS IN THE U,B,V SYSTEM OF 3578 GALAXIES"
215,BRIGHTER THAN THE 16-TH V-MAGNITUDE (1936-1982).
215,(SOURCE OF COLORS:
215,"J.KORMENDY,ASTROPHYS.J.,VOL.214,1977,P359)."
215,(U-B and B-V colors)
216,"G.LONGO,A.DE VAUCOULEURS,H.G.CORWIN,JR.,G.DE VAUCOULEURS,"
216,"TEXAS UNIVERS.,AUSTIN,MONOGR.ASTRON.NO.3,1983,"
