Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Bt,SBe,e1,e2,e3,e4,e5,B-Ve,e_B-Ve,gB-V,U-Be,e_U-Be,gU-B,V-Re,e_V-Re,gV-R,V-Ie,e_V-Ie,gV-I,Nap,LastA,Tphot,Mode,Q
NGC3177,10,13,49.2,+,21,22,27,12.96,20.79,0.024,0.019,0.006,0.0,0.0,0.64,0.016,0.052,0.09,0.009,9.99,--,9.99,9.99,--,9.99,9.99,6,0.03,3.0,0,2
NGC3184,10,15,17.7,+,41,40,27,10.03,23.2,0.02,0.024,0.073,1.145,0.138,0.71,0.02,-0.104,0.07,0.038,-0.054,0.87,0.135,0.22,0.94,0.122,-0.257,17,0.33,6.0,1,3
NGC3185,10,14,53.2,+,21,56,20,12.76,22.37,0.01,0.009,0.019,0.247,0.006,0.8,0.004,-0.084,--,9.99,9.99,0.61,0.006,-0.09,1.25,0.008,-0.154,54,0.13,1.2,1,2
NGC3186,10,15,0.5,+,7,13,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3187,10,15,2.0,+,22,7,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3188,10,16,24.0,+,57,40,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3190,10,15,20.2,+,22,5,0,11.67,21.61,0.004,0.007,0.011,0.334,0.003,0.99,0.004,-0.071,0.56,0.047,0.128,0.66,0.006,9.99,1.35,0.007,-0.022,25,0.18,-9.6,1,2
NGC3193,10,15,39.5,+,22,8,44,11.7,21.3,0.001,0.002,0.004,0.091,0.001,0.95,0.001,0.009,0.51,0.018,-0.04,0.61,0.003,-0.083,0.97,0.001,-0.045,124,0.19,-8.0,1,1
NGC3198,10,16,51.8,+,45,48,14,10.73,22.91,0.029,0.03,0.078,0.0,0.0,0.63,0.098,-0.25,0.08,0.045,9.99,0.49,0.149,-0.118,0.98,0.182,-0.248,7,0.18,5.3,0,3
NGC3200,10,16,12.0,-,17,43,54,12.75,22.85,0.006,0.003,0.006,0.122,0.002,0.89,0.091,-0.291,0.33,0.131,-0.334,0.6,9.99,9.99,1.22,9.99,9.99,44,0.07,2.4,1,2
NGC3203,10,17,15.0,-,26,26,48,13.0,21.2,0.005,0.008,0.011,0.376,0.001,0.99,0.007,-0.07,0.44,0.017,0.03,0.61,0.009,0.004,1.25,0.013,-0.027,26,0.07,-3.5,1,2
NGC3208,10,17,21.0,-,25,33,42,13.22,22.89,0.025,0.01,0.027,0.273,0.004,0.69,0.105,-0.548,0.06,0.166,-0.341,--,9.99,9.99,--,9.99,9.99,16,0.12,9.9,1,2
NGC3209,10,17,51.1,+,25,45,21,13.66,20.54,0.003,0.005,0.006,0.141,0.001,0.96,9.99,9.99,--,9.99,9.99,0.6,9.99,9.99,--,9.99,9.99,38,0.14,-3.7,1,6
NGC3220,10,20,28.6,+,57,16,50,14.78,22.63,0.004,0.002,0.005,0.075,0.0,0.86,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,11,0.15,7.6,1,6
NGC3222,10,19,50.7,+,20,8,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3223,10,19,19.8,-,34,0,7,11.28,23.57,0.009,0.008,0.017,0.272,0.009,0.82,0.057,-0.221,0.2,0.087,-0.302,--,9.99,9.99,1.42,9.99,9.99,52,0.3,-7.4,1,2
NGC3224,10,19,27.0,-,34,26,35,13.06,20.98,0.007,0.008,0.009,0.563,0.003,1.01,0.022,-0.059,0.49,0.037,-0.152,0.64,0.049,9.99,1.31,0.034,9.99,16,0.05,-3.2,1,2
NGC3225,10,21,52.5,+,58,24,15,14.45,22.95,0.009,0.008,0.017,0.266,0.003,0.87,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,13,0.13,7.2,1,6
NGC3226,10,20,43.5,+,20,9,6,12.13,22.26,0.002,0.003,0.006,0.07,0.002,0.95,0.003,-0.15,0.46,0.058,-0.132,0.65,0.009,-0.008,--,9.99,9.99,102,0.36,-3.3,1,1
NGC3227,10,20,47.6,+,20,7,0,11.21,22.49,0.021,0.02,0.047,1.208,0.055,0.88,0.006,0.024,0.28,0.011,0.288,0.83,0.05,0.305,1.36,0.056,0.274,40,0.47,-3.8,1,3
NGC3233,10,19,35.0,-,22,0,53,13.58,21.84,0.018,0.011,0.02,0.572,0.006,0.98,0.007,-0.038,0.35,0.025,-0.228,0.6,0.015,-0.085,1.25,0.024,-0.183,15,0.05,0.0,1,2
NGC3239,10,22,23.3,+,17,24,50,11.64,22.02,0.059,0.024,0.032,0.0,0.0,0.4,0.042,0.057,-0.3,0.048,0.047,1.0,9.99,9.99,1.62,9.99,9.99,7,0.07,9.3,0,3
NGC3241,10,22,1.0,-,32,13,41,12.8,22.13,0.009,0.007,0.017,0.364,0.009,0.91,0.015,-0.124,0.26,0.032,-0.25,0.56,0.038,-0.04,1.2,0.048,-0.129,18,0.03,4.8,1,2
NGC3244,10,23,18.0,-,39,34,23,12.91,22.52,0.01,0.005,0.011,0.113,0.004,0.68,0.055,-0.223,0.01,0.049,-0.172,--,9.99,9.99,1.39,9.99,9.99,41,0.06,5.8,1,2
NGC3245,10,24,29.9,+,28,45,47,11.81,20.53,0.011,0.006,0.006,0.116,0.0,0.84,0.002,0.085,0.49,0.024,-0.089,0.68,0.002,9.99,--,9.99,9.99,102,0.12,-5.5,1,2
NGC3250,10,24,21.0,-,39,41,17,11.97,21.52,0.002,0.003,0.005,0.084,0.001,1.04,0.001,-0.05,0.59,0.009,-0.128,0.67,0.024,0.046,1.38,0.002,0.002,140,0.09,-4.5,1,1
NGC3250B,10,25,33.0,-,40,10,48,13.49,22.95,0.02,0.017,0.034,0.664,0.017,1.09,0.013,-0.124,0.54,0.02,-0.097,--,9.99,9.99,--,9.99,9.99,15,0.14,-1.6,1,3
NGC3250C,10,25,31.0,-,39,44,48,14.12,22.2,0.013,0.007,0.01,0.0,0.0,1.0,0.015,9.99,0.32,0.035,9.99,--,9.99,9.99,--,9.99,9.99,9,0.08,1.9,0,2
NGC3250E,10,26,49.0,-,39,49,36,13.09,21.81,0.004,0.003,0.003,0.158,0.001,0.49,0.018,0.069,-0.13,0.062,0.217,--,9.99,9.99,--,9.99,9.99,11,0.06,1.1,1,1
NGC3253,10,25,47.7,+,12,57,42,14.14,22.7,0.056,0.024,0.028,0.0,0.0,0.77,0.107,0.206,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,4,0.15,4.0,0,4
NGC3254,10,26,31.3,+,29,44,49,12.17,22.91,0.01,0.013,0.024,0.272,0.005,0.75,0.06,-0.108,0.09,0.001,9.99,0.54,0.122,-0.184,1.17,0.086,-0.174,24,0.37,-5.5,1,2
NGC3256,10,25,43.0,-,43,39,0,12.26,20.21,0.03,0.011,0.015,0.826,0.006,0.6,0.01,0.187,-0.24,0.016,0.243,0.87,9.99,9.99,--,9.99,9.99,30,0.01,4.0,1,2
NGC3257,10,26,32.0,-,35,24,6,14.05,21.08,0.003,0.005,0.006,0.116,0.0,0.99,0.016,9.99,0.51,0.0,9.99,--,9.99,9.99,--,9.99,9.99,47,0.06,-3.7,1,1
NGC3258,10,26,39.0,-,35,20,59,12.4,22.09,0.003,0.007,0.01,0.199,0.002,1.06,0.003,-0.037,0.57,0.009,-0.051,0.65,0.009,0.071,1.36,0.011,-0.007,125,0.13,-8.7,1,2
NGC3258A,10,26,4.0,-,35,11,53,14.33,21.06,0.008,0.011,0.008,0.0,0.0,0.97,0.015,9.99,0.5,0.021,9.99,--,9.99,9.99,--,9.99,9.99,9,0.04,-1.0,0,2
NGC3258E,10,30,9.0,-,34,44,30,15.31,23.14,0.004,0.003,0.004,0.161,0.001,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,23,0.04,5.6,1,1
NGC3259,10,29,6.8,+,65,17,56,13.62,22.19,0.018,0.01,0.011,0.426,0.001,0.91,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.2,9.99,9.99,20,0.04,2.1,1,6
NGC3260,10,26,51.0,-,35,20,17,13.54,21.46,0.005,0.004,0.006,0.152,0.002,1.04,0.036,0.09,0.55,9.99,9.99,--,9.99,9.99,--,9.99,9.99,79,0.04,0.6,1,1
NGC3261,10,26,54.0,-,44,24,0,11.7,22.68,0.02,0.01,0.014,0.384,0.006,1.13,0.008,9.99,0.65,0.022,9.99,--,9.99,9.99,--,9.99,9.99,12,0.07,1.7,1,2
NGC3262,10,26,58.0,-,43,54,17,14.15,21.72,0.02,0.01,0.01,0.0,0.0,1.02,0.005,9.99,0.5,0.025,9.99,--,9.99,9.99,--,9.99,9.99,9,0.08,-2.0,0,2
NGC3263,10,27,5.0,-,43,50,53,12.04,22.46,0.134,0.023,0.03,4.017,0.048,0.63,1.0,9.99,0.32,1.0,9.99,--,9.99,9.99,--,9.99,9.99,10,0.08,-3.2,1,3
NGC3264,10,29,8.6,+,56,20,26,14.09,23.87,0.053,0.017,0.037,0.94,0.013,0.87,9.99,9.99,0.46,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,14,0.09,6.9,1,3
NGC3267,10,27,34.2,-,35,4,0,13.57,20.7,0.021,0.013,0.008,0.0,0.0,1.1,0.02,9.99,0.69,0.05,9.99,--,9.99,9.99,--,9.99,9.99,8,0.02,-2.0,0,2
NGC3268,10,27,45.0,-,35,4,5,12.45,22.4,0.003,0.007,0.012,0.196,0.003,1.08,0.004,-0.025,0.55,0.059,9.99,0.63,0.004,-0.004,1.34,0.014,-0.142,140,0.14,-6.6,1,2
NGC3269,10,27,42.0,-,34,58,5,13.17,21.47,0.009,0.008,0.006,0.36,0.0,1.04,0.02,9.99,0.53,0.01,9.99,--,9.99,9.99,--,9.99,9.99,11,0.03,-4.0,1,2
NGC3270,10,28,44.5,+,25,7,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3271,10,28,11.0,-,35,6,6,12.63,21.49,0.007,0.017,0.021,0.95,0.002,1.11,0.01,0.103,0.68,0.022,0.164,0.66,0.018,-0.031,1.35,0.022,-0.003,31,0.08,-9.7,1,2
NGC3273,10,28,13.8,-,35,21,24,13.44,20.76,0.009,0.008,0.008,0.454,0.002,1.06,0.006,0.023,0.58,0.023,-0.142,0.64,0.074,-0.241,1.35,0.046,-0.124,16,0.03,-1.9,1,2
NGC3274,10,29,29.5,+,27,55,40,13.17,21.83,0.029,0.015,0.011,0.0,0.0,0.38,0.045,0.073,-0.27,0.211,0.423,--,9.99,9.99,--,9.99,9.99,3,0.06,7.2,0,4
NGC3275,10,28,37.1,-,36,28,59,12.33,21.96,0.016,0.013,0.018,0.756,0.004,1.08,0.016,0.137,0.48,0.01,-0.069,--,9.99,9.99,--,9.99,9.99,14,0.1,-3.9,1,2
NGC3277,10,30,7.9,+,28,46,10,12.47,21.24,0.019,0.026,0.019,1.437,0.017,0.86,0.039,9.99,0.32,0.051,-0.101,--,9.99,9.99,--,9.99,9.99,11,0.08,1.9,1,2
NGC3281,10,29,36.0,-,34,35,59,12.52,22.32,0.011,0.008,0.02,0.151,0.0,1.04,0.028,-0.28,0.48,0.138,9.99,0.65,0.046,-0.124,1.6,0.133,9.99,20,0.03,5.5,1,2
NGC3282,10,29,59.0,-,22,2,35,13.92,21.28,0.005,0.004,0.006,0.179,0.0,1.05,0.012,-0.105,0.48,0.013,-0.072,0.6,0.034,-0.168,1.29,0.035,-0.166,15,0.03,-0.2,1,1
NGC3285,10,31,15.0,-,27,11,48,12.79,22.34,0.005,0.008,0.012,0.227,0.001,1.04,0.023,-0.083,0.47,0.068,-0.248,0.68,0.055,-0.042,--,9.99,9.99,20,0.09,-3.3,1,2
NGC3285A,10,30,28.0,-,27,15,53,13.73,21.27,0.022,0.015,0.025,0.541,0.008,1.17,0.016,-0.167,--,9.99,9.99,0.69,0.024,-0.018,1.5,0.023,0.015,16,0.07,-0.6,1,2
NGC3286,10,33,6.0,+,58,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3288,10,33,12.9,+,58,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3289,10,31,51.0,-,35,3,53,13.49,21.71,0.02,0.014,0.023,0.634,0.006,0.95,0.01,-0.054,0.5,0.02,0.112,--,9.99,9.99,--,9.99,9.99,16,0.11,-0.8,1,2
NGC3294,10,33,23.7,+,37,35,0,12.07,21.98,0.008,0.003,0.006,0.084,0.002,0.56,0.0,9.99,--,9.99,9.99,--,9.99,9.99,1.49,0.006,9.99,19,0.03,8.0,1,2
NGC3300,10,33,58.6,+,14,25,53,13.35,21.56,0.011,0.021,0.03,0.0,0.0,0.96,0.036,-0.12,0.39,0.092,0.282,0.55,0.078,-0.282,1.23,0.097,-0.152,6,0.27,-1.9,0,2
NGC3301,10,34,12.1,+,22,8,32,12.34,20.08,0.035,0.046,0.023,2.446,0.017,0.93,0.027,-0.044,0.41,0.04,0.038,--,9.99,9.99,--,9.99,9.99,9,0.05,-4.9,1,3
NGC3305,10,33,51.0,-,26,54,11,13.83,20.87,0.002,0.003,0.003,0.141,0.001,1.07,0.007,-0.045,0.58,0.008,-0.061,0.54,0.007,0.029,--,9.99,9.99,57,0.06,-3.7,1,1
NGC3307,10,33,56.0,-,27,16,13,15.29,22.23,0.01,0.013,0.011,0.648,0.007,1.07,0.081,-0.356,0.42,0.086,-0.327,0.58,1.003,9.99,--,9.99,9.99,9,0.07,2.4,1,2
NGC3308,10,34,1.3,-,27,10,43,13.13,21.92,0.002,0.003,0.006,0.069,0.001,1.05,0.004,-0.029,0.6,0.026,9.99,0.59,0.004,0.043,--,9.99,9.99,128,0.09,-1.2,1,1
NGC3309,10,34,14.7,-,27,15,29,12.33,22.54,0.003,0.009,0.017,0.301,0.005,1.02,0.003,-0.077,0.53,0.008,-0.157,0.63,0.008,-0.01,1.3,0.009,-0.014,98,0.46,-8.5,1,2
NGC3310,10,35,40.3,+,53,45,45,11.27,19.02,0.023,0.017,0.012,0.538,0.001,0.34,0.014,0.05,-0.5,0.019,0.115,--,9.99,9.99,--,9.99,9.99,12,0.02,7.2,1,2
NGC3311,10,34,21.6,-,27,16,4,12.39,22.65,0.008,0.004,0.01,0.137,0.005,1.04,0.004,-0.044,0.58,0.012,-0.049,0.63,0.004,0.04,1.34,0.025,9.99,105,0.07,3.6,1,2
NGC3312,10,34,41.0,-,27,18,18,12.32,22.1,0.035,0.012,0.02,1.262,0.009,1.07,0.015,-0.098,0.39,0.059,-0.325,--,9.99,9.99,--,9.99,9.99,10,0.07,0.3,1,3
NGC3313,10,35,3.0,-,25,3,29,12.08,22.75,0.046,0.05,0.092,1.43,0.03,0.43,1.0,9.99,-0.24,1.0,9.99,--,9.99,9.99,--,9.99,9.99,9,0.19,-4.0,1,3
NGC3314A,10,34,51.8,-,27,25,28,14.11,22.73,0.069,0.062,0.12,0.0,0.0,0.77,0.068,0.241,0.12,0.124,0.521,--,9.99,9.99,--,9.99,9.99,10,0.26,2.1,0,3
NGC3315,10,34,57.8,-,26,55,55,14.26,21.89,0.008,0.01,0.008,0.428,0.001,0.95,9.99,9.99,0.58,9.99,9.99,0.6,9.99,9.99,--,9.99,9.99,11,0.04,-1.7,1,2
NGC3318,10,35,3.0,-,41,22,5,12.43,21.9,0.011,0.005,0.012,0.163,0.004,0.67,0.028,-0.411,0.05,0.032,-0.259,--,9.99,9.99,1.37,9.99,9.99,50,0.01,7.7,1,2
NGC3318B,10,35,22.0,-,41,12,18,14.34,23.96,0.007,0.009,0.024,0.181,0.009,0.9,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.2,9.99,9.99,27,0.2,3.4,1,2
NGC3319,10,36,15.2,+,41,56,56,11.62,23.94,0.038,0.062,0.176,0.0,0.0,0.49,0.056,-0.142,-0.08,0.038,-0.075,0.39,0.088,-0.049,0.81,0.088,-0.082,7,0.32,5.8,0,3
NGC3320,10,36,37.4,+,47,39,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3321,10,36,21.7,-,11,23,15,14.62,22.51,0.006,0.008,0.026,0.075,0.002,0.84,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.17,9.99,9.99,19,0.36,9.5,1,6
NGC3325,10,36,46.5,+,0,3,45,13.78,21.93,0.004,0.008,0.015,0.23,0.003,0.98,9.99,9.99,--,9.99,9.99,0.61,9.99,9.99,--,9.99,9.99,36,0.39,-5.5,1,6
NGC3333,10,37,33.0,-,35,46,30,13.44,22.82,0.025,0.035,0.069,0.533,0.01,0.78,0.026,-0.198,0.1,0.08,-0.273,--,9.99,9.99,1.39,9.99,9.99,40,0.25,-2.1,1,3
NGC3334,10,38,40.1,+,37,34,24,13.79,21.97,0.032,0.061,0.104,0.0,0.0,1.03,0.01,-0.033,0.54,0.045,9.99,--,9.99,9.99,--,9.99,9.99,3,0.38,-2.2,0,4
NGC3338,10,39,28.1,+,14,0,34,11.58,22.53,0.002,0.002,0.006,0.059,0.003,0.71,0.14,-0.302,0.09,0.128,-0.275,0.52,0.214,-0.178,1.07,0.198,-0.233,25,0.24,6.7,1,1
NGC3344,10,40,46.6,+,25,11,9,10.32,22.53,0.025,0.031,0.066,0.0,0.0,0.69,0.125,-0.227,0.04,0.055,9.99,0.46,0.186,-0.121,1.01,0.209,-0.23,9,0.17,4.2,0,3
NGC3346,10,40,59.0,+,15,8,3,12.09,22.86,0.014,0.009,0.031,0.102,0.008,-0.7,0.007,-0.194,--,9.99,9.99,1.74,0.011,-0.034,2.27,0.013,-0.149,39,0.14,9.4,1,2
NGC3347,10,40,29.0,-,36,5,30,12.16,21.29,0.007,0.007,0.009,0.474,0.002,0.89,0.005,-0.062,0.36,0.012,-0.192,--,9.99,9.99,1.41,9.99,9.99,56,0.11,-12.2,1,2
NGC3347A,10,38,4.0,-,36,9,6,13.37,22.5,0.005,0.004,0.007,0.099,0.002,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,36,0.04,5.7,1,2
NGC3347B,10,39,43.0,-,36,40,23,13.41,23.41,0.011,0.004,0.01,0.143,0.008,0.86,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,29,0.02,7.6,1,2
NGC3348,10,43,26.4,+,73,6,15,12.18,21.17,0.012,0.017,0.028,0.0,0.0,1.07,0.023,-0.061,0.52,0.016,-0.085,0.64,0.027,0.033,--,9.99,9.99,13,0.31,-5.0,1,2
NGC3351,10,41,19.6,+,11,58,0,10.38,21.89,0.017,0.025,0.047,0.647,0.019,0.85,0.009,0.007,0.19,0.032,0.114,0.51,1.0,9.99,1.18,0.09,-0.216,31,0.22,-2.7,1,3
NGC3352,10,41,32.7,+,22,38,3,13.59,21.46,0.03,0.019,0.017,0.0,0.0,1.0,0.008,-0.03,0.53,0.031,-0.088,--,9.99,9.99,--,9.99,9.99,4,0.12,-2.0,0,4
NGC3353,10,42,16.4,+,56,13,19,13.26,20.21,0.008,0.004,0.002,0.755,0.008,0.4,0.031,0.163,-0.41,0.027,0.117,0.49,0.033,-0.134,0.63,0.05,0.221,16,0.03,4.0,1,2
NGC3354,10,40,45.0,-,36,6,6,13.77,20.77,0.017,0.018,0.011,0.669,0.007,0.58,0.015,-0.052,-0.06,0.019,-0.062,--,9.99,9.99,--,9.99,9.99,14,0.01,8.3,1,2
NGC3356,10,41,36.0,+,7,1,18,13.71,21.88,0.016,0.017,0.031,0.0,0.0,0.48,0.005,9.99,-0.03,0.03,9.99,--,9.99,9.99,--,9.99,9.99,2,0.27,4.3,0,4
NGC3358,10,41,16.0,-,36,8,53,12.32,22.31,0.024,0.015,0.029,1.047,0.025,0.97,0.007,-0.064,0.47,0.015,-0.096,--,9.99,9.99,--,9.99,9.99,18,0.12,-4.0,1,3
NGC3359,10,43,21.1,+,63,29,11,11.05,22.57,0.04,0.038,0.057,0.0,0.0,0.55,0.084,0.105,-0.11,0.094,-0.203,--,9.99,9.99,--,9.99,9.99,6,0.09,5.0,0,3
NGC3360,10,41,46.8,-,10,58,49,14.28,22.18,0.016,0.011,0.015,0.0,0.0,0.75,0.082,-0.171,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,6,0.15,5.1,0,2
NGC3361,10,41,59.6,-,10,56,41,13.15,22.67,0.026,0.011,0.03,0.272,0.01,0.57,0.111,0.218,--,9.99,9.99,--,9.99,9.99,1.46,9.99,9.99,26,0.1,8.6,1,3
NGC3365,10,43,38.6,+,2,4,35,13.15,23.5,0.044,0.059,0.056,0.0,0.0,0.68,0.086,-0.075,-0.03,0.357,0.661,0.48,0.155,9.99,0.9,0.296,-0.534,5,0.12,5.8,0,4
NGC3366,10,32,58.0,-,43,25,59,12.03,21.68,0.037,0.016,0.035,0.388,0.004,0.84,0.064,-0.285,0.26,0.044,-0.111,--,9.99,9.99,--,9.99,9.99,13,0.05,7.0,1,3
NGC3367,10,43,55.4,+,14,0,57,11.98,22.04,0.026,0.014,0.018,0.0,0.0,0.67,0.04,-0.055,-0.19,0.05,9.99,--,9.99,9.99,--,9.99,9.99,4,0.11,5.1,0,4
NGC3368,10,44,6.9,+,12,5,4,10.19,21.01,0.004,0.005,0.011,0.107,0.003,0.96,0.011,-0.131,0.4,0.029,-0.261,0.7,0.013,9.99,1.18,0.018,-0.117,36,0.17,0.3,1,2
NGC3370,10,44,23.2,+,17,32,16,12.97,22.0,0.012,0.016,0.035,0.409,0.006,0.9,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.2,9.99,9.99,14,0.15,3.1,1,6
NGC3375,10,44,30.7,-,9,40,39,13.41,21.24,0.013,0.02,0.024,0.0,0.0,0.89,0.01,-0.029,0.36,0.034,-0.117,0.55,0.041,-0.08,1.15,0.036,0.023,8,0.22,-2.0,0,2
NGC3377,10,45,2.6,+,14,14,51,11.05,21.18,0.004,0.007,0.013,0.19,0.003,0.92,0.002,-0.09,0.4,0.004,-0.139,0.45,0.004,0.017,0.72,0.004,-0.012,208,0.25,-9.7,1,2
NGC3377A,10,44,43.4,+,14,20,7,14.2,24.03,0.019,0.016,0.04,0.0,0.0,0.64,0.06,0.081,0.06,0.055,-0.143,--,9.99,9.99,--,9.99,9.99,5,0.26,8.8,0,4
NGC3379,10,45,11.3,+,12,50,48,10.29,20.62,0.002,0.003,0.004,0.113,0.001,0.97,0.001,-0.022,0.58,0.003,-0.089,0.6,0.001,0.028,1.22,0.001,-0.035,299,0.13,-7.4,1,1
NGC3383,10,44,55.0,-,24,10,29,13.97,21.63,0.003,0.002,0.003,0.105,0.0,0.85,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.17,9.99,9.99,32,0.02,9.4,1,1
NGC3384,10,45,38.7,+,12,53,40,10.87,20.11,0.002,0.005,0.007,0.194,0.001,0.96,0.001,-0.029,0.52,0.005,-0.077,0.57,0.008,-0.029,1.18,0.022,-0.066,116,0.16,-9.7,1,1
NGC3389,10,45,49.4,+,12,47,53,12.43,21.82,0.011,0.009,0.01,0.093,0.005,0.54,0.082,-0.145,-0.11,0.158,-0.215,0.38,0.116,0.0,0.81,0.117,0.0,19,0.03,7.3,1,2
NGC3390,10,45,43.0,-,31,16,5,13.08,22.05,0.021,0.027,0.025,1.543,0.017,1.04,0.021,-0.139,0.42,0.036,-0.117,0.65,0.075,0.04,1.38,0.135,-0.06,17,0.05,4.1,1,2
NGC3393,10,46,0.0,-,24,53,48,13.11,21.12,0.045,0.016,0.019,0.0,0.0,0.88,1.0,9.99,0.17,1.0,9.99,--,9.99,9.99,--,9.99,9.99,8,0.08,1.0,0,3
NGC3395,10,47,2.3,+,33,14,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3396,10,47,9.0,+,33,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3403,10,50,14.3,+,73,57,18,13.67,22.1,0.025,0.014,0.036,0.0,0.0,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,6,0.71,4.1,0,6
NGC3411,10,47,57.0,-,12,34,49,12.83,22.44,0.011,0.028,0.048,0.0,0.0,1.06,0.013,-0.075,0.51,0.045,-0.187,0.69,0.032,0.111,1.31,0.088,-0.229,8,0.6,-4.1,0,5
NGC3412,10,48,14.5,+,13,40,41,11.36,20.94,0.006,0.012,0.019,0.334,0.003,0.93,0.007,0.032,0.41,0.012,-0.067,0.53,0.008,-0.051,1.12,0.01,-0.053,33,0.17,-9.3,1,2
NGC3414,10,48,31.8,+,28,14,27,11.72,20.94,0.002,0.003,0.004,0.12,0.0,0.87,0.005,0.018,0.55,0.0,9.99,0.7,0.007,9.99,--,9.99,9.99,49,0.12,-4.1,1,1
NGC3415,10,48,49.7,+,43,58,40,13.31,20.45,0.026,0.015,0.018,0.0,0.0,0.79,0.067,0.256,0.2,0.012,0.032,0.67,0.074,9.99,--,9.99,9.99,3,0.22,-1.2,0,4
NGC3419,10,48,38.7,+,14,12,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3423,10,48,37.4,+,6,6,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3424,10,48,59.8,+,33,9,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3430,10,49,24.2,+,33,13,5,12.3,21.54,0.015,0.008,0.006,0.191,0.0,0.48,0.173,0.569,0.09,0.024,9.99,--,9.99,9.99,1.33,0.245,-0.177,19,0.06,4.9,1,2
NGC3432,10,49,42.7,+,36,53,4,11.77,22.5,0.008,0.008,0.017,0.0,0.0,0.47,0.064,-0.094,-0.28,0.075,-0.104,--,9.99,9.99,--,9.99,9.99,4,0.16,8.8,0,4
NGC3433,10,49,26.1,+,10,24,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
NGC3437,10,49,52.8,+,23,12,1,12.9,21.18,0.033,0.026,0.032,1.207,0.002,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,18,0.03,5.3,1,6
