Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Bt,SBe,e1,e2,e3,e4,e5,B-Ve,e_B-Ve,gB-V,U-Be,e_U-Be,gU-B,V-Re,e_V-Re,gV-R,V-Ie,e_V-Ie,gV-I,Nap,LastA,Tphot,Mode,Q
IC4393,14,14,53.0,-,31,7,5,14.39,23.45,0.004,0.003,0.006,0.076,0.002,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,22,0.11,4.9,1,1
IC4402,14,18,0.0,-,46,4,11,12.06,21.77,0.007,0.004,0.009,0.104,0.005,0.86,9.99,9.99,-0.29,0.0,9.99,0.57,9.99,9.99,1.18,9.99,9.99,31,0.01,8.0,1,2
IC4418,14,23,12.4,+,25,45,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC4421,14,25,27.0,-,37,21,36,13.43,21.49,0.013,0.019,0.022,0.663,0.002,1.05,0.008,-0.05,0.51,0.034,-0.197,0.64,0.032,-0.05,1.36,0.067,0.281,25,0.07,-5.0,1,2
IC4444,14,28,27.0,-,43,11,53,12.1,20.7,0.012,0.009,0.01,0.419,0.002,0.65,0.014,9.99,-0.08,0.01,9.99,--,9.99,9.99,--,9.99,9.99,14,0.06,1.0,1,2
IC4448,14,34,22.0,-,78,35,42,13.74,22.48,0.067,0.047,0.126,0.0,0.0,0.59,1.0,9.99,-0.15,1.0,9.99,--,9.99,9.99,--,9.99,9.99,7,0.17,7.0,0,3
IC4451,14,31,33.0,-,36,4,0,13.17,21.76,0.007,0.01,0.014,0.388,0.001,1.02,0.011,0.017,0.52,0.012,9.99,0.66,0.027,-0.069,1.36,0.019,9.99,17,0.09,-4.1,1,2
IC4453,14,31,34.0,-,27,17,59,13.15,20.33,0.016,0.011,0.014,0.514,0.004,0.99,0.007,-0.083,0.45,0.018,-0.115,0.58,0.011,0.004,1.24,0.013,-0.005,14,0.02,-1.1,1,2
IC4464,14,34,44.0,-,36,39,42,13.56,21.21,0.009,0.009,0.006,0.345,0.001,1.06,1.0,9.99,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,11,0.03,1.2,1,2
IC4468,14,35,36.0,-,22,9,6,13.7,22.24,0.012,0.005,0.009,0.177,0.003,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,32,0.03,4.8,1,2
IC4472,14,36,56.0,-,44,6,6,12.59,21.97,0.046,0.02,0.04,0.356,0.01,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,27,0.06,4.6,1,3
IC4484,14,42,45.0,-,73,5,53,15.69,21.88,0.03,0.011,0.026,0.0,0.0,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,10,0.43,5.9,0,6
IC4503,14,44,18.0,+,16,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0,0.0,0.0,0,0
IC4516,14,52,2.5,+,16,33,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
IC4523,15,1,51.0,-,43,18,53,13.05,23.1,0.045,0.019,0.045,0.0,0.0,0.88,0.141,-0.359,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,4,0.55,5.0,0,5
IC4527,15,2,23.0,-,42,15,18,14.1,21.36,0.011,0.005,0.012,0.0,0.0,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,16,0.42,4.0,0,6
IC4538,15,18,15.0,-,23,28,41,12.38,23.01,0.014,0.018,0.054,0.126,0.008,0.73,0.058,-0.213,--,9.99,9.99,--,9.99,9.99,1.33,9.99,9.99,34,0.16,6.3,1,3
IC4553,15,32,47.3,+,23,40,5,13.94,22.17,0.022,0.01,0.008,0.0,0.0,0.87,0.073,-0.197,0.45,0.07,-0.197,--,9.99,9.99,--,9.99,9.99,3,0.03,9.0,0,4
IC4555,15,41,18.0,-,78,1,30,14.0,22.8,0.012,0.007,0.017,0.131,0.005,0.86,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,24,0.05,7.5,1,2
IC4562,15,34,15.1,+,43,39,32,13.52,21.09,0.002,0.003,0.004,0.081,0.001,1.02,0.004,9.99,0.51,0.0,9.99,0.62,0.01,9.99,1.19,9.99,9.99,27,0.22,-5.0,1,1
IC4562A,15,34,20.4,+,43,40,2,15.4,19.9,0.084,0.038,0.032,0.0,0.0,1.02,0.0,9.99,0.8,0.175,9.99,0.61,0.014,9.99,--,9.99,9.99,2,0.19,-5.0,0,4
IC4566,15,35,0.3,+,43,42,12,13.96,22.46,0.019,0.028,0.04,0.0,0.0,0.94,0.056,-0.217,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,4,0.17,2.1,0,4
IC4585,15,55,32.0,-,66,10,54,12.48,22.51,0.074,0.043,0.1,0.0,0.0,0.75,0.043,0.067,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,4,0.56,3.3,0,5
IC4595,16,15,24.0,-,70,1,23,13.82,21.82,0.003,0.004,0.01,0.088,0.002,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,22,0.27,5.3,1,6
IC4598,16,15,3.0,-,31,19,18,15.03,22.57,0.016,0.006,0.015,0.0,0.0,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,18,0.37,4.6,0,6
IC4608,16,39,37.0,-,77,23,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
IC4610,16,32,6.7,+,39,21,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC4618,16,50,41.0,-,76,54,47,12.61,22.24,0.07,0.023,0.05,0.0,0.0,0.7,0.005,9.99,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,4,0.42,4.1,0,4
IC4621,16,48,28.1,+,8,52,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,0.0,0.0,0,0
IC4633,17,6,19.0,-,77,28,29,13.19,22.75,0.015,0.026,0.071,0.125,0.005,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,28,0.38,4.6,1,6
IC4635,17,8,12.0,-,77,25,54,14.05,22.09,0.005,0.009,0.018,0.115,0.002,0.92,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.21,9.99,9.99,22,0.34,1.1,1,6
IC4646,17,19,26.0,-,59,57,11,12.42,23.41,0.006,0.004,0.011,0.093,0.006,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,35,0.1,5.1,1,2
IC4653,17,22,35.0,-,60,50,17,13.21,21.19,0.024,0.009,0.013,0.267,0.002,0.57,0.042,0.26,0.02,0.057,0.27,--,9.99,9.99,--,9.99,9.99,12,0.02,7.6,1,2
IC4656,17,32,55.0,-,63,41,53,13.64,22.57,0.009,0.006,0.012,0.125,0.003,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,30,0.04,5.1,1,2
IC4661,17,44,36.0,-,74,1,0,13.51,22.54,0.077,0.076,0.155,0.0,0.0,0.85,0.154,-0.426,--,9.99,9.99,--,9.99,9.99,--,9.99,9.99,7,0.25,4.9,0,3
IC4662,17,42,12.0,-,64,37,18,11.45,21.08,0.012,0.006,0.01,0.391,0.004,0.32,0.079,0.394,-0.45,0.089,0.428,--,9.99,9.99,--,9.99,9.99,13,0.04,3.4,1,2
IC4664,17,44,13.0,-,63,14,17,13.59,21.67,0.008,0.009,0.01,0.271,0.002,0.76,0.022,-0.082,--,9.99,9.99,--,9.99,9.99,1.34,9.99,9.99,35,0.06,3.2,1,2
IC4674,18,3,32.0,-,62,24,6,14.61,23.7,0.006,0.003,0.007,0.11,0.003,0.9,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.2,9.99,9.99,25,0.13,3.6,1,2
IC4679,18,7,10.0,-,56,15,53,13.29,23.18,0.018,0.026,0.062,0.311,0.01,0.62,0.11,0.374,--,9.99,9.99,--,9.99,9.99,1.51,9.99,9.99,32,0.28,1.2,1,3
IC4682,18,10,31.0,-,71,35,48,12.78,22.61,0.007,0.01,0.019,0.189,0.005,0.96,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.22,9.99,9.99,36,0.2,-3.3,1,2
IC4686,18,9,19.0,-,57,44,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0,0.0,0.0,0,0
IC4688,18,5,48.0,+,11,40,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0,0
IC4691,18,6,24.0,+,11,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,0,0
IC4692,18,10,26.0,-,58,42,35,14.19,22.95,0.002,0.001,0.002,0.046,0.001,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,30,0.04,4.9,1,1
IC4694,18,11,5.0,-,58,13,29,13.53,24.58,0.005,0.01,0.023,0.197,0.009,0.96,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.22,9.99,9.99,30,0.39,-3.3,1,2
IC4696,18,15,23.0,-,64,45,17,13.47,21.92,0.007,0.003,0.005,0.104,0.001,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,31,0.07,4.1,1,2
IC4698,18,16,14.0,-,63,22,5,15.43,22.91,0.003,0.002,0.004,0.099,0.001,0.9,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.2,9.99,9.99,23,0.08,3.3,1,1
IC4702,18,18,38.0,-,59,15,47,13.07,20.92,0.023,0.014,0.015,0.0,0.0,0.93,9.99,9.99,--,9.99,9.99,0.59,9.99,9.99,1.21,9.99,9.99,8,0.08,-0.1,0,2
IC4704,18,21,59.9,-,71,38,23,12.69,21.62,0.011,0.028,0.045,0.928,0.009,1.07,0.011,-0.064,0.61,0.021,0.034,0.54,0.015,-0.09,1.32,0.057,9.99,27,0.27,-9.9,1,3
IC4705,18,22,16.0,-,71,43,29,13.44,22.08,0.024,0.009,0.024,0.238,0.01,0.76,0.023,-0.09,0.11,0.047,-0.23,--,9.99,9.99,--,9.99,9.99,12,0.01,10.5,1,2
IC4710,18,23,28.0,-,67,0,47,12.46,23.73,0.035,0.009,0.021,0.169,0.011,0.52,0.0,9.99,-0.12,1.0,9.99,0.48,1.0,9.99,1.5,9.99,9.99,11,0.07,8.9,1,3
IC4712,18,25,13.0,-,71,43,36,12.94,22.35,0.01,0.005,0.011,0.119,0.002,0.77,0.029,0.072,--,9.99,9.99,--,9.99,9.99,1.29,9.99,9.99,40,0.05,5.7,1,2
