ESO070-013 174111.0-681430   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .003   .00  .000   .000   0   .00    .0 0 0
ESO071-004 180632.0-673853 15.12  23.45   .006   .004   .008   .137   .003   .89 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  21   .07   4.0 1 2
ESO073-005 193935.0-700011 15.25  21.68   .036   .016   .018   .000   .000   .76  .129   .477   .22  .092  -.442   .63  .194   .006  1.26  .147  -.205   9   .05    .8 0 3
ESO074-009 204411.0-691641   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .008   .00  .000   .000   0   .00    .0 0 0
ESO075-028 214635.0-713848 13.22  21.37   .015   .014   .019  1.306   .006  1.04  .029  -.063   .52  .022  -.042   .57  .048  -.169  1.21  .036   .153  19   .03  -4.8 1 2
ESO075-033 214854.0-711529 16.02  23.78   .010   .004   .008   .170   .003   .86 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  14   .05   7.7 1 2
ESO075-041 215258.9-695541 14.04  22.25   .028   .014   .012   .000   .000  1.00 1.000  9.990   .60 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990   9   .07  -2.9 0 2
ESO078-012 000041.0-653848 15.37  23.11   .004   .002   .005   .094   .001   .86 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  26   .04   8.0 1 1
ESO079-002 002946.0-644000 13.99  23.24   .019   .045   .063  1.159   .002   .43  .005  9.990  9.99 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  12   .29  -6.0 1 3
ESO079-003 002947.0-643141 13.34  22.49   .010   .004   .007   .155   .001   .91  .113  -.298  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  39   .07   3.1 1 2
ESO079-005 003833.0-634305 13.90  23.47   .012   .007   .018   .103   .006   .85 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.17 9.990  9.990  24   .02   9.4 1 2
ESO079-007 004803.0-664929 14.12  23.39   .010   .005   .010   .152   .005   .86 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  27   .02   8.2 1 2
ESO079-008 005210.0-624336 14.65  22.82   .010   .009   .012   .377   .003   .83  .023  -.151  9.99 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  15  -.02  12.2 1 2
ESO079-013 005450.0-634506 14.83  23.13   .057   .017   .022   .000   .000   .92 1.000  9.990   .76 1.000  9.990   .56 1.414  9.990  1.24 1.414  9.990   6   .06   4.8 0 3
ESO079-016 010232.0-642323 14.13  20.30   .034   .012   .006   .000   .000   .44  .054  9.990  -.33  .119  9.990  9.99 9.990  9.990  9.99 9.990  9.990   9   .01   5.0 0 2
ESO080-001 011205.0-623954 15.34  23.82   .015   .006   .017   .110   .004   .85 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.17 9.990  9.990  19   .10   9.2 1 2
ESO083-006 033110.0-624417 15.17  22.89   .009   .006   .009   .167   .001   .88 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  25   .04   5.0 1 2
ESO083-010 034503.0-642718 15.19  23.39   .007   .004   .009   .154   .003   .86 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  23   .02   7.8 1 2
