Dataset,Rres,e_Rres,Nmeas,Wres,e_Wres,o_Wres,Bcorr,Vcorr,Rcorr,Icorr,Ucorr,WG,WZ,Ngal,WD
HUF-82,0.05,0.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
MBB-82,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
BUT-83,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
KIN-83,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,5,1.0
RSS-83,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
DAK-84,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,3,1.0
MUH-84,0.11,0.06,4.0,0.11,0.06,4.0,0.03,0.03,0.03,0.03,0.0,0.85,1.0,1,1.0
ROM-84,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
WPB-84,0.19,0.0,1.0,0.19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
WPM-84,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
VBH-77,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,2,1.0
MDS-06,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,0,1.0
MDS-08,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,0,1.0
MOG-87,-0.06,0.41,18.0,-0.08,0.21,11.9,0.0,0.0,0.0,-0.0,0.04,0.2,1.0,77,1.0
PNS-87,0.0,0.0,--,0.0,0.0,76.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0.49
PRU-89,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,0.75
BIP-94,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8,0.36
MFB-92,0.0,0.0,999.0,0.0,0.0,999.9,0.0,0.0,0.0,0.01,0.0,0.85,0.1,1337,0.74
LEE-95,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
MIM-94,-0.05,0.15,999.0,-0.04,0.13,999.9,-0.01,-0.01,0.01,0.0,0.0,0.9,0.25,113,0.21
SCV-96,0.0,0.08,492.0,0.0,0.06,486.7,0.0,0.0,0.0,0.0,0.01,0.65,0.8,120,1.0
TKK-95,0.12,0.23,222.0,0.14,0.18,175.0,0.14,0.14,0.0,0.0,0.0,0.1,0.5,1,1.0
