Dataset,Rres,e_Rres,Nmeas,Wres,e_Wres,o_Wres,Bcorr,Vcorr,Rcorr,Icorr,Ucorr,WG,WZ,Ngal,WD
KWE-74,0.0,0.1,10.0,-0.01,0.11,9.5,0.0,-0.06,0.0,0.0,0.01,0.5,1.0,18,1.0
OSW-74,-0.15,0.22,14.0,-0.07,0.1,11.3,-0.06,-0.06,0.0,0.0,-0.06,0.45,0.98,10,1.0
CWH-75,-0.02,0.16,57.0,-0.02,0.16,50.2,-0.02,0.0,0.0,0.0,0.02,0.6,0.7,21,1.0
PAT-75,0.25,0.33,46.0,0.17,0.19,23.7,0.13,0.14,0.0,0.0,0.13,0.2,1.0,38,1.0
SAN-75,0.03,0.06,182.0,0.03,0.05,164.5,0.03,0.02,-0.03,0.0,0.02,1.0,1.0,73,1.0
UKL-75,-0.1,0.06,4.0,-0.09,0.05,4.0,-0.05,-0.06,0.0,0.0,0.0,1.0,1.0,3,1.0
WEE-75,0.01,0.07,274.0,0.02,0.09,252.4,0.0,0.02,0.0,0.0,0.0,0.65,1.0,115,1.0
ALC-76,0.11,0.34,141.0,0.04,0.16,96.1,0.01,0.03,0.0,0.0,-0.01,0.4,0.95,35,1.0
BPE-76,-0.01,0.06,79.0,-0.01,0.05,66.2,0.0,-0.01,0.0,0.0,0.0,0.75,1.0,33,1.0
GAH-76,0.15,0.0,1.0,0.15,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,1.0,2,1.0
GHU-76,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
GRA-76,-0.04,0.1,120.0,-0.03,0.08,106.4,0.0,-0.01,0.0,0.0,0.0,0.75,1.0,95,1.0
SSG-76,-0.02,0.05,4.0,-0.02,0.04,3.8,-0.01,-0.03,0.0,0.0,0.01,1.0,1.0,4,1.0
THS-76,0.05,0.1,3.0,0.06,0.11,3.0,0.01,0.01,0.0,0.0,0.0,0.55,1.0,5,1.0
VB1-76,-0.34,0.22,4.0,-0.32,0.21,3.8,0.0,0.0,0.0,0.0,0.0,0.3,0.75,1,1.0
VB2-76,0.08,0.12,4.0,0.05,0.1,3.5,0.02,0.02,0.0,0.0,0.02,0.55,0.95,1,1.0
VDB-76,-0.16,0.14,8.0,-0.07,0.02,6.5,-0.07,-0.07,0.0,0.0,-0.06,0.8,0.8,2,1.0
VEV-76,-0.08,0.11,0.0,-0.08,0.11,2.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,2,1.0
WEE-76,0.01,0.14,41.0,-0.0,0.12,25.8,-0.01,-0.03,0.0,0.0,-0.03,0.4,1.0,62,1.0
ZAL-76,0.0,0.0,0.0,0.0,0.03,0.0,-0.02,-0.02,0.0,0.0,-0.03,1.0,1.0,1,1.0
AAB-77,-0.12,0.08,8.0,-0.13,0.08,7.9,-0.07,-0.07,0.0,0.0,0.0,0.8,0.9,1,1.0
ANG-77,0.09,0.37,17.0,0.01,0.11,10.4,0.0,-0.02,0.0,0.0,-0.02,0.35,1.0,10,1.0
ARB-77,0.02,0.14,9.0,0.01,0.14,8.5,0.0,0.01,0.0,0.0,0.0,0.3,1.0,13,1.0
DIS-77,0.09,0.13,13.0,0.06,0.08,10.4,0.05,0.09,0.0,0.0,0.05,0.8,0.9,2,1.0
GBD-77,-0.07,0.24,92.0,-0.07,0.21,69.3,-0.01,0.02,-0.07,0.07,0.06,0.35,0.8,46,1.0
HUC-77,0.02,0.12,101.0,0.01,0.09,93.6,0.0,0.0,-0.01,0.0,0.0,0.65,1.0,171,1.0
KOR-77,0.05,0.06,58.0,0.07,0.07,53.9,0.06,0.06,0.02,0.0,0.04,0.95,1.0,39,1.0
KRT-77,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
SER-77,-0.21,0.11,3.0,-0.21,0.11,3.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
SSJ-77,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
VBE-77,0.08,0.08,5.0,0.08,0.08,5.0,0.07,0.03,0.0,0.0,0.05,0.55,1.0,5,1.0
VDB-77,0.09,0.26,10.0,0.03,0.04,6.0,0.01,0.0,0.0,0.0,0.01,0.8,1.0,5,1.0
VIG-77,0.05,0.13,52.0,0.04,0.08,43.2,0.04,0.02,-0.0,0.0,0.04,0.7,0.9,41,1.0
