Dataset,Bibcode,Text
BDB-93,1993A&AS..100..583B,"Boisson, C., Durret, F., Balkowski, C., Proust, D. 1993, A&AS 100, 583"
MAO-93,1993AJ....105..510M,"Mateo, M., Olszewski, E.W., Pryor, C., Welch, D.L., Fisher, P. 1993 AJ 105, 510"
BOG-94,1994A&A...283...12B,"Boselli, A., Gavazzi, G. 1994, A&A 283, 12"
GOH-94,1994A&AS..104..179G,"Goudfrooij, P., Hansen, L., Jorgensen, H.E., Norgaard-Nielsen, H.U., de Jong, T., van den Hoek, L.B. 1994, A&AS 104, 179"
JCP-94,1994ApJS...91..507d,"de Juan, L., Colina, L., Perez-Fournon, I. 1994, ApJS 91, 507"
PON-94,1994A&AS..103..573P,"Poulain, P., Nieto, J.-L. 1994, A&AS 103, 573"
CCR-90,1990A&AS...86..429C,"Caon, N., Capaccioli, M., Rampazzo, R. 1990, A&AS 86, 429"
CCO-94,1994A&AS..106..199C,"Caon, N., Capaccioli, M., D'Onofrio, M. 1994, A&AS 106, 199"
ESO-LV,1989..............L,"Lauberts, A., Valentjin, E., 1989, ESO Photometric catalogue, Cat. <VII/115>"
OHP001,1992...............,T120-RCA3 11.05.92 Relative calibration B and V
OHP002,1992...............,T120-RCA3 04.09.92 Relative calibration B
OHP003,1992...............,T120-RCA3 28.09.92 NGC818 V ZERO-PT CALIBRATED FROM BT(RC3) +/- 0.2
OHP004,1992...............,T120
OHP005,1992...............,T120
OHP006,1992...............,T120
OHP007,1993...............,"T120-TK512 10-12.03.93 Relat calib, except R: N6137 N3599 N5444 absolute"
OHP008,1992...............,T120-TK512 31.12.92 N1282+ and N2320:rel cal in B V; the rest: estimate
OHP009,1992...............,T120-RCA1 23.01.92
OHP010,1993...............,T120-TK512 Obs by S. Santran 29.07 to 02.08.93 (B V R I)
OHP011,--,--
OHP012,1994...............,T120-TK512 Feb 1994
OHP013,1994...............,T120-TK512 Feb 1994
OHP014,1995...............,"T120-TK512 Jan 1995, photometric conditions"
OHP015,1994...............,T120-TK512 Jan 1994 dE
OHP016,1996...............,T120-TK1024 Apr and June 1996 (reduction by G. Maubon)
BUT-87,1995AJ....109..517B,"Buta, R., Unpublished, quoted in Buta et al. 1995, AJ 109, 517"
COR-87,1995AJ....109..517B,"Corwin, H., Unpublished, quoted in Buta et al. 1995, AJ 109, 517"
FRU-87,1996AJ....111..722F,"Frueh, M.L., Corwin, H.G., de Vaucouleurs, G., Buta, R. 1996, AJ 111, 722"
GAH-86,1986AJ.....92..557G,"Gallagher, J.S., Hunter, D.A. 1986, AJ 92, 557"
GAH-87,1987AJ.....94...43G,"Gallagher, J.S., Hunter, D.A. 1987, AJ 94, 43"
HIG-87,1995AJ....109..517B,"Higdon, J., Unpublished, quoted in Buta et al. 1995, AJ 109, 517"
MEI-85,1985A&A...145..135M,"Meisels, A. 1985 A&A 145, 135"
MIT-87,1989AJ.....98.1175M,"Mitra, S. 1989 AJ 98, 1175"
ODE-87,1995Thesi.........O,"Odewahn, S., PhD thesis, University of texas (quoted in AJ 109, 517)"
SCH-87,1987ApJS...64..411S,"Schweizer, L.Y. 1987 ApJS 64, 411"
TBA-89,1989ApJ...347..214T,"Thomsen, B., Baum, W.A. 1989, ApJ 347, 214"
MAW-88,1988MNRAS.231.1065M,"Machalski, J., Wisniewski, W.Z. 1988, MNRAS 231, 1065"
PEC-94,1994A&AS..108..461P,"Penereiro, J.C., de Carvalho, R.R., Djorgovski, S., Thompson, D. 1994 AAS 108, 461"
RE1-94,1994MNRAS.269..713R,"Reid, N., Boisson, C., Sansom, A.E. 1994, MNRAS 269, 713"
KL1-90,1993A&AS...98..229P,"Prugniel, Ph., Bica, E., Klotz, A., Alloin, D. 1993 A&AS 98, 229"
KL2-90,1993A&AS...98..229P,"Prugniel, Ph., Bica, E., Klotz, A., Alloin, D. 1993 A&AS 98, 229"
KL3-90,1993A&AS...98..229P,"Prugniel, Ph., Bica, E., Klotz, A., Alloin, D. 1993 A&AS 98, 229"
KL4-90,1993A&AS...98..229P,"Prugniel, Ph., Bica, E., Klotz, A., Alloin, D. 1993 A&AS 98, 229"
KL5-90,1993A&AS...98..229P,"Prugniel, Ph., Bica, E., Klotz, A., Alloin, D. 1993 A&AS 98, 229"
KL6-90,1993A&AS...98..229P,"Prugniel, Ph., Bica, E., Klotz, A., Alloin, D. 1993 A&AS 98, 229"
BAS-85,1985ApJS...57..423B,"Bothun, G.D., Aaronson, M., Schommer, B., Mould, J. et al. 1985 ApJS 57, 423"
BEJ-85,1985A&A...149..475B,"Bergvall, N., Johanssan, L. 1985 A&A 149, 475"
