Dataset,Bibcode,Text
WHI-36,1936ApJ....83..424W,"Whitford, A.E. 1936, ApJ 83, 424"
STW-37,1937ApJ....86..247S,"Stebbins, J., Whitford, A.E., 1937 ApJ, 86 247"
BIG-51,1951AnAp...14..319B,"Bigay, J.H. 1951, Ann. d'Astrophys. 14, 319"
STW-52,1952ApJ...115..284S,"Stebbins, J., Whitford, A.E. 1952, ApJ 115, 284"
BIG-53,1953AnAp...16..133B,"Bigay, J.H., Dumont, R., Lenouvel, F., Lunel, M. 1953, Ann. d'Astrophys. 16, 133"
BIG-54,1954AnAp...17...78B,"Bigay, J.H., Dumont, R. 1954, Ann. d'Ap. 17, 78"
PET-54,1954ApJ...120..413P,"Pettit, E. 1954, ApJ 120, 413"
BIG-55,1955AnAp...18..141B,"Bigay, J.H., Dumont, R. 1955, Ann. d'Ap. 18, 141"
HII-58,1958ApJ...128..443H,"Hiltner, W.A., Iriarte, B. 1958 ApJ 128, 443"
HOL-58,1958MeLu2.136....1H,"Holmberg, E., 1958, Medd. Lunds Obs. II, 136"
GDV-59,1959LowOB...4..105D,"de Vaucouleurs, G., 1959, Lowell Obs. Bull., 4, n. 97 & n 98"
HO1-61,1961AJ.....66..249H,"Hodge, P. 1961, AJ 66, 249"
HO2-61,1961AJ.....66..384H,"Hodge, P. 1961, AJ 66, 384"
ODE-61,1961AJ.....66..558M,"O'Dell, C.R., quoted by Minkowski, R. 1961, AJ 66, 558"
TIF-61,1961AJ.....66..390T,"Tifft, W.G. 1961, AJ 66, 390"
HOD-62,1962AJ.....67..125H,"Hodge, P. 1962, AJ 67, 125"
HOD-63,1963AJ.....68..237H,"Hodge, P. 1963, AJ 68, 237"
HO2-63,1963AJ.....68..468H,"Hodge, P. 1963, AJ 68, 468"
SAN-63,1963ApJ...138..863S,"Sandage, A.R. 1963, ApJ 138, 863"
TIF-63,1963AJ.....68..302T,"Tifft, W.G. 1963, AJ 68, 302"
BIG-64,1964AnAp...27..170B,"Bigay, J.H. 1964, Ann. d'Astrophys., 27,170"
HOD-64,1964AJ.....69..438H,"Hodge, P. 1964, AJ 69, 438"
HO2-64,1964AJ.....69..853H,"Hodge, P. 1964, AJ 69, 853"
WEB-64,1964AJ.....69..442W,"Webb, C.J. 1964, AJ 69, 442"
GVA-65,1965PASP...77..272d,"de Vaucouleurs, G., Ables, H. 1965, PASP 77, 272"
KIM-65,1965ApJ...142.1376K,"Kinman, T. D. 1965, ApJ 142, 1376"
JOH-66,1966ApJ...143..187J,"Johnson, H.L. 1966, ApJ 143, 187"
SHO-66,1966MNRAS.131..351S,"Shobbroock, R.R. 1966, MNRAS 131, 351"
COR-67,1967Thesi.........C,"Corwin, H.G.jr. 1967, Ms. Sc. Thesis, Univ. of Kansas,"
FIT-67,1967ApJ...150L..67F,"Fitch, W. S., Pacholczyk, A. G., Weymann, R. J. 1967, ApJ 150, L67"
HOD-67,1967ApJ...148..719H,"Hodge, P. 1967, ApJ 148, 719"
SAN-67,1967ApJ...150L.177S,"Sandage, A.R. 1967, ApJ 150, L177"
WAC-67,1967ApJ...147..416W,"Walker, M. F., Chincarini, G. 1967, ApJ 147, 416 & ApJ 147, 407 & ApJ 149, 487"
BAR-68,1968Thesi.........B,"Barnes, T. G. 1968, Thesis, David Dunlap Obs., Univ. Toronto,"
DIB-68,1968ATsir.481....2D,"Dibai, E. A., et al. 1968, Astron. Circ. (USSR) n. 481,"
MCB-68,1968AJ.....73.1008M,"Mc Clure, R.D., van den Bergh, S. 1968, AJ 73, 1008"
ROB-68,1968AJ.....73..442R,"Rood, H.J., Baum, W.A. 1968, AJ 73, 442"
VVS-68,1968MNRAS.139..425d,"de Vaucouleurs, G., de Vaucouleurs, G., Solheim, E. 1968, MNRAS 139, 425 (Appendix)"
WIK-68,1968AJ.....73..866W,"Wisnienski, W.A., Kleinmann, D.E. 1968, AJ 73, 866"
DDV-69,1969PASP...81..637D,"Dupuy, D.L., de Veny, J.B. 1969, PASP 81, 637"
DIB-69,1969AZh....46..420D,"Dibai, E.A., Zaitseva, G.V., Lyutyi, V.M. 1969, Astron. Zh. 46, 420"
FAA-69,1969PASP...81..685F,"Fairall, A., Angione, R.J. 1969, PASP 81, 685"
HOD-69,1969SAOSR.306....3H,"Hodge, P., 1969, S.A.O. special report, 306, 3"
KWE-69,1969Afz.....5..113W,"Weedman, D.W., Khachikian, E.Y. 1969, Astrofizika 5, 113"
SBN-69,1969ApJ...157...55S,"Sandage, A.R., Becklin, E.E., Neugebauer, G. 1969, ApJ 157, 55"
TIF-69,1969AJ.....74..354T,"Tifft, W.G. 1969, AJ 74, 354"
WEW-69,1969AJ.....74..335W,"Westerlund, B.E., Wall, J.V. 1969, AJ 74, 335"
DIB-70,1970Afz.....6..350D,"Dibai, E.A. 1970, Astofizika 6, 350"
DUP-70,1970AJ.....75.1143D,"Dupuy, D.L. 1970, AJ 75, 1143"
LAS-70,1970AJ.....75...21L,"Lasker, B.M. 1970, AJ 75, 21"
NEF-70,1970MNRAS.149...45N,"Neff, J.S. 1970, MNRAS 149, 45"
PRS-70,1970AJ.....75..695P,"Peterson, B.A. 1970, AJ 75, 695"
SAR-70,1970ApJ...160..405S,"Sargent, W.L.W. 1970, ApJ 160, 405"
ABL-71,1971PUSNO..20....4A,"Ables, H. 1971, Publ. U. S. Naval Obs., XX, Part IV,"
KUB-71,1971ApJ...170L...7K,"Kunkel, W.E., Bradt, H.V. 1971, ApJ 170, L7"
LYN-71,1971ApJ...168L..87L,"Lynds, R. 1971, ApJ 168, L87"
AAB-72,1972AJ.....77..642A,"Ables, H., Ables, P.G. 1972, AJ 77, 642"
ARA-72,1972Afz.....8..473A,"Arakelian, M.A., Dibai, E.A., Lyutyi, V.M. 1972, Astrofizika 8, 473"
SAN-72,1972ApJ...176...21S,"Sandage, A.R. 1972, ApJ 176, 21"
SWS-72,1972ApL....11...21S,"Smith, M.G., Weedman, D.W., Spinrad, H. 1972, Astrophys. Lett. 11, 21"
VDB-72,1972..............V,"van den Bergh, S., 1972, in ''The role of Schmidt Telescopes in Astropnomy'', Ham. Obs. Publ., 67"
AND-73,1973MNRAS.162p..35G,"Andrew, P.J., 1973, quoted by Glass, I. S., MNRAS 162, 35p"
DIS-73,1973ApJ...181L..55D,"Disney, M.J. 1973, ApJ 181, L55"
FRE-73,1973Priv..........F,"Freeman, K., 1973, Longo and De Vaucouleurs (LdV) catalogue: private communication"
HOD-73,1973ApJ...182..671H,"Hodge, P. 1973, ApJ 182, 671"
PEN-73,1973MNRAS.162..359P,"Penston, M.V. 1973, MNRAS 162, 359"
SAN-73,1973ApJ...183..711S,"Sandage, A.R. 1973, ApJ 183, 711"
TIF-73,1973PASP...85..283T,"Tifft, W.G. 1973, PASP 85, 283"
WEE-73,1973ApJ...183...29W,"Weedman, D.W. 1973, ApJ 183, 29"
ALC-74,1974A&AS...13..305A,"Alcaino, G. 1974, A&AS 13, 305"
ANG-74,1974Priv..........A,"Angione, R.J. 1974, Longo and De Vaucouleurs (LdV) catalogue: private communication"
ARS-74,1974ATsir.814....6A,"Arkhipova, V.P., Saveljeva, M.V. 1974, Astron. Circ. (USSR), 814"
GRA-74,1974Obs....94..632G,"Graham, J. 1974, Observatory 94, 290"
KAR-74,1974Afz....10..632K,"Karachentseva, V.E., Kostyuk, I.P. 1974, Astrofizika 10, 632"
KIM-74,1974PASP...86..336K,"Kinman, T.D., Mohaffey, C.T. 1974 PASP 86, 336"
KOS-74,1974ApJ...193...19K,"Kormendy, J., Sargent, W.L.W. 1974, ApJ 193, 19"
KWE-74,1974ApJ...192..581K,"Khachikian, E.Y., Weedman, D.W. 1974, ApJ 192, 581"
OSW-74,1974ApJ...189..187O,"Osmer, P.S., Smith, M.G., Weedman, D.W. 1974, ApJ 189, 187"
WEC-74,1974ApJ...188....1W,"Weedman, D.W., Carswell, R.F. 1974, ApJ 188, 1"
CJT-75,1975PASP...87..123C,"Craine, E.R., Johnson, K., Tapia, S. 1975, PASP 87, 123"
PAT-75,1975MmSAI..46..199P,"Pacholczyk, A.G., Tarenghi, M. 1975, Mem. S. A. Italia 46, 199"
SAN-75,1975ApJ...202..563S,"Sandage, A.R. 1975, ApJ 202, 563"
SA2-75,1975PASP...88..367S,"Sandage, A. 1975, PASP 88, 367"
WEE-75,1975ApJ...195..587W,"Weedman, D.W. 1975, ApJ 195, 587"
ALC-76,1976A&AS...26..261A,"Alcaino, G. 1976, A&AS 26, 261"
BPE-76,1976Obs....96...61B,"Bucknell, M.F., Peach, F.V. 1976, Observatory 96, 61"
GHU-76,1976ApJ...209..389G,"Gallagher, J.S., Hudson, H.S. 1976, ApJ 209, 389"
GRA-76,1976AJ.....81..681G,"Graham, J. 1976, AJ 81, 681"
SAN-76,1976PASP...88..367S,"Sandage, A.R. 1976, PASP 88, 367"
SER-76,1976Ap&SS..39..477S,"Sersic, J.L. 1976, Astrophys. and Sp. Sci. 39,477"
SSG-76,1976ApJ...204..684S,"Strom, S.E., Strom, K.M., Goad, J.W., Vrba, F.J., Rice, W. 1976, ApJ 204, 684"
TCJ-76,1976ApJ...203..291T,"Tapia, S., Craine, E.R., Johnson, K. 1976, ApJ 203, 291"
THS-76,1976ApJ...208..650T,"Theys, J.C., Speigel, E.A. 1976, ApJ 208, 650"
VB1-76,1976ApJ...208..673V,"van den Bergh, S. 1976, ApJ 208, 673"
VB2-76,1976ApJ...210L..63V,"van den Bergh, S. 1976, ApJ 210, L63"
VDB-76,1976AJ.....81..795V,"van den Bergh, S. 1976, AJ 81, 795, 797"
VEV-76,1976A&AS...27..287V,"Veron, M., Veron, P. 1976, A&AS 27, 287"
WEE-76,1976ApJ...203....6W,"Weedman, D.W. 1976, ApJ 203, 6"
WEW-76,1976A&A....46..327W,"West, R. 1976, A&A 46, 327"
ZAL-76,1976PAZh....2..323Z,"Zasov, A.V., Lyutyi, V.M. 1976, Pis'ma Zh. 2, 323"
AAB-77,1977ApJS...34..245A,"Ables, H.D., Ables, P.G. 1977, ApJS 34, 245"
ANG-77,1977Priv..........A,"Angione, R.J. 1977, Longo and De Vaucouleurs (LdV) catalogue: private communication,"
ARB-77,1977A&A....61..493A,"Ardeberg, A., Bergvall, N. 1977, A&A 61, 493"
DIS-77,1977A&A....60...43D,"Disney, M.J., Pottash, S. 1977, A&A 60, 43"
GAH-76,1977PASP...88..824G,"Gallagher, J.S., Hudson, H.S. 1977, PASP 88, 824"
HHE-77,1977AJ.....82..674H,"Huchra, J, Hoessel, J., Elias, J. 1977, AJ 82, 674"
HUC-77,1977ApJS...35..171H,"Huchra, J.P. 1977, ApJS 35, 171"
KOR-77,1977ApJ...214..359K,"Kormendy, J. 1977, ApJ 214, 359"
KRT-77,1977AJ.....82..879K,"Kinman, T.D., Rubin, V.C., Thonnard, N., Ford, W.K., Peterson, C.J. 1977, AJ 82, 879"
MAS-77,1977PASP...89...13M,"Massey, P. 1977, PASP 89, 13"
SER-77,1977A&A....59...19S,"Sersic, J.L., Bajaja, E., Colomb, R. 1977, A&A 59, 19"
VBE-77,1977PASP...89..746v,"van den Bergh, S. 1977, PASP 89, 746"
VDB-77,1977ApJ...212..317v,"van den Bergh, S. 1977, ApJ 212, 317"
VIG-77,1977A&A....59..317V,"Visvanathan, N., Griersmith, D. 1977, A&A 59, 317"
BFW-78,1978ApJ...221..776B,"Bohuski, T.J., Fairall, A., Weedman, D.W. 1978, ApJ 221, 776"
DAK-78,1978ApJ...225..776D,"Davidson, K., Kinman, T.D. 1978, ApJ 225, 776"
DDT-78,1978SvA....22..536D,"Dibai, E.A., Doroshenko, V.T., Terebizh, V.Y. 1978, Sov. A.J. 22, 536"
ESO-78,1978A&AS...33..243B,"Bergvall, N. 1978, A&AS 33, 243"
GRD-78,1978Obs....98..166G,"Green, M.R., Dixon, K.L. 1978, Observatory 98, 166"
KEE-78,1978AJ.....83....1K,"Keel, V.C., Weedman, D.W. 1978, AJ 83, 1"
LBE-78,1978A&AS...35...55L,"Lauberts, A., Bergvall, N., Ekman, A.B.G., Westerlund, B.E. 1978, A&AS 35, 55"
MIM-78,1978ApJ...220...19M,"Miller, H.R., McGimsey, B.Q. 1978, ApJ 220, 19"
MPG-78,1978MNRAS.184p..15M,"Martin, W.L., Penfold, J.E., Glass, I.S. 1978, MNRAS 184, 15P"
OPO-78,1978ApJ...224...22O,"O'Dell, S.L., Puschell, J.J., Stein, W.A., Owen, F., et al. 1978, ApJ 224, 22"
OPS-78,1978ApJ...219..818O,"O'Dell, S.L., Puschell, J.J., Stein, W.A., et al. 1978, ApJ 219, 818"
OPW-78,1978ApJS...38..267O,"O'Dell, S.L., Puschell, J.J., Stein, W.A., Warner, J.W. 1978, ApJS 38, 267"
PER-78,1978ApJ...226...75P,"Peterson, C.J. 1978, ApJ 226, 75"
PUS-78,1978PASP...90..652P,"Puschell, J.J. 1978, PASP 90, 652"
RFS-78,1978ApJ...224..782R,"Rubin, V.C., Ford, W.K., Strom, K.M., Strom, S.E., Romanishin, W. 1978, ApJ 224, 782"
SCW-78,1978PASP...90..393S,"Schwartz, R.D. 1978, PASP 90, 393"
SS1-78,1978AJ.....83...73S,"Strom, K.M., Strom, S.E. 1978, AJ 83, 73"
SS2-78,1978AJ.....83..732S,"Strom, S.E., Strom, K.M. 1978, AJ 83, 732"
SS3-78,1978AJ.....83.1293S,"Strom, K.M., Strom, S.E. 1978, AJ 83, 1293"
SVI-78,1978ApJ...223..707S,"Sandage, A.R., Visvanathan, N. 1978, ApJ 223, 707"
TOM-78,1978SvA....22..540T,"Tomov, A.H. 1978, Soviet A. J. 22, 540 (Astron. Zh., 55, 944)"
TTH-78,1978ApJ...224..796T,"Thompson, L.A., Theys, J.C. 1978, ApJ 224, 796"
TWG-78,1978PASP...90..644T,"Thompson, L.A., Welker, W.J., Gregory, S.A. 1978, PASP 90, 644"
WDA-78,1978A&A....65..151W,"West, R., Danks, A.C., Alcaino, G. 1978, A&A 62, L13, A&A 65, 151"
DOR-79,1979SvAL....5..305D,"Doroshenko, V.T., Terebizh, V.Y, 1979, Sov. Ast. Lett. 5, 305"
DOT-79,1979A&AS...37..519D,"Dottori, H.A. 1979, A&AS 37, 519"
FOW-79,1979MNRAS.189...79F,"Fosbury, R.A.E., Wall, J.V. 1979, MNRAS 189, 79"
FRE-79,1979A&A....76..230F,"Freeman, K. 1979, A&A 76, 230"
GAL-79,1979AJ.....84.1281G,"Gallagher, J.S. 1979, AJ 84, 1281"
HUC-79,1979AJ.....84..331H,"Huchra, J.P., Schild, R., Davis, M. 1979, AJ 84, 331"
KIN-79,1978PASJ...31..647K,"Kodaira, K., Iye, M., Nishimura, S. 1978, PASJ 31, 647"
LHC-79,1979MNRAS.188..285L,"Longmore, A.J., Hawarden, T.G., Cannon, R.D. et al. 1979, MNRAS 188, 285"
LOS-79,1979Priv..........L,"Longmore, A.J., Sharpless, R.M. 1979, Longo and De Vaucouleurs (LdV) catalogue: private communication"
LYU-79,1979SvA....23..518L,"Lyutyi, V.M. 1979, Sov. A. J. 23, 518"
MI2-79,1979ApJ...227...52M,"Miller, H.R. 1979, ApJ 227, 52"
MIL-79,1979PASP...91..624M,"Miller, H.R. 1979, PASP 91, 624"
PFA-79,1979ApJS...39...61P,"Persson, S.E., Frogel, J.A., Aaronson, M. 1979, ApJS 39, 61"
QUH-79,1979A&A....79...70Q,"Quintana, H., Havlen, R.J. 1979, A&A 79, 70"
ROG-79,1979ApJ...231..320R,"Rose, J.A., Graham, J. 1979, ApJ 231, 320"
SS4-79,1979AJ.....84.1091S,"Strom, S.E., Strom, K.M. 1979, AJ 84, 1091"
TOM-79,1979SvA....23..535T,"Tomov, A.H. 1979, Sov AJ 23, 535 =Astron. Zh. 56, 949"
WEG-79,1979Ap&SS..60...15W,"Wegner, G. 1979, Astrophys. Sp. Sci. 60, 15"
WWA-79,1979MNRAS.187..109W,"Wilson, A.S., Ward, M.J., Axon, D.J., Elvis, M., Meurs, E.J.A. 1979 MNRAS 187, 109"
BIP-80,1980A&AS...42...69B,"Bigay, J.H., Paturel, G. 1980, A&AS 42, 69"
COR-80,1980MNRAS.191....1C,"Corwin, H.G.jr. 1980, MNRAS 191, 1"
GAW-80,1980ApJ...241..567G,"Gallagher, J.S., Wirth, A. 1980 ApJ 241, 567"
GFB-80,1980ApJ...235..743G,"Gallagher, J.S., Faber, S., Burstein, D. 1980, ApJ 235, 743"
GRI-80,1980AJ.....85..789G,"Griersmith, D. 1980, AJ 85, 789"
HUC-80,1980ApJS..238L..11H,"Huchra, J.P. 1980, ApJS 238, L11"
LER-80,1980Natur.284..410L,"Lebofsky, M.J., Rieke, G.H. 1980, Nature 284, 410"
MWW-80,1980ApJ...241...74M,"Mufson, S.L., Wisniewski, W.Z., Wood, K. et al. 1980 ApJ 241, 74"
PEH-80,1980ApJ...242..913P,"Peterson, C.J., Huntley, J.M. 1980, ApJ 242, 913"
PER-80,1980AJ.....85..226P,"Peterson, C.J. 1980, AJ 85, 226"
PES-80,1980PASP...92..397P,"Peterson, C.J. 1980, PASP 92, 397"
PUS-80,1980ApJ...237..331P,"Puschell, J.J., Stein, W.A. 1980, ApJ 237, 331"
ROM-80,1980Thesi........1R,"Romanishin, W., 1980, Ph. D., Univ. Arizona"
ROV-80,1980ATsir1128....3R,"Romanov, A.M. 1980, Ast. Tsirk. 1128, 3"
SCH-80,1980ApJ...237..303S,"Schweizer, F. 1980, ApJ 237, 303"
SMY-80,1980MNRAS.190..631S,"Smyth, R.J., Stobie, R.S. 1980, MNRAS 190, 631"
TOM-80,1980SoByu..52....3V,"Vardanjan, P.A., Tomov, A.H. 1980, Soobshch. Byurakan 52, 3"
VAH-80,1980A&AS...39..395V,"Vanderriest, C., Herpe, G. 1980, A&AS 39, 395"
WGS-80,1980..............W,"West, R., Grosbol, P., Sterken, C. 1980, ESO preprint, 101"
AAM-81,1981PASP...93...20A,"Aaronson, M., Mould, J. 1981, PASP 93, 20"
BDK-81,1981ATsir1157....8B,"Babkin, I.G., Didenko, A.W., Khonin, G.W. 1981, Ast. Tsirk. 1157, 8"
BEL-81,1981A&A....95..266B,"Bergvall, N., Ekman, A.B.G., Lauberts, A. 1981, A&A 95, 266"
BOR-81,1981ApJS...46..177B,"Boronson, T. 1981, ApJS 46, 177"
BUH-81,1981AJ.....86..523B,"Burkhead, M.S., Hutter, D.J., 1981 AJ 86, 523"
CTB-81,1981A&A....96..106C,"Chincarini, G., Tarenghi, M., Bettis, C. 1981, A&A 96, 106"
DAA-81,1981A&A....98..223D,"Danks, A.C., Alcaino, G. 1981, A&A 98, 223"
DIB-81,1981PAZh....7..295D,"Dibai, E.A., Doroshenko, V., Postnov, K.A. 1981, Pis'ma Astron. Zh. 7,295"
DOT-81,1981Afz....17..667D,"Doroshenko, V.T., Terebizh, V.Y. 1981, Astrofizika 17, 667 (= Astrophysics 17, 358)"
ESO-81,1981A&AS...46...57W,"West, R., et al. 1981, A&AS 46, 57"
GHK-81,1981AJ.....86..344G,"Gallagher, J.S., Hunter, D.A., Knapp, G.R. 1981, AJ 86, 344"
HLG-81,1981MNRAS.196..175H,"Hawarden, T.G., Longmore, A.J., Goss, W.M. et al. 1981 MNRAS 196, 175"
HUF-81,1981AJ.....86.1585H,"Hutter, D.J., Mufson, S.L. 1981, AJ 86, 1585"
KID-81,1981ApJ...243..127K,"Kinman, T.D., Davidson, K. 1981, ApJ 243, 127"
KIH-81,1981PASP...93..281K,"Kinman, T.D., Hintzen, P. 1981, PASP 93, 281"
LOS-81,1981ApJ...243...47L,"Ledden, J.E., O'Dell, S.L., Stein, W.A., Wisniewski, W.Z. 1981 ApJ 243, 47"
MOU-81,1981PASP...93...25M,"Mould, J. 1981, PASP 93, 25"
MUH-81,1981ApJ...248L.161M,"Mufson, S.L., Hutter, D.J. 1981, ApJ 248, L161"
PFB-81,1981PASP...93..281P,"Peterson, B.A., Fricke, K., Biermann, P. 1981, PASP 93, 281"
PUH-81,1981AJ.....86...16P,"Puschell, J.J. 1981, AJ 86, 16"
THR-81,1981ApJ...248..439T,"Thuan, T.X., Romanishin, W. 1981, ApJ 248, 439"
VGM-81,1981A&A....96...78v,"van Genderen, A.M., Meurs, E.J.A 1981, A&A 96, 78"
WIR-81,1981AJ.....86..981W,"Wirth, A. 1981, AJ 86, 981"
ARK-82,1982SvA....26..129A,"Arkhipova, V.P. 1982, Sov. A. J. 26, 129"
BOT-82,1982Thesi........1B,"Bothun, G. 1982, Ph. D. Kitt Peak Nat. Obs.,"
BRM-82,1982ApJ...257...40B,"Bothun, G.D., Romanishin, W., Margon, B., Shommer, R.A., Chanan, G.A. 1982, ApJ 257, 40"
BRS-82,1982ApJ...253..526B,"Brosh, N., Shaviv, G. 1982, ApJ 253, 526 and Longo & De Vaucouleurs (LdV) catalogue: private comm."
BUT-82,1982ApJ....61..631B,"Buta, R. 1982, Longo and De Vaucouleurs (LdV) catalogue: private communication, and, 1986 ApJ 61, 631, and ApJS 64, 383 (N6300) (1987ApJS...64..383B)"
COR-82,1982Priv..........C,"Corwin, H.G.jr., 1982, Longo & De Vaucouleurs (LdV) catalogue: private communication"
FBS-82,1982MNRAS.201..991F,"Fosbury, R.A.E., Bocksenberg, A., Snijders, M.A.J. et al. 1982 MNRAS 201, 991"
FMA-82,1982MNRAS.199..633F,"Few, J.M.A., Madore, B.F., Arp, H.C. 1982, MNRAS 199, 633"
GAV-82,1983Priv..........D,"de Vaucouleurs G., de Vaucouleurs A., Mount Stromlo and Siding Spring Observatories, 1983, private communication"
GHJ-82,1982AJ.....87.1106G,"Griersmith, D., Hyland, A.R., Jones, B. 1982, AJ 87, 1106"
GRI-82,1982AJ.....87..462G,"Griersmith,D. 1982, AJ 87, 462"
HOD-82,1982AJ.....87.1668H,"Hodge, P. 1982, AJ 87, 1668"
HUF-82,1982IUE82......189H,"Hutter, D.J., Mufson, S.L., et al. 1982, ""4 years IUE research"", NASA Conf. Pub. 2238, 189"
JET-82,1982ApJS...50..421J,"Jensen, E.B., Thuan, T.X. 1982, ApJS 50, 421"
MBB-82,1982ApJ...260L..37M,"Mould, J.R., Balick, B., Bothum, G., Aaronson, M. 1982 ApJ 260, L37"
MIC-82,1982A&AS...49..591M,"Michard, R., 1982, A&AS 49, 591"
MUH-82,1982IUE82......185M,"Mufson, S.L., Hutter, D.J., et al. 1982, 4 years IUE research, NASA Conf. Pub. 2238, 185"
PER-82,1982PASP...94..404P,"Peterson, C.J. 1982, PASP 94, 404"
RSM-82,1982Priv..........S,"Smyth, R.J., 1982, Longo & De Vaucouleurs (LdV) catalogue: private communication"
RSS-82,1982ApJ...258...77R,"Romanishin, W., Strom, S.E., Strom, K.M. 1982, ApJ 258, 77"
SAD-82,1984AJ.....89...34S,"Sadler, E. 1982, Ph. D., Mount Stromlo and Siding Spring Obs. AJ 89, 34"
SAD-82,1984AJ.....89...34S,"Sadler, E. 1984 AJ 89, 34"
SCH-82,1982ApJ...252..455S,"Schweizer, F. 1982, ApJ 252, 455"
STO-82,1982ApJS...48..395S,"Stone, R.P.S. 1982, ApJS 48, 395"
