ZAL-73  -0.09  0.23  25. -0.11  0.18  21.0 -0.12 -0.12  0.00  0.00 -0.03  0.30  0.90    8 1.00
ALC-74  -0.14  0.13  37. -0.15  0.10  30.6 -0.13 -0.12  0.00  0.00 -0.14  0.60  1.00   37 1.00
ANG-74   0.07  0.06   6.  0.06  0.03   4.2  0.06  0.00  0.00  0.00  0.01  0.80  1.00    3 1.00
ARS-74   0.20  0.28  17.  0.09  0.15  13.3  0.08  0.06  0.00  0.00  0.05  0.40  1.00   10 1.00
KAR-74   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    2 1.00
KWE-74   0.00  0.10  10. -0.01  0.11   9.5  0.00 -0.06  0.00  0.00  0.01  0.50  1.00   18 1.00
OSW-74  -0.15  0.22  14. -0.07  0.10  11.3 -0.06 -0.06  0.00  0.00 -0.06  0.45  0.98   10 1.00
CWH-75  -0.02  0.16  57. -0.02  0.16  50.2 -0.02  0.00  0.00  0.00  0.02  0.60  0.70   21 1.00
PAT-75   0.25  0.33  46.  0.17  0.19  23.7  0.13  0.14  0.00  0.00  0.13  0.20  1.00   38 1.00
SAN-75   0.03  0.06 182.  0.03  0.05 164.5  0.03  0.02 -0.03  0.00  0.02  1.00  1.00   73 1.00
UKL-75  -0.10  0.06   4. -0.09  0.05   4.0 -0.05 -0.06  0.00  0.00  0.00  1.00  1.00    3 1.00
WEE-75   0.01  0.07 274.  0.02  0.09 252.4  0.00  0.02  0.00  0.00  0.00  0.65  1.00  115 1.00
ALC-76   0.11  0.34 141.  0.04  0.16  96.1  0.01  0.03  0.00  0.00 -0.01  0.40  0.95   35 1.00
BPE-76  -0.01  0.06  79. -0.01  0.05  66.2  0.00 -0.01  0.00  0.00  0.00  0.75  1.00   33 1.00
GAH-76   0.15  0.00   1.  0.15  0.00   0.2  0.00  0.00  0.00  0.00  0.00  0.70  1.00    2 1.00
GHU-76   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    1 1.00
GRA-76  -0.04  0.10 120. -0.03  0.08 106.4  0.00 -0.01  0.00  0.00  0.00  0.75  1.00   95 1.00
SSG-76  -0.02  0.05   4. -0.02  0.04   3.8 -0.01 -0.03  0.00  0.00  0.01  1.00  1.00    4 1.00
THS-76   0.05  0.10   3.  0.06  0.11   3.0  0.01  0.01  0.00  0.00  0.00  0.55  1.00    5 1.00
VB1-76  -0.34  0.22   4. -0.32  0.21   3.8  0.00  0.00  0.00  0.00  0.00  0.30  0.75    1 1.00
VB2-76   0.08  0.12   4.  0.05  0.10   3.5  0.02  0.02  0.00  0.00  0.02  0.55  0.95    1 1.00
VDB-76  -0.16  0.14   8. -0.07  0.02   6.5 -0.07 -0.07  0.00  0.00 -0.06  0.80  0.80    2 1.00
VEV-76  -0.08  0.11   0. -0.08  0.11   2.0  0.00  0.00  0.00  0.00  0.00  0.80  1.00    2 1.00
WEE-76   0.01  0.14  41. -0.00  0.12  25.8 -0.01 -0.03  0.00  0.00 -0.03  0.40  1.00   62 1.00
ZAL-76   0.00  0.00   0.  0.00  0.03   0.0 -0.02 -0.02  0.00  0.00 -0.03  1.00  1.00    1 1.00
AAB-77  -0.12  0.08   8. -0.13  0.08   7.9 -0.07 -0.07  0.00  0.00  0.00  0.80  0.90    1 1.00
ANG-77   0.09  0.37  17.  0.01  0.11  10.4  0.00 -0.02  0.00  0.00 -0.02  0.35  1.00   10 1.00
ARB-77   0.02  0.14   9.  0.01  0.14   8.5  0.00  0.01  0.00  0.00  0.00  0.30  1.00   13 1.00
DIS-77   0.09  0.13  13.  0.06  0.08  10.4  0.05  0.09  0.00  0.00  0.05  0.80  0.90    2 1.00
GBD-77  -0.07  0.24  92. -0.07  0.21  69.3 -0.01  0.02 -0.07  0.07  0.06  0.35  0.80   46 1.00
HUC-77   0.02  0.12 101.  0.01  0.09  93.6  0.00  0.00 -0.01  0.00  0.00  0.65  1.00  171 1.00
KOR-77   0.05  0.06  58.  0.07  0.07  53.9  0.06  0.06  0.02  0.00  0.04  0.95  1.00   39 1.00
KRT-77   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  1.00  1.00    1 1.00
SER-77  -0.21  0.11   3. -0.21  0.11   3.0  0.00  0.00  0.00  0.00  0.00  0.85  1.00    1 1.00
SSJ-77   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    1 1.00
VBE-77   0.08  0.08   5.  0.08  0.08   5.0  0.07  0.03  0.00  0.00  0.05  0.55  1.00    5 1.00
VDB-77   0.09  0.26  10.  0.03  0.04   6.0  0.01  0.00  0.00  0.00  0.01  0.80  1.00    5 1.00
VIG-77   0.05  0.13  52.  0.04  0.08  43.2  0.04  0.02 -0.00  0.00  0.04  0.70  0.90   41 1.00
BFW-78  -0.16  0.02   2. -0.02  0.06  39.6  0.00  0.00  0.00  0.00  0.00  0.75  1.00   64 1.00
DAK-78   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  1.00  1.00    1 1.00
DDT-78   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.80  1.00    1 1.00
ESO-78   0.08  0.46 118.  0.02  0.25 103.6  0.02  0.02  0.00  0.00  0.01  0.20  1.00   60 1.00
GRD-78  -0.06  0.07  74. -0.06  0.07  72.1 -0.06 -0.08 -0.06 -0.05  0.00  1.00  1.00   17 1.00
KEE-78  -0.14  0.33  51. -0.12  0.14  35.5 -0.08 -0.09  0.00  0.00 -0.08  0.25  1.00   53 1.00
LBE-78   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    2 1.00
MPG-78   0.00  0.00   0. -0.01  0.08   6.9  0.00  0.00  0.00  0.00  0.00  0.65  1.00    2 1.00
OPO-78   0.08  0.23   5.  0.03  0.19   3.4  0.01  0.05  0.04  0.00 -0.02  0.30  0.80    2 1.00
OPW-78   0.22  0.21   9.  0.16  0.14   7.1  0.07  0.07  0.07  0.00  0.07  0.45  0.65    5 1.00
PER-78   0.08  0.11   9.  0.08  0.11   9.0  0.04  0.04  0.00  0.00  0.00  0.55  1.00    1 1.00
PUS-78   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.80  1.00    1 1.00
RFS-78   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    1 1.00
SS1-78   0.01  0.09  31. -0.00  0.19  23.8 -0.00  0.02 -0.02  0.00  0.07  0.35  1.00   25 1.00
SS2-78   0.05  0.13  11.  0.09  0.03  10.0  0.05  0.03  0.00  0.00  0.07  0.90  1.00   13 1.00
SS3-78  -0.01  0.08   8. -0.02  0.06   7.0  0.00 -0.02 -0.03  0.00 -0.01  0.80  1.00    9 1.00
SSW-78   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    2 1.00
SVI-78  -0.01  0.11 606. -0.02  0.05 492.8 -0.02  0.01  0.00  0.00  0.03  0.92  1.00  403 1.00
TOM-78   0.03  0.48  51. -0.02  0.31  28.2  0.00  0.03  0.00  0.00 -0.02  0.11  1.00   88 1.00
TTH-78   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    1 1.00
TWG-78   0.08  0.00   1.  0.08  0.00   1.0  0.00  0.00  0.00  0.00  0.00  0.85  1.00    8 1.00
WDA-78   0.00  0.00   0.  0.00  0.00   0.0  0.00  0.00  0.00  0.00  0.00  0.70  1.00    2 1.00
DOR-79   0.07  0.15  13. -0.01  0.16   8.6  0.00  0.00  0.02  0.00  0.02  0.45  0.70   38 1.00
DOT-79  -0.19  0.35  84. -0.22  0.30  64.9 -0.19 -0.23  0.00  0.00 -0.20  0.25  0.80   23 1.00
FOW-79   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.85  1.00    1 1.00
FRE-79  -0.01  0.01   2. -0.01  0.01   2.0  0.00  0.00  0.00  0.00  0.00  0.85  1.00    1 1.00
GAL-79   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    1 1.00
GRV-79  -0.32  0.12   6. -0.31  0.11   5.8 -0.07 -0.07  0.00  0.00 -0.07  0.60  0.65    1 1.00
HUC-79  -0.09  0.03   5. -0.05  0.03   5.0 -0.05 -0.07 -0.05  0.00 -0.05  1.00  1.00    5 1.00
KIN-79   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    5 1.00
LOS-79   0.01  0.04  40.  0.01  0.08  35.5  0.01  0.01  0.00  0.00 -0.01  0.45  1.00   26 1.00
LYU-79  -0.01  0.42  26. -0.11  0.43  19.4 -0.02  0.01  0.00  0.00 -0.04  0.30  0.45    3 1.00
MIL-79  -0.11  0.21   7. -0.20  0.12   4.7 -0.05 -0.05  0.00  0.00 -0.05  0.40  0.45    1 1.00
MI2-79  -0.21  0.36   6. -0.09  0.24   5.1 -0.05 -0.05  0.00  0.00 -0.05  0.20  1.00    1 1.00
PFA-79   0.03  0.04 280.  0.03  0.03 266.0  0.03  0.02 -0.02  0.00  0.02  1.00  1.00  106 1.00
QUH-79   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    5 1.00
ROG-79  -0.21  0.55   7. -0.16  0.55   3.0  0.00  0.00  0.00  0.00  0.00  0.25  1.00    8 1.00
TOM-79   0.06  0.29  22.  0.05  0.17  11.0  0.01 -0.03  0.00  0.00 -0.11  0.20  1.00   60 1.00
WEG-79   0.00  0.17 578.  0.01  0.04 462.3  0.00 -0.01  0.00  0.00  0.03  0.60  1.00  262 1.00
BIP-80  -0.04  0.19 192. -0.01  0.08 146.8  0.00 -0.02  0.00  0.00 -0.01  0.39  1.00   56 1.00
COR-80   0.00  0.03  10.  0.00  0.03   9.8  0.00 -0.01  0.00  0.00 -0.02  1.00  1.00   40 1.00
GFB-80   0.07  0.14   7.  0.04  0.14   4.7  0.06  0.04  0.04  0.00  0.00  0.40  0.85    4 1.00
GRI-80  -0.01  0.04 151. -0.01  0.03 147.5  0.00  0.00  0.00  0.00  0.02  1.00  1.00  251 1.00
HUC-80   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  1.00  1.00    1 1.00
LER-80   0.30  0.30   9.  0.18  0.20   4.2  0.05  0.05  0.05  0.00  0.00  0.25  0.60    4 1.00
MWW-80   0.15  0.18   5.  0.15  0.18   4.8  0.05  0.05  0.05  0.05  0.05  0.35  0.50    1 1.00
PEH-80   0.13  0.06   4.  0.13  0.06   4.0  0.05  0.05  0.00  0.00  0.00  0.95  0.95    1 1.00
PER-80   0.10  0.04   4.  0.10  0.04   4.0  0.05  0.05  0.00  0.00  0.00  1.00  1.00    1 1.00
PES-80  -0.07  0.22  40. -0.07  0.13  35.3 -0.07 -0.07  0.00  0.00  0.00  0.45  1.00   11 1.00
PUS-80   0.18  0.16   4.  0.14  0.15   3.2  0.05  0.05  0.05  0.00  0.05  0.35  1.00    2 1.00
ROM-80   0.05  0.23  23.  0.03  0.12  18.8  0.00  0.00 -0.04  0.00 -0.02  0.40  1.00   36 1.00
ROV-80   0.10  0.07   7.  0.09  0.06   6.6  0.05  0.02  0.02  0.00  0.03  0.80  1.00    8 1.00
SCH-80  -0.32  0.00   1.  0.00  0.00   0.0  0.00  0.00  0.00  0.00  0.00  0.85  1.00    1 1.00
SMY-80   0.00  0.02  48. -0.03  0.04  47.2 -0.03 -0.02 -0.03  0.00 -0.01  1.00  1.00   15 1.00
TOM-80   0.15  0.28  31.  0.02  0.09  13.4  0.01 -0.03  0.00  0.00 -0.01  0.25  1.00   60 1.00
AAM-81   0.08  0.04   8.  0.08  0.04   8.0  0.08  0.06  0.00  0.00  0.00  1.00  1.00    2 1.00
BDK-81   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    7 1.00
BEL-81   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    1 1.00
BOR-81  -0.14  0.25  28. -0.04  0.12  18.1 -0.02 -0.01  0.00  0.00  0.00  0.35  1.00   18 1.00
BUH-81   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.04  0.04  0.00  0.00  0.60  1.00    3 1.00
CTB-81   0.09  0.12   5.  0.11  0.13   4.2  0.05  0.03  0.00  0.00  0.00  0.45  1.00    8 1.00
DAA-81   0.05  0.17  13.  0.07  0.17  12.9  0.04  0.02  0.00  0.00 -0.02  0.35  1.00    9 1.00
DIB-81   0.39  0.42   6.  0.23  0.47   5.6  0.16  0.16  0.16  0.00  0.00  0.10  1.00   30 1.00
DOT-81   0.07  0.18  21.  0.05  0.17  19.9  0.05  0.06  0.05  0.00  0.06  0.40  0.90   34 1.00
ESO-81   0.08  0.18  56.  0.08  0.13  51.3  0.06  0.06  0.00  0.00  0.08  0.55  0.70   51 1.00
GHK-81   0.07  0.04   3.  0.07  0.04   2.8  0.00  0.00  0.00  0.00  0.00  0.85  1.00    1 1.00
HLG-81   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  1.00  1.00    1 1.00
HUF-81  -0.01  0.16   9. -0.02  0.17   8.6  0.00 -0.02 -0.01  0.08  0.00  0.45  0.55   23 1.00
KIH-81   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  1.00  1.00    5 1.00
MOU-81   0.03  0.13  18.  0.02  0.11  17.1  0.00 -0.02  0.00  0.00 -0.02  0.45  1.00   13 1.00
PFB-81   0.11  0.14  25.  0.13  0.13  20.3  0.10  0.04  0.00  0.00  0.04  0.35  1.00   36 1.00
THR-81   0.00  0.13  24.  0.03  0.06  19.2  0.01 -0.04 -0.02  0.00  0.04  0.90  1.00   19 1.00
VGM-81   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  0.75  1.00    1 1.00
WIR-81   0.19  0.18  12.  0.06  0.10   5.3  0.06  0.06  0.06  0.00  0.00  0.40  1.00   12 1.00
ARK-82   0.18  0.44  12.  0.17  0.23   9.6  0.02 -0.01  0.00  0.00 -0.00  0.20  0.65   18 1.00
BOT-82  -0.02  0.19 105. -0.03  0.08  96.0 -0.03 -0.02  0.00  0.00 -0.02  0.70  1.00  255 1.00
BUT-82   0.00  0.09  67.  0.00  0.10  68.9  0.00  0.01 -0.01  0.00  0.00  0.60  1.00    8 1.00
BRS-82   0.07  0.16  29.  0.07  0.07  22.0  0.07  0.04  0.00  0.00  0.10  0.75  1.00   14 1.00
COR-82  -0.03  0.17 160. -0.02  0.14 130.5 -0.03 -0.02  0.00  0.00 -0.03  0.35  0.85   80 1.00
FBS-82   0.00  0.00   0.  0.00  0.03   0.0  0.00  0.00  0.00  0.00  0.00  1.00  1.00    2 1.00
