MCG,n_MCG,OtherName,RAh,RAm,DE-,DEd,DEm,Mag,MajAxisIn,MinAxisIn,MajAxis,MinAxis,IntIn,IntOut,Incl
MCG+08-19-017,--,--,10,15.9,+,46,42,16.0,--,--,2.5,2.0,--,1,1
MCG+08-19-018,--,NGC 3191,10,16.0,+,46,42,14.1,--,--,7.0,5.0,--,1,1
MCG+08-19-019,--,--,10,16.2,+,49,22,16.0,2.5,2.0,5.0,4.0,1,5,1
MCG+08-19-020,*,NGC 3198,10,16.9,+,45,47,10.82,10.0,4.0,60.0,20.0,2,3,3
MCG+08-19-021,--,--,10,18.4,+,48,14,16.0,1.0,1.0,4.0,3.0,1,6,1
MCG+08-19-022,--,--,10,18.9,+,48,17,15.0,1.5,1.0,10.0,2.5,2,4,4
MCG+08-19-023,--,--,10,19.7,+,46,29,14.0,2.5,1.5,20.0,10.0,3,4,2
MCG+08-19-024,--,--,10,19.75,+,48,53,15.0,2.0,1.0,8.0,4.0,--,--,--
MCG+08-19-025,--,--,10,21.5,+,47,5,16.0,2.5,1.5,8.0,2.0,1,3,3
MCG+08-19-026,*,--,10,22.0,+,48,5,17.0,1.0,1.0,--,--,1,--,--
MCG+08-19-027,--,--,10,22.3,+,45,48,17.0,1.5,0.5,8.0,7.0,3,6,1
MCG+08-19-028,--,--,10,22.4,+,47,44,16.0,2.0,1.5,4.0,2.5,1,6,--
MCG+08-19-029,--,--,10,23.2,+,45,49,16.0,--,--,3.0,2.0,--,1,2
MCG+08-19-030,--,--,10,23.5,+,47,24,16.0,2.5,1.0,3.0,3.0,1,4,1
MCG+08-19-031,--,--,10,23.6,+,45,29,17.0,2.0,1.0,11.0,1.5,2,3,5
MCG+08-19-032,--,--,10,24.0,+,46,18,15.0,4.0,1.5,5.0,6.0,2,3,1
MCG+08-19-033,--,--,10,24.1,+,48,29,16.0,0.5,0.5,5.0,2.5,2,3,1
MCG+08-19-034,--,--,10,24.25,+,50,14,16.0,1.0,1.0,2.5,2.5,4,6,1
MCG+08-19-035,--,--,10,24.9,+,46,16,15.0,--,--,5.0,3.0,--,2,2
MCG+08-19-036,*,--,10,28.75,+,46,56,15.0,4.0,2.0,8.0,7.0,3,5,1
MCG+08-19-037,--,--,10,29.9,+,49,8,16.0,1.0,1.0,4.0,2.0,3,4,2
MCG+08-19-038,--,--,10,31.6,+,44,52,16.0,1.5,1.5,4.0,2.5,1,4,3
MCG+08-19-039,--,--,10,31.8,+,45,31,15.0,3.0,3.0,--,--,1,--,--
MCG+08-19-040,--,--,10,32.05,+,45,20,14.0,2.5,2.0,12.0,7.0,1,3,1
MCG+08-19-041,--,--,10,32.1,+,44,50,16.0,2.0,1.5,3.0,3.0,1,5,1
MCG+08-19-042,--,--,10,32.7,+,46,9,16.0,2.0,2.0,5.0,2.5,2,3,1
MCG+08-19-043,--,NGC 3298,10,34.15,+,50,23,15.2,2.5,2.0,--,--,1,--,--
MCG+08-19-044,--,--,10,34.6,+,46,18,16.0,2.0,1.5,4.0,3.0,2,3,2
MCG+08-19-045,--,--,10,34.7,+,46,18,16.0,--,--,10.0,1.0,--,3,5
MCG+08-20-001,--,--,10,35.05,+,45,5,16.0,--,--,7.0,2.5,--,1,3
MCG+08-20-002,--,--,10,35.7,+,44,46,17.0,--,--,4.0,2.0,--,1,2
MCG+08-20-003,--,--,10,36.3,+,49,8,17.0,2.0,1.0,3.0,3.0,3,4,1
MCG+08-20-004,*,--,10,36.5,+,48,12,14.0,7.0,2.0,12.0,3.0,1,5,4
MCG+08-20-005,--,--,10,36.5,+,48,24,16.0,4.0,1.0,7.0,1.0,1,2,4
MCG+08-20-006,*,--,10,36.6,+,44,57,17.0,1.0,1.0,3.0,3.0,2,4,1
MCG+08-20-007,*,--,10,36.6,+,45,0,17.0,--,--,1.5,1.5,--,1,2
MCG+08-20-008,*,--,10,36.6,+,45,2,17.0,1.0,1.0,6.0,1.0,1,3,5
MCG+08-20-009,--,--,10,36.6,+,49,11,16.0,0.5,0.5,7.0,2.5,2,3,1
MCG+08-20-010,*,NGC 3320,10,36.6,+,47,40,12.9,11.0,6.0,20.0,10.0,1,3,3
MCG+08-20-011,*,--,10,36.7,+,48,11,14.0,--,--,10.0,2.5,--,1,4
MCG+08-20-012,--,--,10,37.0,+,49,48,15.0,2.5,2.0,7.0,5.0,3,6,2
MCG+08-20-013,--,--,10,38.4,+,47,11,16.0,2.5,2.0,5.0,3.0,1,5,1
MCG+08-20-014,--,--,10,38.55,+,47,3,16.0,3.0,1.5,3.0,2.5,1,3,2
MCG+08-20-015,--,--,10,38.6,+,47,5,16.0,--,--,4.0,2.5,--,2,2
MCG+08-20-016,--,--,10,39.2,+,48,1,16.0,2.5,1.5,5.0,2.5,2,6,3
MCG+08-20-017,--,--,10,42.25,+,50,9,15.0,--,--,5.0,3.0,--,2,2
MCG+08-20-018,--,--,10,43.0,+,46,11,15.0,4.0,2.5,7.0,4.0,1,5,2
MCG+08-20-019,--,--,10,43.1,+,44,59,16.0,2.0,2.0,4.0,3.0,1,6,--
MCG+08-20-020,--,--,10,43.1,+,49,49,15.0,1.5,1.5,8.0,4.0,2,3,1
MCG+08-20-021,--,--,10,44.15,+,46,58,16.0,--,--,5.0,1.5,--,1,4
MCG+08-20-022,--,--,10,44.25,+,47,41,15.0,1.5,1.5,10.0,7.0,2,3,1
MCG+08-20-023,--,--,10,44.55,+,45,50,16.0,1.0,1.0,6.0,6.0,1,6,1
MCG+08-20-024,--,--,10,45.1,+,48,35,15.0,--,--,5.0,3.5,--,1,1
MCG+08-20-025,--,--,10,45.3,+,45,27,16.0,--,--,7.0,1.5,--,2,4
MCG+08-20-026,--,--,10,45.3,+,50,17,16.0,--,--,7.0,2.5,1,3,--
MCG+08-20-027,--,--,10,45.85,+,48,19,16.0,2.5,2.0,7.0,3.0,1,5,2
MCG+08-20-028,--,--,10,45.85,+,50,18,16.0,5.0,2.5,7.0,3.0,1,6,2
MCG+08-20-029,--,--,10,45.9,+,46,59,15.0,--,--,10.0,6.0,--,3,2
MCG+08-20-030,--,--,10,47.5,+,48,12,16.0,5.0,1.5,11.0,2.0,1,5,4
MCG+08-20-031,--,--,10,47.55,+,48,57,15.0,2.5,2.5,9.0,9.0,2,4,1
MCG+08-20-032,--,--,10,47.6,+,47,6,15.0,5.0,2.5,8.0,3.0,2,2,3
MCG+08-20-033,--,--,10,48.3,+,44,49,15.0,--,--,5.0,2.5,--,1,2
MCG+08-20-034,--,--,10,48.4,+,46,59,16.0,2.5,2.5,5.0,2.5,1,6,1
MCG+08-20-035,--,--,10,49.2,+,49,57,16.0,4.0,2.5,6.0,4.0,2,3,1
MCG+08-20-036,--,--,10,49.8,+,49,52,15.0,4.0,2.5,--,--,1,--,--
MCG+08-20-037,--,--,10,50.1,+,50,32,15.0,--,--,10.0,3.0,--,1,4
MCG+08-20-038,--,--,10,50.8,+,46,28,15.0,2.0,2.0,6.0,6.0,1,4,1
MCG+08-20-039,--,--,10,51.0,+,46,17,14.0,4.0,4.0,8.0,5.0,1,2,1
MCG+08-20-040,--,--,10,51.0,+,49,51,15.0,6.0,3.0,8.0,6.0,1,5,2
MCG+08-20-041,--,--,10,51.0,+,49,55,14.0,4.0,4.0,7.0,7.0,1,3,1
MCG+08-20-042,--,--,10,51.2,+,44,51,16.0,4.0,1.0,12.0,1.0,3,5,5
MCG+08-20-043,--,--,10,51.2,+,45,10,16.0,2.5,1.5,7.0,5.0,1,4,2
MCG+08-20-044,--,--,10,51.7,+,46,49,16.0,4.0,2.5,10.0,2.5,1,3,5
MCG+08-20-045,*,--,10,51.7,+,47,44,15.0,3.0,2.5,6.0,5.0,1,5,1
MCG+08-20-046,--,--,10,52.0,+,49,59,14.0,6.0,2.5,10.0,10.0,1,5,2
MCG+08-20-047,--,--,10,52.05,+,49,51,16.0,--,--,5.0,2.5,--,1,2
MCG+08-20-048,--,--,10,52.2,+,48,59,16.0,1.5,1.5,7.0,6.0,2,3,1
MCG+08-20-049,--,--,10,52.65,+,47,50,16.0,--,--,2.5,1.5,--,1,1
MCG+08-20-050,*,--,10,53.1,+,47,9,16.0,--,--,10.0,1.0,--,3,5
MCG+08-20-051,--,--,10,53.1,+,47,39,15.0,3.0,3.0,10.0,10.0,2,6,1
MCG+08-20-052,--,--,10,53.15,+,50,12,15.0,3.5,2.0,--,--,1,--,--
MCG+08-20-053,*,--,10,53.15,+,47,8,16.0,2.0,2.0,4.0,3.0,1,4,2
MCG+08-20-054,*,--,10,53.3,+,47,7,16.0,--,--,3.0,2.0,--,1,2
MCG+08-20-055,--,--,10,54.7,+,46,59,16.0,3.0,1.5,10.0,3.0,2,5,2
MCG+08-20-056,--,--,10,55.6,+,46,31,15.0,5.0,2.0,7.0,7.0,1,5,1
MCG+08-20-057,--,--,10,55.6,+,49,2,17.0,--,--,6.0,2.0,2,6,--
MCG+08-20-058,*,--,10,56.45,+,46,21,17.0,2.0,1.0,6.0,6.0,2,6,1
MCG+08-20-059,*,NGC 3478,10,56.5,+,46,23,13.2,7.0,6.0,27.0,10.0,2,3,3
MCG+08-20-060,--,--,10,56.55,+,50,15,16.0,2.5,2.5,--,--,1,--,--
MCG+08-20-061,--,--,10,56.9,+,50,17,14.0,3.0,2.0,7.0,7.0,1,3,1
MCG+08-20-062,--,--,10,57.0,+,46,20,16.0,--,--,5.0,2.5,1,3,3
MCG+08-20-063,--,--,10,57.0,+,50,20,14.0,6.0,3.0,--,--,1,--,--
MCG+08-20-064,--,--,10,57.2,+,46,11,15.0,4.0,4.0,--,--,1,--,--
MCG+08-20-065,--,--,10,57.2,+,46,0,14.0,3.0,1.5,14.0,6.0,2,3,3
MCG+08-20-066,--,--,10,58.6,+,45,55,14.0,--,--,8.0,5.0,2,3,2
MCG+08-20-067,--,--,10,58.7,+,46,34,16.0,1.5,1.5,7.0,1.5,1,2,5
MCG+08-20-067a,--,--,10,58.7,+,50,38,17.0,1.5,1.0,7.0,2.0,1,5,3
MCG+08-20-068,--,--,10,58.9,+,47,21,16.0,--,--,13.0,1.0,--,3,5
MCG+08-20-069,--,--,10,59.0,+,45,30,15.0,--,--,7.0,4.0,--,1,1
MCG+08-20-069a,*,--,10,59.1,+,50,35,--,--,--,10.0,2.0,--,--,--
MCG+08-20-070,--,--,10,59.2,+,46,9,14.0,--,--,12.0,5.0,1,2,3
MCG+08-20-071,--,--,10,59.5,+,50,22,15.0,--,--,6.0,2.0,--,1,3
MCG+08-20-072,--,--,11,0.0,+,50,35,16.0,2.5,2.5,5.0,5.0,2,5,1
MCG+08-20-073,--,--,11,0.1,+,50,29,14.0,6.0,4.0,10.0,9.0,1,6,1
MCG+08-20-074,--,--,11,0.7,+,45,27,15.0,5.0,2.0,12.0,6.0,1,4,2
MCG+08-20-075,--,--,11,0.9,+,50,5,18.0,1.5,1.0,3.0,2.5,1,4,1
MCG+08-20-076,--,--,11,1.0,+,50,5,14.0,1.0,1.0,7.5,7.5,1,2,1
MCG+08-20-077,--,--,11,1.1,+,45,31,15.0,3.0,3.0,--,--,1,5,1
MCG+08-20-078,--,--,11,1.1,+,45,35,16.0,1.5,1.5,5.0,2.0,1,5,1
MCG+08-20-079,--,--,11,1.35,+,50,19,15.0,2.0,2.0,6.0,6.0,2,4,1
MCG+08-20-080,--,--,11,1.5,+,45,24,16.0,--,--,4.0,1.5,--,1,3
MCG+08-20-081,--,--,11,1.7,+,45,24,14.0,7.0,6.0,10.0,9.0,1,5,1
MCG+08-20-082,*,--,11,1.7,+,46,15,15.0,6.0,3.0,20.0,5.0,2,4,5
MCG+08-20-083,--,--,11,2.15,+,45,0,16.0,--,--,5.0,2.0,--,1,2
MCG+08-20-084,--,--,11,2.7,+,46,26,16.0,--,--,8.0,1.0,--,2,5
MCG+08-20-085,--,--,11,3.5,+,45,46,16.0,3.0,1.5,5.0,5.0,1,4,1
MCG+08-20-086,--,--,11,3.55,+,48,55,15.0,--,--,10.0,3.0,1,5,3
MCG+08-20-087,--,--,11,3.9,+,46,14,14.0,3.0,3.0,--,--,1,--,--
MCG+08-20-088,--,--,11,4.1,+,46,5,15.0,6.0,2.0,16.0,2.5,1,5,4
MCG+08-20-089,--,--,11,4.4,+,46,39,15.0,3.0,3.0,--,--,1,5,--
MCG+08-20-090,--,--,11,5.0,+,47,7,16.0,--,--,7.0,2.0,--,1,4
MCG+08-20-091,--,--,11,5.2,+,46,15,15.0,--,--,10.0,3.0,--,3,4
MCG+08-20-092,--,--,11,5.55,+,47,36,15.0,5.0,2.5,9.0,3.0,1,2,2
MCG+08-20-093,--,--,11,6.8,+,47,5,15.0,--,--,7.0,4.0,1,4,1
MCG+08-20-094,--,--,11,6.85,+,49,41,16.0,0.5,0.5,7.0,3.0,1,3,2
MCG+08-20-095,--,--,11,7.0,+,46,21,15.0,9.0,3.0,18.0,13.0,4,6,1
MCG+08-20-096,--,--,11,8.5,+,47,18,14.0,4.0,4.0,6.0,5.0,1,5,1
MCG+08-20-097,--,--,11,8.5,+,47,38,16.0,--,--,6.0,2.5,--,1,2
MCG+08-20-098,--,--,11,8.5,+,48,28,16.0,--,--,6.0,4.0,1,3,2
MCG+08-21-001,--,--,11,9.0,+,45,49,15.0,5.0,2.5,13.0,5.0,1,4,2
MCG+08-21-002,*,--,11,9.7,+,45,32,15.0,--,--,5.0,4.0,--,1,--
MCG+08-21-003,--,--,11,10.0,+,45,20,16.0,--,--,5.0,2.0,--,2,3
MCG+08-21-004,*,--,11,10.8,+,48,35,16.0,3.0,1.0,6.0,5.0,3,6,1
MCG+08-21-005,--,--,11,10.9,+,47,51,14.0,--,--,7.0,5.0,--,1,2
MCG+08-21-006,*,NGC 3577,11,10.9,+,48,32,14.0,6.0,3.0,13.0,13.0,1,4,1
MCG+08-21-007,--,--,11,11.4,+,48,5,16.0,5.0,3.0,10.0,3.0,1,5,2
MCG+08-21-008,*,NGC 3583,11,11.45,+,48,35,12.2,12.0,10.0,23.0,13.0,1,3,2
MCG+08-21-009,--,NGC 3595,11,12.65,+,47,42,14.2,10.0,5.0,--,--,1,--,--
MCG+08-21-010,--,--,11,12.85,+,46,23,16.0,--,--,5.0,2.5,--,1,2
MCG+08-21-011,--,--,11,14.4,+,47,8,16.0,--,--,4.0,3.0,--,1,2
MCG+08-21-012,--,--,11,14.4,+,47,13,15.0,--,--,7.0,2.5,--,1,3
MCG+08-21-013,--,--,11,14.9,+,47,21,15.0,3.0,2.5,6.0,4.0,1,5,--
MCG+08-21-014,*,--,11,15.45,+,45,59,16.0,--,--,6.0,6.0,4,5,1
MCG+08-21-015,*,NGC 3614,11,15.55,+,48,1,12.9,10.0,7.0,50.0,28.0,2,2,1
MCG+08-21-016,--,--,11,16.5,+,47,55,14.0,3.0,3.0,8.0,8.0,1,2,1
MCG+08-21-017,*,--,11,17.25,+,47,30,17.0,1.5,1.5,--,--,1,--,--
MCG+08-21-017a,*,--,11,17.25,+,47,30,17.0,1.5,1.5,--,--,1,--,--
MCG+08-21-018,--,--,11,17.75,+,47,5,16.0,2.5,2.5,--,--,1,--,1
MCG+08-21-019,--,--,11,17.9,+,47,5,17.0,--,--,3.0,1.5,--,2,3
MCG+08-21-020,--,--,11,18.0,+,44,51,16.0,--,--,5.0,2.0,--,1,2
MCG+08-21-021,--,--,11,18.0,+,47,5,17.0,3.0,2.0,--,--,1,--,2
MCG+08-21-022,--,--,11,18.5,+,50,5,16.0,3.0,2.5,8.0,3.0,1,5,2
MCG+08-21-023,--,--,11,18.6,+,46,32,16.0,2.5,2.5,6.0,4.0,1,4,2
MCG+08-21-024,--,--,11,18.75,+,44,51,16.0,4.0,2.0,7.0,3.0,1,3,1
MCG+08-21-025,--,--,11,18.9,+,46,28,14.0,--,--,12.0,3.0,--,1,4
MCG+08-21-026,--,--,11,19.55,+,46,41,16.0,3.0,3.0,--,--,1,--,1
MCG+08-21-027,--,--,11,19.55,+,46,58,16.0,--,--,7.0,2.5,--,1,4
MCG+08-21-028,--,--,11,19.95,+,49,2,16.0,2.0,2.0,6.0,2.0,1,4,3
MCG+08-21-029,*,--,11,20.7,+,45,18,16.0,--,--,5.0,2.5,--,1,2
MCG+08-21-030,--,--,11,21.25,+,46,4,14.0,4.0,4.0,10.0,8.0,2,3,1
MCG+08-21-031,--,--,11,21.4,+,48,57,15.0,6.0,1.5,10.0,1.5,1,3,4
MCG+08-21-032,--,IC  678,11,21.5,+,48,7,15.0,4.0,4.0,7.0,7.0,1,5,1
MCG+08-21-033,*,--,11,21.7,+,49,9,17.0,2.0,1.0,--,--,1,--,--
MCG+08-21-034,*,--,11,21.7,+,49,9,17.0,2.0,1.0,--,--,2,--,--
MCG+08-21-035,--,NGC 3677,11,23.5,+,47,14,13.7,7.0,5.0,15.0,13.0,1,6,2
MCG+08-21-036,*,--,11,24.5,+,50,32,16.0,1.0,1.0,7.0,5.0,3,5,--
MCG+08-21-037,*,--,11,24.8,+,47,38,15.0,--,--,6.0,5.0,--,1,--
MCG+08-21-038,--,--,11,25.1,+,47,39,15.0,--,--,7.0,5.0,--,1,1
MCG+08-21-039,--,--,11,26.1,+,48,47,15.0,--,--,5.0,2.5,--,2,2
MCG+08-21-040,*,--,11,26.4,+,47,56,16.0,4.0,4.0,8.0,8.0,1,4,1
MCG+08-21-041,*,--,11,26.4,+,47,57,16.0,3.0,2.5,6.0,3.0,1,5,3
MCG+08-21-042,--,--,11,27.1,+,44,56,15.0,--,--,5.0,5.0,2,3,1
MCG+08-21-043,--,--,11,27.8,+,49,25,16.0,5.0,2.5,7.0,2.5,1,3,3
MCG+08-21-044,--,--,11,27.9,+,47,16,15.0,7.0,4.0,10.0,5.0,1,2,2
MCG+08-21-045,--,--,11,29.1,+,49,5,15.0,5.0,2.0,7.0,2.0,1,2,3
MCG+08-21-046,--,--,11,29.5,+,49,15,16.0,--,--,3.0,2.0,--,1,2
MCG+08-21-047,--,--,11,29.5,+,49,15,15.0,5.0,3.0,8.0,3.0,1,4,2
MCG+08-21-048,--,--,11,29.8,+,49,22,16.0,--,--,3.0,2.0,--,1,1
MCG+08-21-049,--,IC  705,11,30.2,+,50,31,15.0,--,--,3.0,2.5,--,1,--
MCG+08-21-050,--,--,11,30.4,+,50,33,15.0,--,--,10.0,1.0,--,3,5
MCG+08-21-051,*,NGC 3726,11,30.6,+,47,18,10.84,25.0,15.0,60.0,40.0,1,4,2
MCG+08-21-052,*,--,11,30.6,+,49,32,14.8,4.0,2.0,10.0,10.0,1,5,1
MCG+08-21-053,*,--,11,30.8,+,49,30,13.9,--,--,12.0,6.0,1,3,--
MCG+08-21-054,--,--,11,31.0,+,49,11,16.0,4.0,2.5,8.0,4.0,1,5,3
MCG+08-21-055,--,--,11,31.1,+,45,31,16.0,4.0,3.0,6.0,3.0,1,5,3
MCG+08-21-056,*,IC  708,11,31.3,+,49,19,14.0,5.0,4.0,--,--,1,--,--
MCG+08-21-057,*,IC  709,11,31.6,+,49,18,15.0,4.0,3.0,--,--,1,--,--
MCG+08-21-058,--,--,11,31.7,+,46,37,15.0,3.0,3.0,--,--,1,--,--
MCG+08-21-059,--,--,11,31.8,+,49,12,16.0,2.0,2.0,5.0,2.5,1,5,--
MCG+08-21-060,--,--,11,32.0,+,49,12,16.0,4.0,2.5,--,--,1,--,2
MCG+08-21-061,--,--,11,32.0,+,47,15,15.0,5.0,3.0,10.0,3.0,1,5,3
MCG+08-21-062,*,IC  711,11,32.0,+,49,12,15.0,3.0,3.0,--,--,1,--,--
MCG+08-21-063,*,IC  712,11,32.0,+,49,20,14.0,5.0,5.0,10.0,6.0,1,5,2
MCG+08-21-064,--,--,11,32.8,+,49,21,16.0,5.0,2.0,8.0,2.0,1,5,3
MCG+08-21-065,--,--,11,33.0,+,49,18,16.0,4.0,1.5,11.0,1.5,1,4,5
MCG+08-21-066,--,--,11,33.0,+,49,25,16.0,2.0,1.5,--,--,1,--,--
MCG+08-21-067,--,--,11,33.0,+,50,0,15.0,--,--,4.0,3.0,--,1,2
MCG+08-21-068,--,NGC 3741,11,33.2,+,45,32,13.9,7.0,6.0,20.0,10.0,2,5,1
MCG+08-21-069,--,--,11,33.4,+,49,42,15.0,--,--,4.0,3.0,--,2,1
MCG+08-21-070,--,--,11,33.5,+,44,55,16.0,5.0,3.0,--,--,1,--,2
MCG+08-21-071,--,--,11,33.8,+,48,4,15.0,2.5,2.0,13.0,13.0,1,6,1
MCG+08-21-072,--,--,11,33.8,+,49,23,15.0,4.0,4.0,5.0,5.0,1,4,1
MCG+08-21-073,--,--,11,33.9,+,48,5,17.0,1.5,1.5,5.0,7.0,4,6,1
MCG+08-21-074,--,--,11,33.9,+,49,19,15.0,2.5,2.5,5.0,5.0,1,5,1
MCG+08-21-075,*,--,11,34.5,+,46,0,15.0,6.0,4.0,10.0,8.0,3,6,1
MCG+08-21-076,*,NGC 3769,11,35.0,+,48,9,12.5,15.0,6.0,25.0,10.0,1,3,3
MCG+08-21-077,*,--,11,35.05,+,48,8,14.1,--,--,8.0,3.0,--,1,2
MCG+08-21-078,*,--,11,35.15,+,47,43,16.0,3.0,3.0,6.0,4.0,1,5,1
MCG+08-21-079,*,--,11,35.2,+,47,43,16.0,3.0,2.0,8.0,2.0,1,5,5
MCG+08-21-080,*,--,11,35.3,+,47,44,17.0,--,--,2.5,2.5,--,3,1
MCG+08-21-081,*,--,11,35.5,+,47,45,17.0,--,--,2.5,2.0,--,1,1
MCG+08-21-082,*,--,11,35.55,+,47,41,16.0,3.0,2.0,--,--,1,--,3
MCG+08-21-083,*,--,11,35.65,+,47,41,15.0,5.0,3.0,12.0,3.0,1,5,--
MCG+08-21-084,--,--,11,36.2,+,49,42,16.0,--,--,4.0,3.0,2,3,2
MCG+08-21-085,--,--,11,36.2,+,49,55,16.0,4.0,2.5,5.0,5.0,1,6,1
MCG+08-21-086,--,--,11,36.3,+,45,51,17.0,--,--,3.0,2.5,--,1,--
MCG+08-21-087,*,NGC 3782,11,36.55,+,46,46,12.9,12.0,7.0,18.0,18.0,1,6,2
MCG+08-21-088,--,--,11,37.3,+,50,33,15.0,1.5,1.5,5.0,1.5,1,5,3
MCG+08-21-089,--,--,11,37.4,+,46,11,13.0,15.0,13.0,25.0,25.0,3,6,1
MCG+08-21-090,*,--,11,38.0,+,46,48,15.0,4.0,3.0,--,--,1,--,--
MCG+08-21-091,--,NGC 3811,11,38.5,+,47,57,13.0,10.0,8.0,20.0,15.0,1,3,1
MCG+08-21-092,--,--,11,38.6,+,46,39,15.0,--,--,4.0,3.0,--,1,1
MCG+08-21-093,--,--,11,40.4,+,48,39,15.0,--,--,8.0,2.5,--,1,3
MCG+08-21-094,--,--,11,41.75,+,49,6,15.0,7.0,4.0,12.0,8.0,4,5,1
MCG+08-21-095,--,--,11,42.45,+,49,59,15.0,5.0,3.0,9.0,7.0,1,6,2
MCG+08-21-096,--,--,11,42.6,+,49,49,15.0,--,--,5.0,2.5,--,2,2
MCG+08-21-097,--,--,11,42.75,+,50,9,16.0,3.0,2.0,10.0,2.5,1,5,4
MCG+08-22-001,*,NGC 3870,11,43.35,+,50,29,13.1,7.0,4.0,10.0,8.0,1,5,2
MCG+08-22-002,*,NGC 3877,11,43.45,+,47,46,12.0,25.0,7.0,50.0,12.0,1,3,4
MCG+08-22-003,--,--,11,43.75,+,50,10,16.0,2.0,1.5,4.0,4.0,2,3,1
MCG+08-22-004,--,--,11,45.3,+,50,6,14.0,5.0,5.0,14.0,10.0,3,5,2
MCG+08-22-005,--,--,11,45.5,+,46,27,16.0,4.0,3.0,--,--,1,--,2
MCG+08-22-006a,*,--,11,45.9,+,48,57,19.0,--,--,2.0,2.0,--,5,1
MCG+08-22-006b,*,--,11,45.9,+,48,57,19.0,--,--,1.0,1.0,--,5,1
MCG+08-22-007,*,NGC 3893,11,45.9,+,48,59,11.0,20.0,18.0,45.0,23.0,1,2,1
MCG+08-22-008,*,NGC 3896,11,46.25,+,48,57,13.9,5.0,5.0,12.0,10.0,2,4,1
MCG+08-22-009,--,--,11,46.5,+,49,2,16.0,4.0,3.0,--,--,1,--,--
MCG+08-22-010,--,--,11,46.7,+,46,24,16.0,5.0,2.5,6.0,2.5,--,1,3
MCG+08-22-011,--,--,11,47.0,+,48,7,16.0,2.5,2.5,4.0,4.0,1,6,1
MCG+08-22-012,*,NGC 3906,11,47.0,+,48,42,13.4,9.0,4.0,20.0,15.0,1,3,1
MCG+08-22-013,--,--,11,47.0,+,50,13,15.0,1.0,1.0,6.0,6.0,2,3,1
MCG+08-22-014,--,--,11,47.3,+,47,43,16.0,--,--,4.0,4.0,--,1,1
MCG+08-22-015,*,--,11,48.2,+,46,5,13.9,6.0,2.5,20.0,10.0,3,5,--
MCG+08-22-016,*,--,11,48.6,+,48,15,16.0,1.5,1.5,6.0,5.0,3,4,1
MCG+08-22-017,--,NGC 3924,11,48.6,+,50,26,13.0,7.0,4.0,16.0,6.0,1,6,3
MCG+08-22-018,--,--,11,48.8,+,48,11,16.0,--,--,6.0,2.5,--,2,3
MCG+08-22-019,*,NGC 3928,11,49.1,+,48,58,13.0,7.0,7.0,10.0,10.0,1,5,1
MCG+08-22-020,--,--,11,49.2,+,47,9,16.0,1.0,1.0,4.0,4.0,3,4,1
MCG+08-22-021,*,--,11,49.3,+,47,6,16.0,4.0,2.5,6.0,3.0,1,6,3
MCG+08-22-022,--,--,11,49.4,+,47,10,16.0,2.5,2.5,5.0,4.0,1,6,1
MCG+08-22-023,--,--,11,49.9,+,48,44,15.0,5.0,3.0,10.0,4.0,1,4,3
MCG+08-22-024,--,--,11,49.95,+,45,46,16.0,4.0,2.0,7.0,7.0,2,4,1
MCG+08-22-025,--,--,11,50.0,+,49,25,16.0,--,--,7.0,4.0,--,3,1
MCG+08-22-026,--,--,11,50.05,+,50,19,15.0,--,--,17.0,15.0,--,4,1
MCG+08-22-027,--,--,11,50.7,+,47,37,16.0,1.5,1.5,5.0,5.0,1,5,1
MCG+08-22-028,--,--,11,51.1,+,46,29,16.0,2.0,2.0,5.0,4.0,1,3,1
MCG+08-22-029,*,NGC 3949,11,51.1,+,48,9,11.3,20.0,11.0,30.0,17.0,1,3,2
MCG+08-22-030,*,NGC 3950,11,51.1,+,48,12,15.7,1.5,1.5,--,--,1,--,--
MCG+08-22-031,--,--,11,51.45,+,50,27,16.0,4.0,2.0,10.0,3.0,1,6,3
MCG+08-22-032,--,--,11,51.5,+,44,54,15.0,5.0,2.0,10.0,2.5,1,2,5
MCG+08-22-033,--,--,11,51.65,+,44,38,16.0,1.5,1.5,5.0,4.0,2,4,1
MCG+08-22-034,*,--,11,52.0,+,49,35,18.0,--,--,2.0,2.0,--,1,1
MCG+08-22-035,*,--,11,52.05,+,49,34,18.0,--,--,1.5,1.5,--,6,1
MCG+08-22-036,--,--,11,52.4,+,49,1,16.0,2.0,2.0,6.0,6.0,2,3,1
MCG+08-22-037,--,--,11,52.5,+,48,6,16.0,--,--,10.0,2.0,--,3,4
MCG+08-22-038,--,--,11,52.5,+,49,4,17.0,--,--,3.0,3.0,--,2,1
MCG+08-22-039,--,--,11,52.6,+,50,25,16.0,4.0,2.5,10.0,2.5,2,3,5
MCG+08-22-040,*,--,11,53.15,+,49,35,16.0,3.0,2.0,7.0,4.0,2,3,2
MCG+08-22-041,--,--,11,53.25,+,49,31,18.0,2.0,2.0,3.0,2.5,4,5,1
MCG+08-22-042,--,--,11,53.3,+,48,31,17.0,1.0,1.0,1.5,1.5,3,5,1
MCG+08-22-043,--,--,11,53.35,+,48,32,16.0,4.0,1.0,9.0,1.5,3,5,5
MCG+08-22-044,--,--,11,53.8,+,50,9,16.0,2.0,1.5,10.0,2.0,2,3,4
MCG+08-22-045,*,NGC 3985,11,54.0,+,48,37,12.9,--,--,10.0,7.0,--,1,2
