MCG,n_MCG,OtherName,RAh,RAm,DE-,DEd,DEm,Mag,MajAxisIn,MinAxisIn,MajAxis,MinAxis,IntIn,IntOut,Incl
MCG-03-57-004,*,IC 5210,22,19.9,-,19,7,14.0,3.0,3.0,8.0,8.0,1,4,--
MCG-03-57-005,*,IC 5211,22,20.1,-,19,8,15.0,3.0,2.0,7.0,3.0,1,3,2
MCG-03-57-006,--,--,22,20.5,-,15,48,15.0,5.0,2.0,10.0,2.0,1,4,3
MCG-03-57-007,--,IC 1445,22,22.8,-,17,30,14.0,4.0,3.5,12.0,10.0,1,4,--
MCG-03-57-008,--,--,22,26.15,-,15,20,14.0,1.0,1.0,16.0,12.0,3,4,2
MCG-03-57-009,*,--,22,26.4,-,19,25,16.0,--,--,4.0,3.0,2,3,--
MCG-03-57-010,--,--,22,26.9,-,20,6,15.0,4.0,1.5,6.0,4.0,1,4,2
MCG-03-57-011,--,--,22,27.0,-,20,1,15.0,2.0,2.0,--,--,1,6,--
MCG-03-57-012,--,--,22,27.5,-,14,33,14.0,--,--,5.0,3.0,--,1,2
MCG-03-57-013,*,--,22,27.8,-,15,16,16.0,--,--,3.0,1.5,--,1,2
MCG-03-57-014,*,--,22,27.8,-,15,16,16.0,--,--,3.0,1.0,--,1,2
MCG-03-57-015,*,--,22,27.9,-,17,50,14.0,--,--,8.0,4.0,--,1,2
MCG-03-57-016,--,--,22,28.5,-,17,35,15.0,2.0,2.0,4.0,4.0,1,4,--
MCG-03-57-017,--,--,22,28.75,-,19,18,14.0,6.0,3.0,14.0,6.0,2,5,3
MCG-03-57-018,--,--,22,29.3,-,17,25,15.0,3.0,0.7,13.0,7.0,2,4,2
MCG-03-57-019,--,--,22,29.35,-,15,41,15.0,2.5,2.5,6.0,6.0,1,5,--
MCG-03-57-020,*,--,22,30.4,-,20,22,15.0,4.0,3.0,12.0,12.0,3,5,1
MCG-03-57-021,--,--,22,30.5,-,17,20,15.0,2.5,2.0,8.0,3.0,1,4,--
MCG-03-57-022,--,--,22,31.4,-,14,34,14.0,2.0,2.0,10.0,10.0,3,4,1
MCG-03-57-023,--,--,22,32.5,-,15,8,15.0,2.0,2.0,8.0,4.0,1,3,2
MCG-03-57-024,--,--,22,32.9,-,15,27,15.0,2.5,2.5,5.0,5.0,1,5,--
MCG-03-57-025,--,--,22,34.25,-,20,4,14.0,--,--,9.0,6.0,2,4,2
MCG-03-57-026,--,--,22,36.45,-,19,56,15.0,--,--,9.0,3.0,2,4,2
