#Common Name	Mag.	Size	Area	NGC	Type	Const.	VQ	R.A. (E2000)	Dec. (E2000)
#Common Name	Mag.	Size	Area	NGC	Type	Const.	VQ	R.A. (E2000)	Dec. (E2000)
M89 in Virgo	9.8	1.1	1	4552	Round galaxy with bright core	Vir	D	12h 35m 42s	12° 33' N
NGC4559 in Coma Berenices	9.9	12.0 x 5.0	47	4559	Elongated galaxy	Com	C	12h 36m 00s	27° 58' N
NGC4565 in Coma Berenices	9.6	12.0 x 1.5	14	4565	Edge-on galaxy dusty	Com	B	12h 36m 18s	25° 59' N
M90 in Virgo	9.5	11.0 x 3.0	26	4569	Very elongated galaxy with bright core	Vir	C	12h 36m 48s	13° 10' N
M58 in Virgo	9.8	5.0 x 4.0	16	4579	Round galaxy with bright core	Vir	C	12h 37m 42s	11° 49' N
M104 Sombrero Galaxy in Virgo	8.3	8.0 x 5.0	31	4594	Edge-on galaxy dusty	Vir	C	12h 40m 00s	11° 37' S
M59 in Virgo	9.8	1.4 x 1.0	1	4621	Elongated galaxy with bright core	Vir	D	12h 42m 00s	11° 39' N
NGC4631 in Canis Venatici	9.3	14.0 x 2.0	22	4631	Very elongated galaxy, dust & bright knots	CVn	B	12h 42m 06s	32° 32' N
NGC4636 in Virgo	9.6	5.0 x 4.0	16	4636	Round galaxy with bright core	Vir		12h 42m 48s	02° 41' N
M60 in Virgo	8.8	3.0 x 2.0	5	4649	Round galaxy with bright core	Vir	D	12h 43m 42s	11° 33' N
#Common Name	Mag.	Size	Area	NGC	Type	Const.	VQ	R.A. (E2000)	Dec. (E2000)
NGC4697 in Virgo	9.9	7.2 x 4.6	26	4697	Elongated galaxy with bright core	Vir		12h 48m 36s	05° 48' S
NGC4699 in Virgo	9.6	3.3 x 2.3	6	4699	Elongated galaxy with bright core	Vir		12h 49m 00s	08° 40' S
NGC4725 in Coma Berenices	9.2	11.0 x 6.0	52	4725	Elongated galaxy with bright core	Com	C	12h 50m 24s	25° 30' N
M94 in Canis Venatici	8.2	14.0 x 13.0	143	4736	Elongated galaxy with bright core	CVn	C	12h 50m 54s	41° 07' N
NGC4753 in Virgo	9.9	4.0 x 2.5	8	4753	Elongated galaxy with bright core	Vir		12h 52m 24s	01° 12' S
M64 Blackeye Galaxy in Coma Berenices	8.5	10.0 x 3.8	30	4826	Elongated galaxy, dusty	Com	C	12h 56m 42s	21° 41' N
NGC4945 in Centaurus	9.0	20.0 x 4.4	69	4945	Edge-on galaxy	Cen	b	13h 05m 24s	49° 28' S
NGC5005 in Canis Venatici	9.8	5.0 x 2.2	9	5005	Very elongated galaxy with bright core	CVn		13h 10m 54s	37° 03' N
M63 Sunflower Galaxy in C.Venatici	8.6	13.0 x 8.0	82	5055	Elongated galaxy with bright core	CVn	C	13h 15m 48s	42° 02' N
NGC5102 in Centaurus	9.7	9.3 x 3.5	26	5102	Elongated galaxy with bright core	Cen	c	13h 22m 00s	36° 38' S
#Common Name	Mag.	Size	Area	NGC	Type	Const.	VQ	R.A. (E2000)	Dec. (E2000)
NGC5128 in Centaurus	7.0	18.2 x 14.5	207	5128	Round galaxy, dusty	Cen	B	13h 25m 30s	43° 01' S
M51 Whirlpool Galaxy in C. Venatici	8.4	9.0 x 8.0	57	5194	Spiral galaxy structure attached companion	CVn	B	13h 29m 54s	47° 12' N
NGC5195 involved in M51	9.6	5.9 x 4.6		5195	Elliptical galaxy with attached companion	CVn		13h 29m 59s	47° 16' N
M83 in Hydra	7.6	10.5	87	5236	Barred spiral galaxy structure	Hya	B	13h 37m 00s	29° 52' S
M101 in Ursa Major	7.7	40.0	1,257	5457	Spiral galaxy structure with bright knots	UMa	C	14h 03m 12s	54° 21' N
M102 in Draco (?)	9.9	6.5 x 3.1		5866	Spiral galaxy structure with gradually brighter core	Dra		15h 06m 29s	55° 46' N
NGC6744 in Pavo	9.0	15.5 x 10.2	124	6744	Round galaxy with bright core	Pav	b	19h 09m 48s	63° 51' S
NGC6822 Barnard's Galaxy in Sagittarius *	9.0	10.0	79	6822	Galaxy, low brightness, bright knots	Sgr	c	19h 44m 54s	14° 48' S
NGC6946 in Cepheus	8.9	9.0	64	6946	Spiral galaxy structure with bright knots	Cep	b	20h 34m 48s	60° 09' N
NGC7331 in Pegasus	9.5	10.0 x 3.0	24	7331	Very elongated galaxy, dusty, bright core	Peg	C	22h 37m 06s	34° 25' N
NGC7793 in Sculptor	9.1	9.4 x 6.3	47	7793	Galaxy, low brightness, bright knots	Scl	c	23h 57m 48s	32° 35' S
