PBOZ 19        |          | 17 44.3 -27 58 |000.68 +00.75|     |IRAS 17403-2755
PBOZ 20        |          | 17 43.6 -27 58 |000.60 +00.88|     |IRAS 17412-2757
PBOZ 21        |          | 17 35.0 -25 24 |001.76 +03.87|     |RPZM 2-24,IRAS 17319-2521
PBOZ 22        |          | 17 35.0 -20 46 |005.68 +06.37|     |IRAS 17320-2043
PBOZ 23        |          | 17 36.3 -24 52 |002.36 +03.90|     |IRAS 17332-2451
PBOZ 26        |          | 17 40.6 -28 01 |000.21 +01.41|     |IRAS 17375-2759
PBOZ 27        |          | 17 40.7 -27 44 |000.46 +01.56|     |IRAS 17375-2742
PBOZ 28        |          | 17 47.0 -23 21 |004.94 +02.63|     |IRAS 17440-2321
PBOZ 29        |          | 17 47.8 -21 32 |006.59 +03.41|     |IRAS 17448-2131
PBOZ 30        |          | 17 50.6 -27 38 |001.68 -00.27|     |IRAS 17474-2738
PBOZ 32        |          | 17 58.2 -27 42 |002.47 -01.75|     |IRAS 17550-2741
PBOZ 33        |          | 18 04.6 -20 37 |009.35 +00.47|     |IRAS 18016-2037
PBZ 1          |          | 17 18.5 -37 58 |349.35 -00.21|     |IRAS 17150-3754
PGK 248-5      |*247- 4 1 | 07 42.4 -32 48 |247.58 -04.70| U   |
PM 1-115       |          | 16 51.1 -32 23 |350.43 +07.62|     |RPZM 2-2,IRAS 16478-3217
PM 1-130       |          | 17 11.7 -30 29 |354.63 +05.28| LE  |RPZM 2-4,IRAS 17084-3025
PM 1-133       |          | 17 13.6 -33 42 |352.25 +03.06|     |RPZM 2-6,IRAS 17103-3338
PM 1-135       |          | 17 15.8 -39 33 |347.76 -00.70|     |RPZM 2-8,IRAS 17123-3929
PM 1-136       |          | 17 16.4 -33 33 |352.71 +02.67|     |RPZM 2-10,IRAS 17131-3330
PM 1-140       |          | 17 19.7 -32 30 |353.97 +02.73|     |RPZM 2-12,IRAS 17164-3226
PM 1-143       |          | 17 22.7 -31 40 |355.02 +02.67|     |RPZM 2-13,IRAS 17194-3137
PM 1-147       |          | 17 26.9 -40 11 |348.45 -02.82|     |RPZM 2-16,IRAS 17234-4008
PM 1-151       |          | 17 29.9 -26 11 |000.46 +04.42| PN  |RPZM 2-20,IRAS 17267-2608
PM 1-156       |          | 17 33.4 -35 11 |353.33 -01.13|     |RPZM 2-23,IRAS 17300-3509
PM 1-165       |          | 17 38.2 -27 20 |000.49 +02.24|     |RPZM 2-29,IRAS 17350-2718
PM 1-171       |          | 17 41.5 -33 10 |355.93 -01.47|     |RPZM 2-33,IRAS 17381-3308
PM 1-186       |          | 17 53.0 -25 27 |003.83 +00.39|     |PBOZ 31,IRAS 17498-2526
Re 1           |          | 01 11.1 +10 22 |130.84 -52.21|     |
RPZM 2-3       |          | 17 11.4 -39 30 |347.31 +00.01|     |IRAS 17079-3926
RPZM 2-5       |          | 17 12.6 -35 43 |350.49 +02.06|     |IRAS 17092-3539
RPZM 2-7       |          | 17 14.8 -35 36 |350.86 +01.76|     |IRAS 17114-3532
RPZM 2-9       |          | 17 15.8 -35 11 |351.32 +01.83|     |IRAS 17125-3507
RPZM 2-11      |          | 17 18.7 -38 17 |349.12 -00.44|     |IRAS 17153-3814
RPZM 2-14      |          | 17 24.3 -39 02 |349.13 -01.76|     |IRAS 17208-3859
RPZM 2-15      |          | 17 24.7 -40 52 |347.64 -02.84| LE  |IRAS 17211-4049
RPZM 2-17      |          | 17 26.9 -34 03 |353.54 +00.60|     |IRAS 17235-3400
RPZM 2-18      |          | 17 27.0 -34 02 |353.58 +00.59|     |IRAS 17237-3359
RPZM 2-19      |          | 17 28.3 -37 05 |351.18 -01.33|     |IRAS 17249-3703
RPZM 2-21      |          | 17 30.2 -26 21 |000.36 +04.27| LE  |IRAS 17270-2618
RPZM 2-25      |          | 17 35.6 -28 07 |359.52 +02.30|     |IRAS 17324-2805
RPZM 2-26      |          | 17 36.4 -32 53 |355.61 -00.40|     |IRAS 17330-3250
RPZM 2-27      |          | 17 36.4 -34 44 |354.05 -01.40|     |IRAS 17330-3441
RPZM 2-28      |          | 17 38.0 -31 41 |356.80 -00.06|     |IRAS 17347-3139
RPZM 2-30      |          | 17 40.5 -33 30 |355.54 -01.47| PN  |IRAS 17372-3328
RPZM 2-31      |          | 17 40.8 -35 44 |353.67 -02.69| PN  |IRAS 17373-3542
RPZM 2-32      |          | 17 40.7 -30 02 |358.51 +00.33|     |IRAS 17375-3000
RPZM 2-34      |          | 17 42.8 -36 13 |353.47 -03.30| PN  |IRAS 17393-3612
RPZM 2-35      |          | 17 43.3 -31 46 |357.33 -01.05|     |IRAS 17400-3144
RPZM 2-36      |          | 17 45.2 -32 46 |356.68 -01.92|     |IRAS 17419-3245
RPZM 2-37      |          | 17 45.2 -33 36 |355.97 -02.35|     |IRAS 17418-3335
RPZM 2-38      |          | 17 47.0 -31 46 |357.75 -01.73|     |IRAS 17437-3144
RPZM 2-39      |          | 17 47.6 -29 51 |359.44 -00.84|     |IRAS 17443-2949
RPZM 2-40      |          | 17 49.3 -31 15 |358.42 -01.88| H2  |IRAS 17460-3114
RPZM 2-41      |          | 17 49.4 -31 47 |358.00 -02.18|     |IRAS 17461-3145
RPZM 2-42      |          | 17 49.9 -30 33 |359.10 -01.63|     |IRAS 17466-3031
RPZM 2-43      |          | 17 51.8 -30 03 |359.75 -01.73|     |IRAS 17486-3001
RPZM 2-44      |          | 18 01.2 -31 22 |359.61 -04.14| PPN |IRAS 17579-3121
RPZM 2-45      |          | 18 01.3 -31 11 |359.78 -04.07|     |IRAS 17580-3111
RPZM 2-46      |          | 17 16.7 -27 52 |357.41 +05.92|     |IRAS 17135-2748
RPZM 2-47      |          | 17 41.7 -26 15 |001.83 +02.15|     |IRAS 17385-2613
