034.6+11.8 |NGC 6572    |18 09 41.0 +06 50 00|05 Jul 1979 00 13|70|LWR 04946 
034.6+11.8 |NGC 6572    |18 09 41.0 +06 50 00|05 Jul 1979 01 48|70|SWP 05717 
034.6+11.8 |NGC 6572    |18 09 41.0 +06 50 00|07 Sep 1981 16 37|70|SWP 14917 
034.6+11.8 |NGC 6572    |18 09 41.0 +06 50 00|07 Sep 1981 17 06|70|LWR 11481 
034.6+11.8 |NGC 6572    |18 09 41.0 +06 50 00|07 Sep 1981 19 44|70|SWP 14918 
034.6+11.8 |NGC 6572    |18 09 41.0 +06 50 00|07 Sep 1981 20 25|70|LWR 11482 
034.6+11.8 |NGC 6572    |18 09 41.0 +06 50 00|07 Sep 1981 21 43|70|SWP 14919 
034.6+11.8 |NGC 6572    |18 09 42.0 +06 51 00|04 Sep 1978 17 34|70|SWP 02485 
034.6+11.8 |NGC 6572    |18 09 42.0 +06 51 00|04 Sep 1978 17 53|70|LWR 02271 
034.6+11.8 |NGC 6572    |18 09 42.0 +06 51 00|04 Sep 1978 18 26|70|SWP 02486 
036.0+17.6 |A 43        |17 51 11.0 +10 38 00|07 Sep 1980 21 45|70|LWR 08735 
036.0+17.6 |A 43        |17 51 11.0 +10 38 00|07 Sep 1980 23 03|70|SWP 10036 
036.0+17.6 |A 43        |17 51 11.0 +10 38 00|29 Sep 1980 21 50|70|SWP 10245 
036.0+17.6 |ABELL 43    |17 51 11.1 +10 37 53|21 Aug 1982 17 38|70|SWP 17733 
036.1-57.1 |NGC     7293|22 26 54.7 -21 05 40|30 Jun 1984 22 33|70|SWP 23369 
036.1-57.1 |NGC     7293|22 26 55.0 -21 05 32|27 Apr 1983 17 43|70|SWP 19832 
036.1-57.1 |NGC     7293|22 26 55.0 -21 05 32|28 Apr 1983 15 56|70|LWR 15828 
036.1-57.1 |NGC     7293|22 26 55.0 -21 05 32|30 Apr 1983 10 18|70|SWP 19859 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|03 Oct 1980 22 10|70|SWP 10271 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|03 Oct 1980 22 41|70|SWP 10271 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|03 Oct 1980 22 56|70|LWR 08942 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|03 Oct 1980 23 33|70|SWP 10272 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|10 May 1984 14 50|70|SWP 22963 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|10 May 1984 15 06|70|LWP 03315 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|10 May 1984 15 37|70|SWP 22964 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|10 May 1984 16 25|70|LWP 03316 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|10 May 1984 16 54|70|SWP 22965 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|10 May 1984 17 27|70|LWP 03317 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|10 May 1984 18 01|70|SWP 22966 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|10 May 1984 18 35|70|LWP 03318 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|10 May 1984 19 10|70|SWP 22967 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 33|10 May 1984 19 52|70|LWP 03319 
036.1-57.1 |NGC     7293|22 26 55.1 -21 05 53|12 Aug 1979 08 23|70|SWP 06159 
036.1-57.1 |NGC     7293|22 27 00.6 -21 05 40|12 Aug 1979 03 14|71|SWP 06157 
036.1-57.1 |NGC     7293|22 27 00.6 -21 05 40|12 Aug 1979 03 30|71|FES 01128 
036.1-57.1 |NGC     7293|22 27 00.6 -21 05 40|12 Aug 1979 03 52|71|LWR 05323 
036.1-57.1 |NGC     7293|22 27 00.6 -21 05 40|12 Aug 1979 05 49|71|SWP 06158 
036.1-57.1 |NGC     7293|22 27 00.6 -21 05 40|12 Aug 1979 07 55|70|LWR 05324 
036.1-57.1 |NGC 7293    |22 26 54.8 -21 05 41|30 Jun 1984 22 34|71|FES 01547 
036.1-57.1 |NGC 7293    |22 26 55.0 -21 06 00|11 Apr 1979 08 36|70|LWR 04238 
036.1-57.1 |NGC 7293    |22 26 55.0 -21 06 00|11 Apr 1979 10 02|70|SWP 04916 
036.1-57.1 |NGC 7293    |22 26 55.0 -21 06 00|11 Apr 1979 11 10|70|LWR 04239 
036.1-57.1 |NGC 7293    |22 26 55.0 -21 06 00|12 Apr 1979 10 34|70|LWR 04255 
036.1-57.1 |NGC 7293    |22 26 55.0 -21 06 00|12 Apr 1979 11 03|70|SWP 04924 
036.1-57.1 |NGC 7293    |22 26 55.0 -21 06 00|12 Apr 1979 11 09|70|SWP 04924 
037.7-34.5 |N   7009    |21 01 28.0 -11 34 00|13 Jun 1980 02 21|70|LWR 08010 
037.7-34.5 |N   7009    |21 01 28.0 -11 34 00|13 Jun 1980 02 47|70|SWP 09262 
037.7-34.5 |NGC     7009|21 01 27.5 -11 33 53|28 Mar 1980 19 56|70|SWP 08579 
037.7-34.5 |NGC     7009|21 01 27.5 -11 33 53|28 Mar 1980 20 30|70|SWP 08580 
037.7-34.5 |NGC     7009|21 01 27.5 -11 33 53|28 Mar 1980 23 35|70|LWR 07318 
037.7-34.5 |NGC     7009|21 01 27.6 -11 33 54|20 May 1980 16 42|70|SWP 09053 
037.7-34.5 |NGC     7009|21 01 27.6 -11 33 54|20 May 1980 16 57|70|LWR 07804 
037.7-34.5 |NGC     7009|21 01 27.6 -11 33 54|20 May 1980 17 26|70|SWP 09054 
037.7-34.5 |NGC     7009|21 01 27.6 -11 33 54|20 May 1980 19 30|70|LWR 07805 
037.7-34.5 |NGC     7009|21 01 27.6 -11 33 54|20 May 1980 21 41|70|SWP 09055 
037.7-34.5 |NGC     7009|21 01 27.6 -11 33 54|20 May 1980 22 27|70|LWR 07806 
037.7-34.5 |NGC     7009|21 01 27.6 -11 33 54|20 May 1980 23 31|70|SWP 09056 
037.7-34.5 |NGC     7009|21 01 27.6 -11 33 54|30 Aug 1980 04 33|70|LWR 08654 
037.7-34.5 |NGC     7009|21 01 27.6 -11 33 54|30 Aug 1980 05 08|70|SWP 09944 
037.7-34.5 |NGC     7009|21 01 27.6 -11 33 54|30 Aug 1980 05 45|70|LWR 08655 
037.7-34.5 |NGC     7009|21 01 27.6 -11 33 54|30 Aug 1980 07 49|70|SWP 09945 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|05 Jul 1981 13 39|71|SWP 14394 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|05 Jul 1981 14 38|71|SWP 14395 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|05 Jul 1981 15 23|71|LWR 11006 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|05 Jul 1981 16 31|71|SWP 14396 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|05 Jul 1981 17 19|71|LWR 11007 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|05 Jul 1981 18 25|71|SWP 14397 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|05 Jul 1981 18 56|71|LWR 11008 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|06 Jul 1981 12 34|71|SWP 14404 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|06 Jul 1981 13 59|71|LWR 11013 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|06 Jul 1981 14 31|71|SWP 14405 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|06 Jul 1981 15 35|71|LWR 11014 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|06 Jul 1981 16 21|71|FES 01337 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|06 Jul 1981 17 16|71|SWP 14406 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|06 Jul 1981 17 49|71|LWR 11015 
037.7-34.5 |NGC     7009|21 01 29.8 -11 33 58|06 Jul 1981 18 52|71|SWP 14407 
037.7-34.5 |NGC     7009|21 01 29.9 -11 33 59|06 Apr 1980 23 43|71|LWR 07423 
037.7-34.5 |NGC     7009|21 01 29.9 -11 33 59|07 Apr 1980 00 07|71|SWP 08671 
037.7-34.5 |NGC     7009|21 01 29.9 -11 33 59|07 Apr 1980 00 34|71|LWR 07424 
037.7-34.5 |NGC     7009|21 01 29.9 -11 33 59|07 Apr 1980 17 29|71|SWP 08679 
037.7-34.5 |NGC     7009|21 01 29.9 -11 33 59|07 Apr 1980 17 37|71|LWR 07431 
037.7-34.5 |NGC     7009|21 01 29.9 -11 33 59|07 Apr 1980 18 05|71|SWP 08680 
037.7-34.5 |NGC     7009|21 01 29.9 -11 33 59|07 Jul 1981 12 49|71|SWP 14409 
037.7-34.5 |NGC     7009|21 01 29.9 -11 33 59|07 Jul 1981 14 32|71|LWR 11017 
037.7-34.5 |NGC     7009|21 01 29.9 -11 33 59|28 Jun 1980 18 53|70|LWR 08137 
037.7-34.5 |NGC     7009|21 01 29.9 -11 33 59|28 Jun 1980 21 37|70|SWP 09387 
037.7-34.5 |NGC     7009|21 01 30.0 -11 34 00|03 Jun 1978 16 00|70|SWP 01706 
037.7-34.5 |NGC     7009|21 01 30.0 -11 34 00|03 Jun 1978 16 34|70|LWR 01609 
037.7-34.5 |NGC     7009|21 01 30.0 -11 34 00|03 Jun 1978 17 47|70|SWP 01707 
037.7-34.5 |NGC     7009|21 01 30.0 -11 34 00|03 Jun 1978 17 57|70|SWP 01707 
037.7-34.5 |NGC     7009|21 01 30.0 -11 34 00|13 Nov 1978 10 56|70|SWP 03328 
037.7-34.5 |NGC 7009    |21 01 27.6 -11 33 54|03 Jul 1984 20 09|71|SWP 23382 
037.7-34.5 |NGC 7009    |21 01 27.6 -11 33 54|03 Jul 1984 20 52|71|SWP 23383 
037.7-34.5 |NGC 7009    |21 01 28.0 -11 34 00|03 Jun 1978 23 02|70|LWR 01611 
037.7-34.5 |NGC 7009    |21 01 28.0 -11 34 00|03 Jun 1978 23 54|70|SWP 01709 
037.7-34.5 |NGC 7009    |21 01 28.0 -11 34 00|24 Oct 1978 15 01|70|LWR 02701 
037.7-34.5 |NGC 7009    |21 01 28.0 -11 34 00|24 Oct 1978 15 30|70|SWP 03128 
037.7-34.5 |NGC 7009    |21 01 28.0 -11 34 00|24 Oct 1978 16 46|70|SWP 03129 
037.7-34.5 |NGC 7009    |21 01 30.0 -11 34 00|09 May 1979 00 31|70|SWP 05174 
037.7-34.5 |NGC7009     |21 01 27.6 -11 33 54|24 Nov 1985 11 48|70|LWP 07175 
037.8-06.3 |N   6790    |19 20 24.0 +01 25 00|04 Sep 1980 19 25|70|SWP 10000 
037.8-06.3 |N   6790    |19 20 24.0 +01 25 00|04 Sep 1980 20 10|70|LWR 08709 
037.8-06.3 |N   6790    |19 20 42.0 +01 25 00|31 Oct 1980 14 54|70|SWP 10506 
037.8-06.3 |NGC     6790|19 20 24.4 +01 25 01|27 Sep 1979 08 54|70|SWP 06647 
037.8-06.3 |NGC     6790|19 20 25.0 +01 25 02|12 Sep 1987 13 48|70|SWP 31831 
037.8-06.3 |NGC     6790|19 20 42.0 +01 25 00|03 Jun 1978 20 35|70|SWP 01708 
037.8-06.3 |NGC     6790|19 20 42.0 +01 25 00|03 Jun 1978 20 46|70|SWP 01708 
037.8-06.3 |NGC     6790|19 20 42.0 +01 25 00|03 Jun 1978 21 15|70|LWR 01610 
037.8-06.3 |NGC     6790|19 20 42.0 +01 25 00|03 Jun 1978 21 26|70|LWR 01610 
037.8-06.3 |NGC 6790    |19 20 25.0 +01 25 00|06 Nov 1981 12 37|70|LWR 11922 
037.8-06.3 |NGC 6790    |19 20 25.0 +01 25 00|06 Nov 1981 13 41|70|SWP 15411 
037.8-06.3 |NGC 6790    |19 20 25.0 +01 25 00|08 Nov 1981 18 35|70|SWP 15446 
