002.7-04.8 |ESO-B.C+IDS 1986-07-10|b |    16.  |     2.2:|   590.  |    31.  |   524.  |   246.  |    12.  |    17.
002.7-52.4 |ESO-B.C+IDS 1985-08-01|b |         |         |   410.  |         |   169.  |    79.  |         |
002.8+01.7 |ESO-B.C+IDS 1984-04-28|b |         |         |    30. :|    58.  |  2806.  |  2536.  |    50.  |    96.
002.8+01.8 |ESO-B.C+CCD 1990-06-24|b |         |         |  1297.  |   166.  |  2293.  |  2815. :|   580.  |   486.
002.8-02.2 |ESO-B.C+IDS 1985-08-01|b |         |         |         |         |   797.  |   778.  |    38.  |    37.
002.9-03.9 |ESO-B.C+IDS 1986-07-12|b |    35.  |    19.  |  1509.  |    20.  |   753.  |         |         |
003.0-02.6 |ESO-B.C+CCD 1989-05-29|b |    34.  |         |  1190.  |         |   772.  |         |         |
003.1+02.9 |ESO-B.C+IDS 1985-08-04|b |    16.  |         |  1444.  |    41.  |  1262.  |   436.  |    21.  |    37.
003.1+03.4 |ESO-B.C+IDS 1984-04-30|b |         |         |         |         |  1353.  |   969.  |    77.  |   101.
003.2-04.4 |ESO-B.C+CCD 1989-06-02|b |         |    17.  |   917.  |    30.  |   677.  |         |         |
003.2-06.2 |ESO-B.C+CCD 1988-08-10|b |     5.  |         |   808.  |    23.  |   399.  |   179.  |    12.  |    20.
003.3-04.6 |ESO-B.C+IDS 1984-04-27|b |         |         |         |     1.4 |   551.  |   315.  |    12.  |    22.
003.3-07.5 |ESO-B.C+CCD 1989-06-02|b |         |         |   828.  |         |   420.  |         |         |
003.4-04.8 |ESO-B.C+IDS 1984-04-27|b |    23.  |    31.  |   146.  |    36.  |   735.  |         |         |
003.5-02.4 |ESO-B.C+CCD 1987-07-20|b |    67.  |    12.  |  1217.  |    27.  |   816.  |    98.  |    20.  |    23.
003.5-04.6 |ESO-B.C+IDS 1986-07-12|b |    22.  |     7.  |  1340.  |    15.  |   402.  |   477.  |    40.  |    53.
003.6+03.1 |ESO-B.C+IDS 1985-08-04|b |         |         |   215.  |    52.  |  1127.  |  1256.  |    14.  |    35.
003.6-02.3 |ESO-B.C+IDS 1985-08-01|b |    24. :|         |   611.  |    48.  |   852.  |   507.  |    43.  |    48.
003.7+07.9 |ESO-B.C+IDS 1986-07-13|a |         |         |   174.  |         |   100.  |    88.  |         |    11.
003.7-04.6 |ESO-B.C+IDS 1986-07-12|b |    35.  |     9.  |  1415.  |    18.  |   587.  |    27.  |     2.5 |     3.
003.8+05.3 |ESO-B.C+IDS 1984-04-30|b |         |         |   714.  |    51.  |   615.  |  1330.  |    72.  |    92.
003.8-04.3 |ESO-B.C+CCD 1988-08-10|b |    78.  |         |  1118.  |    19.  |   506.  |   113.  |    15.  |    17.
003.8-04.5 |ESO-B.C+IDS 1986-07-12|b |    43.  |         |   504.  |    27.  |   512.  |    66.  |         |
003.8-17.1 |ESO-B.C+IDS 1985-08-01|b |         |    10.  |  1406.  |    17.  |   345.  |    27.  |     1.8 |     3.
003.9+01.6 |ESO-B.C+CCD 1990-06-24|a |         |         |    10.  |     5.  |   100.  |   111.  |    14.  |    19.
003.9-02.3 |ESO-B.C+CCD 1987-07-20|b |     4. :|         |   887.  |    64.  |  1455.  |   866.  |    38.  |    68.
003.9-03.1 |ESO-B.C+CCD 1989-05-29|b |    87.  |         |   591.  |         |   601.  |         |         |
003.9-14.9 |ESO-B.C+IDS 1986-07-09|b |     0.3 |     4.  |   831.  |    15.  |   348.  |         |     0.4 |     0.7
004.0-03.0 |ESO-B.C+IDS 1986-07-13|b |     1.9:|    11.  |   516.  |    25.  |   525.  |    34.  |     3.  |     3.
004.0-05.8 |ESO-B.C+IDS 1986-07-10|b |    98.  |         |   608.  |    12.  |   410.  |         |         |
004.0-11.1 |ESO-B.C+IDS 1986-07-10|b |         |     2.2 |   599.  |    14.  |   319.  |    65.  |     3.  |     3.
004.1-03.8 |ESO-B.C+CCD 1989-06-02|b |         |         |   910.  |         |   695.  |   127.  |         |
004.2-03.2 |ESO-B.C+CCD 1989-06-01|b |         |         |  1152.  |    29.  |   710.  |         |         |
004.2-04.3 |ESO-B.C+IDS 1986-07-10|b |         |         |  1098.  |    18.  |   481.  |         |         |
004.2-05.9 |ESO-B.C+IDS 1985-07-19|b |         |         |    92.  |    32.  |   525.  |   181.  |    13.  |    10.
004.3+01.8 |ESO-B.C+IDS 1984-04-25|b |         |         |   480.  |    94.  |  1381.  |   494.  |    98.  |    84.
004.3-02.6 |ESO-B.C+IDS 1985-07-31|b |         |         |   491.  |    56.  |  1352.  |  1173.  |     4. :|    12. :
004.6+06.0 |ESO-B.C+IDS 1984-04-27|b |         |         |   315.  |    51.  |   866.  |   182.  |     3.  |     6.
004.7-11.8 |ESO-B.C+IDS 1985-08-03|b |    88.  |    11.  |   524.  |         |   319.  |         |         |
004.8+02.0 |ESO-B.C+IDS 1984-04-30|b |         |         |    58.  |         |  1522.  |   598.  |    21.  |    46.
004.8-05.0 |ESO-B.C+CCD 1988-08-10|b |    32.  |         |   631.  |    28.  |   434.  |    28.  |     4.  |     4.
004.8-22.7 |ESO-B.C+IDS 1985-08-02|b |         |         |   869.  |    27.  |   464.  |    35.  |         |
004.9+04.9 |ESO-B.C+IDS 1986-07-12|b |         |         |   518.  |    41.  |   852.  |   663.  |    14.  |    27.
004.9-04.9 |ESO-B.C+IDS 1985-08-02|b |         |         |    25. :|    57.  |   590.  |   474.  |    32.  |    48.
005.0+03.0 |ESO-B.C+IDS 1985-07-15|b |         |         |   249.  |    66. :|  1090.  |   170.  |    26.  |    41.
005.0+04.4 |ESO-B.C+IDS 1986-07-13|b |         |         |   797.  |    47.  |   800.  |   361.  |     9.  |    14.
005.0-03.9 |ESO-B.C+IDS 1986-07-12|b |    71. :|         |   561.  |    40.  |   825. :|   101.  |         |
005.1-03.0 |ESO-B.C+IDS 1986-07-12|b |         |         |   165.  |    32.  |  1530.  |   478.  |     5. :|     9. :
005.1-08.9 |ESO-B.C+IDS 1985-07-19|b |         |         |   231.  |    30.  |   467.  |    37.  |         |
005.2+04.2 |ESO-B.C+IDS 1984-04-30|b |         |    48.  |   320.  |    46.  |  2600.  |   268.  |         |
005.2+05.6 |ESO-B.C+IDS 1986-07-11|b |    13.  |         |   633.  |    35.  |   640.  |    86.  |     5.  |     6.
005.2-18.6 |ESO-B.C+CCD 1989-06-03|b |    30.  |         |  1065.  |         |   390.  |     8.  |         |
005.4-01.9 |ESO-B.C+CCD 1989-06-03|a |         |         |     7.  |         |   100.  |    33.  |         |
005.5+02.7 |ESO-B.C+IDS 1985-08-03|b |         |         |   181.  |    37.  |  1561.  |  1029.  |         |
005.5+06.1 |ESO-B.C+IDS 1985-07-19|b |         |         |    45.  |    33.  |   855.  |   519.  |    33.  |    32.
005.5-02.5 |ESO-B.C+IDS 1986-07-12|b |    15.  |         |   843.  |    37.  |   860.  |   259.  |    19.  |    28.
005.5-04.0 |ESO-B.C+IDS 1985-07-20|b |    85.  |    25. :|  1064.  |         |   893.  |         |         |    16. :
005.6-04.7 |ESO-B.C+CCD 1989-06-03|b |   110.  |         |   729.  |    29.  |   502.  |   115.  |    22.  |    25.
005.7-03.6 |ESO-B.C+CCD 1989-06-03|b |    46.  |         |   549.  |    44.  |   839.  |   272.  |         |
005.7-05.3 |ESO-B.C+IDS 1986-07-09|b |   101.  |         |   950.  |    14.  |   568.  |   111.  |    12.  |    19.
005.8+05.1 |ESO-B.C+IDS 1986-07-13|b |    91. :|         |  1556.  |         |   572.  |   790.  |   109.  |    85.
005.8-06.1 |ESO-B.C+IDS 1986-07-12|b |    22.  |     6.  |  1244.  |    18.  |   436.  |   406.  |    30.  |    46.
005.9-02.6 |ESO-B.C+CCD 1989-06-02|a |         |         |         |         |   100.  |   185.  |    19.  |    54.
006.0+02.8 |ESO-B.C+IDS 1985-07-31|b |         |         |         |         |  1060.  |   646.  |    25. :|    24. :
006.0+03.1 |ESO-B.C+IDS 1985-07-31|b |         |         |  1050.  |         |   965.  |  3494.  |   246.  |   230.
006.0-03.6 |ESO-B.C+CCD 1988-08-10|b |         |     5.  |  1224.  |    34.  |   762.  |   170.  |    15.  |    26.
006.0-41.9 |ESO-B.C+CCD 1989-06-03|b |         |         |  1184.  |         |   339.  |         |         |
006.1+08.3 |ESO-B.C+CCD 1988-08-09|b |         |     5.  |*  326.  |    29.  |   627.  |    78.  |     3.  |     6.
006.2+01.0 |ESO-B.C+CCD 1989-05-29|b |         |         |         |         |   100.  |    70.  |         |
006.2-03.7 |ESO-B.C+CCD 1989-06-03|b |         |         |  1080.  |         |   827.  |         |         |
006.3+03.3 |ESO-B.C+IDS 1985-07-31|b |         |         |         |    37. :|  1021.  |   995.  |    66.  |    84.
006.3+04.4 |ESO-B.C+IDS 1986-07-09|b |         |     8. :|  1427.  |    25.  |   749.  |    30.  |         |     9. :
006.4+02.0 |ESO-B.C+IDS 1986-07-13|b |         |         |   737.  |    48.  |  1043.  |   516.  |    11.  |    20.
006.4-04.6 |ESO-B.C+IDS 1985-07-20|b |    93.  |         |  1422.  |     9. :|   785.  |    44.  |         |
006.5-03.1 |ESO-B.C+IDS 1985-08-02|b |         |         |   378.  |    61.  |  1328.  |  1096.  |         |
006.7-02.2 |ESO-B.C+IDS 1985-07-31|b |         |         |  1421.  |         |  1671.  |  4809.  |   157.  |   259.
006.8+02.0 |ESO-B.C+CCD 1989-05-29|b |         |         |   377.  |    75.  |  1908.  |   488.  |    14.  |    37.
006.8+02.3 |ESO-B.C+CCD 1989-05-29|b |    52.  |     6. :|  1661.  |    28.  |  1078.  |   243.  |    22.  |    39.
006.8+04.1 |ESO-B.C+CCD 1988-08-09|b |     8.  |         |  1064.  |    55.  |  1402.  |   224.  |    12.  |    25.
006.8-03.4 |ESO-B.C+CCD 1989-05-28|b |         |    15.  |  1073.  |    33.  |   851.  |         |         |
006.8-08.6 |ESO-B.C+CCD 1987-07-22|b |   106.  |         |   472.  |         |   383.  |         |         |
006.8-19.8 |ESO-B.C+CCD 1987-07-22|b |    13.  |    12.  |  1198.  |    18.  |   329.  |    19.  |     2.3:|     3. :
007.0+06.3 |ESO-B.C+IDS 1986-07-12|b |         |         |   533.  |    30.  |   793.  |   109.  |     4.  |     8.
007.0-06.0 |ESO-B.C+IDS 1986-07-09|b |    65.  |    15.  |  1203.  |    15.  |   456.  |    98.  |    10.  |    13.
007.0-06.8 |ESO-B.C+IDS 1986-07-12|b |         |         |   593.  |    23.  |   458.  |   163.  |     7.  |    12.
007.2+01.8 |OHP-CAR+CCD 1986-08-01|b |    39.  |         |  1731.  |    59.  |  1486.  |   841.  |B  138.  |
007.5+04.3 |ESO-B.C+IDS 1985-07-20|b |         |    56.  |   279.  |    39.  |  1310.  |         |         |
007.5+07.4 |ESO-B.C+IDS 1986-07-10|b |    20.  |     4. :|   542.  |    30.  |   413.  |   259.  |    20.  |    26.
007.6+06.9 |ESO-B.C+CCD 1988-08-09|b |    35.  |         |   844.  |    28.  |   636.  |   111.  |    14.  |    16.
007.8-03.7 |ESO-B.C+IDS 1985-07-20|b |    20.  |    26. :|   703.  |    41.  |   949.  |   654.  |    48.  |    74.
007.8-04.4 |ESO-B.C+IDS 1985-08-02|b |         |         |         |         |   596.  |   402.  |    19.  |    36.
007.9+10.1 |ESO-B.C+CCD 1989-06-02|b |    14.  |    42.  |   170.  |    38.  |   847.  |         |         |
008.0+03.9 |ESO-B.C+IDS 1986-07-11|b |    57.  |    13.  |  2015.  |    16.  |   626.  |   754.  |    42.  |    47.
008.1-04.7 |ESO-B.C+IDS 1986-07-10|b |         |    13.  |   537.  |    23.  |   567.  |    77.  |     3.  |     4.
008.2+06.8 |ESO-B.C+IDS 1984-04-30|b |         |         |         |     4.  |   581.  |   213.  |     4.  |    10.
008.2-04.8 |ESO-B.C+IDS 1986-07-10|b |         |     4.  |   929.  |    25.  |   589.  |    95.  |     9.  |    12.
008.3-01.1 |ESO-B.C+IDS 1986-07-12|b |    35.  |         |  1878.  |    54.  |  2144.  |  2950.  |    92.  |   181.
008.3-07.3 |ESO-B.C+IDS 1986-07-10|b |    15.  |    12.  |*  465.  |    18.  |   348.  |    53.  |     1.4 |     3.
008.4-03.6 |ESO-B.C+IDS 1985-07-19|b |         |         |    60.  |    43.  |   968.  |   631.  |    56.  |    58.
008.6-02.6 |ESO-B.C+CCD 1989-05-30|b |         |         |   995.  |    52.  |  1582.  |    49.  |         |
008.6-07.0 |ESO-B.C+IDS 1986-07-09|b |    15.  |         |   807.  |    32.  |   646.  |  1154.  |    83.  |    85.
008.8+05.2 |ESO-B.C+IDS 1985-07-19|b |    44.  |         |   596.  |    58. :|   699.  |   365.  |    55.  |    50.
009.0+04.1 |ESO-B.C+IDS 1986-07-11|b |    40.  |         |   856.  |    34.  |   806.  |   178.  |    12.  |    19.
009.3+02.8 |ESO-B.C+CCD 1989-05-30|a |         |         |   107.  |         |   100.  |    55.  |         |
009.3+04.1 |ESO-B.C+CCD 1988-08-11|b |         |         |  1078.  |    24.  |   588.  |    32.  |         |
009.4-05.0 |ESO-B.C+IDS 1986-07-10|b |         |     5.  |   772.  |    22.  |   584.  |    32.  |         |
009.4-09.8 |ESO-B.C+IDS 1985-08-03|b |    13.  |     5. :|   773.  |    23.  |   476.  |    42.  |     3.  |     9.
009.6+10.5 |ESO-B.C+IDS 1986-07-10|b |         |         |   234.  |    19.  |   414.  |    41.  |    15.  |    14.
009.6+14.8 |ESO-B.C+IDS 1986-07-08|b |    87.  |         |  1181.  |    15.  |   547.  |    25.  |         |
009.6-10.6 |ESO-B.C+IDS 1986-07-12|b |    19.  |     7.  |  1090.  |    13.  |   380.  |         |         |
009.8-04.6 |ESO-B.C+CCD 1987-07-20|b |    55.  |     8.  |  1156.  |    17.  |   666.  |   220.  |    27.  |    36.
010.1+00.7 |OHP-CAR+CCD 1986-08-02|b |    78.  |    17.  |  1172.  |    40.  |  1495.  |  1584.  |B  104.  |
010.4+04.5 |ESO-B.C+IDS 1986-07-11|b |    17.  |         |   604.  |    30.  |   593.  |    98.  |     6.  |     8.
010.6+03.2 |ESO-B.C+IDS 1985-08-01|b |         |         |   347.  |    44.  |   748.  |   474.  |    16.  |    32.
010.7+07.4 |ESO-B.C+CCD 1989-05-31|b |   110.  |         |   849.  |         |   517.  |    29. :|         |
010.7-06.4 |ESO-B.C+CCD 1989-05-28|b |     1.8 |    16.  |*  501.  |    23.  |   518.  |    27.  |     2.2 |     3.
010.7-06.7 |ESO-B.C+IDS 1986-07-10|b |   102.  |    14. :|   908.  |         |   462.  |         |         |
010.8-01.8 |ESO-B.C+CCD 1989-05-28|b |         |     3.  |   893.  |    39.  |   878.  |    36.  |     2.1 |     3.
011.0+05.8 |ESO-B.C+CCD 1988-08-11|b |    23.  |     8.  |  1145.  |    23.  |   474.  |   221.  |    11.  |    21.
011.0+06.2 |ESO-B.C+CCD 1988-08-11|b |    22.  |         |   811.  |    30.  |   511.  |    42.  |     7.  |     7.
011.0-05.1 |ESO-B.C+CCD 1988-08-12|b |     4.  |    14.  |  1257.  |    19.  |   366.  |         |         |
011.1+11.5 |ESO-B.C+IDS 1986-07-10|b |         |     3.  |   941.  |    23.  |   550.  |   307.  |    12.  |    21.
011.3+02.8 |ESO-B.C+IDS 1984-04-30|b |         |         |   117.  |    52.  |  1454.  |   128.  |    16.  |    12.
011.3-09.4 |ESO-B.C+IDS 1985-07-31|b |         |     2.1 |    63.  |    11.  |   483.  |   199.  |     3.  |     6.
011.7-00.0 |ESO-B.C+IDS 1985-07-27|b |         |         |   656.  |    74.  |  2320.  |   180.  |         |
011.7-00.6 |ESO-B.C+CCD 1989-05-28|b |     2.1 |    10.  |  1038.  |    23.  |   530.  |    18.  |     0.9 |     1.9
011.7-06.6 |ESO-B.C+CCD 1989-06-04|b |         |         |         |         |   493.  |   347.  |    15.  |    31.
011.9+04.2 |OHP-CAR+CCD 1986-07-29|b |         |         |   398.  |    55.  |   933.  |  1849.  |    57.  |    88.
012.5-09.8 |ESO-B.C+IDS 1986-07-11|b |     8.  |    11.  |  1299.  |    15.  |   440.  |         |         |
012.6-02.7 |ESO-B.C+IDS 1985-08-02|b |         |         |         |     9. :|  1205.  |   933.  |    35.  |    69.
013.0-04.3 |ESO-B.C+IDS 1986-07-10|b |    20.  |     5. :|   590.  |    35.  |   517.  |    71.  |     8.  |    10.
013.1+04.1 |ESO-B.C+CCD 1989-06-03|b |     3.  |         |  1073.  |    44.  |   949.  |   406.  |    19.  |    35.
