089.8-05.1 |OHP-CAR+CCD 1986-08-02|b |    12.  |    17.  |*  551.  |    22.  |   429.  |    94.  |         |
091.6+01.8 |OHP-CAR+CCD 1988-06-19|a |         |         |   171. :|         |   100. :|   150. :|         |
091.6-04.8 |OHP-CAR+CCD 1989-10-02|b |     9. :|     6. :|   958.  |    22.  |   432.  |   664.  |    45. :|    49. :
092.1+05.8 |OHP-CAR+CCD 1989-10-02|b |         |         |  1280.  |         |  1200.  |   900.  |   240. :|   204. :
093.3-00.9 |OHP-CAR+CCD 1986-07-29|b |   160.  |         |   938.  |         |   620.  |   137.  |         |
093.3-02.4 |OHP-CAR+CCD 1986-08-01|b |    34.  |         |   699.  |    36.  |   318.  |   551.  |         |
093.5+01.4 |OHP-CAR+CCD 1987-05-20|b |         |         |   298.  |         |  3305.  |   639.  |         |
094.0+27.4 |OHP-CAR+CCD 1988-06-19|b |   123. :|         |   301. :|         |   230.  |         |         |
094.5-00.8 |OHP-CAR+CCD 1989-10-02|b |         |         |   900.  |         |  1700.  |  3600.  |         |
095.1-02.0 |OHP-CAR+CCD 1987-05-20|b |         |         |  1217.  |    29.  |   734.  |    65.  |         |
095.2+00.7 |OHP-CAR+CCD 1986-07-28|b |         |         |  1255.  |    80.  |  2239.  |   349.  |         |
095.2+07.8 |OHP-CAR+CCD 1988-01-25|a |         |         |    82. :|         |   100. :|   111. :|         |
096.3+02.3 |OHP-CAR+CCD 1986-07-29|b |         |         |   830.  |    40.  |   835.  |    60.  |         |
096.4+29.9 |OHP-CAR+CCD 1986-12-21|b |     6.  |         |         |    23.  |   293.  |         |     1.3 |     3.
097.5+03.1 |OHP-CAR+CCD 1986-08-01|b |    91. :|         |  1777.  |         |  6432.  |         |         |
097.6-02.4 |OHP-CAR+CCD 1988-01-21|b |         |    13. :|  1319.  |    27. :|   618.  |         |         |
098.1+02.4 |END                   |b |   134. :|         |   966.  |    30. :|   746.  |         |         |
098.2+04.9 |OHP-CAR+CCD 1987-05-22|b |    33.  |         |  1586.  |    38.  |  1794.  |   504.  |         |
100.0-08.7 |OHP-CAR+CCD 1986-08-01|b |         |     6.  |*  331.  |    25.  |         |   161.  |     0.5:|     0.8:
100.6-05.4 |OHP-CAR+CCD 1986-08-01|b |     9.  |    12.  |  1219.  |    17.  |   372.  |         |     3.  |     3.
101.8+08.7 |OHP-CAR+CCD 1988-01-25|b |         |         |   408.  |         |   230.  |    22. :|    35. :|    11. :
102.8-05.0 |OHP-CAR+CCD 1986-12-23|a |         |         |         |         |   100.  |   227.  |         |
102.9-02.3 |OHP-CAR+CCD 1986-08-01|a |         |         |   293.  |         |   100.  |   480.  |    79.  |    83.
103.2+00.6 |OHP-CAR+CCD 1988-01-23|b |         |         |   958.  |         |   481.  |         |         |
103.7+00.4 |OHP-CAR+CCD 1988-01-23|b |    97. :|         |  1266.  |         |  1159. :|  2072.  |         |
104.1+01.0 |OHP-CAR+CCD 1988-12-03|b |         |         |  1439.  |    84.  |  2504.  |   319.  |         |
104.1+07.9 |OHP-CAR+CCD 1988-01-23|b |         |         |   769.  |    38. :|   432.  |   308.  |         |
104.2-29.6 |OHP-CAR+CCD 1988-01-25|b |    44. :|         |   488.  |         |   132. :|    44. :|         |
104.4-01.6 |OHP-CAR+CCD 1986-08-01|b |         |         |   957.  |    27.  |   433.  |   814.  |         |
104.8-06.7 |OHP-CAR+CCD 1986-07-29|b |         |         |         |         |   421.  |   217.  |         |
106.5-17.6 |OHP-CAR+CCD 1986-12-23|b |    17.  |    18.  |*  425.  |    13.  |   282.  |     8.  |         |
107.4-00.6 |OHP-CAR+CCD 1989-03-22|b |         |         |    91.  |         |   834.  |    35. :|         |
107.4-02.6 |OHP-CAR+CCD 1989-03-23|b |    92.  |         |   518.  |         |   722.  |    47. :|         |
107.6-13.3 |OHP-CAR+CCD 1986-07-28|b |     3.  |     9.  |   990.  |    14.  |         |         |         |
107.7-02.2 |OHP-CAR+CCD 1986-07-29|b |    43.  |    14.  |  1222.  |    12.  |   434.  |   200.  |         |
107.8+02.3 |OHP-CAR+CCD 1986-07-28|b |    46.  |    12.  |  1455.  |    27.  |   870.  |   174.  |         |
108.4-76.1 |ESO-B.C+IDS 1986-01-21|b |    20.  |     7. :|   347.  |     8.  |   154.  |    18.  |         |
110.6-12.9 |OHP-CAR+CCD 1986-12-22|a |         |         |   183.  |         |   100.  |         |         |
111.2+07.0 |OHP-CAR+CCD 1989-03-23|b |    56. :|         |   137. :|         |   850.  |   806.  |         |
111.8-02.8 |OHP-CAR+CCD 1986-07-29|b |         |    13.  |*  151.  |    29.  |         |         |         |
112.5+03.7 |OHP-CAR+CCD 1989-10-03|b |         |         |  2075.  |         |  1888.  |  1725.  |         |
112.5-00.1 |OHP-CAR+CCD 1989-10-03|b |         |    22. :|   315.  |    41.  |   493. :|  1315. :|   122.  |    93.
113.6-06.9 |OHP-CAR+CCD 1986-12-23|b |         |         |   523.  |         |   431.  |    69. :|         |
114.0-04.6 |OHP-CAR+CCD 1986-12-22|a |         |         |   132.  |         |   100.  |    39. :|         |
116.2+08.5 |OHP-CAR+CCD 1986-07-29|b |    59. :|         |   660.  |    18.  |   387.  |   325.  |    30. :|    19. :
117.5+18.9 |OHP-CAR+CCD 1986-08-01|b |    35. :|         |   703.  |         |   242.  |         |         |
118.0-08.6 |OHP-CAR+CCD 1986-08-02|b |     3.  |     5.  |   858.  |    18.  |   330.  |         |         |
118.7+08.2 |OHP-CAR+CCD 1988-01-25|a |         |         |   129. :|         |   100. :|         |         |
118.8-74.7 |OHP-CAR+CCD 1986-12-22|b |    94.  |    30.  |   549.  |         |   228.  |         |         |
119.3+00.3 |OHP-CAR+CCD 1987-03-10|b |   100. :|         |   674.  |    60. :|   667. :|  2267.  |   205.  |   210.
119.4+06.5 |OHP-CAR+CCD 1986-12-20|b |         |         |   305. :|         |   495. :|   220. :|         |
119.6-06.7 |OHP-CAR+CCD 1986-08-02|b |    21.  |    13.  |  1296.  |    24.  |   411.  |   275.  |         |
120.0+09.8 |OHP-CAR+CCD 1986-07-31|b |         |         |         |   121.  |   287.  |   246.  |         |   253.
121.6+00.0 |OHP-CAR+CCD 1988-12-03|b |         |         |   740.  |    29.  |   452.  |   381.  |         |
121.6+03.5 |OHP-CAR+CCD 1988-01-25|a |         |         |    56. :|         |   100.  |    80. :|         |
122.1-04.9 |OHP-CAR+CCD 1986-12-22|b |    39. :|         |  1057.  |         |   530.  |    54.  |    36.  |    27.
123.6+34.5 |OHP-CAR+CCD 1988-01-23|b |         |    11. :|  1095.  |    22.  |   330.  |         |         |
124.0+10.7 |OHP-CAR+CCD 1989-10-02|b |         |         |   424.  |   167. :|   545.  |   197.  |   112. :|   106. :
124.3-07.7 |OHP-CAR+CCD 1989-10-03|b |         |         |   600.  |         |   653. :|         |         |
126.3+02.9 |OHP-CAR+CCD 1989-03-22|b |    89.  |    27. :|   314.  |         |   560.  |         |     7. :|    14. :
129.5+04.5 |OHP-CAR+CCD 1989-03-22|b |         |         |   355.  |         |   308.  |   482.  |    58. :|    92. :
130.2+01.3 |OHP-CAR+CCD 1986-12-21|b |    16.  |     7. :|  1352.  |    33.  |   950.  |         |     4. :|    13.
130.3-11.7 |OHP-CAR+CCD 1986-12-20|b |    93.  |     7. :|   437.  |     3. :|   596.  |    20.  |         |
130.4+03.1 |OHP-CAR+CCD 1989-03-28|b |         |         |  1867.  |   167. :|  1400.  |  1300.  |         |
130.9-10.5 |OHP-CAR+CCD 1986-12-19|b |    68.  |     9.  |  1186.  |    15.  |   649.  |   490.  |   115.  |    10.
131.4-05.4 |OHP-CAR+CCD 1987-03-10|b |    87. :|         |   671.  |         |   384.  |   144.  |         |
131.5+02.6 |OHP-CAR+CCD 1988-12-03|a |         |         |   140.  |         |   100.  |    77.  |         |
132.4+04.7 |OHP-CAR+CCD 1989-03-28|b |    21. :|         |   953.  |    29. :|   859.  |   812.  |    82. :|    94. :
133.1-08.6 |OHP-CAR+CCD 1986-12-21|b |     9. :|         |   176.  |    46.  |  1421.  |         |         |
136.1+04.9 |OHP-CAR+CCD 1988-01-25|a |         |         |   250.  |         |   100. :|    92. :|         |    58. :
138.8+02.8 |OHP-CAR+CCD 1986-12-19|b |   109.  |     8.  |   460.  |         |   659.  |     5.  |         |
142.1+03.4 |OHP-CAR+CCD 1989-03-23|b |    50. :|         |   741.  |         |   601.  |   704.  |B  138.  |
144.3-15.5 |OHP-CAR+CCD 1986-12-20|b |    43.  |         |  1054.  |         |   448.  |    42.  |         |
144.5+06.5 |OHP-CAR+CCD 1986-12-20|b |         |         |   932.  |    77.  |   824.  |         |         |
146.7+07.6 |OHP-CAR+CCD 1986-12-20|b |         |         |         |    36.  |  1646.  |         |B  124.  |
147.4-02.3 |OHP-CAR+CCD 1986-12-??|b |         |         |  1436.  |    68.  |  2112.  |    86.  |B   23.  |
147.8+04.1 |OHP-CAR+CCD 1987-03-10|b |         |     6. :|  1181.  |    34.  |   844.  |    20. :|         |     6. :
149.0+04.4 |OHP-CAR+CCD 1989-03-24|a |         |         |    88. :|         |   100.  |   129.  |    14. :|    14. :
151.4+00.5 |OHP-CAR+CCD 1989-03-23|b |    24. :|         |   552.  |         |   516.  |   258.  |B  141.  |
153.7+22.8 |OHP-CAR+CCD 1988-01-21|a |         |         |   117. :|         |   100.  |         |         |
153.7-01.4 |OHP-CAR+CCD 1989-03-25|b |         |         |  1207.  |    74. :|  1269.  |  1190.  |   243.  |    95.
156.9-13.3 |OHP-CAR+CCD 1989-10-02|a |         |         |   107.  |         |   100.  |         |    15. :|    18. :
159.0-15.1 |OHP-CAR+CCD 1986-12-20|b |    42.  |    12.  |  1230.  |    15.  |   566.  |         |         |
161.2-14.8 |OHP-CAR+CCD 1988-01-23|b |    65.  |    12.  |   983.  |     8.  |   365.  |         |B    3.  |
165.5-06.5 |OHP-CAR+CCD 1986-12-21|b |         |    12.  |  1224.  |    56.  |  1750.  |         |         |    43.
165.5-15.2 |OHP-CAR+CCD 1986-12-19|b |         |         |  1189.  |    20.  |   502.  |         |         |     4.
166.1+10.4 |OHP-CAR+CCD 1986-12-21|b |         |         |         |         |   100.  |     0. :|         |
166.4-06.5 |OHP-CAR+CCD 1986-12-19|b |         |         |    21. :|    13. :|  1575.  |   122.  |         |
167.0-00.9 |OHP-CAR+CCD 1986-12-22|a |         |         |    70. :|         |   100.  |         |         |
167.4-09.1 |OHP-CAR+CCD 1986-12-21|b |         |         |   287.  |    33.  |  1519.  |         |B   17.  |
170.3+15.8 |OHP-CAR+CCD 1988-12-02|b |   102.  |    20.  |   191.  |         |   267.  |         |         |
170.7+04.6 |OHP-CAR+CCD 1989-10-04|b |    54.  |         |  1215.  |    33.  |   842.  |   213.  |    13. :|    14. :
171.3-25.8 |OHP-CAR+CCD 1986-12-23|b |         |         |   326.  |         |   266.  |         |         |
173.5+03.2 |OHP-CAR+CCD 1989-10-02|b |         |         |   592.  |         |   500.  |         |         |
173.7+02.7 |OHP-CAR+CCD 1989-10-05|b |         |         |         |         |  2645.  |         |B  512.  |
173.7-05.8 |OHP-CAR+CCD 1986-12-22|a |         |         |   176. :|         |   100. :|         |         |
174.2-14.6 |OHP-CAR+CCD 1986-12-21|b |    93.  |         |   572.  |         |   881.  |         |         |
178.3-02.5 |OHP-CAR+CCD 1986-12-22|b |    78.  |         |   750.  |         |   548.  |         |         |
181.5+00.9 |OHP-CAR+CCD 1988-01-25|a |         |         |   257.  |         |   100. :|    76. :|         |
183.8+05.5 |OHP-CAR+CCD 1989-10-08|a |         |         |         |         |   100. :|         |         |
184.6+00.6 |OHP-CAR+CCD 1989-03-26|b |    51. :|         |   978.  |    31. :|  1005.  |  2163.  |B  152.  |
184.8+04.4 |OHP-CAR+CCD 1989-03-25|b |    88.  |         |   590.  |         |   721.  |         |         |
189.8+07.7 |ESO-B.C+IDS 1986-01-20|b |    19.  |     7.  |  1315.  |    14.  |   428.  |   465.  |    20.  |    23.
190.3-17.7 |ESO-B.C+IDS 1986-01-18|b |     4.  |    15.  |  1336.  |    17.  |   394.  |     9. :|     0.4:|     0.9:
192.5+07.2 |OHP-CAR+CCD 1988-12-02|a |         |         |   234.  |         |   100.  |         |         |
193.6-09.5 |ESO-B.C+IDS 1986-01-19|b |    21.  |         |  1359.  |    12.  |   427.  |    84.  |    14.  |    16.
194.2+02.5 |ESO-B.C+IDS 1986-01-20|b |    35.  |    10.  |  1127.  |    12.  |   449.  |    80.  |     3.  |     6.
196.6-10.9 |ESO-B.C+IDS 1986-01-20|b |   104.  |    10.  |   755.  |         |   398.  |         |         |
197.2-14.2 |OHP-CAR+CCD 1986-12-22|b |         |         |   940.  |         |   668.  |         |B   94.  |
197.8+17.3 |ESO-B.C+IDS 1986-01-20|b |    29.  |    23.  |  1406.  |    11.  |   395.  |   160.  |     9.  |    14.
197.8-03.3 |ESO-B.C+IDS 1986-01-19|a |         |         |    54. :|         |   100.  |   417.  |         |
198.6-06.3 |ESO-B.C+IDS 1986-01-23|b |         |         |  1218.  |         |   509.  |   475.  |    70.  |    63.
200.7+08.4 |ESO-B.C+IDS 1986-01-20|a |         |         |   215.  |         |   100.  |         |         |
201.7+02.5 |ESO-B.C+IDS 1986-12-13|b |         |         |  1684.  |    34.  |  1097.  |   788.  |    14.  |    23.
201.9-04.6 |ESO-B.C+IDS 1986-01-20|a |         |         |         |         |   100.  |   363.  |   125.  |
204.1+04.7 |ESO-B.C+CCD 1989-06-02|a |         |         |   106.  |         |   100.  |    94.  |         |
204.8-03.5 |ESO-B.C+IDS 1986-12-10|b |         |         |         |         |   100.  |   380. :|         |
205.1+14.2 |OHP-CAR+CCD 1986-12-23|b |         |         |   147.  |         |   250. :|   425. :|         |
205.8-26.7 |ESO-B.C+IDS 1986-12-11|b |         |         |   899.  |    12.  |   227.  |         |         |
206.4-40.5 |ESO-B.C+IDS 1986-12-12|b |    17.  |    14.  |  1253.  |     9.  |   285.  |         |         |
208.5+33.2 |OHP-CAR+CCD 1986-12-23|b |         |         |  3000.  |         |   200.  |  1000.  |         |
210.3+01.9 |ESO-B.C+IDS 1986-01-20|b |    45.  |         |  1319.  |    16.  |   616.  |   673.  |    26.  |    30.
211.2-03.5 |ESO-B.C+IDS 1986-01-18|b |         |         |   122.  |    24.  |  1274.  |   604.  |     5.  |    11.
211.4+18.4 |ESO-B.C+CCD 1989-06-02|a |         |         |   305. :|         |   100.  |         |         |
212.0+04.3 |ESO-B.C+IDS 1986-01-19|b |         |     3.  |   551.  |    20.  |   487.  |   111.  |     2.3 |     4.
214.9+07.8 |ESO-B.C+CCD 1988-03-16|b |    88.  |         |   678.  |         |   430.  |         |         |
215.2-24.2 |ESO-B.C+IDS 1986-01-19|b |         |     0.2:|   149.  |    13.  |         |   178.  |     2.4 |     5.
215.6+03.6 |OHP-CAR+CCD 1986-12-19|b |    34.  |     7.  |  1088.  |    16.  |   236.  |   388.  |B   16.  |
215.6+11.1 |ESO-B.C+CCD 1988-03-16|a |         |         |   215.  |         |   100.  |   135.  |         |
216.0-00.2 |ESO-B.C+CCD 1988-03-14|a |         |         |    78.  |         |   100.  |         |         |
216.3-04.4 |ESO-B.C+IDS 1986-12-11|b |    97.  |         |   251.  |         |   408.  |         |         |
217.1+14.7 |ESO-B.C+CCD 1988-03-16|b |         |         |   105.  |         |   239.  |  1518.  |         |
217.4+02.0 |ESO-B.C+IDS 1984-04-28|b |    26.  |         |   947.  |    18.  |   468.  |   332.  |    37.  |    36.
218.9-10.7 |ESO-B.C+CCD 1988-03-14|b |         |         |    50.  |         |   444.  |   249.  |    84.  |    67.
220.3-53.9 |ESO-B.C+IDS 1986-01-22|b |    92.  |         |   556.  |         |   214.  |         |         |
221.3-12.3 |ESO-B.C+IDS 1986-01-20|b |    48.  |    16.  |  1260.  |    13.  |   473.  |    52.  |     1.9 |     4.
221.5+46.3 |ESO-B.C+CCD 1989-05-30|b |         |         |   751.  |         |   353.  |         |         |
221.7+05.3 |ESO-B.C+IDS 1986-01-19|b |    33.  |         |  1131.  |    14.  |   501.  |  1672.  |         |
226.4-03.7 |ESO-B.C+IDS 1986-01-21|b |    40.  |    14.  |  1413.  |    17.  |         |         |         |
226.7+05.6 |ESO-B.C+IDS 1986-01-19|b |    22.  |    11.  |  1465.  |    21.  |   601.  |  1370.  |    17.  |
228.8+05.3 |ESO-B.C+IDS 1986-01-22|b |    11.  |    12.  |  1551.  |    20.  |   464.  |   396.  |    22.  |    41.
229.6-02.7 |ESO-B.C+CCD 1988-03-15|a |         |         |    55.  |         |   100.  |   534.  |         |
231.4+04.3 |ESO-B.C+IDS 1986-01-22|b |         |         |  1207.  |         |   470.  |   848.  |    54.  |    25.
231.8+04.1 |ESO-B.C+IDS 1986-01-22|b |     4. :|         |   758.  |    13.  |   308.  |   577.  |    64.  |    51.
232.0+05.7 |ESO-B.C+CCD 1990-06-20|b |         |         |         |         |   653.  |   262.  |    13.  |    17.
232.4-01.8 |ESO-B.C+IDS 1986-01-21|b |    23.  |    11.  |  1385.  |    17.  |   487.  |   673.  |    18.  |    20.
232.8-04.7 |ESO-B.C+IDS 1986-01-18|b |         |         |    10.  |     8.  |   884.  |   571.  |     1.5 |     4.
233.0-10.1 |ESO-B.C+CCD 1988-03-13|b |         |         |   466.  |         |   229.  |    32.  |         |
233.5-16.3 |ESO-B.C+CCD 1988-03-12|b |   153.  |         |   264.  |         |   572.  |         |         |
234.8+02.4 |ESO-B.C+IDS 1986-01-22|b |    61.  |    22.  |  1790.  |    12.  |   464.  |  1236.  |     8.  |    14.
234.9-01.4 |ESO-B.C+IDS 1986-01-22|b |         |     1.6:|   372.  |    19.  |   552.  |   159.  |     3.  |     4.
235.3-03.9 |ESO-B.C+IDS 1986-01-18|b |         |         |    16.  |     6.  |   533.  |   312.  |     2.3 |     5.
236.0-10.6 |ESO-B.C+CCD 1988-03-12|a |         |         |         |         |   100.  |         |         |
236.7+03.5 |ESO-B.C+IDS 1986-01-22|b |    97. :|         |   701.  |         |   218.  |   197.  |         |
238.0+34.8 |OHP-CAR+CCD 1986-12-23|b |         |         |   353. :|         |   280.  |         |         |
238.9+07.3 |ESO-B.C+IDS 1986-01-23|b |         |         |   736.  |         |   270.  |   158.  |    27.  |    22.
239.6+13.9 |ESO-B.C+IDS 1986-01-23|b |    65. :|         |   326.  |         |   272.  |         |         |
239.6-12.0 |ESO-B.C+IDS 1986-01-23|b |   155.  |         |   919.  |         |   340.  |         |         |
240.3+07.0 |ESO-B.C+CCD 1989-05-30|b |    76.  |    17.  |   924.  |     6.  |   355.  |         |         |
240.3-07.6 |ESO-B.C+IDS 1986-01-18|b |    95.  |         |   492.  |    23.  |   547.  |  1573.  |    49.  |    41.
241.0+02.3 |ESO-B.C+IDS 1986-01-23|b |    74.  |         |  1239.  |         |   343.  |   124.  |         |
242.6-11.6 |ESO-B.C+IDS 1986-01-21|b |         |     7.  |   931.  |    15.  |   372.  |    81.  |     8.  |    10.
243.3-01.0 |ESO-B.C+IDS 1986-01-22|b |    65.  |    16.  |  1575.  |    11.  |   350.  |   226.  |    19.  |    31.
244.5+12.5 |ESO-B.C+CCD 1988-03-13|a |         |         |         |         |   100.  |   462.  |         |
245.4+01.6 |ESO-B.C+IDS 1986-01-19|b |    33.  |    13.  |  1262.  |    14.  |   531.  |   629.  |    11.  |    13.
248.8-08.5 |ESO-B.C+IDS 1986-01-22|b |    77.  |    15.  |   897.  |     3.  |   358.  |    19.  |     1.8 |     1.9
249.3-05.4 |END                   |b |         |         |  2400.  |         |  1800.  |  1400.  |         |
250.3+00.1 |ESO-B.C+CCD 1988-03-15|a |         |         |    91.  |         |   100.  |   102.  |    27.  |    23.
251.1-01.5 |ESO-B.C+CCD 1988-03-15|b |         |         |   852.  |         |   633.  |   729.  |         |
252.6+04.4 |ESO-B.C+CCD 1988-03-12|b |         |         |   325.  |         |   584.  |   680.  |         |
253.5+10.7 |ESO-B.C+CCD 1988-03-14|b |   112. :|         |   583.  |         |   394.  |   151.  |         |
253.9+05.7 |ESO-B.C+IDS 1986-01-21|b |     1.9:|     1.2:|   808.  |    19.  |   463.  |     3. :|     0.4:|     0.8:
254.6+00.2 |ESO-B.C+IDS 1986-01-22|b |         |         |   517.  |    25.  |   935.  |   723.  |    10.  |    10.
255.7+03.3 |ESO-B.C+CCD 1991-06-10|b |    15. :|         |   155.  |         |   331.  |   310.  |   102.  |    67.
257.1-02.6 |ESO-B.C+CCD 1989-05-30|b |         |         |  1817.  |         |  2572.  |         |         |
257.5+00.6 |ESO-B.C+IDS 1986-12-15|b |         |         |   665.  |         |   368.  |  1549.  |    83.  |    59.
258.0-15.7 |ESO-B.C+IDS 1986-01-24|b |    76.  |         |  1283.  |         |   309.  |    53.  |         |
258.1-00.3 |ESO-B.C+IDS 1986-01-20|b |         |     7. :|   771.  |    43.  |  1413.  |   338.  |     8.  |    14.
259.1+00.9 |ESO-B.C+IDS 1986-01-18|b |    47. :|         |  1070.  |    67. :|  1207.  |   146.  |    46. :|    70. :
260.7+00.9 |ESO-B.C+CCD 1989-05-29|b |         |         |  1075.  |         |  2510.  |   125. :|         |
260.7-03.3 |ESO-B.C+CCD 1989-06-01|b |         |         |    80.  |         |   338.  |  1551.  |   211.  |   200.
261.0+32.0 |ESO-B.C+IDS 1986-01-24|b |    17.  |    11.  |*  698.  |    13.  |   352.  |         |     0.3:|     0.4
261.6+03.0 |ESO-B.C+IDS 1986-01-20|b |    51.  |         |  1323.  |    22.  |  1240.  |  4450.  |   194.  |   249.
261.9+08.5 |ESO-B.C+IDS 1986-01-24|b |    51.  |    22. :|  1501.  |    15. :|   431.  |   929.  |    79.  |    77.
262.6-04.6 |ESO-B.C+IDS 1986-01-24|b |    49. :|         |  1259.  |         |   638.  |    70. :|         |
263.0-05.5 |ESO-B.C+IDS 1986-01-20|b |     9.  |    11.  |  1244.  |    18.  |   538.  |   172.  |     9.  |    16.
263.2+00.4 |ESO-B.C+IDS 1986-01-21|b |         |         |   176.  |         |   523.  |   159.  |    62.  |    50.
263.3-08.8 |ESO-B.C+IDS 1986-12-13|b |         |         |  1025.  |         |   393.  |   219.  |    43.  |    35.
264.1-08.1 |ESO-B.C+IDS 1986-01-19|b |     3.  |    11.  |  1294.  |    15.  |   414.  |    75.  |     5.  |     7.
264.4-03.6 |ESO-B.C+CCD 1989-06-01|a |         |         |   192.  |         |   100.  |   127.  |    86.  |    57.
264.4-12.7 |ESO-B.C+IDS 1986-01-19|b |         |     3.  |   605.  |    16.  |   361.  |    65.  |     1.1 |     2.1
265.1-02.2 |ESO-B.C+CCD 1990-06-20|b |         |         |  1425.  |   113.  |  1562.  |  4823.  |    79.  |   138.
265.1-04.2 |ESO-B.C+IDS 1986-01-24|b |         |         |  1102.  |         |   434.  |   308.  |    41.  |    36.
265.7+04.1 |ESO-B.C+CCD 1989-05-27|b |    85.  |    15.  |  1065.  |     7.  |   601.  |     7.  |         |
268.4+02.4 |ESO-B.C+IDS 1986-01-24|b |    37.  |    18.  |  1979.  |    40.  |  1382.  |   399.  |    14.  |    21.
269.7-03.6 |ESO-B.C+IDS 1986-01-24|b |    27.  |    19.  |  1933.  |         |  1008.  |  1163.  |    65.  |   105.
272.1+12.3 |ESO-B.C+IDS 1986-01-18|b |     5.  |     4.  |  1021.  |    14.  |   319.  |   393.  |    32.  |    32.
272.4-05.9 |ESO-B.C+CCD 1989-05-29|b |         |         |   711.  |         |   393.  |   315.  |         |
273.2-03.7 |ESO-B.C+IDS 1986-01-19|b |    18.  |         |  1178.  |    18.  |   543.  |   537.  |    32.  |    30.
274.1+02.5 |ESO-B.C+IDS 1986-01-18|b |         |    18.  |   360.  |    46.  |  2136.  |   238.  |    12. :|     7. :
274.3+09.1 |ESO-B.C+CCD 1990-06-24|b |    92.  |         |   310.  |         |   286.  |         |         |
274.6+02.1 |ESO-B.C+IDS 1986-01-18|b |         |     3.  |   958.  |    22.  |   567.  |    24.  |         |
274.6+03.5 |ESO-B.C+IDS 1986-01-18|b |    46.  |         |  1869.  |     9. :|   521.  |   650.  |    45.  |    48.
275.0-04.1 |ESO-B.C+IDS 1986-01-24|b |    24.  |         |   990.  |    20.  |   513.  |    24.  |     1.0 |     0.7
275.2-02.9 |ESO-B.C+IDS 1986-01-20|b |    14.  |         |  1140.  |    21.  |   550.  |   413.  |    46.  |    48.
275.2-03.7 |ESO-B.C+IDS 1986-01-18|b |         |   174.  |   531.  |    64.  |  3101.  |         |         |
275.3-04.7 |ESO-B.C+IDS 1986-01-20|b |    28.  |    13.  |  1318.  |    14.  |   518.  |         |         |
275.5-01.3 |ESO-B.C+IDS 1986-01-19|b |         |         |  1844.  |    42.  |  1496.  |   339.  |    12.  |    23.
275.8-02.9 |ESO-B.C+IDS 1986-01-20|b |    72.  |    23.  |  2006.  |    15.  |   593.  |   576.  |    41.  |    46.
277.1-03.8 |ESO-B.C+IDS 1986-01-23|b |    48.  |         |   759.  |         |   340.  |  1354.  |   100.  |    89.
277.7-03.5 |ESO-B.C+CCD 1989-05-28|b |         |         |   444.  |         |   402.  |   866.  |   122.  |    72.
278.1-05.9 |ESO-B.C+IDS 1986-01-23|b |    29.  |    13.  |  1460.  |    13.  |   384.  |    84.  |     6.  |    10.
278.5-04.5 |ESO-B.C+IDS 1986-01-18|b |         |         |  1216.  |         |   865.  |  4041.  |   227.  |   214.
278.6-06.7 |ESO-B.C+IDS 1986-01-21|b |     6.  |    12.  |  1412.  |    17.  |   413.  |    71.  |     3.  |     5.
279.6-03.1 |ESO-B.C+IDS 1986-01-20|a |    18.  |         |   260.  |         |   100.  |    15.  |         |
280.0+02.9 |ESO-B.C+IDS 1986-01-21|b |    75.  |    19.  |   879.  |     6.  |   592.  |         |         |
281.0-05.6 |ESO-B.C+IDS 1986-01-23|b |         |     6.  |   866.  |    17.  |   379.  |   114.  |     3.  |     5.
282.9+03.8 |ESO-B.C+IDS 1986-01-18|b |         |         |   960.  |    23.  |   359.  |   230.  |         |
283.3+03.9 |ESO-B.C+IDS 1986-01-21|b |    34.  |    11.  |  1398.  |    17.  |   469.  |   491.  |    27.  |    26.
283.6+25.3 |ESO-B.C+CCD 1989-05-31|a |         |         |   214.  |         |   100.  |         |         |
283.8+02.2 |ESO-B.C+IDS 1986-01-22|b |    67.  |    14.  |  1375.  |     7.  |   549.  |         |     0.8:|     1.6:
283.8-04.2 |ESO-B.C+IDS 1986-01-19|b |    59.  |    19.  |  1446.  |     8.  |   428.  |   211.  |    18.  |    20.
283.9-01.8 |ESO-B.C+IDS 1984-04-30|b |         |         |  1010.  |         |  1248.  |  3465.  |   341.  |   317.
285.4+01.5 |ESO-B.C+IDS 1986-01-19|b |         |     4.  |  1257.  |    41.  |  1143.  |   461.  |     8.  |    16.
285.4+02.2 |ESO-B.C+IDS 1986-01-23|b |    78.  |    29.  |  1786.  |    10.  |   739.  |    74.  |    13.  |    14.
285.4-01.1 |ESO-B.C+CCD 1988-03-12|b |         |         |    92.  |         |   733.  |   226.  |    99.  |    30.
285.4-05.3 |ESO-B.C+IDS 1986-01-24|b |    22.  |    10.  |  1317.  |    15.  |   401.  |    53.  |     3.  |     5.
285.6-02.7 |ESO-B.C+IDS 1984-04-30|b |         |         |    12.  |     7.  |   556.  |   458.  |     4.  |     8.
285.7+01.2 |ESO-B.C+IDS 1986-01-21|b |    17.  |    10.  |  1743.  |    34.  |  1215.  |    57.  |         |
285.7-14.9 |ESO-B.C+IDS 1986-01-24|b |    46.  |    16.  |  1253.  |     8.  |   348.  |     2.5 |         |
286.0-06.5 |ESO-B.C+IDS 1986-01-20|b |         |     7.  |   982.  |    19.  |   478.  |    80.  |     2.1 |     3.
286.2-06.9 |ESO-B.C+CCD 1989-05-28|b |         |         |   308.  |    18.  |   395.  |   219.  |    30.  |    33.
