261.0+32.0 | E         0.7    86..1537
261.0+32.0 | S         2.0    87.35002
261.0+32.0 | W         1.14   85....32
261.0+32.0 | X         0.76   83.30751
261.9+08.5 | C         3.57   84..9316
261.9+08.5 | E         1.1    86..1537
261.9+08.5 | E         1.4    78..1992
261.9+08.5 | E         1.8    83.30751
265.7+04.1 | E         1.9    86..1120
265.7+04.1 | E         2.5    83.30751
265.7+04.1 | E         2.6    78..1992
272.1+12.3 | E         0.54   86..1120
272.1+12.3 | E         0.6    86..1537
272.1+12.3 | E         0.70   80..1020
272.1+12.3 | S         0.67   80..1020
278.1-05.9 | E         1.4  : 78..1992
278.1-05.9 | E         1.7    86..1537
278.1-05.9 | E         2.0    83.30751
278.1-05.9 | E       > 2.0    86..1120
278.1-05.9 | K         1.3    78..1992
281.0-05.6 | E         1.7    78..1992
281.0-05.6 | E         1.7    86..1537
285.7-14.9 | S         3.5    87.35002
286.3-04.8 | E         1.91   86..1120
286.3-04.8 | E         2.5    83.30751
294.1+43.6 | M         1.4    86..1537
294.1+43.6 | S         1.2    87.35002
294.6+04.7 | E         1.0    78..1992
294.6+04.7 | E         1.0    86..1537
294.6+04.7 | E         1.3    83.30751
294.6+04.7 | E         2.24   86..1120
298.3-04.8 | E         0.8    86..1537
298.3-04.8 | E         1.4    78..1992
303.6+40.0 | S         0.36   81.....5
304.5-04.8 | E         2.1    78..1992
307.2-03.4 | E         0.8    83.30751
307.2-03.4 | E         1.3    86..1537
307.2-03.4 | E         1.6    78..1992
307.2-03.4 | E         1.73   86..1120
307.2-03.4 | K         0.9    78..1992
307.5-04.9 | E         0.8    86..1537
307.5-04.9 | E         1.9    78..1992
309.1-04.3 | E         1.3    83.30751
309.1-04.3 | E         2.6    86..1120
309.1-04.3 | K         2.6    78..1992
315.1-13.0 | E         0.59   86..1120
315.1-13.0 | E         0.70   80..1020
315.1-13.0 | E         1.0    83.30751
315.1-13.0 | E         1.2    85.13514
315.1-13.0 | W         0.84   85....32
316.1+08.4 | S         8.3    87.35002
318.4+41.4 | M         0.4    86..1537
320.1-09.6 | S         5.0    87.35002
321.8+01.9 | K         1.2  : 78..1992
322.4-02.6 | E         1.1    86..1537
322.4-02.6 | E         1.3    78..1992
324.2+02.5 | K         2.1  : 78..1992
325.8-12.8 | S         7.4    87.35002
326.0-06.5 | S         8.0    87.35002
327.8+10.0 | E         0.9    86..1537
327.8+10.0 | E         1.3    83.30751
329.0+01.9 | E         1.3    78..1992
329.0+01.9 | E         1.6    86..1537
331.4-03.5 | S         4.0    87.35002
331.5-03.9 | K         1.4  : 78..1992
331.7-01.0 | E         4.5    78..1992
338.1-08.3 | E         0.8    83.30751
339.9+88.4 | S         0.40   80..2605
341.8+05.4 | E         1.6    86..1537
341.8+05.4 | E         1.8    83.30751
342.1+10.8 | E         1.8    83.30751
342.1+10.8 | E         1.9    86..1537
345.2-08.8 | S         3.8    87.35002
345.4+00.1 | S         1.5    87.35002
350.9+04.4 | S         4.6    87.35002
358.5-07.3 | E         0.6    78..1992
358.5-07.3 | E         0.8    83.30751
358.9-00.7 | E         1.8    78..1992
358.9-00.7 | E         1.8    86..1537
358.9-00.7 | S         1.9    87.35002
359.3-00.9 | E         2.0    78..1992
359.3-00.9 | E         2.0    86..1537
