Barnard,RAJ2000,DECJ2000
B290,"17h 59' 20""",-37бу 08'
B291,"17h 59' 43""",-33бу 53'
B292,"18h 00' 34""",-33бу 20'
B293,"18h 01' 12""",-35бу 20'
B294,"18h 01' 30""",-28бу 36'
B295,"18h 04' 05""",-31бу 09'
B296,"18h 04' 04""",-24бу 31'
B297,"18h 04' 00""",-18бу 44'
B298,"18h 05' 11""",-30бу 05'
B299,"18h 06' 20""",-27бу 17'
B300,"18h 07' 01""",-32бу 39'
B301,"18h 08' 50""",-18бу 42'
B302,"18h 09' 13""",-23бу 58'
B303,"18h 09' 28""",-23бу 59'
B304,"18h 13' 00""",-18бу 43'
B305,"18h 14' 37""",-31бу 48'
B306,"18h 15' 44""",-25бу 42'
B307,"18h 18' 38""",-17бу 57'
B308,"18h 19' 08""",-22бу 14'
B309,"18h 23' 08""",-24бу 01'
B310,"18h 30' 13""",-18бу 35'
B311,"18h 30' 27""",-17бу 40'
B312,"18h 32' 00""",-15бу 34'
B313,"18h 35' 56""",-15бу 41'
B314,"18h 37' 04""",-09бу 42'
B315,"18h 42' 18""",-20бу 01'
B316,"18h 41' 50""",-02бу 08'
B317,"18h 45' 46""",-14бу 12'
B318,"18h 49' 42""",-06бу 23'
B319,"18h 51' 58""",-01бу 16'
B320,"18h 52' 47""",-05бу 51'
B321,"18h 54' 02""",-11бу 17'
B322,"18h 55' 47""",-04бу 27'
B323,"18h 57' 34""",-03бу 25'
B324,"18h 59' 22""",-02бу 59'
B325,"18h 59' 53""",-04бу 03'
B326,"19h 03' 00""",-00бу 23'
B327,"19h 04' 26""",-05бу 07'
B328,"19h 04' 49""",-04бу 14'
B329,"19h 06' 59""",+03бу 11'
B330,"19h 19' 33""",+07бу 33'
B331,"19h 26' 00""",+07бу 34'
B332,"19h 28' 00""",+08бу 45'
B333,"19h 28' 00""",+10бу 40'
B334,"19h 35' 06""",+12бу 19'
B335,"19h 36' 54""",+07бу 36'
B336,"19h 36' 41""",+12бу 20'
B337,"19h 37' 00""",+12бу 23'
B338,"19h 43' 02""",+07бу 27'
B339,"19h 44' 00""",+08бу 17'
B340,"19h 48' 44""",+11бу 24'
B341,"19h 50' 01""",+34бу 16'
B342,"20h 09' 30""",+41бу 12'
B343,"20h 13' 26""",+40бу 16'
B344,"20h 16' 12""",+40бу 13'
B345,"20h 21' 00""",+46бу 33'
B346,"20h 26' 46""",+43бу 44'
B347,"20h 28' 27""",+39бу 54'
B348,"20h 34' 00""",+42бу 05'
B349,"20h 47' 24""",+43бу 57'
B350,"20h 49' 06""",+45бу 52'
B351,"20h 52' 27""",+47бу 24'
B352,"20h 57' 10""",+45бу 53'
B353,"20h 57' 22""",+45бу 28'
B354,"20h 58' 00""",+58бу 09'
B355,"20h 59' 38""",+43бу 11'
B356,"20h 59' 58""",+46бу 41'
B357,"20h 59' 52""",+55бу 34'
B358,"21h 05' 40""",+43бу 16'
B359,"21h 06' 46""",+57бу 10'
B360,"21h 07' 52""",+56бу 30'
B361,"21h 12' 45""",+47бу 25'
B362,"21h 23' 57""",+50бу 12'
B363,"21h 24' 53""",+48бу 56'
B364,"21h 34' 00""",+54бу 33'
B365,"21h 34' 53""",+56бу 43'
B366,"21h 40' 21""",+59бу 34'
B367,"21h 44' 24""",+57бу 10'
B368,"21h 50' 55""",+58бу 59'
B369,"22h 15' 54""",+56бу 01'
B370,"22h 34' 00""",+56бу 38'
