Arp,Name,VT,u_VT,dim1,---,dim2,u_dim2,MType,Uchart,RAh,RAm,RAs,DE-,DEd,DEm,DEs
249,UGC 12891,16.2,--,--,--,--,--,--,--,0,0,19.3,+,22,59,26
249,UGC 12891,16.2,--,1.3,X,0.5,--,--,--,0,0,21.6,+,22,59,42
112,NGC 7805,13.3,--,1.2,X,0.9,--,SAB0^0: pec,89,0,1,26.9,+,31,26,2
112,NGC 7806,13.5,--,1.1,X,0.8,--,SA(rs)bc? pec,89,0,1,30.2,+,31,26,33
130,IC 5378,15.6,--,0.5,--,--,--,SBc,--,0,2,37.7,+,16,39,8
130,IC 5378,15.3,--,--,--,--,--,E,--,0,2,37.8,+,16,38,37
51,MGC-02-01-24,15.0,--,0.8,--,--,--,--,--,0,6,16.8,-,13,26,53
144,NGC 7828,14.4,--,0.9,X,0.5,--,Ring A,260,0,6,27.1,-,13,24,58
144,NGC 7829,14.6,--,0.7,--,--,--,Ring B pec,260,0,6,29.0,-,13,25,15
146,ARP 146,--,--,0.7,X,0.6,--,Ring A,--,0,6,44.0,-,6,38,7
146,VV 790,--,--,--,--,--,--,Pec,--,0,6,44.4,-,6,38,10
146,ARP 146,--,--,0.7,X,0.6,--,Ring A,--,0,6,44.8,-,6,38,14
246,NGC 7837,14.4,--,0.4,X,0.2,--,--,170,0,6,51.4,+,8,21,5
246,NGC 7838,14.3,--,0.7,X,0.3,--,--,170,0,6,53.7,+,8,21,0
235,NGC 0014,12.7,--,2.8,X,2.1,--,(R)IB(S)m pec,170,0,8,46.2,+,15,48,56
113,NGC 0070,14.5,--,1.4,X,1.2,--,SA(rs)c III,89,0,18,22.4,+,30,4,50
256,MCG-02-01-52,13.6,--,1.1,X,0.8,--,SB(S)c pec,--,0,18,50.0,-,10,21,42
256,MCG-02-01-51,14.8,--,1.1,X,0.6,--,SB(S)c pec,--,0,18,50.9,-,10,22,37
256,VV 352,--,--,--,--,--,--,--,--,0,18,51.4,-,10,22,33
65,NGC 0091,13.7,--,2.2,--,--,--,SAB(S)c pec I,126,0,21,51.7,+,22,24,1
35,UGC 00212,15.5,--,--,--,--,--,SP,--,0,22,21.4,-,1,20,47
35,UGC 00212,15.0,--,1.5,X,0.7,--,SB,--,0,22,23.0,-,1,18,13
201,UGC 00224,16.0,--,0.5,X,0.3,--,Disrupted,--,0,23,33.7,-,0,29,22
201,UGC 00224,16.0,--,--,--,--,--,--,--,0,23,37.7,-,0,30,35
100,IC 0018,15.0,--,1.5,X,0.8,--,--,--,0,28,38.1,-,11,34,25
100,IC 0019,15.0,--,0.8,X,0.5,--,--,--,0,28,39.5,-,11,38,27
19,NGC 0145,13.2,--,1.8,X,1.3,--,SB(s)dm,216,0,31,45.0,-,5,9,12
282,NGC 0169,12.4,--,2.7,X,0.7,--,SA(s)ab: sp,126,0,36,52.0,+,23,59,30
282,IC 1559,14.0,--,0.8,X,0.5,--,SAB pec:,126,0,36,52.2,+,23,59,4
127,NGC 0191,12.5,--,1.5,X,1.2,--,SAB(rs)C:pec,261,0,38,59.2,-,9,0,7
127,IC 1563,14.2,--,0.7,X,0.4,--,I 0,--,0,39,0.1,-,9,0,52
168,MESSIER 32,9.0,--,8.8,X,6.5,--,cE2,60,0,42,41.8,+,40,51,52
231,IC 1575,14.5,--,--,--,--,--,--,--,0,43,33.3,-,4,7,5
230,IC 0051,13.0,--,1.4,X,1.2,--,SO pec?,261,0,46,24.2,-,13,26,32
140,NGC 0274,13.0,--,1.5,--,--,--,SAB(r:)0^0^ p,261,0,51,1.7,-,7,3,24
140,NGC 0275,12.5,--,1.6,X,1.1,--,S pec,261,0,51,4.6,-,7,3,48
251,VV 674,15.5,--,0.9,X,0.4,--,Triple,--,0,53,46.9,-,13,51,40
121,MCG-01-03-052,14.5,--,0.9,X,0.7,--,Disrupted,--,0,59,23.3,-,4,48,50
121,MCG-01-03-051,14.5,--,2.1,X,0.6,--,Sa pec sp,--,0,59,23.5,-,4,48,15
59,NGC 0341A,14.5,--,1.1,--,--,--,SAB(r)bc II,262,1,0,45.7,-,9,11,8
59,NGC 0341B,14.7,--,0.3,X,0.2,--,--,262,1,0,47.6,-,9,11,15
331,NGC 0379,12.6,--,1.4,X,0.8,--,S0,91,1,7,15.7,+,32,31,17
331,NGC 0380,12.5,--,1.4,X,1.2,--,E2,91,1,7,18.0,+,32,29,2
331,NGC 0382,14.0,--,0.7,--,--,--,E0,91,1,7,23.8,+,32,24,13
331,NGC 0383,11.9,--,1.6,X,1.4,--,SA0-,91,1,7,24.9,+,32,24,45
331,NGC 0384,13.0,--,1.1,X,0.9,--,E3,91,1,7,25.0,+,32,17,34
331,NGC 0385,12.9,--,1.1,X,1.0,--,LA-*,91,1,7,27.6,+,32,19,16
331,NGC 0386,14.1,--,0.9,X,0.8,--,E3,91,1,7,31.2,+,32,21,44
331,NGC 0388,14.3,--,0.9,X,0.8,--,E3,91,1,7,47.1,+,32,18,36
236,IC 1623A,14.3,--,0.5,X,0.4,--,S pec,--,1,7,47.6,-,17,30,24
236,IC 1623B,15.5,--,0.7,X,0.6,--,--,--,1,7,49.6,-,17,30,18
11,UGC 00717,14.4,--,1.5,X,1.0,--,SBb,--,1,9,23.1,+,14,20,12
164,NGC 0455,12.6,--,2.0,X,1.2,--,S?,172,1,15,57.2,+,5,10,40
128,UGC 00827,15.4,--,0.7,X,0.2,--,DBL SYS,--,1,17,24.4,+,14,41,48
128,UGC 00827,16.8,--,--,--,--,--,--,--,1,17,29.3,+,14,42,9
88,VV 445,--,--,--,--,--,--,Spiral,--,1,19,5.6,+,12,28,45
119,UGC 00849,14.7,--,--,--,--,--,Sdm:,--,1,19,24.1,+,12,26,49
119,UGC 00849,14.9,--,--,--,--,--,E?,--,1,19,24.5,+,12,27,43
227,NGC 0470,11.9,--,2.8,X,1.8,--,SA(r)b pec II,217,1,19,45.5,+,3,24,37
48,CGCG 436-026,15.7,--,--,--,--,--,Pair,--,1,19,56.6,+,12,20,44
227,NGC 0474,11.5,--,7.1,X,6.3,--,(R')SAB0^0 pec,217,1,20,6.7,+,3,25,1
67,UGC 00892,14.0,--,1.6,X,1.5,--,SB(r)ab,--,1,21,16.8,-,0,32,42
8,NGC 0497,13.0,--,2.1,X,0.9,--,SB(r)b I-II,217,1,22,23.2,-,0,52,29
70,UGC 00934,17.0,--,--,--,--,--,--,--,1,23,26.8,+,30,46,20
70,UGC 00934,15.0,--,1.7,X,0.6,--,S?,--,1,23,28.3,+,30,47,5
229,NGC 0507,14.1,--,3.1,--,--,--,Sa(r)0^0,91,1,23,39.7,+,33,15,23
229,NGC 0508,13.5,--,1.3,--,--,--,E0:,91,1,23,40.6,+,33,16,51
157,NGC 0520,11.5,--,4.5,X,1.8,--,"S pec, Pair",218,1,24,35.2,+,3,47,37
158,NGC 0523,13.5,--,2.5,X,0.7,--,Pec,91,1,25,19.6,+,34,1,29
133,NGC 0541,12.1,--,1.8,X,1.8,--,E0 or S0-,218,1,25,44.2,-,1,22,47
308,NGC 0545,12.2,--,2.4,X,1.6,--,E+3,218,1,25,59.2,-,1,20,25
308,NGC 0547,12.2,--,1.3,--,--,--,E1,218,1,26,0.6,-,1,20,44
98,UGC 01095,16.0,--,1.1,X,0.5,--,--,--,1,32,8.5,+,32,6,13
98,UGC 01095,15.0,--,0.3,--,--,?,S? C?,--,1,32,16.8,+,32,5,25
306,UGC 01102,14.6,--,1.3,X,1.1,--,S?,218,1,32,29.1,+,4,35,45
306,UGC 01102,--,--,--,--,--,--,condensation,218,1,32,29.7,+,4,35,24
306,UGC 01105,14.5,--,0.9,X,0.6,--,Im,--,1,32,41.8,+,4,38,24
4,MCG-02-05-50 +A,13.7,--,2.8,X,2.4,--,IAB(rs)m,--,1,48,25.6,-,12,22,55
228,IC 0162,13.7,--,1.6,--,--,--,S0 -conc rings,--,1,48,53.4,+,10,31,18
31,IC 0167,13.6,--,2.9,X,1.9,--,SAB(s)c,--,1,51,8.2,+,21,54,51
75,NGC 0702,11.9,--,1.6,X,1.2,--,SAB(s)b: pec,218,1,51,18.3,-,4,3,21
56,UGC 01432,14.6,--,0.9,X,0.6,--,Sbc,--,1,57,25.7,+,17,13,3
166,NGC 0750,12.9,--,1.7,X,1.3,--,E pec,92,1,57,32.4,+,33,12,36
166,NGC 0751,13.5,--,1.4,--,--,--,E pec,92,1,57,32.6,+,33,12,22
126,UGC 01449,14.5,--,1.2,X,0.7,--,Pec?,--,1,58,5.4,+,3,6,5
126,UGC 01449,13.9,--,0.4,X,0.3,--,SBm pec,--,1,58,5.6,+,3,5,6
78,NGC 0770,13.9,--,1.1,X,0.7,--,E3,--,1,59,13.6,+,18,57,16
78,NGC 0772,10.3,--,7.3,X,4.3,--,SA(s)b I +,129,1,59,20.3,+,19,0,22
290,IC 0195,14.3,--,1.6,X,0.8,--,S0,--,2,3,44.6,+,14,42,31
290,IC 0196,14.2,--,2.8,X,1.4,--,S0-,--,2,3,50.0,+,14,44,23
74,UGC 01626,14.1,--,1.6,X,1.5,--,(R')SA:pec,--,2,8,21.3,+,41,28,46
318,NGC 0833,12.7,--,1.5,X,0.7,--,SAB(rs)c,264,2,9,20.6,-,10,7,59
318,NGC 0835,12.1,--,1.3,X,1.1,--,SAB(r)ab:pec,264,2,9,24.6,-,10,8,9
318,NGC 0838,13.4,--,1.2,X,0.9,--,SA?(rs)0^0:,264,2,9,38.4,-,10,8,48
318,NGC 0839,13.1,--,1.5,X,0.7,--,I0? pec,264,2,9,42.9,-,10,11,2
10,UGC 01775,13.8,--,1.5,X,1.5,--,S?,--,2,18,26.3,+,5,39,14
273,UGC 01810,13.7,--,2.2,X,1.5,--,S(b),--,2,21,28.7,+,39,22,31
273,UGC 01813,15.3,--,1.5,X,0.4,--,SB,--,2,21,32.4,+,39,21,23
145,ARP 145,13.8,--,--,--,--,--,Ring B,--,2,23,8.0,+,41,22,12
145,UGC 01840,18.8,--,1.6,X,1.3,--,Pec Loop,--,2,23,8.4,+,41,22,20
145,ARP 145,17.8,--,--,--,--,--,Ring A,--,2,23,11.4,+,41,22,5
54,PGC 9107,17.1,--,0.5,X,0.3,--,--,--,2,23,59.1,-,4,41,48
54,MCG-01-07-007,15.0,--,1.0,X,0.6,--,S? + PGC 9107,--,2,24,1.8,-,4,41,38
276,NGC 0935,12.9,--,1.7,X,1.1,--,Scd:,130,2,28,10.9,+,19,35,59
276,IC 1801,14.8,--,1.3,X,0.6,--,SBB:,--,2,28,11.8,+,19,34,24
309,NGC 0943,11.4,--,3.4,--,--,--,S0^0: pec,265,2,29,9.4,-,10,49,37
309,NGC 0942,11.2,--,3.4,--,--,--,S0: pec,265,2,29,10.2,-,10,50,10
258,Hickson 18D,14.6,--,--,--,--,--,S?,--,2,39,4.6,+,18,23,38
258,Hickson 18C,16.1,--,--,--,--,--,S?,--,2,39,5.9,+,18,23,18
258,UGC 02140,15.4,--,1.7,X,0.7,--,IBS9P,--,2,39,6.2,+,18,22,58
258,UGC 02140A,15.5,--,0.9,X,0.2,--,SB.0*/,--,2,39,9.3,+,18,22,3
333,NGC 1024,12.1,--,3.9,X,1.4,--,(R')SA(r)ab,175,2,39,12.2,+,10,50,50
135,NGC 1023,9.3,--,8.8,X,3.0,--,SB(rs)0-,62,2,40,24.0,+,39,3,46
37,MESSIER 77,8.9,--,7.1,X,6.1,--,(R)SAB(rs)ab,220,2,42,40.7,-,0,0,47
77,NGC 1097A,13.6,--,0.8,X,0.5,--,E5 pec,354,2,46,9.9,-,30,13,45
77,NGC 1097,9.2,--,9.4,X,6.3,--,SB(rs)bc I-II,354,2,46,19.1,-,30,16,28
131,MCG-03-08-25,14.5,--,1.0,X,0.7,--,--,--,2,47,19.8,-,14,48,7
131,MCG-03-08-26,15.0,--,0.7,X,0.4,--,--,--,2,47,33.9,-,14,46,30
190,UGC 02320,15.2,--,0.5,X,0.3,--,Multiple Sys,--,2,50,19.9,+,12,53,22
200,NGC 1134,12.1,--,2.5,X,0.9,--,S?,175,2,53,41.1,+,13,0,55
118,NGC 1143,13.2,--,--,--,--,--,SAB0-:pec/Rng,220,2,55,9.7,-,0,10,40
118,NGC 1144,12.9,--,--,--,--,--,Im pec/Ring B,220,2,55,11.1,-,0,10,37
179,NPM1G -04.0134,16.6,--,--,--,--,--,--,--,3,1,40.9,-,4,40,18
108,ESO 547-G002,15.0,--,0.6,X,0.4,--,S0:,--,3,3,5.5,-,22,13,2
108,ESO 547-G003,14.0,--,1.0,X,0.7,--,SC?,--,3,3,7.2,-,22,12,24
332,NGC 1229,13.9,--,1.4,X,0.9,--,SB(s)ab: pec,311,3,8,11.0,-,22,57,37
332,NGC 1228,13.2,--,1.5,X,0.9,--,(R')SB(rs)0,311,3,8,11.0,-,22,55,28
332,NGC 1230,15.4,--,0.6,X,0.2,--,LB0?P,--,3,8,16.4,-,22,59,3
332,MCG-4-8-29,16.8,--,0.6,X,0.3,--,S,--,3,8,26.0,-,23,2,17
332,IC 1892,13.2,--,2.0,X,1.1,--,SB(s)d pec,311,3,8,27.9,-,23,3,4
41,NGC 1232,10.1,--,7.5,X,6.5,--,SAB(rs)c I-II,311,3,9,45.3,-,20,34,44
41,NGC 1232A,14.7,--,0.9,X,0.8,--,SB(s)dm III,311,3,9,45.3,-,20,34,44
304,NGC 1241,12.0,--,2.8,X,1.7,--,SAB(rs)bc II,266,3,11,14.7,-,8,55,20
147,IC 0298,15.0,--,0.7,X,0.5,--,Ring A&B,--,3,11,18.3,+,1,18,50
304,NGC 1242,13.7,--,1.2,X,0.7,--,SB:(s:)cd III,266,3,11,19.2,-,8,54,7
279,NGC 1253,11.7,--,5.3,X,2.3,--,SAB(s)cd,221,3,14,9.1,-,2,49,22
279,NGC 1253A,13.9,--,1.7,X,1.0,--,IB(s)m pec IV,221,3,14,23.2,-,2,48,13
154,NGC 1316,8.2,--,12.1,X,8.6,--,(R')SAB(s)0^0,355,3,22,41.5,-,37,12,34
39,NGC 1347,13.0,--,1.6,X,1.3,--,SB(s)c: pec,311,3,29,42.0,-,22,16,45
219,UGC 02812,14.9,--,0.9,X,0.8,--,SB pec,--,3,39,51.9,-,2,6,48
213,IC 0356,10.5,--,5.3,X,3.9,--,SA(s)ab pec,18,4,7,47.1,+,69,48,47
20,UGC 03014,14.4,--,1.2,X,0.7,--,SB?,--,4,19,53.7,+,2,5,43
210,NGC 1569,11.0,--,3.7,X,1.8,--,IBm IV-V,19,4,30,49.0,+,64,50,53
186,NGC 1614,13.6,--,1.3,X,1.2,--,SB(s)c pec,--,4,33,59.8,-,8,34,44
61,UGC 03104,15.1,--,1.0,X,0.5,--,Sa,--,4,36,42.0,-,2,17,13
180,MCG-01-13-034,14.8,--,1.1,X,0.5,--,S,--,4,53,22.3,-,4,48,8
259,NGC 1741,18.5,--,--,--,--,--,--,224,5,1,35.4,-,4,15,24
259,NGC 1741,15.2,--,--,--,--,--,--,224,5,1,35.4,-,4,15,50
259,NGC 1741,13.3,--,1.4,X,0.7,--,Pec Inter Sys,224,5,1,37.8,-,4,15,28
259,NGC 1741,15.6,--,--,--,--,--,--,224,5,1,38.7,-,4,15,34
187,MCG-02-13-040A,15.0,--,0.9,X,0.4,--,--,--,5,4,53.0,-,10,14,52
52,CGCG 421-027,15.6,--,--,--,--,--,--,--,5,19,44.0,+,3,43,1
327,NGC 1875,13.6,--,1.6,X,0.5,--,S0?,180,5,21,45.9,+,6,41,19
327,MCG+01-14-031,18.3,--,--,--,--,--,S0,--,5,21,47.7,+,6,41,1
327,MCG+01-14-031,17.1,--,--,--,--,--,SBd,--,5,21,48.9,+,6,40,55
327,MCG+01-14-031,17.4,--,--,--,--,--,SA0-,--,5,21,49.9,+,6,40,36
123,NGC 1888,12.0,--,3.0,X,0.8,--,Sb: pec sp,270,5,22,32.3,-,11,29,42
123,NGC 1889,13.3,--,0.7,X,0.5,--,SAB?(r:)0,270,5,22,35.3,-,11,29,49
184,NGC 1961,11.0,--,4.6,X,3.0,--,SAB(rs)c II,20,5,42,4.4,+,69,22,46
96,UGC 03528A,14.8,--,0.8,X,0.6,--,DBL SYS,--,7,3,0.7,+,86,36,12
96,UGC 03536A,14.8,--,0.9,--,--,--,DBL SYS,--,7,3,22.3,+,86,33,28
141,UGC 03730,12.5,--,2.8,X,1.5,--,Ring,6,7,14,20.9,+,73,28,51
141,UGC 03730,16.9,--,--,--,--,--,Ring,--,7,14,26.8,+,73,28,53
25,NGC 2276,11.4,--,2.8,X,2.7,--,SAB(rs)c,1,7,27,13.0,+,85,45,20
114,NGC 2300,12.1,--,2.8,X,2.0,--,SA0,1,7,32,20.0,+,85,42,31
250,IRAS F07327+3529,15.0,--,--,--,--,--,--,--,7,35,59.7,+,35,22,52
165,NGC 2418,12.2,--,1.8,--,--,--,E,139,7,36,37.8,+,17,53,6
17,UGC 03972,14.7,--,0.9,X,0.6,--,SB,--,7,44,32.7,+,73,49,50
17,UGC 03972,--,--,1.1,X,0.6,--,--,--,7,44,38.5,+,73,48,50
143,NGC 2444,13.2,--,1.2,X,0.8,--,Ring A,69,7,46,53.0,+,39,1,55
143,NGC 2445,13.3,--,1.4,X,1.1,--,Ring B,69,7,46,54.7,+,39,1,1
82,NGC 2535,12.8,--,2.5,X,1.2,--,SA(r)c pec I,140,8,11,13.5,+,25,12,26
82,NGC 2536,14.2,--,0.9,X,0.6,--,SB(rs)c pec,140,8,11,16.1,+,25,10,45
6,NGC 2537,12.3,--,1.7,X,1.5,--,SB(s)m pec,69,8,13,14.6,+,45,59,28
9,NGC 2523,11.9,--,3.0,X,1.8,--,SB(r)bc I,7,8,14,59.3,+,73,34,49
268,Holmberg II,10.7,--,8.0,X,6.3,--,Im IV-V,22,8,19,6.0,+,70,42,51
247,IC 2338,15.4,--,0.6,X,0.5,--,SXS6P,--,8,23,32.6,+,21,20,17
247,UGC 04383,14.7,--,--,--,--,--,DBL SYS,--,8,23,33.0,+,21,20,36
247,IC 2339,15.4,--,1.1,X,0.6,--,SB(s)c pec,--,8,23,34.4,+,21,20,54
58,UGC 04457,14.2,--,1.8,X,1.0,--,SXT5P,--,8,31,58.1,+,19,12,48
12,NGC 2608,12.2,--,2.3,X,1.4,--,SB(s)b: II,102,8,35,17.3,+,28,28,24
243,NGC 2623,13.4,--,--,--,--,--,P: Trip Coll,141,8,38,23.7,+,25,45,16
243,NGC 2623,13.4,--,2.4,X,0.7,--,--,141,8,38,24.1,+,25,45,1
243,NGC 2623,--,--,--,--,--,--,--,141,8,38,24.3,+,25,45,17
89,NGC 2648,12.7,--,3.3,X,1.1,--,S1,186,8,42,40.1,+,14,17,9
80,NGC 2633,12.2,--,2.5,X,1.6,--,SB(s)b I-II,7,8,48,6.6,+,74,5,58
167,NGC 2672,11.6,--,3.0,X,2.8,--,E1-2,141,8,49,22.3,+,19,4,30
167,NGC 2673,13.3,--,1.2,--,--,--,E0 pec,141,8,49,24.1,+,19,4,27
7,MCG-03-23-009,14.5,--,1.3,X,1.0,--,SB(rs) bc:,--,8,50,17.6,-,16,34,35
257,UGC 04638,17.0,--,1.5,X,0.8,--,SP,--,8,51,37.9,-,2,21,15
257,UGC 04638,15.0,--,0.6,X,0.3,--,S pec,--,8,51,38.3,-,2,21,59
195,UGC 04653,14.5,--,1.9,X,1.1,--,SBS3 - Triple,--,8,53,50.2,+,35,8,36
336,NGC 2685,11.2,--,4.5,X,2.4,--,(R)SB0+ pec,44,8,55,35.2,+,58,44,1
225,NGC 2655,10.1,--,4.9,X,4.1,--,SAB(s)0/a,7,8,55,38.8,+,78,13,28
202,NGC 2719,13.1,--,1.4,X,0.3,--,Im pec?,102,9,0,15.4,+,35,43,39
202,NGC 2719A,13.5,--,0.9,X,0.6,--,Im pec:,102,9,0,15.9,+,35,43,12
287,NGC 2735,13.3,--,1.2,X,0.4,--,SAB(rs)b? pec,142,9,2,38.6,+,25,56,6
287,NGC 2735A,15.8,--,0.2,--,--,--,Im: pec,142,9,2,41.8,+,25,56,18
215,NGC 2782,11.7,--,3.5,X,2.6,--,SAB(rs)a pec,70,9,14,5.2,+,40,6,51
55,UGC 04881,14.9,--,1.0,X,0.9,--,Spiral,--,9,15,55.6,+,44,19,57
55,UGC 04881,16.6,--,--,--,--,--,Spiral,--,9,16,0.7,+,44,21,8
283,NGC 2798,12.3,--,2.6,X,1.0,--,SB(s)a pec,71,9,17,22.8,+,41,59,58
283,NGC 2799,14.0,--,1.9,X,0.5,--,SB(s)m?,71,9,17,31.1,+,41,59,38
315,NGC 2831,12.3,--,1.4,--,--,--,E0,103,9,19,45.5,+,33,44,40
315,NGC 2832,11.9,--,2.4,X,1.9,--,E+2,103,9,19,46.8,+,33,44,59
285,NGC 2854,13.0,--,1.7,X,0.6,--,SB(s)b,44,9,24,2.9,+,49,12,14
285,NGC 2856,13.1,--,1.1,X,0.5,--,S?,44,9,24,16.3,+,49,14,54
1,NGC 2857,12.2,--,2.3,X,2.0,--,SA(s)c I-II,44,9,24,37.6,+,49,21,24
307,NGC 2872,11.9,--,2.1,X,1.8,--,E2,188,9,25,42.5,+,11,25,55
307,NGC 2874,12.5,--,2.4,X,0.7,--,SB(r)bc,188,9,25,47.3,+,11,25,28
275,NGC 2881,14.1,--,--,--,--,--,--,278,9,25,54.9,-,12,0,1
275,NGC 2881,13.3,--,1.1,X,0.9,--,S?,278,9,25,54.9,-,11,59,1
237,UGC 05044,15.3,--,--,--,--,--,SBd,--,9,27,43.5,+,12,17,14
237,UGC 05044,16.0,--,0.4,X,0.2,--,Im,--,9,27,44.4,+,12,17,17
300,UGC 05028,13.9,--,0.7,X,0.4,--,SB(s)dm pec,23,9,27,50.2,+,68,24,47
300,UGC 05029,13.4,--,1.6,X,1.0,--,Sc,23,9,28,2.5,+,68,25,17
207,UGC 05050,15.4,--,1.2,X,0.2,--,S?,--,9,31,6.8,+,76,27,56
232,NGC 2911,11.5,--,4.1,X,3.2,--,SA(s)0: pec,188,9,33,46.5,+,10,9,8
