ID,RA2PI,DEC2PI,VMAG,SIZED,TYPE
IC1541,0.087411907,0.383982132,14.5,0.01,Gxy
IC12,0.088371838,-0.046309403,14.9,0.013333333,Gxy
IC13,0.088728176,0.134400049,14,0.023333333,Gxy
IC10,0.089048153,1.034849347,10.4,0.106666667,Gxy
NGC78,0.089142692,0.014423207,12.8,0.018333333,Gxy
IC1542,0.090277156,0.394318359,14.1,0.011666667,Gxy
IC1543,0.091309809,0.381625937,13.4,0.011666667,Gxy
NGC79,0.091833407,0.393872331,14,0.01,Gxy
NGC80,0.092422456,0.390216836,12.1,0.026666667,Gxy
NGC81,0.092589717,0.390662864,15.7,0.003333333,Gxy
NGC87,0.092662439,-0.848734223,14.3,0.015,Gxy
NGC82,0.092909694,0.392020343,99,0,*
IC1544,0.092909694,0.403011069,13.7,0.02,Gxy
IC1545,0.093142404,0.383691244,15.7,0.005,Gxy
NGC84,0.093171493,0.394778932,99,0,*
NGC88,0.093229671,-0.8489233,14.4,0.013333333,Gxy
NGC83,0.093273304,0.391550073,12.5,0.025,Gxy
NGC89,0.093396932,-0.849369329,13.5,0.02,Gxy
NGC85,0.093484198,0.3929124,14.8,0.011666667,Gxy
NGC86,0.093709636,0.393683253,14.8,0.011666667,Gxy
IC1546,0.093745997,0.392810589,14.7,0.015,Gxy
NGC92,0.093913258,-0.848661501,13.1,0.031666667,Gxy
IC1547,0.094225963,0.384379679,99,0,NF
NGC90,0.095382244,0.390963449,13.7,0.031666667,Gxy
NGC91,0.095389516,0.390410761,15.1,0,*
IC1548,0.095636771,0.384093639,14.7,0.015,Gxy
NGC93,0.096240364,0.391108893,13.2,0.023333333,Gxy
NGC94,0.096982129,0.392408193,14.6,0.006666667,Gxy
NGC95,0.096982129,0.183118975,12.5,0.025,Gxy
NGC96,0.097287561,0.393513569,14.6,0.01,Gxy
NGC97,0.09817477,0.519157882,12.3,0.021666667,Gxy
IC14,0.098269309,0.183089887,99,0,*2
NGC98,0.099578306,-0.790081464,12.7,0.026666667,Gxy
IC1549,0.099614667,0.121557334,13.8,0.013333333,Gxy
NGC101,0.104319784,-0.567867113,12.8,0.035,Gxy
NGC99,0.104690666,0.275238423,13.7,0.016666667,Gxy
NGC100,0.104908832,0.287741768,13.3,0.07,Gxy
NGC104,0.10509791,-1.258038173,4,0.833333333,GCL
IC1550,0.106741428,0.666458823,13.9,0.015,Gxy
NGC102,0.10737411,-0.24358009,13.5,0.016666667,Gxy
NGC106,0.107897709,-0.089865064,13.7,0.015,Gxy
NGC105,0.110312081,0.224861433,13.2,0.018333333,Gxy
NGC103,0.11034117,1.070269834,9.8,0.083333333,OCL
NGC107,0.112144677,-0.14457144,14.2,0.015,Gxy
NGC108,0.113424585,0.509844611,12.1,0.038333333,Gxy
NGC109,0.114508143,0.380617525,13.7,0.018333333,Gxy
NGC115,0.116791616,-0.587759018,13.1,0.031666667,Gxy
NGC121,0.11687161,-1.248550369,11.2,0.025,GCL
NGC112,0.116995238,0.553317854,13.6,0.016666667,Gxy
NGC113,0.117424298,-0.043642928,13.1,0.023333333,Gxy
NGC119,0.117635192,-0.994449823,13,0.016666667,Gxy
NGC114,0.117678825,-0.031168672,13.8,0.013333333,Gxy
NGC116,0.118464223,-0.138550054,99,0,NF
NGC117,0.118602395,0.023285601,14.3,0.011666667,Gxy
NGC118,0.11898055,-0.031062013,13.6,0.011666667,Gxy
NGC110,0.119656865,1.246000249,99,0.316666667,OCL
NGC120,0.119998658,-0.026417497,13.4,0.025,Gxy
IC1551,0.120391357,0.154941604,13.7,0.041666667,Gxy
NGC123,0.120442263,-0.027915572,14.2,0,*
NGC122,0.120594979,-0.0286234,15.4,0,*
NGC124,0.121613088,-0.031595308,13,0.023333333,Gxy
IC15,0.121991243,-0.001071438,15,0.006666667,Gxy
IC16,0.122733007,-0.228536321,14.6,0.008333333,Gxy
IC17,0.124332893,0.046226984,15.1,0.008333333,Gxy
IC18,0.124718319,-0.202220635,14.6,0.018333333,Gxy
IC19,0.125038296,-0.203161173,14.1,0.013333333,Gxy
IC20,0.125052841,-0.227062488,13.8,0.01,Gxy
NGC125,0.125830967,0.04954311,12.1,0.03,Gxy
NGC126,0.127125419,0.049063145,14.2,0.013333333,Gxy
IC21,0.12729268,-0.002855553,15.2,0.008333333,Gxy
NGC127,0.127430852,0.050149127,14.8,0.013333333,Gxy
NGC128,0.127619929,0.050003683,11.8,0.041666667,Gxy
NGC130,0.127889001,0.050110342,14.4,0.011666667,Gxy
IC22,0.128943471,-0.158480744,13.9,0.011666667,Gxy
NGC131,0.129307081,-0.580501357,13.2,0.03,Gxy
IC1552,0.129728869,0.374833698,14.6,0.015,Gxy
NGC129,0.13075425,1.050891831,6.5,0.2,OCL
NGC132,0.131670548,0.036530711,12.6,0.031666667,Gxy
NGC134,0.132485035,-0.58023471,10.4,0.14,Gxy
IC23,0.134586702,-0.222001033,14,0.011666667,Gxy
NGC137,0.135124845,0.178173876,12.8,0.02,Gxy
NGC138,0.135204839,0.090054141,13.7,0.021666667,Gxy
NGC139,0.13573571,0.088633637,14.4,0.013333333,Gxy
NGC142,0.135837521,-0.394783781,13.8,0.018333333,Gxy
IC25,0.136150226,-0.007112217,14.3,0.016666667,Gxy
NGC143,0.136390209,-0.393746279,14.4,0.016666667,Gxy
IC24,0.136477475,0.538269238,99,0,*2
NGC141,0.136542925,0.090398359,14.5,0.013333333,Gxy
NGC133,0.136572014,1.10569517,9.4,0.05,OCL
NGC140,0.136746547,0.537420814,13.2,0.025,Gxy
NGC144,0.136768364,-0.395249202,13.8,0.013333333,Gxy
NGC136,0.137495584,1.073537478,11.5,0.025,OCL
NGC145,0.138579143,-0.08995233,12.7,0.03,Gxy
NGC135,0.138600959,-0.232788137,15.1,0.008333333,Gxy
IC1553,0.142535222,-0.446959429,13.6,0.02,Gxy
IC1554,0.143276987,-0.5590532,99,0,NF
NGC152,0.143764225,-1.276116875,11.9,0.028333333,OCL
NGC146,0.144207829,1.104822505,9.1,0.083333333,OCL
IC27,0.14444054,-0.233369914,14.8,0.01,Gxy
IC28,0.144615073,-0.234848595,14.9,0.01,Gxy
NGC147,0.144840511,0.846610739,9.5,0.22,Gxy
NGC149,0.14764031,0.536228172,13.7,0.02,Gxy
NGC151,0.148556608,-0.169384204,11.6,0.063333333,Gxy
IC29,0.149131112,-0.037994848,15.1,0.011666667,Gxy
IC30,0.149422001,-0.036385267,15.9,0.011666667,Gxy
NGC148,0.149472906,-0.554772295,12.2,0.033333333,Gxy
NGC150,0.149494723,-0.485288799,11.4,0.065,Gxy
NGC154,0.149763794,-0.220885961,14,0.018333333,Gxy
IC31,0.150141949,0.214127659,14.3,0.026666667,Gxy
IC1555,0.15073827,-0.523904208,13.7,0.021666667,Gxy
NGC159,0.150927347,-0.973714342,13.7,0.023333333,Gxy
NGC156,0.150956436,-0.145550763,99,0,*2
NGC155,0.151261869,-0.187904087,13.3,0.028333333,Gxy
NGC157,0.15172729,-0.146539783,10.4,0.058333333,Gxy
IC32,0.152832665,-0.037369439,14.9,0.006666667,Gxy
IC33,0.15307992,-0.037311261,14.5,0.011666667,Gxy
NGC158,0.153116281,-0.145647726,99,0,*2
IC1556,0.153152642,-0.166969832,99,0,NF
NGC167,0.154381645,-0.407965865,13.7,0.016666667,Gxy
NGC161,0.155181587,-0.049712795,13.4,0.021666667,Gxy
IC1557,0.155217948,-0.05019276,15,0.008333333,Gxy
IC34,0.155363392,0.159261294,12.6,0.04,Gxy
IC1558,0.156141518,-0.442867601,12.2,0.055,Gxy
NGC166,0.156265146,-0.237549007,14.3,0.015,Gxy
NGC176,0.156992366,-1.27698954,12.7,0.016666667,OCL
NGC163,0.157057816,-0.176651561,12.7,0.026666667,Gxy
NGC160,0.157377793,0.418146952,12.7,0.038333333,Gxy
NGC162,0.157748676,0.418219674,15,0,*
NGC165,0.1591813,-0.176389762,13.1,0.026666667,Gxy
NGC164,0.159472188,0.047996554,15.8,0.006666667,Gxy
NGC168,0.159886704,-0.394332904,14,0.02,Gxy
NGC170,0.160417575,0.032923697,14.4,0.006666667,Gxy
NGC169,0.160839363,0.418728728,12.4,0.043333333,Gxy
IC1559,0.160875724,0.418617221,14,0.006666667,Gxy
NGC174,0.161355689,-0.514484278,12.9,0.023333333,Gxy
NGC173,0.162344709,0.033898173,13,0.053333333,Gxy
NGC172,0.162431976,-0.3942117,13.4,0.033333333,Gxy
NGC171,0.16300648,-0.34792169,12.2,0.035,Gxy
NGC177,0.163937322,-0.393557202,13.3,0.036666667,Gxy
