Name,Type,Class,RA 2000,Decl 2000,Size,PA,V Mag,B Mag,Surf Br,Con,NGC,WH
NGC 2718,GX,Sab,08 58 50.4,+06 17 35,2.1x2.1,,11.8,12.7,13.3,Hya,"F,pL,E,am 3*",II 557
NGC 2721,GX,SBbc,08 58 56.5,-04 54 07,2.6x1.8,160.0,11.7,12.5,13.2,Hya,"cF,pL,R,vgbM",II 529
NGC 2701,GX,Sc,08 59 05.4,+53 46 13,2.2x1.6,23.0,12.3,12.7,13.5,UMa,"pB,fan-shaped,*11 att",IV 66
NGC 2710,GX,SBb,08 59 48.4,+55 42 23,2.0x1.0,125.0,12.9,13.7,13.4,UMa,"vF,S",III 841
NGC 2719,GX,Imp,09 00 15.7,+35 43 39,1.3x0.3,133.0,13.1,13.7z,11.9,Lyn,"vF,S,E 110 deg,2 vF * inv",III 540
NGC 2744,GX,SBabp,09 04 39.1,+18 27 53,1.7x1.1,120.0,13.5,13.9,13.9,Cnc,"vF,S,R,r,D* nr",III 60
NGC 2743,GX,Sc-Irr,09 04 54.3,+25 00 14,1.1x0.8,105.0,13.7,14.2,13.5,Cnc,"eF,S,R,vlbM",III 608
NGC 2726,GX,Sa,09 04 56.8,+59 55 58,1.6x0.5,87.0,12.5,13.4,12.2,UMa,"cF,pS,iR,er",II 834
NGC 2750,GX,Sc,09 05 48.0,+25 26 13,2.2x1.9,,11.9,12.6,13.3,Cnc,"vF,cL,R,bMN,2 c * p",III 291
NGC 2746,GX,SBa,09 05 59.5,+35 22 38,1.6x1.5,,13.1,14.0,13.9,Lyn,"eF,S,R,vglbM,*12 nnp 50''",III 825
NGC 2763,GX,Sc,09 06 49.1,-15 30 00,2.3x2.0,120.0,12.0,12.6,13.5,Hya,"vF,pS,bM,S* 30'' n",III 275
NGC 2742,GX,Sc,09 07 33.2,+60 28 46,3.0x1.5,87.0,11.4,12.0,13.0,UMa,"cB,cL,E 90 deg,er",I 249
NGC 2765,GX,S0,09 07 36.6,+03 23 34,2.1x1.1,107.0,12.1,13.1,12.9,Hya,"vF,pL,E,gbM,er",II 520
NGC 2755,GX,S:,09 07 58.3,+41 42 32,1.2x0.8,130.0,13.2,14.2,13.0,Lyn,"vF,S,iF,lbM,r",III 626
NGC 2764,GX,E,09 08 17.5,+21 26 37,1.5x0.9,15.0,12.9,13.6,13.1,Cnc,"cF,vS,R,er,bet 2 pB *",III 236
NGC 2759,GX,E-S0,09 08 37.3,+37 37 17,1.0x0.7,50.0,13.0,14.0,12.6,Lyn,"vF,cS,R",III 647
NGC 2756,GX,Sb,09 09 01.1,+53 50 58,1.7x1.1,0.0,12.4,13.2,13.0,UMa,"pB,pS,E,vgbM",II 828
NGC 2770,GX,Sc,09 09 33.6,+33 07 26,3.8x1.1,148.0,12.2,12.8,13.7,Lyn,"F,L,mE150,r,2* n",II 490
NGC 2775,GX,Sa,09 10 20.2,+07 02 16,4.3x3.3,155.0,10.1,11.0,12.9,Cnc,"cB,cL,R,vgvsmbM,r",I 2
NGC 2774,GX,S   ,09 10 40.0,+18 41 47,0.9x0.9,,13.7,14.8z,13.3,Cnc,"vF,S,R,am 5 S *",III 61
NGC 2781,GX,Sbc,09 11 27.4,-14 49 01,3.0x1.5,75.0,11.6,12.5,13.1,Hya,"B,S,vlE,psmbM",I 66
NGC 2768,GX,E5,09 11 37.6,+60 02 15,8.1x4.3,95.0,9.9,10.8,13.7,UMa,"cB,cL,lE,psbM,LBN",I 250
NGC 2784,GX,S0,09 12 19.2,-24 10 18,5.5x2.2,73.0,10.2,11.3,12.8,Hya,"B,L,mE 64 deg,gmbM",I 59
NGC 2778,GX,E,09 12 24.3,+35 01 39,1.4x1.0,40.0,12.4,13.4,12.8,Lyn,"pB,S,R,psmbM",II 564
NGC 2780,GX,SBp,09 12 44.3,+34 55 32,0.9x0.7,150.0,13.3,14.3,12.6,Lyn,"vF,S,R,S D* p",III 826
NGC 2783,GX,E,09 13 39.5,+29 59 34,2.1x1.5,168.0,12.6,13.6,13.9,Cnc,"vF,vS,R,2 pB* sp",III 295
NGC 2782,GX,Sb,09 14 05.2,+40 06 48,3.5x2.6,,11.6,12.3,13.9,Lyn,"cB,R,mbMBN",I 167
NGC 2811,GX,Sbc,09 16 11.1,-16 18 46,2.5x0.9,20.0,11.3,12.2,12.0,Hya,"pB,pS,E,psmbM",II 505
NGC 2815,GX,SBb,09 16 19.6,-23 38 00,3.5x1.1,10.0,11.9,12.8,13.2,Hya,"F,S,lE,gbM",III 242
NGC 2802,GX,S:,09 16 41.4,+18 57 48,0.9x0.9,,14.5,15.3,14.1,Cnc,"vF,S,R,r,np of 2",III 62
NGC 2796,GX,Sa:,09 16 41.8,+30 54 57,1.3x0.8,80.0,13.8,14.6,13.7,Cnc,"eF,S,R,lbM",III 296
NGC 2803,GX,S:,09 16 43.9,+18 57 16,1.3x1.3,,14.3,14.3z,14.7,Cnc,"vF,S,R,r,sf of 2",III 63
NGC 2798,GX,SBap,09 17 22.8,+42 00 00,2.6x1.0,160.0,12.3,13.0,13.2,Lyn,"pB,S,stellar",II 708
NGC 2800,GX,E,09 18 35.2,+52 30 52,1.4x0.9,15.0,12.8,13.8,13.1,UMa,"vF,S,lE,* att,* inv",III 832
NGC 2787,GX,Sap,09 19 18.5,+69 12 11,3.2x2.0,117.0,10.8,11.8,12.6,UMa,"B,pL,lE 90 deg,mbM,r,vS* sf inv",I 216
NGC 2832,GX,E,09 19 46.8,+33 44 59,2.3x1.9,160.0,11.9,12.9,13.5,Lyn,"cB,cL,E,3rd of 3",I 113
NGC 2848,GX,Sc,09 20 09.8,-16 31 34,2.7x1.7,30.0,11.8,12.4,13.3,Hya,"vF,cL,E 45 deg,glbM,*11 nf 3'",III 488
NGC 2805,GX,Sd,09 20 20.4,+64 06 10,6.3x4.8,125.0,11.0,11.5,14.6,UMa,"vF,L,R,mbM",III 878
NGC 2843,GX,,09 20 28.7,+18 55 34,0.4x0.2,57.0,15.5,,57.0,Cnc,S* and neb,III 64
NGC 2838,GX,,09 20 43.0,+39 18 56,0.6x0.6,,13.6,14.7z,,Lyn,"vF,vS,R",III 627
NGC 2840,GX,SBb,09 20 52.7,+35 22 06,1.0x0.9,,13.8,14.6,13.6,Lyn,"cF,S,R,*10 np 2'",III 827
NGC 2814,GX,Ir,09 21 11.5,+64 15 06,1.2x0.3,179.0,13.7,14.3,12.5,UMa,"F,S,iF,1st of 2",II 868
NGC 2855,GX,E1,09 21 27.5,-11 54 37,2.5x2.2,130.0,11.6,12.6,13.3,Hya,"pB,pL,R,gmbMN",I 132
NGC 2820,GX,SBcp,09 21 45.6,+64 15 29,4.1x0.5,59.0,12.8,13.3,13.4,UMa,"F,S,E,2nd of 2",II 869
NGC 2844,GX,Sa,09 21 48.0,+40 09 05,1.5x0.8,13.0,13.0,13.8,13.0,Lyn,"cF,cS",III 628
NGC 2841,GX,Sab,09 22 02.3,+50 58 35,8.1x3.5,147.0,9.2,10.1,12.7,UMa,"vB,L,vmE151,vsmbM = *10",I 205
NGC 2810,GX,E0,09 22 04.5,+71 50 38,1.7x1.7,,12.2,13.2,13.4,UMa,"F,cS,bM",III 749
NGC 2852,GX,Sa,09 23 14.6,+40 09 49,0.9x0.8,,13.2,14.1,12.6,Lyn,"vF,cS,R,*10 p2',1st of 2",III 629
NGC 2853,GX,SB0,09 23 17.4,+40 12 00,1.7x0.9,25.0,13.3,14.3,13.6,Lyn,"vF,S,vgbM,2nd of 2",III 630
NGC 2863,GX,SBm,09 23 36.5,-10 26 00,1.1x0.8,,12.7,13.5,12.4,Hya,"cF,S,E,bet 2* 12,16",III 520
NGC 2854,GX,SBb,09 24 03.1,+49 12 15,1.7x0.6,50.0,13.0,13.8,12.9,UMa,"cF,cS,vlE,pglbM",III 714
NGC 2856,GX,S,09 24 16.0,+49 14 57,1.1x0.5,134.0,13.1,14.1,12.3,UMa,"cF,cS,lE,bM",III 713
NGC 2859,GX,SBa,09 24 18.6,+34 30 48,4.3x3.8,85.0,10.9,11.8,13.8,LMi,"vB,pL,R,smbM",I 137
NGC 2872,GX,E2,09 25 42.5,+11 25 55,2.1x1.8,22.0,11.9,12.9,13.3,Leo,"pF,pS,R,bM",II 57=II 546
NGC 2874,GX,SBbc,09 25 47.3,+11 25 27,2.4x0.7,43.0,12.5,13.4,13.0,Leo,"vF,pL,mE",II 58=II 547
NGC 2889,GX,Sbc,09 27 12.5,-11 38 37,2.2x1.9,65.0,11.7,12.4,13.1,Hya,"pF,pS,vlE,vglbM,r",II 555
NGC 2870,GX,Sb,09 27 53.5,+57 22 33,2.5x0.6,123.0,13.0,13.8,13.4,UMa,"cF,S,E,vglbM",III 846
NGC 2894,GX,Sa,09 29 30.4,+07 43 06,1.9x1.0,27.0,12.4,13.3,12.9,Leo,"vF,E,er,2 or 3* inv",III 8
NGC 2880,GX,E3,09 29 34.5,+62 29 27,2.0x1.2,140.0,11.5,12.5,12.4,UMa,"B,cS,R,mbM,am st,in field of 23 Ursa Majoris",I 260
NGC 2893,GX,SBa,09 30 17.0,+29 32 24,1.1x1.0,,13.2,13.9,13.2,Leo,"vF,S,R,vsbM *12",III 297
NGC 2902,GX,E0,09 30 52.8,-14 44 07,1.4x1.2,35.0,12.2,13.3,12.6,Hya,"vF,vS,stellar",III 276
NGC 2907,GX,Sab,09 31 36.6,-16 44 07,1.8x1.1,115.0,11.6,12.7,12.3,Hya,"pF,S,lE,mb sf",II 506
NGC 2906,GX,Sc,09 32 06.3,+08 26 30,1.4x0.9,75.0,12.7,13.4,12.8,Leo,"F,pS,lE,gbM",II 495
NGC 2903,GX,Sb,09 32 10.0,+21 30 02,12.6x6.0,17.0,9.0,9.7,13.6,Leo,"cB,vL,E,gmbM,r,sp of 2",I 56
NGC 2905,KNT,,09 32 11.9,+21 31 05,,,,,,Leo,"vF,cL,R,psbM,r,nf of 2",I 57
NGC 2911,GX,E2p,09 33 46.1,+10 09 09,4.1x3.2,140.0,11.5,12.2,14.2,Leo,"F,pL,R,gbM,p of 2",II 40
NGC 2914,GX,SBab,09 34 02.8,+10 06 31,1.0x0.7,15.0,13.2,14.1,12.6,Leo,"vF,S,R,bMN,f of 2",III 513
NGC 2921,GX,Sa,09 34 31.3,-20 55 13,2.8x1.0,83.0,12.0,12.9,13.0,Hya,"vF,pS,lE,vglbM,f of 2",III 597
NGC 2916,GX,Sb,09 34 57.7,+21 42 19,2.5x1.7,20.0,12.1,12.7,13.4,Leo,"F,S,vlE",II 260
NGC 2918,GX,E,09 35 44.1,+31 42 20,1.4x1.0,65.0,12.6,13.6,13.0,Leo,"vF,cS,R,sbMN",III 298
NGC 2935,GX,Sb,09 36 44.8,-21 07 41,3.6x2.8,165.0,11.4,12.4,13.8,Hya,"pB,pS,vlE,gmbM",II 556
NGC 2939,GX,Sb,09 38 08.1,+09 31 23,2.5x0.9,154.0,12.5,13.2,13.1,Leo,"vF,S,vlE,bM,triangle st nf",III 4
NGC 2938,GX,SBc,09 38 24.0,+76 19 10,1.7x1.0,105.0,13.5,14.2,14.0,Dra,"eF,S,iF,D* f 3'",III 963?
NGC 2948,GX,SBb,09 38 59.2,+06 57 19,1.4x0.9,7.0,12.9,13.7,13.0,Leo,"vF,pL,vgbM",III 519
NGC 2955,GX,Sb,09 41 16.6,+35 52 56,1.7x0.9,162.0,12.9,13.6,13.2,LMi,"cF,pS,iR,glbM,r",III 541
NGC 2969,GX,Sc,09 41 54.5,-08 36 11,1.3x1.2,,13.1,13.8,13.4,Sex,"vF,pS,iR,vglbM",III 527
NGC 2967,GX,Sc,09 42 03.7,+00 20 08,3.0x2.8,65.0,11.6,12.3,13.8,Sex,"pF,pL,R,vglbM",II 275
NGC 2974,GX,Sa,09 42 33.0,-03 41 59,3.5x2.0,42.0,10.9,11.9,13.0,Sex,"B,cS,iR,bM,*9 sp 43''",I 61
NGC 2950,GX,Sap,09 42 35.1,+58 51 04,2.7x1.8,145.0,10.9,11.8,12.5,UMa,"B,pS,R,vgvmbMN",IV 68
NGC 2964,GX,Sc,09 42 54.3,+31 50 50,2.9x1.6,97.0,11.3,12.0,12.8,Leo,"B,vL,lE,vgbM,sp of 3",I 114
NGC 2979,GX,Sa,09 43 08.6,-10 23 01,1.7x1.0,30.0,12.8,13.6,13.2,Sex,"pF,pS,vlE,psbM",III 521
NGC 2968,GX,P,09 43 12.0,+31 55 44,2.3x1.6,45.0,11.7,12.8,13.0,Leo,"pB,pL,lE,vglbM,2nd of 3",II 491
NGC 2980,GX,SBbc,09 43 12.0,-09 36 47,1.6x0.9,160.0,13.0,13.6,13.2,Sex,"vF,pS,lE 0 deg,vglbM",III 528
NGC 2965,GX,S0,09 43 19.1,+36 14 52,1.2x0.9,85.0,13.4,14.4,13.4,LMi,"eF,vS,R,bM,r",III 751
NGC 2908,GX,S,09 43 31.6,+79 42 05,0.8x0.8,,14.1,,13.5,Dra,"eF,vS",III 977
NGC 2984,GX,S0,09 43 40.4,+11 03 39,0.7x0.7,,13.4,14.4,12.6,Leo,"eF,vS,R,bM",III 34
NGC 2983,GX,SBa,09 43 41.1,-20 28 38,2.5x1.5,95.0,11.8,12.8,13.1,Hya,"F,pS,R,bM,r,stellar",III 289
NGC 2977,GX,Sb,09 43 46.7,+74 51 35,1.8x0.8,145.0,12.5,13.3,12.8,Dra,"cB,pL,iF",I 282
NGC 2986,GX,E1,09 44 15.9,-21 16 41,3.2x2.8,105.0,10.8,11.7,13.1,Hya,"pB,pS,iR,mbM",II 311
NGC 2997,GX,Sc,09 45 38.6,-31 11 25,8.9x6.8,110.0,9.4,10.1,13.7,Ant,"! vF,vL,vgvsbMN 4'',19s.5 d",V 50
NGC 2992,GX,Sa,09 45 41.9,-14 19 37,3.5x1.1,15.0,12.2,13.1,13.5,Hya,"cF,S,R,bM,stellar,p of 2",III 277
NGC 2993,GX,Sa,09 45 48.3,-14 22 07,1.3x0.9,95.0,12.6,13.1,12.7,Hya,"cF,S,R,bM,stellar,f of 2",III 278
NGC 2990,GX,S,09 46 17.2,+05 42 31,1.3x0.7,85.0,12.7,13.1,12.4,Sex,"F,pS,lE 90 deg",II 624
NGC 2976,GX,Scp,09 47 15.3,+67 55 00,5.9x2.7,143.0,10.2,10.8,13.0,UMa,"B,vL,mE152,st inv",I 285
NGC 2963,GX,SBab,09 47 50.4,+72 57 52,1.2x0.6,165.0,13.5,14.3,13.0,Dra,"vF,vS,R,bM",III 315
NGC 3003,GX,Sc,09 48 35.6,+33 25 17,5.8x1.3,79.0,11.9,12.3,14.0,LMi,"!,cB,L,vmE90",V 26
NGC 2998,GX,Sc,09 48 43.6,+44 04 52,2.9x1.3,53.0,12.5,13.1,13.9,UMa,"pF,pL,E51,bMN,r",II 717
NGC 3020,GX,SBc,09 50 06.6,+12 48 48,3.2x1.6,105.0,11.9,12.6,13.5,Leo,"eF,pS,lE 0,r",III 51
NGC 2985,GX,Sab,09 50 22.1,+72 16 44,4.6x3.6,0.0,10.4,11.2,13.3,UMa,"vB,cL,R,psmbM,* inv f",I 78
NGC 3024,GX,Sc,09 50 27.3,+12 45 57,2.1x0.5,125.0,13.1,13.8,12.9,Leo,"eF,pL,E,r",III 52
NGC 3021,GX,Sb,09 50 57.2,+33 33 15,1.6x0.9,110.0,12.1,12.9,12.3,LMi,"pB,pS,vlE,mbM,*10 sp",I 115
NGC 3041,GX,Sc,09 53 07.2,+16 40 40,3.7x2.4,95.0,11.5,12.3,13.8,Leo,"F,L,R,vglbM,rr,2 B st sp",II 98
NGC 3044,GX,Sc,09 53 40.8,+01 34 46,4.9x0.7,113.0,11.9,12.5,13.1,Sex,"vF,vL,vmE 122",III 254
NGC 3052,GX,Sc,09 54 28.0,-18 38 21,2.0x1.3,102.0,12.2,12.8,13.1,Hya,"F,pL,R,glbM,nf of 2",III 272
NGC 3055,GX,Sc,09 55 18.1,+04 16 11,2.1x1.3,63.0,12.1,12.7,13.0,Sex,"F,pL,vlE,vgbM,rr,*7 f 92",VI 4
NGC 3053,GX,SBa,09 55 33.6,+16 25 58,1.8x0.9,140.0,12.7,13.6,13.1,Leo,"vF,S,vlE,gbM",III 600
NGC 3027,GX,SBd,09 55 40.5,+72 12 13,4.3x2.0,130.0,11.8,12.2,13.9,UMa,"vF,vL,lE,r",III 52
NGC 3034,GX,P,09 55 53.5,+69 40 54,11.2x4.3,65.0,8.4,9.3,12.5,UMa,"vB,vL,vmE(ray)",IV 79=4 H O N
NGC 3061,GX,SBc,09 56 11.9,+75 51 59,1.7x1.5,,12.8,13.7,13.6,Dra,"vF,pL,r",II 903?
NGC 3043,GX,Sab,09 56 14.6,+59 18 25,1.7x0.6,84.0,12.6,13.4,12.5,UMa,"cF,pS,lE,vgbM,*10 n 7'",II 835
NGC 3060,GX,Sb,09 56 19.2,+16 49 52,2.2x0.6,78.0,13.0,13.8,13.1,Leo,"vF,cS,vlE,eR",III 601
NGC 3072,GX,S0,09 57 23.9,-19 21 18,1.9x0.6,71.0,12.7,13.7,12.7,Hya,"vF,pS,lE,glbM",III 273
NGC 3070,GX,E,09 58 06.9,+10 21 35,1.4x1.4,,12.3,13.2,13.1,Leo,"pB,pS,R,gmbMN,am 3 st",II 59
NGC 3067,GX,Sbc,09 58 21.3,+32 22 10,2.5x0.9,105.0,12.1,12.8,12.8,Leo,"pB,pL,E 106,gbM,*9 4' E",II 492
NGC 3078,GX,E3,09 58 24.5,-26 55 36,2.5x2.1,177.0,11.1,12.1,12.9,Hya,"pB,S,R,mbM",II 268
NGC 3068,GX,S0-:p,09 58 40.1,+28 52 39,1.1x0.9,,14.3,15.1z,14.1,Leo,"eeF,eS,stellar (?)",III 293
NGC 3081,GX,Sbc,09 59 29.5,-22 49 35,2.1x1.6,158.0,12.0,12.9,13.2,Hya,"vF,cS,lbM,tri S st np",III 596
NGC 3074,GX,Sc,09 59 41.2,+35 23 34,2.3x2.1,145.0,12.7,13.3,14.2,LMi,"vF,pL,iR,vgvlbM",III 542
NGC 3080,GX,Sa,09 59 55.9,+13 02 37,0.9x0.8,,13.4,14.3,12.9,Leo,vF,III 934
NGC 3091,GX,E+3,10 00 14.1,-19 38 11,3.0x1.9,149.0,11.1,12.1,13.0,Hya,"pB,pS,iR,bM,p of 2",II 293
NGC 3073,GX,S0,10 00 52.0,+55 37 07,1.3x1.2,,13.4,14.1,13.7,UMa,"vF,S,vglbM",III 853
NGC 3088,GX,Dbl,10 01 08.4,+22 24 20,0.6x0.4,,13.7,14.7z,12.0,Leo,"vF,S",III 24
NGC 3063,**,,10 01 41.6,+72 07 05,,,,,,UMa,"F,pS,R",II 909?
NGC 3065,GX,Sa,10 01 55.3,+72 10 13,1.7x1.7,,12.5,13.5,13.5,UMa,"pF,vS,R,bM,*11 nr",II 333
NGC 3079,GX,SBb,10 01 57.3,+55 40 54,7.9x1.4,165.0,10.9,11.5,13.4,UMa,"vB,L,mE 135,long streak",V 47
NGC 3066,GX,Sbcp,10 02 11.0,+72 07 31,1.1x1.0,,12.9,13.6,12.9,UMa,"vF,vS,vglbM",II 334=II 909?
NGC 3099,GX,,10 02 36.5,+32 42 25,0.5x0.5,,14.8,15.4z,13.1,LMi,"eF,S",III 478
NGC 3077,GX,E2p,10 03 19.1,+68 43 59,5.4x4.5,45.0,9.9,10.6,13.2,UMa,"cB,cL,mbM,R w ray",I 286
NGC 3104,GX,Irr,10 03 57.3,+40 45 25,3.3x2.2,35.0,13.1,13.6,15.1,LMi,"eF,pL,E,vf * inv",IV 48
NGC 3122,Dup,,10 04 02.0,-06 28 29,,,,,,Sex,"F,S,lE,er",II 305
NGC 3106,GX,S0,10 04 05.2,+31 11 07,1.8x1.8,,12.4,13.3,13.5,LMi,"F,S,R,sbM",II 320
NGC 3107,GX,Sbc,10 04 22.4,+13 37 17,0.7x0.6,140.0,13.4,14.2,12.4,Leo,"pF,pL,iR,*8 148,112''",II 898
NGC 3102,GX,E-S0,10 04 31.7,+60 06 29,0.8x0.8,,13.3,14.3,12.6,UMa,"vF,vS,R,bM,*11,142°",III 916
NGC 3115,GX,E6,10 05 14.1,-07 43 07,7.2x2.5,43.0,8.9,9.9,11.9,Sex,"vB,L,vmE 46,vgsmbMEN",I 163
NGC 3057,GX,SBc,10 05 39.5,+80 17 09,2.2x1.3,5.0,13.0,13.5,14.0,Dra,"eF,pL,vlbM,2 S * s",III 978
NGC 3129,**,,10 08 19.2,+18 25 51,,,,,,Leo,"eF,cS,vlE,r",III 35
NGC 3145,GX,Sbc,10 10 10.0,-12 26 02,3.1x1.6,20.0,11.7,12.5,13.3,Hya,"F,pL,R,vgslbM",III 518
NGC 3156,GX,E5p,10 12 41.2,+03 07 45,1.9x1.1,47.0,12.3,13.1,13.0,Sex,"F,cS,R,psbM,*9-10 sf 2'",III 255
NGC 3153,GX,Sc,10 12 50.5,+12 39 59,2.1x0.9,170.0,12.6,13.4,13.3,Leo,"eF,pL,vlE,R,st inv",III 53
NGC 3162,GX,Sc,10 13 31.6,+22 44 15,3.0x2.5,,11.6,12.2,13.7,Leo,"pF,cL,R,vglbM,R,S* inv",II 43
NGC 3166,GX,Sa,10 13 44.9,+03 25 31,4.8x2.3,87.0,10.4,11.3,12.9,Sex,"B,pS,R,psmbM,2nd of 3",I 3
NGC 3158,GX,E2,10 13 50.5,+38 45 53,2.0x1.8,,11.9,12.9,13.3,LMi,"cB,cS,R,psbM,R",II 639
NGC 3163,GX,S0,10 14 07.1,+38 39 09,1.1x1.1,,13.3,14.3,,LMi,"F,S,R,gbM",II 640
NGC 3169,GX,Sb,10 14 14.8,+03 28 00,4.4x2.8,45.0,10.2,11.1,12.8,Sex,"B,pL,vlE,pgmbM,*11,78,80'',3rd of 3",I 4
NGC 3197,GX,Sb,10 14 27.7,+77 49 13,1.3x1.0,155.0,13.5,14.3,13.6,Dra,"vF,vS",III 966
NGC 3174,Dup,,10 15 32.0,+74 13 14,,,,,,Dra,"cF,S,stellar,S* f nr",III 964
NGC 3177,GX,Sbc,10 16 34.1,+21 07 23,1.4x1.2,135.0,12.4,13.0,12.8,Leo,"cF,S,R,psbM",III 255
NGC 3147,GX,Sb,10 16 53.5,+73 24 02,3.9x3.5,155.0,10.6,11.4,13.3,Dra,"vB,L,R,vgvsvmbM",I 79
NGC 3194,Dup,,10 17 39.9,+74 20 51,,,,,,Dra,"vF,vS",III 965
NGC 3190,GX,Sb,10 18 05.7,+21 49 57,4.4x1.5,125.0,11.1,12.1,13.1,Leo,"B,pS,E,psbMN",II 44
NGC 3184,GX,Sc,10 18 17.0,+41 25 27,7.4x6.9,135.0,9.8,10.4,13.9,UMa,"pB,vL,R,vgbM",I 168
NGC 3193,GX,E0,10 18 25.0,+21 53 37,3.0x2.7,,10.9,11.8,13.1,Leo,"B,S,vlE,pslbM,*9.5,354,80''",II 45
NGC 3196,GX,S?,10 18 49.1,+27 40 08,0.4x0.2,115.0,15.7,16.2,12.8,Leo,"eeF,pS,lE",III 348
NGC 3192,Dup,,10 19 05.1,+46 27 15,,,,,,UMa,"eF,vS,(=3191)",III 704
NGC 3182,GX,Sa,10 19 33.0,+58 12 21,1.8x1.5,155.0,12.1,13.0,13.1,UMa,"cB,cL,iR,vgbM",I 265
NGC 3188,GX,SBab,10 19 42.9,+57 25 24,0.9x0.9,,13.7,14.6,13.3,UMa,"vF,pL,R",III 910
NGC 3198,GX,SBc,10 19 54.8,+45 32 59,8.5x3.3,35.0,10.3,10.9,13.8,UMa,"pB,vL,mE 45,vgbM",I 199
NGC 3202,GX,SBa,10 20 31.7,+43 01 18,1.2x0.8,20.0,13.2,14.1,13.1,UMa,"cF,S,R,vgbM,1st of 3",II 720
NGC 3205,GX,S:,10 20 50.0,+42 58 19,1.4x1.1,,13.2,14.2,13.5,UMa,"cF,S,R,vgbM,2nd of 3",II 721
NGC 3207,GX,S:,10 21 00.6,+42 59 07,1.3x0.8,73.0,13.2,14.2,13.1,UMa,"cF,S,R,stellar,3rd of 3",II 722
NGC 3216,GX,E:,10 21 41.2,+23 55 23,1.3x1.0,0.0,13.4,14.4,13.7,Leo,"vF,pS,R,bM",III 330
NGC 3206,GX,SBc,10 21 47.6,+56 55 50,3.0x1.9,0.0,11.9,12.6,13.6,UMa,"pB,cL,E,vglbM",I 266
NGC 3218,Dup,SBbc,10 21 49.4,+74 10 37,2.3x1.4,170.0,11.9,12.7,13.0,Dra,"cB,cL,er [place??]",I 283
NGC 3226,GX,E2,10 23 27.0,+19 53 54,3.2x2.8,15.0,11.4,12.3,13.8,Leo,"pB,cL,R,D",II 28
NGC 3227,GX,Sb,10 23 30.6,+19 51 55,5.4x3.6,155.0,10.3,11.1,13.4,Leo,"pB,cL,R,D",II 29
NGC 3220,GX,Sb,10 23 45.2,+57 01 38,1.7x0.6,97.0,13.0,13.8,12.9,UMa,"pF,cL,E 92,*9 f 9'.5",III 911
NGC 3242,PN,4(3b),10 24 46.1,-18 38 32,"40""x35""",,7.3,,,Hya,"! vB,lE 147,45'' d,blue",IV 27
NGC 3239,GX,Irp+,10 25 05.5,+17 09 35,5.0x3.3,80.0,11.3,11.7,14.2,Leo,"vF,*9 inv nr M",IV 10
NGC 3225,GX,Sc,10 25 10.0,+58 09 00,2.0x1.0,155.0,12.6,13.3,13.3,UMa,"cF,pL,lE,vgbM",II 882
NGC 3237,GX,S0,10 25 43.3,+39 38 47,1.3x1.3,,13.0,14.0,13.4,UMa,"vF,vS,R,pgbM",III 631
NGC 3238,GX,S0,10 26 43.0,+57 13 35,1.4x1.3,,12.9,13.9,13.4,UMa,"F,S,R,pslbM",II 883
NGC 3245,GX,E5,10 27 18.4,+28 30 26,3.2x1.8,177.0,10.8,11.7,12.6,LMi,"vB,pL,E 0,smbMEN",I 86
NGC 3248,GX,S0,10 27 45.4,+22 50 49,2.5x1.1,135.0,12.4,13.4,13.4,Leo,"pB,S,R,psbM",II 347
NGC 3210,**,,10 27 58.9,+79 49 57,"24""",,,,,Dra,"stellar,1st of 3 in line,1' apart",III 979
NGC 3212,GX,SB,10 28 16.1,+79 49 23,1.5x1.1,107.0,13.1,14.1,13.5,Dra,"vF,S,2nd of 3",III 980
NGC 3215,GX,S,10 28 40.4,+79 48 46,1.1x1.0,130.0,13.0,14.0,13.0,Dra,"vF,S,3rd of 3",III 981
NGC 3254,GX,Sb,10 29 19.9,+29 29 30,5.0x1.6,46.0,11.7,12.4,13.8,LMi,"cB,L,mE 45,psmbMN",I 72
NGC 3265,GX,E4,10 31 06.8,+28 47 48,1.3x1.0,73.0,12.9,13.9,13.1,LMi,"pF,S,R,psbM,* sf",III 349
NGC 3270,GX,Sb,10 31 30.0,+24 52 10,3.2x0.8,10.0,13.1,13.9,14.0,Leo,"cF,vS,E,glbM",III 331
NGC 3274,GX,Sc,10 32 17.1,+27 40 07,2.1x1.0,100.0,12.8,13.2,13.5,Leo,"F,pL,R,glbM,D* f",II 358
NGC 3259,GX,Sb,10 32 34.8,+65 02 28,2.2x1.2,20.0,12.1,12.9,13.0,UMa,"F,S,R,gbM",II 870
NGC 3277,GX,Sab,10 32 55.4,+28 30 42,1.9x1.7,,11.7,12.5,12.9,LMi,"cB,cS,R,pgmbM",II 359
NGC 3266,GX,S0,10 33 17.6,+64 44 57,1.5x1.3,105.0,12.4,13.4,13.1,UMa,"cF,vS,R,psmbM *",II 871
NGC 3252,GX,SBc,10 34 22.6,+73 45 51,2.0x0.6,35.0,13.5,14.1,13.6,Dra,"eF,pS,mE,r",III 316
NGC 3294,GX,Sc,10 36 16.1,+37 19 30,3.5x1.8,122.0,11.8,,13.7,LMi,"cB,L,mE 135,glbM",I 164
NGC 3284,Dup,,10 36 21.3,+58 37 13,,,,,,UMa,"eF,vS",III 912
