Name,Type,Class,RA 2000,Decl 2000,Size,PA,V Mag,B Mag,Surf Br,Con,NGC,WH
NGC 4664,Dup,,12 45 06.1,+03 03 21,,,,,,Vir,"pB,2 S * in M,S* p,=4665",II 39
NGC 4665,GX,S0/a,12 45 06.1,+03 03 21,3.8x3.2,,10.5,11.5,13.1,Vir,"B,pL,iR,mbM,*10 sp",I 142
NGC 4666,GX,Sc,12 45 08.5,-00 27 42,4.6x1.3,42.0,10.7,11.5,12.5,Vir,"B,vL,mE45,psbM",I 15
NGC 4670,GX,Ep,12 45 17.0,+27 07 31,1.4x1.1,90.0,12.7,13.1,13.0,Com,"pF,cS,R,bM,r,p of 2,seBN",III 328
NGC 4668,GX,SBd,12 45 31.9,-00 32 10,1.4x0.8,5.0,13.1,13.6,13.1,Vir,"vF,S,iF",III 663
NGC 4675,GX,SBb,12 45 31.9,+54 44 15,1.3x0.4,97.0,14.4,15.2,13.6,UMa,"cF,S,lE7",III 778
NGC 4673,GX,E1,12 45 34.6,+27 03 38,1.0x0.9,170.0,12.9,13.9,12.7,Com,"F,vS,R,sbM*10,f of 2",III 329
NGC 4671,GX,S0:p,12 45 47.6,-07 04 11,1.5x1.3,141.0,12.6,13.5,12.7,Vir,"pF,S,R,psmbM",II 774
NGC 4676,GX,S0p,12 46 10.1,+30 43 56,2.3x0.7,0.0,13.0,13.8,12.3,Com,"vF,pmE,biN?",II 326
NGC 4686,GX,Sa,12 46 39.8,+54 32 03,2.0x0.6,3.0,12.6,13.6,12.6,UMa,"pF,vS,vmE,vsmbM",II 795
NGC 4693,GX,Sd,12 47 09.2,+71 10 34,2.5x0.5,34.0,13.5,14.0,13.4,Dra,"vF,plE",III 906
NGC 4685,GX,E-S0,12 47 11.4,+19 27 51,1.6x1.0,158.0,12.6,13.6,12.9,Com,"F,S,R,sbM*,rr",III 398
NGC 4682,GX,Scd,12 47 15.5,-10 03 48,2.6x1.3,85.0,12.2,12.9,13.3,Vir,"cF,L,E45,gvlbM",III 523
NGC 4684,GX,SBa,12 47 17.5,-02 43 38,2.9x1.0,23.0,11.4,12.4,12.4,Vir,"B,pL,pmE25",II 181
NGC 4695,GX,S,12 47 32.1,+54 22 29,1.1x0.7,80.0,13.4,14.5,12.9,UMa,"eF,pS,vlE,mbMN",II 796
NGC 4689,GX,Sbc,12 47 45.7,+13 45 45,4.3x3.5,,10.9,11.6,13.7,Com,"pB,vL,E,vglbM,r",II 128
NGC 4688,GX,SBcd,12 47 46.4,+04 20 10,3.2x2.8,,11.9,12.6,14.1,Vir,"eF,pL,*9-10 p 10s",III 543
NGC 4692,GX,E+,12 47 55.3,+27 13 20,1.3x1.3,,12.6,13.6,13.2,Com,"F,cS,R,bM",II 381
NGC 4690,GX,E-S0,12 47 55.5,-01 39 22,1.2x0.9,150.0,12.9,13.9,12.7,Vir,"vF,S",III 664
NGC 4691,GX,SB0p,12 48 13.4,-03 19 56,2.8x2.3,75.0,11.1,11.7,12.9,Vir,"pB,pL,E90,mbM",II 182
NGC 4694,GX,SB0p,12 48 15.1,+10 59 01,3.2x1.5,140.0,11.4,12.1,13.0,Vir,"pF,S,vlE,vBN",II 72
NGC 4698,GX,Sab,12 48 23.0,+08 29 16,4.0x2.5,170.0,10.6,11.5,12.9,Vir,"cB,pL,iR,bM,r",I 8=III 6
NGC 4707,GX,Sm,12 48 23.2,+51 09 48,2.2x2.1,25.0,12.9,13.4,14.4,CVn,"S,stellar",III 815
